ABA	n+f.aba
colleja	n+f.campion
collie	n+m.collie
colmando	vt.showering
colmena	n+f.beehive@n+f.hive
colmenas	n+f+pl.hives
colmenilla	n+f.morel
colmillo	n+m.fang@n+m.tusk
colmillos	n+m+pl.canines@n+m+pl.fangs
colmó	vt.showered
coloca	vt.lays
colocaciones	n+f+pl.placements
colocación	n+f.collocation@n+f.placement
colocada	a+f.placed
colocado	a+m.placed
colocador	n+m.setter
colocando	v.laying@v.placing
colocar	v.lay@v.place
colocó	v.placed
colofonia	n+f.rosin
colofón	n+m.colophon
coloidal	a.colloidal
coloide	n+m.colloid
colombiana	a+f.colombian
colombiano	a+m.colombian@n+m.colombian
colombina	a+f.columbian
colombino	a+m.columbian
colon	n+m.colon
colona	n+f.settler
colonia	n+f.cologne@n+f.colony
colonial	a+m.colonial@a+f.colonial
coloniales	n+m+pl.colonials
colonialismo	n+m.colonialism
colonias	n+f+pl.colognes@n+f+pl.colonies
colonización	n+f.colonization
colonizada	a+f.colonized
colonizado	a+m.colonized
colonizó	vt.colonized
colono	n+m.settler
colonos	n+m+pl.colonists@n+m+pl.settlers
colonoscopia	n+f.colonoscopy
coloquial	a.colloquial
coloquio	n+m.colloquium@n+m.colloquy
color	n+m.colour
color crudo	a.ecru
color mandarina	n+m.tangerine
coloración	n+f.coloration@n+f.colouring
colorante	n+m.colouring
coloreada	a+f.coloured
coloreado	a+m.coloured
colores	n+m.colours
colores neutros	n+m+pl.neutrals
colores pastel	n+m+pl.pastels
colorete	n+m.rouge
colorido	a.colourful
colosal	a.colossal
colosenses	n+m+pl.colossians
coloso	n+m.behemoth@n+m.colossus
columna	n+f.col@n+f.column
columna vertebral	n+f.backbone@n+f.spine
columnar	a+m.columnar@a+f.columnar
columnas	n+f+pl.cols@n+f.columns
columnas vertebrales	n+f+pl.spines
columnata	n+f.colonnade
columnista	n+m.columnist@n+f.columnist
columnistas	n+m.columnists@n+f.columnists
columpio	n+m.swing
columpios	n+m+pl.swings
colusión	n+f.collusion
colágeno	n+m.collagen
colónica	a+f.colonic
colónico	a+m.colonic
coma	n+m.coma@n+f.comma
comadreja	n+f.weasel
comadrejas	n+f+pl.weasels
comadrona	n+f.midwife
comadronas	n+f+pl.midwives
comanche	n+m.comanche@a.comanche
comandada	a+f.commanded
comandado	a+m.commanded
comandando	v.commanding
comandante	n+m.commandant@n+m.commander@n+f.commander
comandantes	n+m+pl.commanders
comandar	v.command
comando	n+m.command@n+m.commando
comandos	n+m+pl.commandos@n+m.commands
comandó	vt.commanded
comas	n+f+pl.commas
combado	n+m.camber
combate	n+m.bout@n+m.combat
combates	n+m+pl.bouts
combatiendo	vi.battling@vt.combating
combatiente	n+m.combatant@a.combatant@n+m.ruff
combatientes	n+m+pl.combatants
combatir	v.combat
combativa	a+f.feisty
combativo	a+m.feisty
combatió	vt.battled
combe	n+m.combe
combina	vt.combines
combinaciones	n+f.combinations@n+f+pl.combos
combinación	n+f.combination@n+f.combo@n+f.slip
combinada	a+f.combined
combinado	a+m.combined
combinando	v.combining
combinar	vt.combine
combinatoria	a+f.combinatorial
combinatorio	a.combinatorial
combinó	v.combined
combo	n+m.combo
combos	n+m+pl.combos
combustible	a.combustible@n+m.combustible@n+m.fuel
combustibles	n+m.fuels
combustión	n+f.combustion
come	vt.eats
comederos	n+m+pl.feeders@n+m+pl.troughs
comedia	n+f.comedy
comedia bufonesca	n+f.slapstick
comedia de situación	n+f.sitcom
comedia en vivo	n+m.standup
comediante	n+m.comedian@n+f.comedian
comediantes	n+m+pl.comedians
comedias	n+f+pl.comedies
comedias de situación	n+f+pl.sitcoms
comedor	n+m.dining@n+m.eater
comedor pequeño	n+m.dinette
comedores	n+m+pl.eaters
comensal	n+m.diner
comensales	n+m+pl.diners
comentando	v.commenting
comentar	v.comment@vt.remark
comentario	n+m.comment@n+m.commentary@n+m.remark
comentarios	n+m+pl.commentaries@n+m.comments@n+m.feedback@n+m.remarks
comentarista	n+m.commentator@n+f.commentator@n+m.commenter@n+f.commenter@n+m.pundit
comentaristas	n+m+pl.commentators@n+m+pl.pundits
comentó	v.commented@vt.remarked
comenzada	a+f.begun@a+f.started
comenzado	a+m.begun@a+m.started
comenzando	v.beginning@v.commencing@v.starting
comenzar	v.begin@vt.commence@v.start
comenzó	v.began@v.commenced@v.started
comer	v.eat
comerciabilidad	n+f.merchantability
comercial	a+m.commercial@a+f.commercial@n+m.commercial
comercializable	a.marketable@a.tradable
comercialización	n+f.commercialisation@n+f.commercialization@n+f.merchandising
comercializada	a+f.commercialized@a+f.marketed@a+f.traded
comercializado	a+m.commercialized@a+m.marketed@a+m.traded
comercializador	n+m.marketer
comercializadora	n+f.marketer
comercializadores	n+m+pl.marketers
comercializar	vt.commercialize@v.market
comercializó	vt.marketed
comercialmente	ad.commercially
comerciando	v.trading
comerciante	n+m.merchandiser@n+m.merchant@n+m.trader@n+f.trader@n+m.tradesman
comerciantes	n+m.merchants@n+m.traders@n+f.traders@n+m+pl.tradesmen
comerciantes de alimentación	n+m+pl.grocers
comerciar	v.trade
comercio	n+m.com@n+m.commerce@n+m.trade@n+m.trading
comestible	a.edible
comestibles	n+m+pl.foodstuffs@n+m+pl.groceries
cometa	n+m.comet@n+f.kite
cometas	n+m+pl.comets@n+f+pl.kites
comete	vt.commits
comete falta	vt.fouls
cometer	v.commit
cometiendo	v.committing
cometió	v.committed
comida	n+f.chow@a+f.eaten@n+f.food@n+f.grub@n+f.meal
comida compartida	n+f.potluck
comida para llevar	n+f.takeaway@n+f.takeout
comidas	n+f.meals
comidas para llevar	n+f+pl.takeaways
comido	a+m.eaten
comiendo	v.eating
comienza	v.begins@vi.commences@v.starts
comienzo	n+m.beginning@n+m.commencement@n+m.onset@n+m.outset@n+m.start
comino	n+m.cumin
comisario	n+m.commissary
comisarió	vt.curated
comisionada	a+f.commissioned@n+f.commissioner
comisionadas	n+f.commissioners
comisionado	a+m.commissioned@n+m.commissioner
comisionados	n+m.commissioners
comisiones	n+f.commissions
comisión	n+f.commission
comisión ilegal	n+f.kickback
comitiva	n+f.entourage
comité	n+m.committee
comités	n+m.committees
comió	v.ate
como	prep.as@conj.as@prep.like@conj.qua
como loco	ad.berserk
como telaraña	a.webby
comodidad	n+f.amenity@n+m.comfort@n+f.convenience
comodidades	n+f.amenities@n+f+pl.comforts@n+f+pl.conveniences
comodines	n+m+pl.jokers@n+m+pl.wildcards
comodoro	n+m.commodore
comodoros	n+m+pl.commodores
comodín	n+m.joker@n+m.wildcard
compacidad	n+f.compactness
compacta	a+f.compact@vt.compacts
compactación	n+f.compaction
compactada	a+f.compacted
compactado	a+m.compacted
compactador	n+m.compactor
compactadora	n+f.compactor
compactadores	n+m+pl.compactors
compacto	a+m.compact
compactos	n+m+pl.compacts
compactó	vt.compacted
compadecer	vt.pity
compadecerse	vi.sympathize
compadre	n+m.homie
compaginar	vt.juggle
compara	vt.compares
comparabilidad	n+f.comparability
comparable	a+m.comparable@a+f.comparable
comparaciones	n+f.comparisons
comparación	n+f.comparison
comparada	a+f.compared
comparado	a+m.compared
comparador	n+m.comparator@n+m.matcher
comparadores	n+m+pl.comparators
comparando	v.comparing
comparar	v.compare
comparativa	a+f.comparative
comparativamente	ad.comparatively
comparativo	a+m.comparative
comparte	v.shares
compartida	a+f.shared
compartido	a+m.shared
compartiendo	v.sharing
compartimento	n+m.compartment
compartimentos	n+m+pl.compartments
compartimiento	n+m.cubby
compartir	vi.partake@v.share@n+m.sharing@n+m.shr
compartir coche	vi.carpool
compartió	v.shared
comparó	v.compared@vt.likened
compases	n+m+pl.calipers@n+m+pl.compasses
compasiva	a+f.compassionate
compasivo	a+m.compassionate
compasión	n+f.compassion@n+f.sympathy
compatibilidad	n+f.compatibility
compatible	a+m.compatible@a+f.compatible
compatibles	n+m+pl.compatibles
compatriota	n+m.countryman
compatriotas	n+m+pl.compatriots@n+m+pl.countrymen
compañera	n+f.companion@a+f.fellow@n+f.mate
compañera de clase	n+f.classmate
compañera de cuarto	n+f.roommate
compañera de equipo	n+f.teammate
compañera de juegos	n+f.playmate
compañera de piso	n+f.flatmate
compañera de trabajo	n+f.coworker
compañeras	n+f+pl.companions
compañeras de casa	n+f+pl.housemates
compañeras de cuarto	n+f.roommates
compañeras de trabajo	n+f+pl.coworkers
compañerismo	n+m.companionship
compañero	n+m.buddy@n+m.companion@n+m.fellow@a+m.fellow@n+m.mate
compañero de clase	n+m.classmate
compañero de cuarto	n+m.roommate
compañero de equipo	n+m.teammate
compañero de juegos	n+m.playmate
compañero de piso	n+m.flatmate
compañero de trabajo	n+m.coworker
compañeros	n+m+pl.buddies@n+m+pl.companions@n+m+pl.fellows@n+m+pl.homies@n+m+pl.mates
compañeros de casa	n+m+pl.housemates
compañeros de clase	n+m+pl.classmates
compañeros de cuarto	n+m.roommates
compañeros de equipo	n+m+pl.teammates
compañeros de juego	n+m+pl.playmates
compañeros de trabajo	n+m+pl.coworkers
compañía	n+f.co@n+f.compagnie@n+f.companionship@n+f.company@n+f.troupe
compañías	n+f.companies
compendio	n+m.compendium
compenetración	n+f.rapport
compensa	vt.compensates@vt.offsets
compensable	a+m.compensable@a+f.compensable
compensaciones	n+f+pl.comps@n+m+pl.offsets
compensación	n+f.comp@n+f.compensation@n+f.compo
compensada	a+f.compensated
compensado	a+m.compensated
compensando	vt.compensating@vt.offsetting
compensar	vt.compensate@vt.offset
compensatoria	a+f.compensatory
compensatorio	a+m.compensatory@a.countervailing
compensó	vt.compensated
competencia	n+f.competence@n+f.competency@n+f.competition@n+f.proficiency@n+f.purview@n+m.remit
competencia numérica	n+f.numeracy
competencias	n+f+pl.competences@n+f+pl.competencies
competente	a+m.competent@a+f.competent@a.proficient
competentemente	ad.competently
competiciones	n+f.competitions@n+f+pl.comps
competidor	n+m.competitor
competidora	n+f.competitor
competidoras	n+f.competitors
competidores	n+m.competitors
competir	vi.compete@vi.contend@vi.vie
competitiva	a+f.competitive
competitivamente	ad.competitively
competitividad	n+f.competitiveness
competitivo	a+m.competitive
compila	vt.compiles
compilaciones	n+f+pl.compilations
compilación	n+f.compilation
compilada	a+f.compiled
compilado	a+m.compiled
compilador	n+m.compiler
compiladores	n+m+pl.compilers
compilando	v.compiling
compilar	vt.compile
compinche	n+m.chum@n+m.sidekick
compinches	n+m+pl.cronies
compite	vi.competes@vi.contends
compitiendo	v.competing@vi.contending@vi.vying
compitió	vi.competed@vt.raced
complace	vt.pleases
complacencia	n+f.complacency
complacer	vt.oblige
complacida	a+f.pleased@a+f.tickled
complacido	a+m.pleased@a+m.tickled
complaciendo	vt.indulging@vt.pandering
complaciente	a.accommodating@a.complacent
complació	vt.indulged
compleja	a+f.complex
complejidad	n+f.complexity
complejidades	n+f+pl.complexities@n+f+pl.intricacies
complejo	a+m.complex@n+m.complex
complejo turístico	n+m.resort
complejos	n+m+pl.complexes
complejos turísticos	n+m.resorts
complementa	vt.complements
complementada	a+f.supplemented
complementado	a+m.supplemented
complementando	vt.complementing@vt.supplementing
complementar	vt.complement@vt.supplement
complementaria	a+f.complementary
complementariedad	n+f.complementarity
complementario	a+m.complementary
complemento	n+m.complement@n+m.plugin
complementos	n+m+pl.complements@n+m.plugins
complementó	vt.complemented@vt.supplemented
completa	a+f.complete@vt.completes@a+f.comprehensive@a+f.full
completada	a+f.completed
completado	a+m.completed
completamente	ad.altogether@ad.completely@ad.downright@ad.entirely@ad.fully@ad.thoroughly@ad.utterly
completando	v.completing
completar	v.complete
completo	a+m.complete@a+m.comprehensive@a+m.full
completó	v.completed
complexión	n+f.physique
complica	vt.complicates
complicaciones	n+f.complications
complicación	n+f.complication
complicada	a+f.complicated@a+f.tricky
complicado	a+m.complicated@a+m.tricky
complicando	vt.complicating
complicar	vt.complicate
complicidad	n+f.complicity
componente	n+m.component@n+m.widget
componentes	n+m.components@n+m+pl.widgets
componentes internos	n+m+pl.internals
componer	vt.compose@vt.typeset
componiendo	vt.composing@vt.compounding
comportamiento	n+m.behaviour
comportamientos	n+m+pl.behaviours
comportarse	vi.behave
comportándose	vi.behaving
composicional	a.compositional
composiciones	n+f+pl.composites@n+f+pl.compositions
composición	n+f.composition@n+f.compounding
composición de canciones	n+f.songwriting
composición digital	n+f.compositing
composición tipográfica	n+f.typesetting
compositor	n+m.composer@n+m.songwriter
compositora	n+f.composer@n+f.songwriter
compositoras	n+f+pl.composers@n+f+pl.songwriters
compositores	n+m+pl.composers@n+m+pl.songwriters
compost	n+m.compost
composta	n+f.compost
compostaje	n+m.composting
compostando	vt.composting
compostura	n+f.composure@n+f.poise
compota de manzana	n+f.applesauce
compra	n+f.buyout@vt.buys@n+f.purchase@v.purchases@n+f.purchasing
comprada	a+f.purchased
comprado	a+m.purchased
comprador	n+m.acquirer@n+m.buyer@n+m.purchaser@n+m.shopper
compradora	n+f.buyer@n+f.purchaser@n+f.shopper
compradores	n+m.buyers@n+m+pl.purchasers@n+m.shoppers
comprando	v.buying@v.purchasing
comprar	v.buy@v.purchase@v.shop
compras	n+f.purchases@n+f.shopping
comprende	vt.comprises
comprender	vt.comprehend@vt.comprise@vt.fathom@v.understand
comprendiendo	v.comprising
comprendió	vt.grasped
comprensible	a.comprehensible@a.understandable
comprensiblemente	ad.understandably
comprensiones	n+f+pl.understandings
comprensiva	a+f.supportive
comprensivo	a+m.supportive@a.sympathetic
comprensión	n+f.comprehension@n+f.realisation@n+f.understanding
compresa	n+f.compress
compresas	n+f+pl.compresses
compresible	a+m.compressible@a+f.compressible
compresiva	a+f.compressive
compresivo	a+m.compressive
compresión	n+f.compression
compresor	n+m.compressor
compresores	n+m+pl.compressors
comprime	vt.compresses
comprimida	a+f.compressed
comprimido	a+m.compressed
comprimiendo	vt.compressing
comprimir	vt.compress@v.zip
comprobable	a.testable
comprobó	vt.ascertained
compromete	vt.commits@vt.compromises
comprometedor	a.compromising
comprometedora	a+f.compromising
comprometerse	v.commit@vi.engage
comprometida	a+f.committed@a+f.compromised@a+f.engaged@a+f.pledged
comprometido	a+m.committed@a+m.compromised@a+m.engaged@a+m.pledged
comprometiendo	v.committing@vt.compromising@vt.pledging
comprometió	vt.compromised
compromiso	n+m.commitment@n+m.compromise@n+m.engagement
compromisos	n+m.commitments@n+m+pl.compromises@n+m+pl.engagements@n+m+pl.undertakings
compró	v.bought@v.purchased@vt.shopped
compuesta	a+f.composed@a+f.composite@a+f.compound@a+f.compounded@a+f.comprised
compuesto	a+m.composed@a+m.composite@n+m.composite@n+m.compound@a+m.compound@a+m.compounded@a+m.comprised@a.typeset
compuestos	n+m+pl.composites@n+m.compounds
compulsiva	a+f.compulsive
compulsivo	a+m.compulsive
compulsión	n+f.compulsion
computa	vt.computes
computable	a.computable
computacional	a+m.computational@a+f.computational
computacionalmente	ad.computationally
computaciones	n+f+pl.computations
computación	n+f.computation
computadora	n+f.computer
computadora central	n+m.mainframe
computadoras	n+f.computers
computando	v.computing
computarizada	a+f.computerized
computarizado	a+m.computerized
compás de espesor	n+m.caliper
comulgar	vi.commune
comuna	n+f.commune
comunal	a.communal
comunalidad	n+f.commonality
comunas	n+f+pl.communes
comunica	vt.communicates@vi.communicates
comunicable	a.communicable
comunicaciones	n+f.communications
comunicación	n+f.comm@n+f.communication
comunicada	a+f.communicated
comunicado	a+m.communicated@n+m.communique
comunicador	n+m.communicator
comunicadores	n+m+pl.communicators
comunicando	v.communicating
comunicar	vt.communicate
comunicarse	vi.communicate
comunicativa	a+f.communicative
comunicativo	a+m.communicative
comunicó	vt.communicated
comunidad	n+f.community
comunidad de fans	n+f.fandom
comunidades	n+f.communities
comunismo	n+m.communism
comunista	n+m.commie@n+f.commie@a+m.communist@a+f.communist@n+m.communist@n+f.communist
comunistas	n+m+pl.communists
comunión	n+f.communion
común	a+m.common@a+f.common@a.commonplace
comúnmente	ad.commonly
con	prep.con@prep.with
con alegría	ad.cheerfully
con ansiedad	ad.anxiously
con aros	a.underwire@a.underwired
con bajo peso	a.underweight
con barba	a.bearded
con barrotes	a.barred
con bisagras	a.hinged
con borde	a+m.rimmed@a+f.rimmed
con botas	a.booted
con bridas	a+m.flanged@a+f.flanged
con brillo	ad.brightly
con buen gusto	ad.tastefully
con cable	a.corded
con calma	ad.calmly
con cariño	ad.fondly
con cautela	ad.cautiously
con cerradura	a.lockable
con cierre	a.zippered
con cinturón	a.belted
con clase	a.classy
con cola	a.tailed
con coletas	a.pigtailed
con confianza	ad.confidently
con contador	a.metered
con cordones	a+m.laced
con costra	a+m.crusted@a+f.crusted
con costuras	a+m.seamed@a+f.seamed
con cremallera	a.zipped@a.zippered
con cresta	a.crested
con cuello	a.collared@a.necked
con cuentas	a+m.beaded@a+f.beaded
con cuernos	a.horned
con dedos	a.fingered@a+m.toed@a+f.toed
con derechos de autor	a+m.copyrighted@a+f.copyrighted
con dirección este	a.eastbound
con dirección norte	a.northbound
con dirección oeste	a.westbound
con dirección sur	a.southbound
con el cerebro lavado	a.brainwashed
con elegancia	ad.gracefully
con entusiasmo	ad.eagerly@ad.enthusiastically@ad.excitedly
con errores	a.buggy
con eso	ad.therewith
con flecos	a.fringed
con fluidez	a.fluent@ad.fluently
con fondo	a.bottomed
con forma	a+m.shaped@a+f.shaped
con franjas	a.banded
con franqueza	ad.truthfully
con fugas	a.leaking@a.leaky
con garras	a+m.clawed@a+f.clawed
con gas	a.carbonated
con granos	a.spotty
con gratitud	ad.gratefully@ad.thankfully
con guion	a+m.hyphenated@a+f.hyphenated
con gusto	ad.fain@ad.gladly
con género	a+m.gendered@a+f.gendered
con hielo	a.iced
con hojas	a.leaved
con hombros	a.shouldered
con ira	ad.angrily
con jugo	a+m.juiced@a+f.juiced
con justicia	ad.justly
con labios	a+m.lipped@a+f.lipped
con lengua	a.tongued
con lentejuelas	a+m.sequined@a+f.sequined
con letras	a.lettered
con llave	a.keyed
con los ojos vendados	a.blindfold@a.blindfolded
con mangas	a.sleeved
con mantequilla	a.buttered
con mechones	a+m.tufted@a+f.tufted
con mentalidad	a.minded
con miedo	a.afraid
con mira	a.scoped
con modales	a.mannered
con moderación	ad.sparingly
con monograma	a+m.monogrammed@a+f.monogrammed
con muelles	a.sprung
con muescas	a+m.notched@a+f.notched
con nervaduras	a.ribbed
con nostalgia	a.homesick
con nueces	a.nutty
con orejas	a.eared
con panza	a.bellied
con patas	a.footed@a.legged
con pericia	ad.expertly
con pestañas	a.tabbed
con picazón	a.itchy
con precio	a+m.priced@a+f.priced
con precisión	ad.accurately
con prefijo	a.prefixed
con prontitud	ad.expeditiously
con puertas	a.gated
con punta	a+m.tipped
con puños	a+m.cuffed@a+f.cuffed
con púas	a.barbed@a+m.pronged@a+f.pronged@a.spiked
con razón	ad.rightfully@ad.rightly
con recursos	a+m.resourced@a+f.resourced
con respecto a	prep.regarding
con ritmo	a+m.paced@a+f.paced
con ruedas	a.wheeled
con sede en	a.headquartered
con sobrepeso	a+m.overweight@a+f.overweight
con suelo	a+m.floored@a+f.floored
con suerte	ad.hopefully
con tacón	a.heeled
con tallo	a.stemmed
con techo de paja	a+m.thatched@a+f.thatched
con terrazas	a.terraced
con tope	a+m.capped@a+f.capped
con tuberías	a.piped
con un matiz	a.tinged
con valentía	ad.boldly
con varillas	a.boned
con vista a	prep.overlooking
con volantes	a+m.ruffled@a+f.ruffled
con volutas	a+m.scrolled@a+f.scrolled
conc	n+f.conc
concatenación	n+f.concatenation
concatenada	a+f.concatenated
concatenado	a+m.concatenated
concatenó	vt.concatenated
concebible	a.conceivable
concebida	a+f.conceived
concebido	a+m.conceived
concebir	vt.conceive@vt.devise@vt.envisage
concede	vt.concedes
conceder	vt.bestow@vt.concede
concedió	vt.accorded@vt.conceded
concejal	n+m.ald@n+m.alderman@n+m.councillor@n+m.councilman
concejala	n+f.councillor@n+f.councilwoman
concejales	n+m+pl.aldermen@n+m+pl.councillors@n+m+pl.selectmen
concentra	vt.concentrates
concentraciones	n+f.concentrations@n+f+pl.rallies
concentración	n+f.conc@n+f.concentration@n+f.rallying
concentrada	a+f.concentrated
concentrado	n+m.concentrate@a+m.concentrated
concentrador	n+m.concentrator@n+m.hub
concentradores	n+m+pl.concentrators
concentrados	n+m+pl.concentrates
concentrando	v.concentrating
concentrar	vt.concentrate
concentrándose	vi.rallying
concepciones	n+f+pl.conceptions
concepción	n+f.conception
concepto	n+m.concept
conceptos	n+m.concepts
conceptos erróneos	n+f+pl.misconceptions
conceptual	a+m.conceptual@a+f.conceptual
conceptualización	n+f.conceptualization
conceptualmente	ad.conceptually
concerniente a	prep.concerning
concertada	a+f.concerted
concertado	a+m.concerted
concesionario	n+m.dealer@n+m.dealership
concesionarios	n+m+pl.dealerships
concesiones	n+f+pl.concessions
concesión	n+f.concession
concha	n+f.shell
concha de almeja	n+f.clamshell
concha marina	n+f.seashell
conchas	n+f+pl.shells
conchas marinas	n+f+pl.seashells
concibiendo	vt.conceiving
conciencia	n+f.awareness@n+f.conscience@n+f.consciousness
conciencia plena	n+f.mindfulness
concienzuda	a+f.conscientious
concienzudo	a+m.conscientious
concierne	v.concerns@vi.pertains
concierto	n+m.concert@n+m.concerto@n+m.gig
conciertos	n+m+pl.concertos@n+m.concerts@n+m+pl.gigs
conciliación	n+f.conciliation
conciliar	vt.reconcile
concisa	a+f.concise@a+f.terse
concisamente	ad.concisely
conciso	a+m.concise@a+m.terse
concluida	a+f.concluded
concluido	a+m.concluded
concluir	vt.conclude
conclusiones	n+f.conclusions@n+f+pl.takeaways
conclusiva	a+f.conclusive
conclusivo	a.conclusive
conclusión	n+f.conclusion
concluye	vt.concludes
concluyendo	v.concluding
concluyente	a+m.conclusive
concluyentemente	ad.conclusively
concomitante	a.attendant@a.concomitant
concordancia	n+f.concordance
concordia	n+f.concord
concordó	vi.concurred
concreta	a+f.concrete
concreto	n+m.concrete@a+m.concrete
concuerda	vi.accords@vi.concurs
concurrencia	n+f.concurrence@n+f.concurrency
concurrente	a+m.concurrent@a+f.concurrent@a.concurring
concurriendo	vi.concurring
concurrir	vi.concur
concursante	n+m.contestant@n+f.contestant
concursantes	n+m+pl.contestants
concurso	n+m.competition@n+m.contest@n+m.quiz
concurso completo de equitación	n+m.eventing
concursos	n+m.contests
concursos de belleza	n+m+pl.pageants
concéntrica	a+f.concentric
concéntrico	a+m.concentric
condado	n+m.county@n+m.shire
condados	n+m.counties
conde	n+m.count@n+m.earl
condena	n+f.condemnation@vt.condemns@n+f.conviction@vt.convicts
condenación	n+f.damnation
condenada	a+f.condemned@a+f.convicted@a+f.doomed
condenado	a+m.condemned@a+m.convicted@a+m.doomed
condenando	vt.condemning@vt.damning
condenar	vt.condemn@vt.convict
condenas	n+f+pl.convictions
condenatorio	a.damning
condensación	n+f.condensation
condensada	a+f.condensed
condensado	n+m.condensate@a+m.condensed
condensador	n+m.capacitor@n+m.condenser
condensadores	n+m+pl.capacitors
condensando	vt.condensing
condensar	vt.condense
condensarse	vi.condense
condes	n+m+pl.earls
condesa	n+f.countess
condescendiente	a.condescending
condicionada	a+f.conditioned
condicionado	a+m.conditioned
condicional	a+m.conditional@a+f.conditional@n+m.conditional@v.would
condicionales	n+m+pl.conditionals
condicionalmente	ad.conditionally
condiciones	n+f.conditions@n+f.terms
condición	n+f.condition@n+f.proviso
condición de estado	n+f.statehood
condición de mujer	n+f.womanhood
condición previa	n+f.precondition
condimentado	a.spiced
condimento	n+m.condiment@n+m.relish@n+m.seasoning
condimentos	n+m+pl.condiments@n+m+pl.seasonings
condolencia	n+f.condolence
condolencias	n+f+pl.condolences
condominio	n+m.condo@n+m.condominium
condominios	n+m+pl.condominiums@n+m.condos
condonar	vt.condone
condones	n+m+pl.condoms
conducción	n+f.conduction@n+f.driving
conduce	vt.conducts@v.drives@vt.ushers
conducida	a+f.conducted
conducido	a+m.conducted
conduciendo	v.conducting@v.driving
conducir	v.conduct@v.drive
conducta	n+f.conduct
conductancia	n+f.conductance
conductiva	a+f.conductive
conductividad	n+f.conductivity
conductivo	a+m.conductive
conducto	n+m.conduit@n+m.duct@n+m.vas
conducto de humos	n+m.flue
conductor	n+m.conductor@n+m.driver@n+m.motorist
conductora	n+f.driver
conductores	n+m+pl.conductors@n+m.drivers
conductos	n+m+pl.conduits@n+m.ducting@n+m+pl.ducts
conductual	a.behavioural
condujo	v.conducted@v.drove@vt.ushered
condón	n+m.condom
conecta	vt.connects
conectada	a+f.connected
conectada a tierra	a+f.grounded
conectada en red	a+f.networked
conectado	a+m.connected
conectado a tierra	a+m.grounded
conectado en red	a+m.networked
conectando	v.connecting
conectar	v.connect
conectiva	a+f.connective
conectividad	n+f.connectedness@n+f.connectivity
conectivo	a+m.connective
conector	n+m.connector
conectores	n+m.connectors@n+m+pl.jacks
conectó	vi.clicked@v.connected
conejera	n+f.hutch
conejeras	n+f+pl.hutches
conejito	n+m.bunny
conejitos	n+m+pl.bunnies
conejo	n+m.coney@n+m.rabbit
conejos	n+m+pl.rabbits
conexiones	n+f.connections@n+f+pl.connexions@n+f+pl.hookups@n+f+pl.linkages
conexión	n+f.connectedness@n+f.connection@n+f.connexion@n+f.hookup
confabulación	n+f.collusion
confeccionada	a+f.fashioned
confeccionado	a+m.fashioned
confecciones	n+f+pl.confections
confederaciones	n+f+pl.confederations
confederación	n+f.confederacy@n+f.confederation
confederada	a+f.confederate
confederado	a+m.confederate@n+m.confederate
conferencia	n+f.conf@n+f.conference@n+f.conferencing@n+f.lecture
conferenciante	n+m.lecturer
conferenciantes	n+m+pl.conferees@n+f+pl.lecturers
conferencias	n+f.conferences@n+f.lectures
conferida	a+f.conferred
conferido	a+m.conferred
conferir	vt.confer
confesada	a+f.confessed
confesado	a+m.confessed
confesando	vt.confessing
confesar	vt.confess@vi.fess
confesional	a.confessional@a.denominational
confesionario	n+m.confessional
confesiones	n+f+pl.confessions
confesión	n+f.confession
confesó	vt.confessed
confeti	n+m.confetti
confiabilidad	n+f.dependability@n+f.reliability@n+f.trustworthiness
confiable	a.dependable@a+m.reliable@a+f.reliable@a+m.trusted@a+f.trusted@a.trustworthy
confiablemente	ad.reliably
confiada	a+f.confident@a+f.entrusted@a+f.trusting
confiadamente	ad.confidently
confiado	a+m.confident@a+m.entrusted@a.trusting@a.unsuspecting
confiando	v.relying@vt.trusting
confianza	n+f.confidence@n+f.trust
confiar	vt.entrust@vi.rely@v.trust
confidencial	a+m.confidential@a+f.confidential
confidencialidad	n+f.confidentiality@n+f.secrecy
confidencialmente	ad.confidentially
confiere	vt.confers
confiesa	vt.confesses
configura	vt.configures
configurable	a.configurable
configuraciones	n+f.configurations@n+f.settings@n+f+pl.setups
configuraciones predefinidas	n+f+pl.presets
configuración	n+f.configuration@n+f.setting@n+f.setup
configuración regional	n+f.locale
configurada	a+f.configured
configurado	a+m.configured
configuradores	n+m+pl.setters
configurando	v.configuring
configurar	v.configure
confina	vt.confines
confinada	a+f.confined
confinado	a+m.confined
confinamiento	n+m.confinement
confinando	vt.confining
confinar	vt.confine
confines	n+m+pl.confines
confiriendo	vt.conferring
confirió	vt.bestowed@vt.conferred
confirma	vt.affirms@vt.confirms
confirmaciones	n+f+pl.confirmations
confirmación	n+f.confirmation
confirmada	a+f.confirmed
confirmado	a+m.confirmed
confirmando	v.confirming
confirmar	v.confirm
confirmatoria	a+f.confirmatory
confirmatorio	a+m.confirmatory
confirmó	v.confirmed@vt.upheld
confisca	vt.seizes
confiscación	n+f.confiscation@n+m.impoundment@n+f.sequestration
confiscada	a+f.confiscated@a+f.forfeited@a+f.impounded
confiscado	a+m.confiscated@a.forfeited@a+m.impounded
confiscando	vt.seizing
confiscar	vt.seize
confiscó	vt.confiscated@vt.impounded
confitada	a+f.candied
confitado	a+m.candied
confitería	n+f.confectionery
confituras	n+f+pl.confections
confió	v.trusted
conflicto	n+m.conflict@n+f.strife
