a	art+m.एक@art+f.एक@art+n.एक
busses	n.बस
bust	n+f.प्रतिमा@n+m.छातीचा आकार@vt.फोडणे
busted	a.तुटलेला
buster	n+m.बस्टर
busters	n.तोडणारे
bustier	n+m.बस्टियर@a.अधिक भरलेला
bustiers	n+m.बस्टियर
busting	v.तोडत आहे@a.फोडणारा
bustle	n+f.गडबड@vi.गडबड करणे
bustling	a.गजबजलेला@v.धावपळ करत आहे
busts	n.अर्धपुतळे@vt.तोडतो
busty	a.मोठ्या स्तनांची
busy	a.व्यस्त
but	conj.पण@conj.परंतु
butadiene	n+m.ब्युटाडाइन
butane	n+m.ब्युटेन
butch	a.पुरुषी@n+m.बुच
butcher	n+m.खाटीक@vt.कापणे
butchers	n.खाटीक@vt.कत्तल करतो
bute	n.ब्यूट
butler	n+m.बटलर@n+m.नोकर
butt	n+m.तळ@n+f.नितंब@v.टक्कर मारणे
butte	n+f.टेकडी
butter	n+n.लोणी
buttercup	n+f.बटरकप
buttered	v.लोणी लावले@a.लोणी लावलेला
butterflies	n+f.फुलपाखरे
butterfly	n+f.फुलपाखरू
buttermilk	n+n.ताक
butternut	n+m.बटरनट
butters	v.लोणी लावतो@n+m.pl.लोणी
butterscotch	n+m.बटरस्कॉच
buttery	a.लोणीयुक्त@n+f.पॅन्ट्री
buttocks	n.नितंब
button	n+n.बटण
buttoned	v.बटणे लावली@a.बटणे लावलेला
buttons	n+f.बटणे
buttress	n+m.आधार स्तंभ@v.आधार देणे
butts	n+f.नितंब@v.धडकतो
butyl	n+m.ब्युटाइल
buxom	a.भरदार शरीराची
buy	vt.खरेदी करणे@vt.विकत घेणे
buyback	n+m.पुनर्खरेदी
buyer	n+m.खरेदीदार
buyers	n+m.खरेदीदार
buying	v.खरेदी करत
buyout	n+m.खरेदी
buys	vt.खरेदी करणे@n+f.खरेदी
buzz	n+m.गुंजन@v.गुंजन करणे
buzzard	n+m.गिधाड
buzzer	n+m.बझर
buzzing	v.गुंजत आहे@a.गुंजणारा
buzzword	n+m.चर्चेचा शब्द
buzzwords	n.चलनवाक्ये
by	prep.द्वारे@prep.जवळ
byblos	n+m.बिब्लोस
bye	int.बाय@int.निरोप
byers	n.बायर्स
bygone	a.गतकालीन@n+m.भूतकाळ
bylaw	n+m.उपनियम
bylaws	n+m.उपविधी
byline	n+f.लेखकरेषा
bypass	n+m.बायपास@vt.टाळणे
bypassed	v.टाळले@a.टाळलेला
bypasses	v.टाळतो@n+m.बायपास
bypassing	v.बायपास करत आहे@n+n.बायपास करणे
byproduct	n+m.उपउत्पादन
byproducts	n+m.उपउत्पादने
byrd	n+m.बर्ड
byron	n+m.बायरन
bystander	n+m.प्रेक्षक@n+m.दर्शक
bystanders	n+m.प्रेक्षक@n+m.बघे
byte	n+m.बाइट
bytes	n+m.बाइट
byway	n+m.गल्ली@n+f.पोटरस्ता
byways	n+f.pl.गल्ल्या@n+m.pl.उपमार्ग
byzantine	a.बायझंटाइन
byzantium	n+n.बायझॅन्टियम
cab	n+f.टॅक्सी@n+m.कॅब
cabal	n+f.कारस्थान@vi.कारस्थान करणे
caballero	n+m.घोडेस्वार
cabana	n+f.कुटी
cabanas	n+f.समुद्रकिनारी झोपड्या
cabaret	n+m.कॅबरे
cabbage	n+f.कोबी
cabernet	n+m.कॅबर्नेट
cabin	n+f.केबिन@n+n.झोपडी
cabinet	n+m.कॅबिनेट@n+n.मंत्रिमंडळ
cabinetry	n+f.कॅबिनेट कारागिरी
cabinets	n+f.कपाट@n+m.मंत्रिमंडळ
cabins	n+f.केबिन
cable	n+m.केबल
cables	n+m.केबल
cablevision	n+m.केबलव्हिजन
cabling	n+n.केबलिंग
cabochon	n+m.कॅबोशॉन
caboose	n+m.शेवटचा डबा
cabot	n.कॅबोट
cabrera	n.काब्रेरा
cabriolet	n+m.कॅब्रिओलेट
cabs	n.टॅक्सी
cacao	n+m.कोको
cache	n+m.कॅश
cached	a.कॅश केलेला@v.कॅश केले
caches	n.कॅशे
cachet	n+m.प्रतिष्ठा@n+f.शिक्का
caching	n+n.कॅशिंग
cacti	n.कॅक्टस
cactus	n+m.कॅक्टस
cad	n+m.कॅड@n+m.संगणक सहाय्यित रचना
cadastre	n+m.जमीन नोंदणी
cadaver	n+m.शव@n+m.मृतदेह
caddie	n+m.कॅडी@v.कॅडी म्हणून काम करणे
caddies	n+m.कॅडी@n+f.डब्बी
cade	n.केड
cadence	n+f.लय
cadet	n+m.कॅडेट
cadets	n.छात्र सैनिक
cadillac	n+m.कॅडिलॅक
cadiz	n.काडिझ
cadmium	n+m.कॅडमियम
cadre	n+m.कॅडर
cadres	n+m.कार्यकर्ते@n+m.संवर्ग
caen	n.कॅन
caerphilly	n+m.केरफिली
caesar	n+m.सीझर
caesars	n.सीझर
cafe	n+m.कॅफे
cafes	n+m.कॅफे
cafeteria	n+f.कॅफेटेरिया
caffeine	n+f.कॅफीन
cage	n+m.पिंजरा@vt.पिंजऱ्यात ठेवणे
caged	a.पिंजऱ्यातील@v.पिंजऱ्यात ठेवले
cages	n+f.पिंजरे
cagliari	n+m.काग्लियारी
cagney	n+m.कॅग्नी
cain	n+m.कैन
caine	n.केन
cairn	n+m.दगडांची रास
cairns	n+m.केर्न्स
cairo	n+n.कैरो
caithness	n.केथनेस
caitlin	n.केटलिन
cajun	a.केजन@n+m.केजन
cake	n+m.केक
cakes	n+m.केक
cakewalk	n+f.सहज विजय
cal	n+f.कॅलरी
calabria	n.कॅलाब्रिया
calais	n.कालेस
calamari	n+m.कॅलामारी
calamities	n+f.आपत्ती
calamity	n+f.आपत्ती
calcareous	a.चुनखडीयुक्त
calcite	n+m.कॅल्साइट
calcium	n+m.कॅल्शियम
calculate	vt.गणना करणे
calculated	a.गणित केलेला@v.गणना केली
calculates	vt.गणना करतो
calculating	v.गणना करणे@a.धूर्त
calculation	n+f.गणना@n+m.हिशेब
calculations	n+f.गणना@n+m.हिशेब
calculator	n+m.कॅल्क्युलेटर
calculators	n+m.कॅल्क्युलेटर
calculi	n+m.गणित@n+m.खडे
calculus	n+m.कॅलक्युलस@n+n.गणित
calcutta	n.कोलकाता
calder	n.काल्डर
caldera	n+f.काल्डेरा
calderon	n+m.काल्डेरॉन
caldwell	n+m.काल्डवेल
caleb	n.कालेब
caledonia	n+f.कॅलेडोनिया
caledonian	a.कॅलेडोनियन
calendar	n+f.दिनदर्शिका@n+m.कॅलेंडर
calendaring	v.वेळापत्रक बनवणे
calendars	n+m.दिनदर्शिका@n+f.कॅलेंडर
calender	n+m.कॅलेंडर
calendula	n+f.कॅलेंडुला फूल
calf	n+n.वासरू
calgary	n+n.कॅलगरी
calhoun	n+m.कॅलहून
cali	n.काली
calibrate	vt.अंशांकित करणे
calibrated	a.कॅलिब्रेट केलेला
calibrating	v.कॅलिब्रेट करणे@n+n.अंशांकन
calibration	n+n.अंशांकन@n+f.मापांकन
calibrations	n.कॅलिब्रेशन
calibrator	n+m.अंशांकक
calibre	n+f.क्षमता@n+m.व्यास
calico	n+n.कॅलिको@a.कॅलिको रंगाचा
calicut	n.कालिकत
calif	n.कॅलिफ
california	n+m.कॅलिफोर्निया
californian	a.कॅलिफोर्नियन@n+m.कॅलिफोर्नियन
californians	n.कॅलिफोर्नियन
caligula	n+m.कॅलिगुला
caliper	n+m.कॅलिपर
calipers	n.कॅलिपर
caliph	n+m.खलिफा
call	vt.बोलावणे@n+m.कॉल@n+f.हाक
calla	n+f.कॅला
callable	a.बोलावता येण्यासारखा
callaghan	n.कॅलाघन
callahan	n.कॅलाहन
callas	n+f.कॅलास
callback	n+m.कॉलबॅक
callbacks	n.कॉलबॅक
called	v.बोलावले@a.नावाचा
caller	n+m.कॉलर@n+m.फोन करणारा
callers	n+m.कॉल करणारे
callie	n+f.कॅली
calligraphy	n+f.सुलेखन
calling	v.बोलावत@n+f.कॉलिंग
calliope	n+f.कॅलिओपी
callisto	n+m.कॅलिस्टो
callous	a.निर्दय@a.कठोर
calls	n+m.कॉल@v.बोलावतो
calm	a.शांत@v.शांत करणे@n+f.शांतता
calmed	v.शांत केले@a.शांत
calmer	a.अधिक शांत
calming	a.शांत करणारा
calmly	ad.शांतपणे
calmness	n+f.शांतता
calms	v.शांत करतो@n+f.शांतता
caloric	a.उष्मांकी
calorie	n+f.कॅलरी
calories	n+f.कॅलरी
calorimeter	n+m.उष्मामापक
calumet	n.कॅल्यूमेट
calvary	n.कॅल्व्हरी
calvert	n.कॅल्व्हर्ट
calves	n.वासरे@n.पोटऱ्या
calvin	n+m.कॅल्व्हिन
calving	v.वासरू देणे@n+n.हिमनगाचे तुटणे
calypso	n+m.कॅलिप्सो
calyx	n+m.पुष्पदल
cam	n+m.कॅम
camacho	n+m.कामाचो
camaraderie	n+f.मैत्री
camber	n+m.वक्रता@n+f.तिरकसता
cambodia	n+n.कंबोडिया
cambodian	a.कंबोडियन@n+m.कंबोडियन
cambria	n.काम्ब्रिया
cambrian	a.कॅम्ब्रियन@n+m.कॅम्ब्रियन
cambridge	n+m.केंब्रिज
cambridgeshire	n+m.केम्ब्रिजशायर
camcorder	n+m.कॅमकॉर्डर
camcorders	n+m.कॅमकॉर्डर
camden	n+n.कॅमडेन
came	v.आला
camel	n+m.उंट
camelback	n+m.उंटाची पाठ@a.उंटपाठीसारखा
camellia	n+f.कॅमेलिया
camelot	n.कॅमेलॉट
camels	n.उंट
cameo	n+m.कॅमिओ
cameos	n+m.pl.कॅमिओ
camera	n+m.कॅमेरा
cameraman	n+m.कॅमेरामन
cameras	n+m.कॅमेरा
cameron	n+m.कॅमेरॉन
cameroon	n+n.कॅमेरून
camilla	n.कॅमिला
camille	n.कॅमिल
camisole	n+m.कॅमिसोल
camisoles	n+f.कॅमिसोल
camouflage	n+m.छद्मावरण@vt.लपवणे
camp	n+m.शिबिर@vi.तंबू ठोकणे
campaign	n+f.मोहीम
campaigned	v.मोहीम राबवली
campaigner	n+m.प्रचारक
campaigners	n.प्रचारक
campaigning	n+n.प्रचार
campaigns	n+f.मोहीम@n+m.अभियान
campania	n.कॅम्पानिया
campanile	n+m.घंटा मनोरा
campbell	n+m.कॅम्पबेल
camped	v.तळ ठोकला@a.तळ ठोकलेला
camper	n+m.कॅम्पर
campers	n+m.कॅम्पर
campfire	n+f.शिबिराची आग
campfires	n+f.शिबिराच्या शेकोट्या
campground	n+m.शिबिर स्थळ
campgrounds	n+m.शिबिर स्थळ
camping	n+f.कॅम्पिंग
campion	n+m.कॅम्पियन
campo	n.काम्पो
campos	n.कॅम्पोस
camps	n+f.शिबिरे@n+m.छावण्या
campsite	n+f.छावणी जागा
campsites	n.छावणी जागा
campus	n+m.परिसर
campuses	n+m.कॅम्पस
campy	a.अतिरंजित@a.नाटकी
camry	n.कॅम्री
cams	n+m.कॅम
camshaft	n+m.कॅमशाफ्ट
camus	n.कामू
can	v.शकणे@n+m.डबा
cana	n.काना
canaan	n.कनान
canada	n+m.कॅनडा
canadian	a.कॅनेडियन@n+m.कॅनेडियन
canadians	n+m.कॅनेडियन
canal	n+m.कालवा@n+f.नहर
canals	n+f.कालवे
canaries	n+m.pl.कॅनरी पक्षी
canary	n+m.कॅनरी
canasta	n+f.कॅनास्टा खेळ
canaveral	n.कॅनेव्हरल
canberra	n+n.कॅनबेरा
cancel	vt.रद्द करणे
cancellation	n+f.रद्दीकरण
cancellations	n+f.रद्दीकरण
cancelled	a.रद्द केलेला@v.रद्द करणे
cancelling	v.रद्द करत आहे
cancels	vt.रद्द करणे
cancer	n+m.कर्करोग
cancerous	a.कर्करोगी
cancers	n+m.कर्करोग
cancun	n+n.कॅनकुन
candace	n.कॅंडेस
candela	n+f.कँडेला
candelabra	n+m.दीपाधार
candice	n.कॅंडिस
candid	a.स्पष्ट
candida	n.कॅन्डिडा
candidacy	n+f.उमेदवारी
candidate	n+m.उमेदवार
candidates	n+m.उमेदवार
candied	a.साखरेत घोळलेला
candies	n+f.मिठाई
candle	n+f.मेणबत्ती
candlelight	n+m.मेणबत्तीचा प्रकाश
candler	n+m.मेणबत्ती निर्माता
candles	n+f.मेणबत्त्या
candlestick	n+m.मेणबत्ती धारक
candlesticks	n.मेणबत्ती धारक
candlewood	n.कँडलवूड
candy	n+f.गोळी@n+m.मिठाई
cane	n+f.काठी@n+m.ऊस
canes	n.काठ्या
canfield	n.कॅनफिल्ड
canine	a.कुत्र्याचा@n+m.कुत्रा
canines	n+m.कुत्र्याचे दात@n+m.कुत्रे
canister	n+m.डबा
canisters	n.डबे
canker	n+m.व्रण@n+f.कर्करोग
canna	n+f.कॅना
cannabis	n+f.भांग
canned	a.डब्याबंद
cannery	n+f.डब्बाबंद कारखाना
cannes	n+m.कान
cannibal	n+m.नरभक्षक@a.नरभक्षक
cannibalism	n+m.नरभक्षण
cannibals	n+m.नरभक्षक
canning	n+n.डबाबंद करणे
cannon	n+f.तोफ
cannonball	n+m.तोफगोळा
cannons	n.तोफा
canoe	n+f.होडी@n+m.कॅनू
canoeing	n+n.कॅनोइंग
canoes	n.कानू
canola	n+f.कॅनोला
canon	n+m.कॅनन
canonical	a.मानक
canons	n.नियम
canopies	n.छत्री
canopus	n.कॅनोपस
canopy	n+f.छत्र@n+m.चांदणी
cans	n+f.डबे
cant	v.झुकवणे@n+f.ढोंगीपणा
cantata	n+f.कँटाटा
canteen	n+f.उपाहारगृह
canter	n+m.मंद धाव@v.हळू धावणे
canterbury	n+n.कँटरबरी
cantilever	n+m.कँटीलिव्हर
cantina	n+f.कँटीन
canto	n+m.काव्यखंड
canton	n+m.प्रांत@n+n.कँटन
cantonese	n+m.कँटोनीज@a.कँटोनीज
cantor	n+m.धर्मगायक
cantrell	n.कँट्रेल
canuck	n+m.कॅनडियन
canucks	n.कॅनक्स
canvas	n+m.कॅनव्हास@n+f.ताडपत्री
canvases	n+m.pl.कॅनव्हास@n+f.pl.चित्रफलक
canvass	v.प्रचार करणे@n+m.मत मागणे
canvassing	v.प्रचार करणे@n+n.मतदान मागणे
canyon	n+f.दरी@n+m.कडा
canyons	n.दऱ्या
canzone	n+f.कँझोन गाणे
cap	n+f.टोपी@n+m.कॅप
capabilities	n+f.क्षमता
capability	n+f.क्षमता@n+f.सामर्थ्य
capable	a.सक्षम
capacitance	n+f.धारिता
capacities	n+f.क्षमता
capacitive	a.धारणात्मक
capacitor	n+m.कॅपेसिटर
capacitors	n+m.कॅपेसिटर
capacity	n+f.क्षमता
cape	n+f.भूशीर
capella	n.कॅपेला
caper	n+f.उडी@vi.उड्या मारणे
capers	n.उड्या@v.उड्या मारतो
capes	n.अंतरीप
capetown	n+n.केपटाउन
capillaries	n+f.pl.केशवाहिन्या
capillary	n+f.केशिका@a.केशिकीय
capistrano	n.कॅपिस्ट्रानो
capita	n+f.प्रति माणशी
capital	n+f.राजधानी@n+f.भांडवल@a.मुख्य
capitalisation	n+f.भांडवलीकरण
capitalise	v.भांडवल करणे@v.मोठ्या अक्षरात लिहिणे
capitalised	v.भांडवल केले@a.मोठ्या अक्षरात
capitalism	n+m.भांडवलशाही
capitalist	n+m.भांडवलदार@a.भांडवलशाही
capitalists	n.भांडवलदार
capitalization	n+f.भांडवलीकरण
capitalize	vt.भांडवल करणे
capitalized	a.भांडवली
capitalizing	v.भांडवल करत आहे
capitals	n+f.राजधान्या
capitol	n+n.कॅपिटॉल@n+m.विधानभवन
caplets	n+m.pl.कॅप्लेट
capo	n+m.कापो
capone	n.कॅपोन
capote	n.कापोटे
cappadocia	n+f.कॅपाडोसिया
capped	a.टोपी घातलेला
capping	v.झाकण लावत आहे@n+n.झाकण लावणे
cappuccino	n+m.कॅप्पुचिनो
capra	n+m.कॅप्रा
capri	n+n.कॅप्री
caprice	n+f.लहर
capricious	a.लहरी
capricorn	n+m.मकर
capris	n+f.कॅप्री पँट
caps	n+f.टोप्या@n+m.कॅप्स
capsicum	n+m.शिमला मिरची
capsid	n+m.कॅप्सिड@n+n.विषाणू आवरण
capstone	n+m.शिखर दगड
capsule	n+f.कॅप्सूल
capsules	n+f.कॅप्सूल
capt	n.कॅप्टन
captain	n+m.कॅप्टन
captains	n+m.कर्णधार
caption	n+f.शीर्षक@n+n.मथळा
captioned	a.मथळा असलेला
captioning	n+n.शीर्षके देणे
captions	n+f.मथळे
captivate	v.मोहित करणे@v.मंत्रमुग्ध करणे
captivated	v.मोहित केले@a.मोहित
captivating	a.मोहक
captive	n+m.कैदी@a.बंदिवान
captives	n.बंदिवान
captivity	n+f.बंदिवास
captor	n+m.बंदी करणारा
captors	n+m.pl.बंदी करणारे
capture	vt.पकडणे@n+f.पकड
captured	v.पकडले@a.पकडलेला
captures	vt.पकडणे@n+f.पकडणे
capturing	vt.पकडणे
car	n+f.गाडी@n+m.कार
cara	n.कारा
carabiner	n+m.कॅराबिनर
caracas	n.काराकास
carafe	n+f.काचेची सुरई
caramel	n+m.कॅरामेल
carat	n+m.कॅरेट
carats	n.कॅरेट
caravan	n+m.काफिला@n+f.कारवाँ
caravans	n+m.कारवां
caravelle	n+f.कॅरॅव्हेल जहाज
carbide	n+m.कार्बाइड
carbine	n+f.कार्बाइन
carbohydrate	n+m.कर्बोदके
carbohydrates	n+m.कर्बोदके
carbon	n+m.कार्बन
carbonate	n+m.कार्बोनेट
carbonated	a.कार्बनयुक्त
carbonates	n+n.कार्बोनेट@v.कार्बोनेट बनवणे
carbonic	a.कार्बनिक
carbonyl	n+m.कार्बोनिल
carbs	n+m.कार्ब
carcass	n+m.मृतदेह
carcasses	n.शव
carcassonne	n.कार्कसोन
carcinogen	n+m.कर्करोगकारक
carcinogenesis	n+f.कर्करोगोत्पत्ती
carcinogenic	a.कर्करोगजनक
carcinogenicity	n+f.कर्करोगजनकता
carcinogens	n.कर्करोगजनक पदार्थ
carcinoma	n+m.कार्सिनोमा
carcinomas	n+m+pl.कर्करोग
card	n+n.कार्ड@n+f.पत्ता
cardamom	n+f.वेलची
cardboard	n+m.पुठ्ठा
carded	v.कार्ड केले@a.कार्ड केलेला
cardenas	n+m.कार्डेनास
cardholder	n+m.कार्डधारक
cardholders	n+m.pl.कार्डधारक
cardiac	a.हृदय संबंधी
cardiff	n+n.कार्डिफ
cardigan	n+m.कार्डिगन
cardigans	n.कार्डिगन
cardin	n.कार्डिन
cardinal	a.मुख्य@n+m.कार्डिनल
cardinality	n+f.मुख्यसंख्या
cardinals	n+m.कार्डिनल
cardio	n+n.कार्डिओ
cardiologist	n+m.हृदयरोग तज्ञ
cardiologists	n+m.pl.हृदयरोग तज्ञ
cardiology	n+f.हृदयरोगशास्त्र
cardiomyopathy	n+f.हृदयस्नायूरोग
cardiopulmonary	a.हृदय-फुफ्फुसाचा
cardiovascular	a.हृदय व रक्तवाहिन्यांचा
cards	n+n.कार्ड
care	n+f.काळजी@vt.काळजी घेणे
cared	vi.काळजी घेतली
career	n+f.कारकीर्द
careers	n+f.कारकीर्द
carefree	a.निश्चिंत
careful	a.काळजीपूर्वक@a.सावध
carefully	ad.काळजीपूर्वक
caregiver	n+m.काळजीवाहक
caregivers	n+m.देखभाल करणारे
caregiving	n+n.सेवाभाव@a.देखभाल करणारा
careless	a.बेपर्वा
carelessly	ad.बेपर्वाईने@ad.निष्काळजीपणे
carelessness	n+f.निष्काळजीपणा
carer	n+m.काळजी घेणारा
carers	n+m.देखभाल करणारे
cares	vt.काळजी घेणे@n+f.काळजी
caress	n+f.थोपटणे@vt.कुरवाळणे
caressing	v.कुरवाळणे@n+n.प्रेमळ स्पर्श
caret	n+m.कॅरेट चिन्ह
caretaker	n+m.काळजीवाहू
caretakers	n+m.pl.देखभालकर्ते
carew	n+m.कॅर्यू
carey	n+m.केरी
cargo	n+m.माल@n+f.मालवाहतूक
cargoes	n+m.माल
carib	n+m.कॅरिब
caribbean	a.कॅरिबियन@n+m.कॅरिबियन
caribou	n+m.कॅरिबू
caricature	n+f.व्यंगचित्र@vt.व्यंगचित्र काढणे
caricatures	n.व्यंगचित्रे
caries	n+m.दंतक्षय
carina	n.करीना
caring	a.काळजी घेणारा@v.काळजी घेणे
caritas	n.कॅरिटास
carl	n+m.कार्ल
carla	n+f.कार्ला
carleton	n.कार्लेटन
carlin	n.कार्लिन
carling	n.कार्लिंग
carlisle	n+m.कार्लाइल
carlo	n+m.कार्लो
carlos	n+m.कार्लोस
carlow	n.कार्लो
carlsbad	n.कार्ल्सबॅड
carlson	n+m.कार्लसन
carlton	n+m.कार्लटन
carly	n.कार्ली
carlyle	n.कार्लाइल
carman	n+m.गाडीवान
carmarthen	n+m.कार्मार्थन
carmarthenshire	n.कार्मार्थनशायर
carmel	n+m.कार्मेल
carmelo	n+m.कार्मेलो
carmen	n+f.कार्मेन
carmichael	n.कारमायकल
carmine	n+m.किरमिजी@a.किरमिजी
carnage	n+m.नरसंहार
carnal	a.शारीरिक@a.वासनात्मक
carnarvon	n+m.कार्नार्वोन
carnation	n+f.कार्नेशन
carnations	n.कार्नेशन
carne	n+f.मांस
carnegie	n+m.कार्नेगी
carnelian	n+m.कार्नेलियन
carney	n.कार्नी
carnival	n+m.कार्निव्हल@n+f.उत्सव
carnivals	n+m.pl.कार्निव्हल@n+f.pl.मेजवान्या
carnivore	n+m.मांसभक्षी प्राणी
carnivores	n+m.मांसाहारी प्राणी
carnivorous	a.मांसभक्षी
carol	n+f.कॅरॉल@n+n.गाणे
carole	n.कॅरोल
carolina	n+m.कॅरोलिना
carolinas	n.कॅरोलिना
caroline	n+f.कॅरोलाइन
carols	n.कॅरोल
carolyn	n+f.कॅरोलिन
carotene	n+m.कॅरोटीन
carotenoids	n+m.कॅरोटिनॉइड
carotid	a.मानेच्या धमनीचा
carousel	n+m.कॅरोसेल
carp	n+m.कार्प मासा@vi.तक्रार करणे
carpal	a.मनगटाचा
carpark	n+m.वाहनतळ
carpenter	n+m.सुतार
carpenters	n.सुतार
carpentry	n+f.सुतारकाम
carpet	n+m.गालिचा@n+f.जाजम
carpeted	v.गालिचा घातला@a.गालिचा घातलेला
carpeting	n+n.गालिचा घालणे@v.गालिचा घालत आहे
carpets	n+m.गालिचे
carpool	n+m.कारपूल@vi.कारपूल करणे
carport	n+m.गाडी छत
carr	n+m.कार
carrara	n+m.कॅरारा
carrefour	n+m.चौक
carreras	n+m.कॅरेरास
carriage	n+f.गाडी@n+m.डबा
carriages	n.गाड्या
carriageway	n+m.वाहनमार्ग
carrie	n+f.कॅरी
carried	v.नेले
carrier	n+m.वाहक
carriers	n+m.वाहक
carries	v.वाहतो@v.नेतो
carrillo	n+m.कॅरिलो
carrion	n+n.मृतदेह@n+m.कुजलेले मांस
carroll	n+m.कॅरोल
carrot	n+f.गाजर
carrots	n+f.गाजर
carry	vt.वाहून नेणे
carrying	v.वाहून नेत
carryover	n+m.शिल्लक
cars	n+f.गाड्या
carson	n+m.कार्सन
cart	n+f.गाडी@n+m.कार्ट
cartagena	n.कार्टाजेना
carte	n+f.मेनू
cartel	n+m.कार्टेल
cartels	n+m.कार्टेल@n+n.व्यापारी संघ
carter	n+m.कार्टर
carteret	n+m.कार्टरेट
carters	n+m.गाडीवान
cartes	n.पत्ते
cartesian	a.कार्टेशियन
carthage	n.कार्थेज
cartier	n+m.कार्टियर
cartilage	n+m.कूर्चा
cartographic	a.नकाशाशास्त्रीय
cartography	n+f.नकाशाशास्त्र
carton	n+m.पुठ्ठ्याचा डबा
cartons	n.पुठ्ठ्याचे खोके
cartoon	n+m.कार्टून
cartooning	n+n.व्यंगचित्रण
cartoonist	n+m.व्यंगचित्रकार
cartoonists	n+m.pl.व्यंगचित्रकार
cartoons	n+m.व्यंगचित्रे
cartouche	n+m.कार्टूश
cartridge	n+m.काडतूस@n+f.काडतरी
cartridges	n+f.काडतरी@n+m.काडतूस
carts	n+f.गाड्या@vt.वाहून नेणे
cartwright	n.कार्टराइट
caruso	n.कारुसो
carve	vt.कोरणे
carved	a.कोरलेला@v.कोरणे
carver	n+m.कोरीव काम करणारा
carving	n+n.कोरीव काम
carvings	n.कोरीवकाम
cary	n+m.केरी
casa	n+n.घर
casablanca	n.कॅसाब्लांका
casanova	n+m.कॅसानोव्हा
cascade	n+f.धबधबा@vi.ओघळणे
cascades	n.धबधबे
cascading	a.धबधब्यासारखा
case	n+f.केस@n+n.प्रकरण@n+f.पेटी
casebook	n+n.केस पुस्तक@n+m.खटला संग्रह
cased	v.आवरण घातले@a.आवरण असलेला
casein	n+n.केसीन
caseload	n+m.खटल्यांचा भार
cases	n+f.प्रकरणे
casework	n+n.प्रकरण कार्य
casey	n+m.केसी
cash	n+f.रोकड
cashback	n+m.कॅशबॅक
cashed	v.रोख केले
cashew	n+m.काजू
cashflow	n+m.रोख प्रवाह
cashier	n+m.रोखपाल
cashiers	n+m.रोखपाल
cashing	v.रोख करत आहे
cashmere	n+m.काश्मिरी
casing	n+f.आवरण
casings	n+f.pl.आवरणे
casino	n+m.कॅसिनो
casinos	n+m.कॅसिनो
casio	n+m.कॅसिओ
cask	n+m.पिंप
casket	n+m.पेटी
caskets	n+m.शवपेटी
caspar	n+m.कॅस्पर
casper	n.कॅस्पर
caspian	n.कॅस्पियन
cassandra	n.कॅसँड्रा
cassava	n+f.कसावा@n+m.टॅपिओका
cassel	n+m.कॅसेल
casserole	n+m.कॅसरोल
casseroles	n.कॅसरोल
cassette	n+f.कॅसेट
cassettes	n+f.कॅसेट
cassia	n+f.दालचिनी वनस्पती
cassidy	n.कॅसिडी
cassie	n.कॅसी
cassiopeia	n.कॅसिओपिया
cassis	n+m.काळ्या करंजांचे
cassius	n+m.कॅसियस
cast	vt.टाकणे@n+f.कलाकार मंडळी
castaway	n+m.भटकलेला@a.टाकून दिलेला
caste	n+f.जात
caster	n+m.चाक
casters	n.चाके
castes	n+f.जाती
castile	n+f.कॅस्टाइल
castilla	n.कॅस्टिला
castillo	n.कास्टिलो
casting	n+f.कास्टिंग@v.ओतणे
castings	n.ओतीव
castle	n+m.किल्ला
castles	n+m.किल्ले
castor	n+m.कास्टर
castors	n+m.चाके@n+m.कॅस्टर
castration	n+f.नपुंसकीकरण
castro	n+m.कॅस्ट्रो
casts	vt.फेकतो@n+m.कास्ट
casual	a.अनौपचारिक@a.साधा
casually	ad.अनौपचारिकपणे
casuals	n+m.सैनिक@a.अनियमित
casualties	n+f.जीवितहानी
casualty	n+f.जीवितहानी
cat	n+f.मांजर
catabolism	n+m.अपचय
catacombs	n+f.भूमिगत दफनभूमी
catalan	a.कॅटलन@n+m.कॅटलन
catalase	n+m.कॅटालेज
catalina	n.कॅटालिना
catalogue	n+f.सूची@vt.सूचीबद्ध करणे
catalogued	v.सूचीबद्ध केले@a.सूचीबद्ध
catalogues	n+m.सूची@vt.सूचीबद्ध करतो
cataloguing	v.सूचीबद्ध करत आहे@n+n.सूचीकरण
catalonia	n.कॅटालोनिया
catalysis	n+f.उत्प्रेरण
catalyst	n+m.उत्प्रेरक
catalysts	n.उत्प्रेरक
catalytic	a.उत्प्रेरक
catamaran	n+m.कॅटामरॅन
catania	n.कटानिया
catapult	n+f.गोफण@vt.फेकणे
cataract	n+m.मोतीबिंदू
cataracts	n.मोतीबिंदू@n.धबधबे
catastrophe	n+f.आपत्ती
catastrophes	n+f.pl.आपत्ती@n+f.pl.विनाश
catastrophic	a.विनाशकारी
catawba	n.कॅटॉबा
catch	vt.पकडणे@n+f.पकड
catcher	n+m.पकडणारा
catchers	n.झेलणारे
catches	vt.पकडतो@n+f.पकड
catching	v.पकडणे@a.आकर्षक
catchment	n+m.जलग्रहण क्षेत्र
catchments	n+m.pl.जलग्रहण क्षेत्र
catchy	a.आकर्षक
cate	n.केट
catechism	n+m.धर्मप्रश्नावली
categorical	a.निश्चित
categorically	ad.स्पष्टपणे
categories	n+f.श्रेण्या
categorisation	n+f.वर्गीकरण
categorised	vt.वर्गीकृत केलेला
