reside	vi.cư trú
lipton	n.Lipton
lipscomb	n.Lipscomb
lipoprotein	n.lipoprotein
lipoproteins	n.lipoprotein
lipids	n.lipid
linz	n.Linz
linwood	n.Linwood
linton	n.Linton
linotype	n.Linotype
linnaeus	n.Linnaeus
mascots	n.linh vật
primate	n.linh trưởng
primates	n.linh trưởng
anima	n.linh hồn
sentry	n.lính gác
impala	n.linh dương impala
gnus	n.linh dương đầu bò
antelope	n.linh dương
gazelle	n.linh dương
reservists	n.lính dự bị
mercenary	n.lính đánh thuê@a.vì tiền
mercenaries	n.lính đánh thuê
minutemen	n.lính dân quân
fireman	n.lính cứu hỏa
firemen	n.lính cứu hỏa
musketeers	n.lính bộ binh
lindy	n.Lindy
lindbergh	n.Lindbergh
lind	n.Lind
lina	n.Lina
limpopo	n.Limpopo
limousin	n.Limousin
limoges	n.Limoges
limburg	n.Limburg
limbo	n.limbo
limbaugh	n.Limbaugh
lilo	n.Lilo
lillie	n.Lillie
lille	n.Lille
lilith	n.Lilith
lilian	n.Lilian
lila	n.Lila
lii	n.LII
liguria	n.Liguria
dosages	n.liều lượng
martyr	n.liệt sĩ
martyrs	n.liệt sĩ
soviets	n.Liên Xô
relevancy	n.liên quan
coalitions	n.liên minh
intercom	n.liên lạc nội bộ
enlaces	n.liên kết
conjugation	n.liên hợp
federations	n.liên đoàn
strep	n.liên cầu khuẩn
streptococcus	n.liên cầu khuẩn
confederacy	n.liên bang
confederations	n.liên bang
sickle	n.liềm
lido	n.Lido
lichtenstein	n.Lichtenstein
lichfield	n.Lichfield
rota	n.lịch trực
almanacs	n.lịch
libero	n.libero
liaoning	n.Liaoning
liao	n.Liao
lhasa	n.Lhasa
leyden	n.Leyden
lexis	n.Lexis
lewiston	n.Lewiston
lewisham	n.Lewisham
lewinsky	n.Lewinsky
lewes	n.Lewes
lew	n.Lew
levittown	n.Levittown
levis	n.Levis
leviathan	n.Leviathan
levesque	n.Levesque
leven	n.Leven
levant	n.Levant
leucine	n.leucine
tabernacle	n.lều tạm
marquees	n.lều lớn
letterman	n.Letterman
leto	n.Leto
lethbridge	n.Lethbridge
lerner	n.Lerner
leopold	n.Leopold
leonora	n.Leonora
leonidas	n.Leonidas
leonid	n.Leonid
leona	n.Leona
escalation	n.leo thang
lenore	n.Lenore
lenoir	n.Lenoir
leno	n.Leno
leningrad	n.Leningrad
lenin	n.Lenin
writs	n.lệnh tòa
certiorari	n.lệnh tái thẩm
injunctions	n.lệnh cấm
fermentation	n.lên men
lems	n.Lems
lem	n.Lem
leland	n.Leland
lek	n.lek
leith	n.Leith
leinster	n.Leinster
leila	n.Leila
leighton	n.Leighton
leif	n.Leif
leiden	n.Leiden
leibniz	n.Leibniz
lehmann	n.Lehmann
leger	n.Leger
leda	n.Leda
lecithin	n.lecithin
deflection	n.lệch
lecce	n.Lecce
leblanc	n.LeBlanc
leavenworth	n.Leavenworth
leas	n.Leas
leary	n.Leary
leanne	n.Leanne
leann	n.Leann
leander	n.Leander
graduations	n.lễ tốt nghiệp
housewarming	n.lễ tân gia
baptisms	n.lễ rửa tội
tux	n.lễ phục
inaugurals	n.lễ nhậm chức
inauguration	n.lễ nhậm chức
pentecost	n.Lễ Ngũ Tuần
signings	n.lễ ký kết
carnivals	n.lễ hội hóa trang
festivities	n.lễ hội
diwali	n.lễ Diwali
coronation	n.lễ đăng quang
pears	n.lê
lazarus	n.Lazarus
lazar	n.Lazar
layton	n.Layton
layla	n.Layla
intakes	n.lấy vào
lavinia	n.Lavinia
laverne	n.Laverne
laval	n.Laval
lausanne	n.Lausanne
laurier	n.Laurier
lauri	n.Lauri
launceston	n.Launceston
chateaux	n.lâu đài
lats	n.lats
latrobe	n.Latrobe
latimer	n.Latimer
lamas	n.lạt ma
rollovers	n.lật
lassie	n.Lassie
lassen	n.Lassen
laski	n.Laski
larne	n.Larne
laramie	n.Laramie
lar	n.Lar
lapland	n.Lapland
laplace	n.Laplace
stances	n.lập trường
coders	n.lập trình viên
tabulation	n.lập bảng
tabulations	n.lập bảng
geriatrics	n.lão khoa
gerontology	n.lão khoa
labours	n.lao động@vt.lao động
labourers	n.lao động
javelin	n.lao
lanny	n.Lanny
consulates	n.lãnh sự quán
consul	n.lãnh sự
liege	n.lãnh chúa
overlord	n.lãnh chúa
warlord	n.lãnh chúa
warlords	n.lãnh chúa
languedoc	n.Languedoc
langton	n.Langton
langmuir	n.Langmuir
langer	n.Langer
wanderings	n.lang thang
tombs	n.lăng mộ
sedimentation	n.lắng đọng
quack	n.lang băm@vt.kêu quạc quạc
landsat	n.Landsat
landry	n.Landry
landon	n.Landon
landes	n.Landes
landau	n.Landau
lancer	n.Lancer
lancelot	n.Lancelot
lanark	n.Lanark
lana	n.Lana
keystroke	n.lần gõ phím
keystrokes	n.lần gõ phím
railing	n.lan can
railings	n.lan can
lamont	n.Lamont
lambeth	n.Lambeth
hairdressing	n.làm tóc
clarifications	n.làm rõ
filmmaking	n.làm phim
manicure	n.làm móng tay@vt.làm móng tay
pedicure	n.làm móng chân
motherhood	n.làm mẹ
remakes	n.làm lại
lala	n.Lala
lakshmi	n.Lakshmi
lakota	n.Lakota
lakh	n.lakh
lakhs	n.lakh
tiller	n.lái tàu
lahore	n.Lahore
lagrangian	n.Lagrangian
lagrange	n.Lagrange
ladysmith	n.Ladysmith
lactose	n.lactose
endometriosis	n.lạc nội mạc tử cung
llama	n.lạc đà llama
llamas	n.lạc đà llama
camels	n.lạc đà
anklets	n.lắc chân
laban	n.Laban
senna	n.lá sen
spleen	n.lá lách
foils	n.lá kim loại@vt.cản trở
shamrock	n.lá cỏ ba lá
compasses	n.la bàn
mules	n.la
kyushu	n.Kyushu
keepsake	n.kỷ vật
keepsakes	n.kỷ vật
dormitories	n.ký túc xá
dormitory	n.ký túc xá
dorms	n.ký túc xá
delimiter	n.ký tự phân cách
wildcard	n.ký tự đại diện
wildcards	n.ký tự đại diện
literals	n.ký tự
feats	n.kỳ tích
bioengineering	n.kỹ thuật sinh học
dressage	n.kỵ thuật
technicalities	n.kỹ thuật
stigma	n.kỳ thị
parasitology	n.ký sinh trùng học
marvels	n.kỳ quan@vt.kinh ngạc
oddities	n.kỳ quặc
centenary	n.kỷ niệm trăm năm
commemoration	n.kỷ niệm
eft	n.kỳ nhông
newt	n.kỳ nhông
salamander	n.kỳ nhông
aeon	n.kỷ nguyên
epochs	n.kỷ nguyên
eras	n.kỷ nguyên
unicorns	n.kỳ lân
tablatures	n.ký hiệu guitar
notations	n.ký hiệu
consignment	n.ký gửi
singularity	n.kỳ dị
iguana	n.kỳ đà
troopers	n.kỵ binh
kwanzaa	n.Kwanzaa
kwan	n.Kwan
kwacha	n.kwacha
kurtis	n.Kurtis
kursk	n.Kursk
kurosawa	n.Kurosawa
kurdistan	n.Kurdistan
kunming	n.Kunming
kuna	n.kuna
kun	n.Kun
kuhn	n.Kuhn
kubrick	n.Kubrick
krystal	n.Krystal
kronos	n.Kronos
kroger	n.Kroger
kristy	n.Kristy
kristine	n.Kristine
kristie	n.Kristie
kristi	n.Kristi
krista	n.Krista
kremlin	n.Kremlin
krebs	n.Krebs
kors	n.Kors
kor	n.Kor
koppel	n.Koppel
kootenay	n.Kootenay
koontz	n.Koontz
konrad	n.Konrad
koizumi	n.Koizumi
kohl	n.Kohl
kodiak	n.Kodiak
kochi	n.Kochi
knuth	n.Knuth
knudsen	n.Knudsen
knopf	n.Knopf
knesset	n.Knesset
knapp	n.Knapp
kmart	n.Kmart
klondike	n.Klondike
klingon	n.Klingon
klimt	n.Klimt
klee	n.Klee
klan	n.Klan
klamath	n.Klamath
kiwis	n.kiwi
kiwanis	n.Kiwanis
kitchener	n.Kitchener
kissinger	n.Kissinger
kish	n.Kish
kirkuk	n.Kirkuk
kirkpatrick	n.Kirkpatrick
kirkcaldy	n.Kirkcaldy
kirchner	n.Kirchner
kipling	n.Kipling
kiowa	n.Kiowa
kinshasa	n.Kinshasa
kinsey	n.Kinsey
kinross	n.Kinross
kino	n.Kino
kinney	n.Kinney
kaleidoscope	n.kính vạn hoa
vulgate	n.Kinh Thánh Vulgate
macroeconomics	n.kinh tế vĩ mô
microeconomics	n.kinh tế vi mô
econometrics	n.kinh tế lượng
koran	n.Kinh Qur'an
menstruation	n.kinh nguyệt
devotionals	n.kinh nguyện
viewfinder	n.kính ngắm
amazement	n.kinh ngạc
eyeglass	n.kính mắt
sunglass	n.kính mát
magnifier	n.kính lúp
magnifiers	n.kính lúp
agribusiness	n.kinh doanh nông nghiệp
spectacles	n.kính
kingwood	n.Kingwood
kinabalu	n.Kinabalu
kimono	n.kimono
sequin	n.kim tuyến
sequins	n.kim tuyến
nutcracker	n.kìm hạt
pliers	n.kìm
kilroy	n.Kilroy
kilowatt	n.kilowatt
kilometre	n.kilomet
kilogram	n.kilogram
kilograms	n.kilogram
kilobytes	n.kilobyte
kilmarnock	n.Kilmarnock
killarney	n.Killarney
kilkenny	n.Kilkenny
kilimanjaro	n.Kilimanjaro
kildare	n.Kildare
hairstyle	n.kiểu tóc
arrogance	n.kiêu ngạo
buckwheat	n.kiều mạch
phenotypes	n.kiểu hình
genotypes	n.kiểu gen
subtype	n.kiểu con
typeface	n.kiểu chữ
masterpieces	n.kiệt tác
masterworks	n.kiệt tác
exhaustion	n.kiệt sức
kierkegaard	n.Kierkegaard
abstinence	n.kiêng
perseverance	n.kiên trì
tectonics	n.kiến tạo
bale	n.kiện
bales	n.kiện
forester	n.kiểm lâm
foresters	n.kiểm lâm
sabre	n.kiếm
sabres	n.kiếm
kiel	n.Kiel
kidderminster	n.Kidderminster
kidder	n.Kidder
kidd	n.Kidd
kickboxing	n.kickboxing
melodrama	n.kịch tính
arousal	n.kích thích
excitations	n.kích thích
agitation	n.kích động
horseman	n.kị sĩ
kiosks	n.ki ốt
horsemen	n.kị binh
elbows	n.khuỷu tay
dispositions	n.khuynh hướng
inclination	n.khuynh hướng
inclinations	n.khuynh hướng
leanings	n.khuynh hướng
handicaps	n.khuyết tật
blemishes	n.khuyết điểm
stencils	n.khuôn@vt.vẽ khuôn
moulding	n.khuôn@vt.tạo hình
moulds	n.khuôn@vt.đúc
stereotype	n.khuôn mẫu@vt.tạo khuôn mẫu
countenance	n.khuôn mặt@vt.chấp nhận
mouldings	n.khuôn
timescale	n.khung thời gian
airframe	n.khung máy bay
pelvis	n.khung chậu
terrors	n.khủng bố
refraction	n.khúc xạ
chorale	n.khúc thánh ca
preludes	n.khúc dạo đầu
canto	n.khúc
constituencies	n.khu vực bầu cử
precincts	n.khu vực
barrio	n.khu phố
barrios	n.khu phố
neighbourhoods	n.khu phố
slum	n.khu ổ chuột
slums	n.khu ổ chuột
decontamination	n.khử nhiễm
arcades	n.khu mua sắm có mái che
roundtrip	n.khứ hồi
docklands	n.khu cảng
campsite	n.khu cắm trại
campsites	n.khu cắm trại
sanctuaries	n.khu bảo tồn
synapse	n.khớp thần kinh
synapses	n.khớp thần kinh
couplings	n.khớp nối
disobedience	n.không vâng lời
incompatibilities	n.không tương thích
incompatibility	n.không tương thích
noncompliance	n.không tuân thủ
confucius	n.Khổng Tử
dishonesty	n.không trung thực
distrust	n.không tin@vt.không tin
disbelief	n.không tin
hijackers	n.không tặc
nonproliferation	n.không phổ biến
nondiscrimination	n.không phân biệt đối xử
airspace	n.không phận
mismatches	n.không khớp
inactivity	n.không hoạt động
incompleteness	n.không hoàn chỉnh
dissatisfaction	n.không hài lòng
expanse	n.không gian rộng
workspaces	n.không gian làm việc
impunity	n.không bị trừng phạt
noes	n.không
tumour	n.khối u
instantiation	n.khởi tạo
caseload	n.khối lượng công việc
workloads	n.khối lượng công việc
overtures	n.khởi động
smog	n.khói bụi
blocs	n.khối
glob	n.khối
fumes	n.khói
mineralogy	n.khoáng vật học
voids	n.khoảng trống@vt.hủy bỏ
headroom	n.khoảng trống phía trên
timescales	n.khoảng thời gian
bores	n.khoan@vt.làm chán
accruals	n.khoản tích lũy
clemency	n.khoan hồng
reimbursements	n.khoản hoàn trả
payoffs	n.khoản chi
crisps	n.khoai tây chiên
spud	n.khoai tây
yam	n.khoai mỡ
yams	n.khoai lang
zippers	n.khóa kéo
zips	n.khóa kéo
neurosciences	n.khoa học thần kinh
corpora	n.kho ngữ liệu
travail	n.khó khăn@vt.lao động
encumbrances	n.khó khăn
hardships	n.khó khăn
annoyance	n.khó chịu
exchequer	n.kho bạc
depots	n.kho
repertory	n.kho
khmer	n.Khmer
grievances	n.khiếu nại
modesty	n.khiêm tốn
imperfections	n.khiếm khuyết
notches	n.khía@vt.khía
climatology	n.khí hậu học
climates	n.khí hậu
aerosols	n.khí dung
gorillas	n.khỉ đột
aerodynamics	n.khí động học
prana	n.khí công
finesse	n.khéo léo
ingenuity	n.khéo léo
cleft	n.khe@vt.chẻ
slits	n.khe
suture	n.khâu@vt.khâu
deductibles	n.khấu trừ
ration	n.khẩu phần@vt.định lượng
rations	n.khẩu phần
slogans	n.khẩu hiệu
tagline	n.khẩu hiệu
taglines	n.khẩu hiệu
apertures	n.khẩu độ
khartoum	n.Khartoum
insistence	n.khăng khăng
affirmation	n.khẳng định
tablecloth	n.khăn trải bàn
tablecloths	n.khăn trải bàn
handkerchief	n.khăn tay
pall	n.khăn phủ quan tài@vt.làm nhạt nhẽo
duster	n.khăn lau bụi
scarcity	n.khan hiếm
bleachers	n.khán đài
grandstand	n.khán đài
shawl	n.khăn choàng
shawls	n.khăn choàng
stoles	n.khăn choàng
bandana	n.khăn bandana
napkin	n.khăn ăn
napkins	n.khăn ăn
inlay	n.khảm@vt.khảm
khalid	n.Khalid
appetizer	n.khai vị
generalizations	n.khái quát hóa
generalization	n.khái quát
excavations	n.khai quật
perjury	n.khai man
decl	n.khai báo
regulars	n.khách quen
objectivity	n.khách quan
clientele	n.khách hàng
inscriptions	n.khắc
motility	n.khả năng vận động
traceability	n.khả năng truy xuất nguồn gốc
adaptability	n.khả năng thích nghi
solvency	n.khả năng thanh toán
reproducibility	n.khả năng tái tạo
comparability	n.khả năng so sánh
extensibility	n.khả năng mở rộng
knack	n.khả năng
kew	n.Kew
kevlar	n.kevlar
kettering	n.Kettering
renderings	n.kết xuất
safes	n.két sắt
connexion	n.kết nối
connexions	n.kết nối
hookup	n.kết nối
hookups	n.kết nối
kerri	n.Kerri
kerouac	n.Kerouac
kermit	n.Kermit
keri	n.Keri
kepler	n.Kepler
clasps	n.kẹp@vt.kẹp
paperweights	n.kẹp giấy
keogh	n.Keogh
goody	n.kẹo@int.tuyệt
hairspray	n.keo xịt tóc
toffee	n.kẹo toffee
taffy	n.kẹo taffy
lollipop	n.kẹo mút
lollipops	n.kẹo mút
marshmallow	n.kẹo dẻo
marshmallows	n.kẹo dẻo
glues	n.keo dán
elongation	n.kéo dài
shears	n.kéo cắt@vt.cắt
snips	n.kéo cắt kim loại
bubblegum	n.kẹo cao su
kenyon	n.Kenyon
kenton	n.Kenton
kenilworth	n.Kenilworth
kendrick	n.Kendrick
kendra	n.Kendra
kenai	n.Kenai
bagpipes	n.kèn túi
tuba	n.kèn tuba
trumpets	n.kèn trumpet
ocarina	n.kèn ocarina
bugle	n.kèn loa
vulture	n.kền kền
vultures	n.kền kền
harmonica	n.kèn harmonica
woodwinds	n.kèn gỗ
bassoon	n.kèn fagot
cornet	n.kèn cornet
moisturizers	n.kem dưỡng ẩm
toothpaste	n.kem đánh răng
sunscreen	n.kem chống nắng
creamer	n.kem
kelvin	n.Kelvin
kelso	n.Kelso
kellie	n.Kellie
kelli	n.Kelli
keillor	n.Keillor
keenan	n.Keenan
keats	n.Keats
keaton	n.Keaton
kean	n.Kean
kea	n.Kea
underdog	n.kẻ yếu thế
underdogs	n.kẻ yếu thế
rippers	n.kẻ xé toạc
intruders	n.kẻ xâm nhập
invader	n.kẻ xâm lược
unbelievers	n.kẻ vô tín
rascals	n.kẻ vô lại
rogues	n.kẻ vô lại
scoundrels	n.kẻ vô lại
benders	n.kẻ uống say
burglar	n.kẻ trộm
bookkeeper	n.kế toán
antagonist	n.kẻ thù
attackers	n.kẻ tấn công
drunks	n.kẻ say rượu
murderers	n.kẻ sát nhân
bookshelves	n.kệ sách
renegades	n.kẻ phản bội
traitors	n.kẻ phản bội
racists	n.kẻ phân biệt chủng tộc
vandals	n.kẻ phá hoại
liars	n.kẻ nói dối
insurgent	n.kẻ nổi dậy
simp	n.kẻ ngốc
suckers	n.kẻ ngốc
outlaws	n.kẻ ngoài vòng pháp luật@vt.cấm
infidel	n.kẻ ngoại đạo
barbarians	n.kẻ man rợ
savages	n.kẻ man rợ
crook	n.kẻ lừa đảo
crooks	n.kẻ lừa đảo
scammers	n.kẻ lừa đảo
deviants	n.kẻ lệch lạc
tramp	n.kẻ lang thang@vt.đi lang thang
drifter	n.kẻ lang thang
vagabond	n.kẻ lang thang
abusers	n.kẻ lạm dụng
rapist	n.kẻ hiếp dâm
rapists	n.kẻ hiếp dâm
cowards	n.kẻ hèn nhát
slayers	n.kẻ giết người
cheater	n.kẻ gian lận
cheaters	n.kẻ gian lận
hater	n.kẻ ghen ghét
haters	n.kẻ ghen ghét
punks	n.kẻ du côn
lunatic	n.kẻ điên@a.điên
lunatics	n.kẻ điên
maniac	n.kẻ điên
maniacs	n.kẻ điên
heretic	n.kẻ dị giáo
heretics	n.kẻ dị giáo
hypocrite	n.kẻ đạo đức giả
hypocrites	n.kẻ đạo đức giả
bandits	n.kẻ cướp
robbers	n.kẻ cướp
extremist	n.kẻ cực đoan
extremists	n.kẻ cực đoan
antichrist	n.kẻ chống Chúa
conquerors	n.kẻ chinh phục
bugger	n.kẻ chết tiệt
fugitives	n.kẻ chạy trốn
traffickers	n.kẻ buôn người
smugglers	n.kẻ buôn lậu
cocksuckers	n.kẻ bú cu
runaways	n.kẻ bỏ trốn
pervert	n.kẻ biến thái@vt.làm sai lệch
perverts	n.kẻ biến thái@vt.bóp méo
outcast	n.kẻ bị ruồng bỏ
bullies	n.kẻ bắt nạt@vt.bắt nạt
misfits	n.kẻ bất hảo
captors	n.kẻ bắt giữ
kidnappers	n.kẻ bắt cóc
abuser	n.kẻ bạo hành
bums	n.kẻ ăn xin
cannibals	n.kẻ ăn thịt người
kcal	n.kcal
kazan	n.Kazan
kayla	n.Kayla
kaunas	n.Kaunas
kathie	n.Kathie
katharine	n.Katharine
kassel	n.Kassel
kasparov	n.Kasparov
kasey	n.Kasey
karyn	n.Karyn
karoo	n.Karoo
karol	n.Karol
karlsruhe	n.Karlsruhe
karla	n.Karla
karina	n.Karina
karin	n.Karin
kareem	n.Kareem
kaohsiung	n.Kaohsiung
kant	n.Kant
kanpur	n.Kanpur
kano	n.Kano
kanji	n.kanji
kandy	n.Kandy
kandinsky	n.Kandinsky
kampala	n.Kampala
kamehameha	n.Kamehameha
kamchatka	n.Kamchatka
kamasutra	n.Kamasutra
kaliningrad	n.Kaliningrad
kali	n.Kali
kalgoorlie	n.Kalgoorlie
kalahari	n.Kalahari
kaiserslautern	n.Kaiserslautern
kain	n.Kain
kahuna	n.kahuna
kafka	n.Kafka
kabul	n.Kabul
kabbalah	n.Kabbalah
jutland	n.Jutland
justine	n.Justine
jura	n.Jura
julliard	n.Julliard
juliette	n.Juliette
julien	n.Julien
julianne	n.Julianne
juliana	n.Juliana
judson	n.Judson
judo	n.judo
judi	n.Judi
judea	n.Judea
jud	n.Jud
juarez	n.Juarez
juanita	n.Juanita
juana	n.Juana
joyner	n.Joyner
jove	n.Jove
joules	n.joule
jota	n.jota
joss	n.Joss
josie	n.Josie
josiah	n.Josiah
josephus	n.Josephus
josephson	n.Josephson
josephs	n.Josephs
jos	n.Jos
jornada	n.Jornada
jonson	n.Jonson
joni	n.Joni
jonathon	n.Jonathon
joliet	n.Joliet
jolene	n.Jolene
johnnie	n.Johnnie
johnathan	n.Johnathan
johanna	n.Johanna
jodie	n.Jodie
jodhpur	n.Jodhpur
jocelyn	n.Jocelyn
joann	n.Joann
joachim	n.Joachim
jimmie	n.Jimmie
jimenez	n.Jimenez
jillian	n.Jillian
jilin	n.Jilin
jhansi	n.Jhansi
jezebel	n.Jezebel
jewell	n.Jewell
jethro	n.Jethro
jesu	n.Jesu
jervis	n.Jervis
jermaine	n.Jermaine
jeri	n.Jeri
jerez	n.Jerez
jer	n.Jer
jenner	n.Jenner
jenifer	n.Jenifer
jena	n.Jena
jemima	n.Jemima
jekyll	n.Jekyll
jeffreys	n.Jeffreys
jeffery	n.Jeffery
jed	n.Jed
jeannie	n.Jeannie
jeannette	n.Jeannette
jeanine	n.Jeanine
jeanie	n.Jeanie
jeanette	n.Jeanette
jayson	n.Jayson
jayne	n.Jayne
jarrow	n.Jarrow
jarrod	n.Jarrod
jarrett	n.Jarrett
japonica	n.Japonica
janus	n.Janus
jansen	n.Jansen
janine	n.Janine
janie	n.Janie
janelle	n.Janelle
jana	n.Jana
jamshedpur	n.Jamshedpur
jami	n.Jami
jamal	n.Jamal
jalisco	n.Jalisco
jakes	n.Jakes
jagger	n.Jagger
jag	n.Jag
jaeger	n.Jaeger
jacque	n.Jacque
jacquard	n.Jacquard
jacobsen	n.Jacobsen
jacobi	n.Jacobi
jaclyn	n.Jaclyn
jacky	n.Jacky
izmir	n.Izmir
iwo	n.Iwo
ivanhoe	n.Ivanhoe
iterators	n.iterator
itasca	n.Itasca
isolde	n.Isolde
ismail	n.Ismail
ismael	n.Ismael
ishmael	n.Ishmael
isabelle	n.Isabelle
irvin	n.Irvin
iroquois	n.Iroquois
irma	n.Irma
iridium	n.iridi
iras	n.IRAS
iqbal	n.Iqbal
ionia	n.Ionia
iona	n.Iona
ionization	n.ion hóa
iodide	n.iodide
ioctl	n.ioctl
invercargill	n.Invercargill
intifada	n.intifada
interpol	n.Interpol
internets	n.Internet
internationale	n.Internationale
interlaken	n.Interlaken
intelsat	n.Intelsat
instr	n.INSTR
inositol	n.inositol
innsbruck	n.Innsbruck
ingres	n.Ingres
inglewood	n.Inglewood
ingleside	n.Ingleside
inge	n.Inge
inez	n.Inez
ines	n.Ines
indus	n.Indus
indra	n.Indra
indore	n.Indore
inca	n.Inca
lithograph	n.in thạch bản@vt.in thạch bản
litho	n.in thạch bản
lithographs	n.in thạch bản
lithography	n.in thạch bản
printmaking	n.in ấn
typography	n.in ấn
imogen	n.Imogen
immanuel	n.Immanuel
imam	n.imam
illuminati	n.Illuminati
iliad	n.Iliad
ilia	n.Ilia
ila	n.Ila
ignatius	n.Ignatius
ignacio	n.Ignacio
ides	n.ides
icarus	n.Icarus
ibuprofen	n.ibuprofen
ibsen	n.Ibsen
iberia	n.Iberia
hyperion	n.Hyperion
hydroxide	n.hydroxide
hydrocarbon	n.hydrocarbon
hydra	n.Hydra
huygens	n.Huygens
plasmas	n.huyết tương
thrombosis	n.huyết khối
heraldry	n.huy hiệu
medallion	n.huy chương
medallions	n.huy chương
huxley	n.Huxley
hutton	n.Hutton
huston	n.Huston
hus	n.Hus
roebuck	n.hươu đực
fawn	n.hươu con@vt.nịnh hót
giraffe	n.hươu cao cổ
giraffes	n.hươu cao cổ
flavours	n.hương vị
aromas	n.hương thơm
huntley	n.Huntley
huntingdon	n.Huntingdon
grandeur	n.hùng vĩ
euphoria	n.hưng phấn
humphreys	n.Humphreys
humberside	n.Humberside
humber	n.Humber
hula	n.hula
huggins	n.Huggins
huffman	n.Huffman
huey	n.Huey
huddersfield	n.Huddersfield
huber	n.Huber
hts	n.HTS
hrvatska	n.Hrvatska
hoyle	n.Hoyle
howells	n.Howells
hove	n.Hove
hounslow	n.Hounslow
hough	n.Hough
hotspur	n.Hotspur
hotlinks	n.hotlink
hosp	n.HOSP
hosea	n.Hosea
hos	n.HOS
horus	n.Horus
hort	n.HORT
horst	n.Horst
horowitz	n.Horowitz
horney	n.Horney
horne	n.Horne
horatio	n.Horatio
horas	n.Horas
hora	n.Hora
hor	n.Hor
hopi	n.Hopi
hopewell	n.Hopewell
tins	n.hộp thiếc
cooperatives	n.hợp tác xã
gearbox	n.hộp số
gearboxes	n.hộp số
legalization	n.hợp pháp hóa
consolidations	n.hợp nhất
reasonableness	n.hợp lý
cartons	n.hộp giấy
humidors	n.hộp đựng xì gà
subcontracts	n.hợp đồng phụ
contr	n.hợp đồng
indenture	n.hợp đồng
matchbox	n.hộp diêm
canisters	n.hộp
rubies	n.hồng ngọc
flamingos	n.hồng hạc
erythrocytes	n.hồng cầu
throats	n.họng
hondo	n.Hondo
fiance	n.hôn thê
admixture	n.hỗn hợp
admixtures	n.hỗn hợp
amalgam	n.hỗn hợp
islet	n.hòn đảo nhỏ
homers	n.Homer
holstein	n.Holstein
holst	n.Holst
holman	n.Holman
holm	n.Holm
hollis	n.Hollis
holley	n.Holley
hollands	n.Hollands
holcomb	n.Holcomb
hokkaido	n.Hokkaido
hoke	n.Hoke
flashback	n.hồi tưởng
flashbacks	n.hồi tưởng
recollection	n.hồi tưởng
concourse	n.hội trường
breaths	n.hơi thở
webinars	n.hội thảo trực tuyến
freemasons	n.hội tam điểm
frat	n.hội sinh viên
regressions	n.hồi quy
recoveries	n.hồi phục
puffs	n.hơi phả@vt.phả
sororities	n.hội nữ sinh
teleconferencing	n.hội nghị từ xa
teleconference	n.hội nghị truyền hình
videoconferencing	n.hội nghị truyền hình
summits	n.hội nghị thượng đỉnh
caucuses	n.hội nghị đảng
powwows	n.hội nghị
repentance	n.hối lỗi
bribes	n.hối lộ@vt.hối lộ
bribery	n.hối lộ
repatriation	n.hồi hương
thrills	n.hồi hộp@vt.làm hồi hộp
palpitations	n.hồi hộp
remorse	n.hối hận
hippocampus	n.hồi hải mã
draught	n.hơi gió
baldness	n.hói đầu
syndromes	n.hội chứng
fairgrounds	n.hội chợ
guilds	n.hội
vapour	n.hơi
hogwarts	n.Hogwarts
hogue	n.Hogue
hogg	n.Hogg
hogarth	n.Hogarth
hoff	n.Hoff
hodgkin	n.Hodgkin
hodge	n.Hodge
hocking	n.Hocking
cadets	n.học viên
rote	n.học vẹt
schoolchildren	n.học sinh
bursaries	n.học bổng
bursary	n.học bổng
hoboken	n.Hoboken
hobbes	n.Hobbes
anim	n.hoạt hình
actives	n.hoạt động
panics	n.hoảng loạn@vt.hoảng loạn
sundown	n.hoàng hôn
sunsets	n.hoàng hôn
empress	n.hoàng hậu
wasteland	n.hoang địa
emperors	n.hoàng đế
wilds	n.hoang dã
permutations	n.hoán vị
cashback	n.hoàn tiền
completions	n.hoàn thành
fulfilment	n.hoàn thành
rapture	n.hoan hỉ
deferral	n.hoãn
moratorium	n.hoãn
misgivings	n.hoài nghi
violets	n.hoa violet
trillium	n.hoa trillium
chemo	n.hóa trị
valence	n.hóa trị
masquerade	n.hóa trang@vt.hóa trang
masque	n.hóa trang
daffodil	n.hoa thủy tiên
daffodils	n.hoa thủy tiên
clematis	n.hoa thường xuân
dahlia	n.hoa thược dược
incarnations	n.hóa thân
concertos	n.hòa tấu
cremation	n.hỏa táng
cartoonist	n.họa sĩ truyện tranh
illustrators	n.họa sĩ minh họa
animator	n.họa sĩ hoạt hình
animators	n.họa sĩ hoạt hình
calla	n.hoa rum
geranium	n.hoa phong lữ
pansy	n.hoa pansy
crocus	n.hoa nghệ tây
peony	n.hoa mẫu đơn
buttercup	n.hoa mao lương
firepower	n.hỏa lực
barrage	n.hoả lực
honeysuckle	n.hoa kim ngân
irises	n.hoa iris
sunflowers	n.hoa hướng dương
rosette	n.hoa hồng trang trí
rosettes	n.hoa hồng
conciliation	n.hòa giải
azalea	n.hoa đỗ quyên
petrochemicals	n.hóa dầu
gardenia	n.hoa dành dành
fuchsia	n.hoa đăng tiêu@a.màu đỏ tía
hibiscus	n.hoa dâm bụt
wildflowers	n.hoa dại
chamomile	n.hoa cúc la mã
daisies	n.hoa cúc
hydrangea	n.hoa cẩm tú cầu
