the	art.—
variables	n+m.ভেরিয়েবল
agenda	n+f.এজেন্ডা@n+f.কার্যসূচি
anyway	ad.যাইহোক
continues	v.অব্যাহত থাকে
tracks	n+m.ট্র্যাক@v.অনুসরণ করে
advisory	a+m.উপদেষ্টা@a+f.উপদেষ্টা@n+m.পরামর্শ
cam	n+m.ক্যাম@n+f.ক্যামেরা
curriculum	n+m.পাঠ্যক্রম
logic	n+f.যুক্তি@n+m.লজিক
template	n+m.টেমপ্লেট@n+f.নমুনা
prince	n+m.রাজকুমার
circle	n+m.বৃত্ত@n+f.চক্র
soil	n+f.মাটি
grants	n+m.অনুদান@v.মঞ্জুর করে
anywhere	ad.যেকোনো জায়গায়
psychology	n+f.মনোবিজ্ঞান
responses	n+m.প্রতিক্রিয়া@n+f.উত্তর
atlantic	n+m.আটলান্টিক@a+m.আটলান্টিক@a+f.আটলান্টিক
wet	a+m.ভেজা@a+f.ভেজা@v.ভেজানো
circumstances	n+f.পরিস্থিতি
edward	n+m.এডওয়ার্ড
investor	n+m.বিনিয়োগকারী
identification	n+f.পরিচয়@n+m.সনাক্তকরণ
ram	n+m.র‍্যাম@n+m.ভেড়া
leaving	v.চলে যাচ্ছে
wildlife	n+m.বন্যপ্রাণী
appliances	n+m.যন্ত্রপাতি
matt	n+m.ম্যাট
elementary	a+m.প্রাথমিক@a+f.প্রাথমিক
cooking	n+m.রান্না@v.রান্না করছে
speaking	v.কথা বলছে@n+m.বক্তৃতা
sponsors	n+m.স্পন্সর@v.স্পন্সর করে
fox	n+m.শেয়াল
unlimited	a+m.সীমাহীন@a+f.সীমাহীন
respond	v.প্রতিক্রিয়া জানানো
sizes	n+m.আকার@n+f.মাপ
plain	a+m.সাধারণ@a+f.সাধারণ@n+f.সমভূমি
exit	n+m.প্রস্থান@v.প্রস্থান করা
entered	v.প্রবেশ করেছিল@a+m.প্রবেশকৃত@a+f.প্রবেশকৃত
iran	n+m.ইরান
arm	n+m.বাহু@v.অস্ত্র সজ্জিত করা
keys	n+f.চাবি@n+m.কী
launch	v.চালু করা@n+m.উদ্বোধন
wave	n+f.তরঙ্গ@v.হাত নাড়া
checking	v.পরীক্ষা করছে@n+m.চেকিং
costa	n+f.কোস্টা
belgium	n+m.বেলজিয়াম
printable	a+m.মুদ্রণযোগ্য@a+f.মুদ্রণযোগ্য
holy	a+m.পবিত্র@a+f.পবিত্র
acts	n+m.আইন@v.কাজ করে
guidance	n+f.নির্দেশনা@n+m.গাইডেন্স
mesh	n+m.জাল
trail	n+m.পথ@n+f.ট্রেইল
enforcement	n+m.প্রয়োগ
symbol	n+m.প্রতীক@n+f.চিহ্ন
crafts	n+f.কারুশিল্প
highway	n+f.হাইওয়ে@n+f.মহাসড়ক
buddy	n+m.বন্ধু
hardcover	n+m.হার্ডকভার
observed	v.পর্যবেক্ষণ করা হয়েছে@a+m.পর্যবেক্ষিত@a+f.পর্যবেক্ষিত
dean	n+m.ডিন
setup	n+m.সেটআপ@v.সেটআপ করা
poll	n+m.জরিপ@v.জরিপ করা
booking	n+m.বুকিং@v.বুকিং করছে
glossary	n+m.শব্দকোষ
fiscal	a+m.রাজস্ব@a+f.রাজস্ব@a.আর্থিক
celebrity	n+m.সেলিব্রিটি@n+f.তারকা
styles	n+m.স্টাইল@n+f.শৈলী
denver	n+m.ডেনভার
unix	n+m.ইউনিক্স
filled	v.ভরা হয়েছে@a+m.পূর্ণ@a+f.পূর্ণ
bond	n+m.বন্ড@n+f.বন্ধন
channels	n+m.চ্যানেল@n+f.খাল
ericsson	n+m.এরিকসন
appendix	n+m.পরিশিষ্ট@n+m.অ্যাপেন্ডিক্স
notify	v.অবহিত করা
blues	n+m.ব্লুজ
chocolate	n+m.চকলেট
pub	n+m.পাব@n+m.মদের দোকান
portion	n+m.অংশ@n+f.ভাগ
scope	n+m.পরিধি@n+f.সুযোগ
hampshire	n+m.হ্যাম্পশায়ার
supplier	n+m.সরবরাহকারী
cables	n+m.কেবল@n+f.তার
cotton	n+m.তুলা
bluetooth	n+m.ব্লুটুথ
controlled	a+m.নিয়ন্ত্রিত@a+f.নিয়ন্ত্রিত@v.নিয়ন্ত্রিত করা হয়েছে
requirement	n+f.প্রয়োজনীয়তা@n+m.শর্ত
authorities	n+f.কর্তৃপক্ষ
biology	n+f.জীববিজ্ঞান
dental	a+m.দাঁতের@a+f.দাঁতের
killed	v.হত্যা করা হয়েছে@a+m.নিহত@a+f.নিহত
border	n+f.সীমান্ত@n+m.সীমানা
ancient	a+m.প্রাচীন@a+f.প্রাচীন
debate	n+m.বিতর্ক@v.বিতর্ক করা
representatives	n+m.প্রতিনিধি
starts	v.শুরু করে@n+m.শুরু
pregnancy	n+f.গর্ভাবস্থা
causes	n+f.কারণ@v.কারণ হয়
arkansas	n+m.আরকানসাস
biography	n+f.জীবনী
leisure	n+m.অবসর
attractions	n+f.আকর্ষণ
learned	a+m.শিখেছে@a+f.শিখেছে@v.শেখা হয়েছে
transactions	n+f.লেনদেন
notebook	n+m.নোটবুক
explorer	n+m.অনুসন্ধানকারী@n+m.এক্সপ্লোরার
historic	a+m.ঐতিহাসিক@a+f.ঐতিহাসিক
attached	a+m.সংযুক্ত@a+f.সংযুক্ত@v.সংযুক্ত করা হয়েছে
opened	v.খোলা হয়েছে@a+m.খোলা@a+f.খোলা
husband	n+m.স্বামী
disabled	a+m.প্রতিবন্ধী@a+f.প্রতিবন্ধী@v.অক্ষম করা হয়েছে
authorized	a+m.অনুমোদিত@a+f.অনুমোদিত@v.অনুমোদন করা হয়েছে
crazy	a+m.পাগল@a+f.পাগল
upcoming	a+m.আসন্ন@a+f.আসন্ন
britain	n+f.ব্রিটেন
concert	n+m.কনসার্ট@n+f.সংগীত সভা
retirement	n+m.অবসর
scores	n+m.স্কোর@v.স্কোর করে
financing	n+m.অর্থায়ন@v.অর্থায়ন করছে
efficiency	n+f.দক্ষতা@n+f.কর্মদক্ষতা
comedy	n+f.কমেডি@n+f.হাস্যরস
adopted	a+m.গৃহীত@a+f.গৃহীত@v.গ্রহণ করা হয়েছে
efficient	a+m.দক্ষ@a+f.দক্ষ
weblog	n+m.ওয়েবলগ@n+m.ব্লগ
linear	a+m.রৈখিক@a+f.রৈখিক
commitment	n+m.প্রতিশ্রুতি
bears	n+m.ভালুক@v.বহন করে
jean	n+m.জিন@n+f.জিন্স
hop	v.লাফ দেওয়া@n+m.লাফ
carrier	n+m.বাহক@n+m.ক্যারিয়ার
edited	v.সম্পাদিত হয়েছে@a+m.সম্পাদিত@a+f.সম্পাদিত
constant	a+m.ধ্রুব@a+f.ধ্রুব@n+m.ধ্রুবক
visa	n+m.ভিসা
mouth	n+m.মুখ
jewish	a+m.ইহুদি@a+f.ইহুদি
meter	n+m.মিটার
linked	a+m.সংযুক্ত@a+f.সংযুক্ত@v.সংযুক্ত করা হয়েছে
portland	n+m.পোর্টল্যান্ড
interviews	n+m.সাক্ষাৎকার
concepts	n+m.ধারণা
gun	n+m.বন্দুক
reflect	v.প্রতিফলিত করা
pure	a+m.বিশুদ্ধ@a+f.বিশুদ্ধ
deliver	v.বিতরণ করা@v.সরবরাহ করা
wonder	v.অবাক হওয়া@n+m.আশ্চর্য
hell	n+m.নরক
lessons	n+f.পাঠ@n+m.শিক্ষা
fruit	n+m.ফল
begins	v.শুরু হয়
qualified	a+m.যোগ্য@a+f.যোগ্য@v.যোগ্যতা অর্জন করেছে
reform	n+f.সংস্কার@v.সংস্কার করা
lens	n+m.লেন্স
alerts	n+f.সতর্কতা@v.সতর্ক করে
treated	v.চিকিৎসা করা হয়েছে@a+m.চিকিৎসিত@a+f.চিকিৎসিত
discovery	n+f.আবিষ্কার
draw	v.আঁকা@n+m.ড্র
classified	a+m.শ্রেণীবদ্ধ@a+f.শ্রেণীবদ্ধ@v.শ্রেণীবদ্ধ করা হয়েছে
relating	v.সম্পর্কিত
assume	v.ধরে নেওয়া@v.অনুমান করা
confidence	n+f.আত্মবিশ্বাস
alliance	n+f.জোট
confirm	v.নিশ্চিত করা
warm	a+m.গরম@a+f.গরম@v.গরম করা
neither	conj.কোনোটিই না@pron.কোনোটিই না
lewis	n+m.লুইস
howard	n+m.হাওয়ার্ড
offline	a+m.অফলাইন@a+f.অফলাইন@ad.অফলাইনে
leaves	n+m.পাতা@v.চলে যায়
engineer	n+m.প্রকৌশলী@n+f.প্রকৌশলী
lifestyle	n+m.জীবনধারা
consistent	a+m.সামঞ্জস্যপূর্ণ@a+f.সামঞ্জস্যপূর্ণ
replace	v.প্রতিস্থাপন করা
clearance	n+f.ছাড়পত্র@n+m.ক্লিয়ারেন্স
connections	n+f.সংযোগ
inventory	n+m.তালিকা@n+f.ইনভেন্টরি
converter	n+m.রূপান্তরকারী@n+m.কনভার্টার
suck	v.চোষা
organisation	n+f.সংস্থা@n+f.সংগঠন
babe	n+f.বাচ্চা@n+f.সুন্দরী
checks	n+m.চেক@v.পরীক্ষা করে
reached	v.পৌঁছেছিল@a+m.পৌঁছানো@a+f.পৌঁছানো
becoming	v.হয়ে উঠছে@a+m.মানানসই@a+f.মানানসই
blowjob	n+m.ব্লোজব
safari	n+m.সাফারি
objective	n+m.উদ্দেশ্য@a+m.উদ্দেশ্যমূলক@a+f.উদ্দেশ্যমূলক
indicated	v.নির্দেশ করা হয়েছে@a+m.নির্দেশিত@a+f.নির্দেশিত
sugar	n+m.চিনি
crew	n+m.ক্রু@n+f.দল
legs	n+m.পা
sam	n+m.স্যাম
stick	n+m.লাঠি@v.লাগানো
securities	n+f.সিকিউরিটিজ@n+f.জামানত
allen	n+m.অ্যালেন
relation	n+m.সম্পর্ক@n+f.আত্মীয়তা
enabled	a.সক্ষম@v.সক্রিয় করা
genre	n+m.ধরন@n+m.শৈলী
slide	n+m.স্লাইড@v.পিছলানো
montana	n+f.মন্টানা
volunteer	n+m.স্বেচ্ছাসেবক@n+f.স্বেচ্ছাসেবিকা@v.স্বেচ্ছায় করা
tested	a.পরীক্ষিত@v.পরীক্ষা করা
rear	n+m.পিছন@a.পেছনের
democratic	a.গণতান্ত্রিক
enhance	v.বাড়ানো@v.উন্নত করা
switzerland	n+f.সুইজারল্যান্ড
exact	a.সঠিক@a.যথাযথ
bound	a.আবদ্ধ@v.লাফানো@n+m.সীমা
parameter	n+m.প্যারামিটার@n+m.পরিমাপক
adapter	n+m.অ্যাডাপ্টার
processor	n+m.প্রসেসর@n+m.প্রক্রিয়াকারী
node	n+m.নোড@n+m.গ্রন্থি
formal	a.আনুষ্ঠানিক@a.আনুষ্ঠানিক
dimensions	n+f.মাত্রা@n+m.আয়তন
contribute	v.অবদান রাখা@v.দান করা
lock	n+m.তালা@v.তালা দেওয়া
hockey	n+m.হকি
storm	n+m.ঝড়@v.ঝড় তোলা
micro	a.মাইক্রো@a.ক্ষুদ্র
colleges	n+m.কলেজ
laptops	n+m.ল্যাপটপ
mile	n+m.মাইল
showed	v.দেখানো
challenges	n+f.চ্যালেঞ্জ@v.চ্যালেঞ্জ করা
editors	n+m.সম্পাদক
threads	n+m.সুতা@n+m.থ্রেড
bowl	n+m.বাটি@n+m.পেয়ালা
supreme	a.সর্বোচ্চ@a.পরম
brothers	n+m.ভাই
recognition	n+f.স্বীকৃতি@n+m.চিনতে পারা
presents	n+m.উপহার@v.উপস্থাপন করা
ref	n+m.রেফারি@n+f.রেফারেন্স
tank	n+m.ট্যাংক@n+m.জলাধার
submission	n+f.জমা@n+f.বশ্যতা
dolls	n+f.পুতুল
estimate	n+m.অনুমান@v.অনুমান করা
encourage	v.উৎসাহিত করা@v.অনুপ্রাণিত করা
navy	n+f.নৌবাহিনী@a.নেভি
kid	n+m.বাচ্চা@n+f.শিশু@v.মজা করা
regulatory	a.নিয়ন্ত্রক@a.নিয়ন্ত্রণমূলক
inspection	n+f.পরিদর্শন@n+f.তদন্ত
consumers	n+m.ভোক্তা@n+m.গ্রাহক
cancel	v.বাতিল করা@v.রদ করা
limits	n+m.সীমা@v.সীমাবদ্ধ করা
territory	n+m.অঞ্চল@n+m.এলাকা
transaction	n+f.লেনদেন@n+m.কারবার
manchester	n+m.ম্যানচেস্টার
weapons	n+m.অস্ত্র@n+m.হাতিয়ার
paint	n+m.রং@v.রং করা
delay	n+m.বিলম্ব@v.দেরি করা
pilot	n+m.পাইলট@a.পরীক্ষামূলক
outlet	n+m.আউটলেট@n+m.নির্গমন পথ
contributions	n+f.অবদান@n+f.দান
continuous	a.অবিরাম@a.ক্রমাগত
czech	a.চেক@n+m.চেক ভাষা
resulting	a.ফলস্বরূপ@a.পরিণামী
cambridge	n+m.কেমব্রিজ
initiative	n+f.উদ্যোগ@n+f.সূচনা
novel	n+m.উপন্যাস@a.নতুন
pan	n+m.প্যান@n+f.কড়াই
execution	n+f.মৃত্যুদণ্ড@n+f.সম্পাদন
disability	n+f.অক্ষমতা@n+f.প্রতিবন্ধিতা
increases	n+m.বৃদ্ধি@v.বাড়ানো
ultra	a.অতি@a.চরম
winner	n+m.বিজয়ী@n+f.বিজয়িনী
idaho	n+m.আইডাহো
contractor	n+m.ঠিকাদার@n+m.কন্ট্রাক্টর
episode	n+m.পর্ব@n+m.ঘটনা
examination	n+f.পরীক্ষা@n+f.তদন্ত
potter	n+m.কুম্ভকার@n+m.পটার
dish	n+m.থালা@n+m.খাবার
plays	n+m.নাটক@v.খেলা
bulletin	n+m.বুলেটিন@n+m.বিজ্ঞপ্তি
indicates	v.নির্দেশ করা@v.বোঝানো
modify	v.পরিবর্তন করা@v.সংশোধন করা
oxford	n+m.অক্সফোর্ড
adam	n+m.আদম
truly	ad.সত্যিই@ad.প্রকৃতপক্ষে
painting	n+f.চিত্রকলা@n+m.চিত্র
committed	a.প্রতিশ্রুতিবদ্ধ@v.সংঘটিত
extensive	a.ব্যাপক@a.বিস্তৃত
affordable	a.সাশ্রয়ী@a.কেনার যোগ্য
universe	n+m.মহাবিশ্ব@n+m.বিশ্বজগৎ
candidate	n+m.প্রার্থী@n+f.প্রার্থিনী
databases	n+m.ডাটাবেস
patent	n+m.পেটেন্ট@a.স্পষ্ট
slot	n+m.স্লট@n+m.খাঁজ
outstanding	a.অসামান্য@a.বকেয়া
eating	n+m.খাওয়া@v.খাওয়া
perspective	n+f.দৃষ্টিভঙ্গি@n+m.পরিপ্রেক্ষিত
planned	a.পরিকল্পিত@v.পরিকল্পনা করা
watching	n+m.দেখা@v.দেখা
lodge	n+m.লজ@v.জমা দেওয়া
messenger	n+m.বার্তাবাহক@n+m.দূত
mirror	n+m.আয়না@v.প্রতিফলিত করা
tournament	n+m.টুর্নামেন্ট@n+f.প্রতিযোগিতা
consideration	n+f.বিবেচনা@n+m.মনোযোগ
discounts	n+m.ছাড়@v.ছাড় দেওয়া
sterling	n+m.স্টার্লিং@a.খাঁটি
sessions	n+f.অধিবেশন@n+m.সেশন
kernel	n+m.কার্নেল@n+m.বীজ
boobs	n+f.স্তন
stocks	n+m.মজুদ@n+m.শেয়ার
buyers	n+m.ক্রেতা
journals	n+m.জার্নাল@n+f.পত্রিকা
gray	a.ধূসর@n+m.ধূসর রং
catalogue	n+m.ক্যাটালগ@n+f.তালিকা
jennifer	n+f.জেনিফার
antonio	n+m.আন্তোনিও
charged	a.অভিযুক্ত@v.চার্জ করা
broad	a.বিস্তৃত@a.প্রশস্ত
taiwan	n+m.তাইওয়ান
chosen	a.নির্বাচিত@v.বেছে নেওয়া
demo	n+m.ডেমো@n+f.প্রদর্শনী
greece	n+f.গ্রিস
swiss	a.সুইস@n+m.সুইস ব্যক্তি
sarah	n+f.সারাহ
clark	n+m.ক্লার্ক
labour	n+m.শ্রম@n+f.শ্রমিক দল
hate	n+f.ঘৃণা@v.ঘৃণা করা
terminal	n+m.টার্মিনাল@a.চূড়ান্ত
publishers	n+m.প্রকাশক
nights	n+f.রাত
behalf	n+m.পক্ষে@prep.পক্ষে
caribbean	a.ক্যারিবীয়@n+m.ক্যারিবিয়ান
liquid	n+m.তরল@a.তরল
rice	n+m.চাল@n+m.ভাত
nebraska	n+f.নেব্রাস্কা
loop	n+m.লুপ@v.লুপ করা
salary	n+m.বেতন@n+f.মাসিক মজুরি
reservation	n+f.সংরক্ষণ@n+f.বুকিং
foods	n+m.খাবার@n+m.খাদ্য
gourmet	n+m.ভোজনরসিক@a.সুস্বাদু
guard	n+m.প্রহরী@v.পাহারা দেওয়া
properly	ad.সঠিকভাবে@ad.যথাযথভাবে
orleans	n+m.অর্লিন্স
saving	n+f.সঞ্চয়@v.সংরক্ষণ করা
remaining	a.অবশিষ্ট@v.বাকি থাকা
empire	n+m.সাম্রাজ্য
resume	n+m.জীবনবৃত্তান্ত@v.পুনরায় শুরু করা
twenty	n+m.বিশ@a.বিশটি
newly	ad.সদ্য@ad.নতুনভাবে
raise	v.উত্তোলন করা@v.বাড়ানো@n+m.বেতন বৃদ্ধি
prepare	v.প্রস্তুত করা@v.তৈরি করা
avatar	n+m.অবতার
gary	n+m.গ্যারি
depending	prep.নির্ভর করে@v.নির্ভর করা
illegal	a.অবৈধ@a.বেআইনি
expansion	n+f.সম্প্রসারণ@n+f.বিস্তার
vary	v.পরিবর্তিত হওয়া@v.ভিন্ন হওয়া
hundreds	n+m.শত@n+m.শতাধিক
rome	n+m.রোম
arab	a.আরব@n+m.আরব ব্যক্তি
lincoln	n+m.লিংকন
helped	v.সাহায্য করা
premier	n+m.প্রধানমন্ত্রী@a.প্রধান
tomorrow	ad.আগামীকাল@n+m.আগামীকাল
purchased	v.ক্রয় করা@a.কেনা
milk	n+m.দুধ@v.দুধ দোহন করা
decide	v.সিদ্ধান্ত নেওয়া@v.নির্ধারণ করা
consent	n+f.সম্মতি@v.সম্মতি দেওয়া
drama	n+m.নাটক@n+f.নাটকীয়তা
visiting	a.পরিদর্শনকারী@v.পরিদর্শন করা
performing	a.অভিনয়কারী@v.পরিবেশন করা
downtown	n+m.শহরের কেন্দ্র@ad.শহরের কেন্দ্রে
keyboard	n+m.কীবোর্ড
contest	n+m.প্রতিযোগিতা@v.প্রতিদ্বন্দ্বিতা করা
collected	a.সংগৃহীত@v.সংগ্রহ করা
bands	n+m.ব্যান্ড@n+f.দল
boot	n+m.বুট@v.বুট করা
suitable	a.উপযুক্ত@a.যোগ্য
absolutely	ad.সম্পূর্ণরূপে@ad.অবশ্যই
millions	n+m.মিলিয়ন@n+m.লক্ষ লক্ষ
lunch	n+m.দুপুরের খাবার@n+m.লাঞ্চ
dildo	n+m.ডিলডো
audit	n+m.অডিট@v.অডিট করা
push	v.ঠেলা@n+m.ধাক্কা
chamber	n+m.কক্ষ@n+f.চেম্বার
guinea	n+f.গিনি
findings	n+f.অনুসন্ধান@n+m.ফলাফল
muscle	n+m.পেশী@n+f.শক্তি
featuring	v.বৈশিষ্ট্যযুক্ত@prep.সমন্বিত
implement	v.বাস্তবায়ন করা@n+m.যন্ত্র
clicking	v.ক্লিক করা@n+m.ক্লিক
scheduled	a.নির্ধারিত@v.সময়সূচী করা
polls	n+m.ভোট@n+f.জনমত জরিপ
typical	a.সাধারণ@a.আদর্শ
tower	n+m.টাওয়ার@n+f.মিনার
yours	pron.তোমার@pron.আপনার
sum	n+m.যোগফল@v.যোগ করা
misc	a.বিবিধ@n+m.বিবিধ
calculator	n+m.ক্যালকুলেটর
significantly	ad.উল্লেখযোগ্যভাবে@ad.গুরুত্বপূর্ণভাবে
chicken	n+m.মুরগি@n+m.মুরগির মাংস
temporary	a.অস্থায়ী@a.সাময়িক
attend	v.উপস্থিত থাকা@v.যোগদান করা
shower	n+m.ঝরনা@v.গোসল করা
alan	n+m.অ্যালান
sending	v.পাঠানো@n+m.প্রেরণ
jason	n+m.জেসন
tonight	ad.আজ রাতে@n+f.আজকের রাত
dear	a.প্রিয়@int.হায়
sufficient	a.পর্যাপ্ত@a.যথেষ্ট
shell	n+m.খোসা@n+m.শেল
province	n+f.প্রদেশ@n+m.প্রান্ত
catholic	a.ক্যাথলিক@n+m.ক্যাথলিক ব্যক্তি
oak	n+m.ওক@n+m.ওক গাছ
vat	n+m.মূল্য সংযোজন কর@n+m.বড় পাত্র
awareness	n+f.সচেতনতা@n+m.জ্ঞান
vancouver	n+m.ভ্যাঙ্কুভার
governor	n+m.গভর্নর@n+m.রাজ্যপাল
beer	n+m.বিয়ার@n+f.মদ
seemed	v.মনে হওয়া
contribution	n+f.অবদান@n+f.দান
measurement	n+m.পরিমাপ@n+f.মাপ
swimming	n+m.সাঁতার@v.সাঁতার কাটা
spyware	n+m.স্পাইওয়্যার
formula	n+f.সূত্র@n+m.ফর্মুলা
constitution	n+f.সংবিধান@n+m.গঠন
packaging	n+m.প্যাকেজিং@n+f.মোড়ক
solar	a.সৌর@a.সূর্যের
jose	n+m.হোসে
catch	v.ধরা@n+m.ধরা@n+m.লাভ
jane	n+f.জেন
pakistan	n+m.পাকিস্তান
reliable	a.নির্ভরযোগ্য@a.বিশ্বস্ত
consultation	n+f.পরামর্শ@n+f.আলোচনা
northwest	n+m.উত্তর-পশ্চিম@a.উত্তর-পশ্চিমী
sir	n+m.স্যার@n+m.মহোদয়
doubt	n+m.সন্দেহ@v.সন্দেহ করা
earn	v.উপার্জন করা@v.অর্জন করা
finder	n+m.আবিষ্কারক@n+m.সন্ধানকারী
unable	a.অক্ষম@a.অসমর্থ
periods	n+m.সময়কাল@n+f.ঋতুস্রাব
classroom	n+m.শ্রেণিকক্ষ
tasks	n+m.কাজ@n+f.কর্তব্য
democracy	n+f.গণতন্ত্র
attacks	n+m.আক্রমণ@v.আক্রমণ করা
kim	n+m.কিম@n+f.কিম
wallpaper	n+m.ওয়ালপেপার@n+m.দেয়াল কাগজ
merchandise	n+m.পণ্য@n+f.মালামাল
resistance	n+f.প্রতিরোধ@n+m.বাধা
doors	n+m.দরজা
symptoms	n+m.উপসর্গ@n+f.লক্ষণ
resorts	n+m.রিসোর্ট@v.অবলম্বন করা
biggest	a.সবচেয়ে বড়
memorial	n+m.স্মৃতিসৌধ@a.স্মারক
visitor	n+m.দর্শনার্থী@n+m.অতিথি
twin	n+m.যমজ@a.যমজ
forth	ad.সামনে@ad.এগিয়ে
insert	v.প্রবেশ করানো@n+m.সন্নিবেশ
baltimore	n+m.বাল্টিমোর
gateway	n+m.প্রবেশদ্বার@n+m.গেটওয়ে
alumni	n+m.প্রাক্তন ছাত্র
drawing	n+m.অঙ্কন@n+f.আঁকা
candidates	n+m.প্রার্থী
charlotte	n+f.শার্লট
ordered	a.আদেশকৃত@v.অর্ডার করা
biological	a.জৈবিক@a.জীববিদ্যাগত
fighting	n+m.লড়াই@v.যুদ্ধ করা
transition	n+f.রূপান্তর@n+m.পরিবর্তন
happens	v.ঘটা@v.হওয়া
preferences	n+f.পছন্দ@n+m.অগ্রাধিকার
spy	n+m.গুপ্তচর@v.গুপ্তচরবৃত্তি করা
romance	n+m.রোমান্স@n+f.প্রেমকাহিনী
instrument	n+m.যন্ত্র@n+m.উপকরণ
bruce	n+m.ব্রুস
split	v.বিভক্ত করা@n+m.বিভাজন
themes	n+m.থিম@n+f.বিষয়বস্তু
powers	n+f.ক্ষমতা@n+m.শক্তি
heaven	n+m.স্বর্গ@n+m.বেহেশত
bits	n+m.টুকরা@n+m.বিট
pregnant	a.গর্ভবতী
twice	ad.দুইবার@ad.দ্বিগুণ
classification	n+f.শ্রেণিবিভাগ@n+f.শ্রেণীবিন্যাস
focused	a.মনোযোগী@v.মনোযোগ দেওয়া
egypt	n+m.মিশর
physician	n+m.চিকিৎসক@n+m.ডাক্তার
hollywood	n+m.হলিউড
bargain	n+m.দর কষাকষি@v.দরদাম করা
wikipedia	n+f.উইকিপিডিয়া
cellular	a.কোষীয়@a.সেলুলার
norway	n+m.নরওয়ে
vermont	n+m.ভার্মন্ট
asking	v.জিজ্ঞাসা করা@n+m.জিজ্ঞাসা
blocks	n+m.ব্লক@v.বাধা দেওয়া
normally	ad.সাধারণত@ad.স্বাভাবিকভাবে
spiritual	a.আধ্যাত্মিক@a.আত্মিক
hunting	n+m.শিকার@v.শিকার করা
diabetes	n+m.ডায়াবেটিস@n+m.বহুমূত্র রোগ
suit	n+m.স্যুট@v.মানানসই হওয়া
shift	n+m.শিফট@v.স্থানান্তর করা
chip	n+m.চিপ@n+m.টুকরা
res	n+f.রেজোলিউশন@n+m.রেস
sit	v.বসা@v.অবস্থান করা
bodies	n+m.শরীর@n+f.সংস্থা
photographs	n+f.ছবি@n+m.ফটোগ্রাফ
cutting	n+m.কাটা@a.ধারালো
wow	int.বাহ@int.ওয়াও
simon	n+m.সাইমন
writers	n+m.লেখক
marks	n+m.চিহ্ন@n+m.নম্বর
flexible	a.নমনীয়@a.পরিবর্তনযোগ্য
loved	a.প্রিয়@v.ভালোবাসা
favourites	n+m.প্রিয়@n+f.পছন্দ
mapping	n+m.ম্যাপিং@n+f.মানচিত্র তৈরি
numerous	a.অসংখ্য@a.বহু
relatively	ad.তুলনামূলকভাবে@ad.অপেক্ষাকৃত
birds	n+m.পাখি
satisfaction	n+f.সন্তুষ্টি@n+m.তৃপ্তি
represents	v.প্রতিনিধিত্ব করা@v.উপস্থাপন করা
char	n+m.অক্ষর@v.পুড়িয়ে ফেলা
indexed	a.সূচীবদ্ধ@v.সূচিতে রাখা
pittsburgh	n+m.পিটসবার্গ
superior	a.উচ্চতর@n+m.ঊর্ধ্বতন
preferred	a.পছন্দনীয়@v.পছন্দ করা
saved	a.সংরক্ষিত@v.সংরক্ষণ করা
paying	v.পরিশোধ করা@a.অর্থ প্রদানকারী
cartoon	n+m.কার্টুন@n+f.ব্যঙ্গচিত্র
shots	n+m.শট@n+m.গুলি
intellectual	a.বুদ্ধিজীবী@n+m.বুদ্ধিজীবী ব্যক্তি
moore	n+m.মুর
granted	v.মঞ্জুর করা@conj.যদিও
choices	n+f.পছন্দ@n+m.বিকল্প
carbon	n+m.কার্বন
spending	n+m.ব্যয়@v.খরচ করা
comfortable	a.আরামদায়ক@a.সুখকর
magnetic	a.চৌম্বকীয়@a.আকর্ষণীয়
interaction	n+f.মিথস্ক্রিয়া@n+m.যোগাযোগ
listening	n+m.শোনা@v.শোনা
effectively	ad.কার্যকরভাবে@ad.ফলপ্রসূভাবে
registry	n+m.রেজিস্ট্রি@n+f.নিবন্ধন
crisis	n+f.সংকট@n+m.সমস্যা
outlook	n+m.দৃষ্টিভঙ্গি@n+m.আউটলুক
massive	a.বিশাল@a.ব্যাপক
denmark	n+m.ডেনমার্ক
employed	a.নিযুক্ত@v.নিয়োগ করা
bright	a.উজ্জ্বল@a.বুদ্ধিমান
treat	v.চিকিৎসা করা@n+m.আপ্যায়ন
header	n+m.হেডার@n+m.শিরোনাম
poverty	n+f.দারিদ্র্য@n+m.অভাব
formed	a.গঠিত@v.গঠন করা
piano	n+m.পিয়ানো
echo	n+m.প্রতিধ্বনি@v.প্রতিধ্বনিত হওয়া
que	n+m.সারি@n+f.কিউ
grid	n+m.গ্রিড@n+f.জালক
sheets	n+m.শীট@n+f.চাদর
patrick	n+m.প্যাট্রিক
experimental	a.পরীক্ষামূলক@a.পরীক্ষাগত
puerto	n+m.পুয়ের্তো
revolution	n+f.বিপ্লব@n+m.আবর্তন
consolidation	n+f.একত্রীকরণ@n+f.সংহতি
displays	n+m.প্রদর্শন@v.প্রদর্শন করা
plasma	n+m.প্লাজমা@n+m.রক্তরস
allowing	v.অনুমতি দেওয়া@prep.যদিও
earnings	n+f.উপার্জন@n+m.আয়
mystery	n+m.রহস্য@n+f.গোপন কথা
landscape	n+m.ভূদৃশ্য@n+f.প্রাকৃতিক দৃশ্য
dependent	a.নির্ভরশীল@n+m.আশ্রিত
mechanical	a.যান্ত্রিক@a.মেকানিক্যাল
journey	n+f.যাত্রা@n+m.ভ্রমণ
delaware	n+m.ডেলাওয়্যার
