a	art+m.un@art+f.una
bottleneck	n+m.cuello de botella
bottlenecks	n+m+pl.cuellos de botella
bottles	n+f.botellas
bottling	n+m.embotellado@vt.embotellando
bottom	n+m.fondo@a+m.inferior@a+f.inferior
bottomed	a.con fondo
bottomless	a.sin fondo@a.insondable
bottoms	n+m+pl.fondos@n+m+pl.traseros
botulinum	n+m.botulínico
boucher	n+m.Boucher
boudoir	n+m.tocador@n+m.boudoir
bough	n+f.rama
bought	v.compró
bouillon	n+m.caldo
boulder	n+f.roca@n+m.Boulder
boulders	n+f+pl.rocas@n+m+pl.peñascos
boulevard	n+m.bulevar
boulevards	n+m+pl.bulevares
boulogne	n+f.Bolonia
bounce	vi.rebotar@n+m.rebote
bounced	vi.rebotó@vt.rebotó
bouncer	n+m.portero@n+m.gorila
bouncers	n+m+pl.porteros@n+m+pl.gorilas
bounces	vi.rebota@n+m+pl.rebotes
bouncing	v.rebotando@a.que rebota
bouncy	a.elástico@a+f.elástica@a.animado@a+f.animada
bound	a+m.destinado@a+f.destinada@v.saltó
boundaries	n+m.límites@n+f.fronteras
boundary	n+m.límite@n+f.frontera
bounded	a+m.delimitado@a+f.delimitada
bounding	vi.saltando@a.limitante
boundless	a.ilimitado@a.infinito
bounds	n+m+pl.límites
bounties	n+f+pl.recompensas@n+f+pl.primas
bountiful	a+m.abundante@a+f.abundante@a.generoso
bounty	n+f.recompensa@n+f.generosidad
bouquet	n+m.ramo
bouquets	n+m+pl.ramos@n+m+pl.ramilletes
bourbon	n+m.bourbon
bourgeois	a+m.burgués@a+f.burguesa@n+m.burgués
bourgeoisie	n+f.burguesía
bourgogne	n+f.Borgoña
bourne	n+m.Bourne
bournemouth	n+m.Bournemouth
bourse	n+f.bolsa de valores
bout	n+m.combate@n+m.ataque
boutique	n+f.boutique
boutiques	n+f+pl.boutiques@n+f+pl.tiendas
bouts	n+m+pl.combates@n+m+pl.episodios
bovine	a+m.bovino@a+f.bovina
bow	n+m.arco@n+f.reverencia@vi.inclinarse
bowed	a+m.inclinado@a+f.inclinada@a+m.arqueado@a+f.arqueada
bowel	n+m.intestino
bowels	n+m+pl.intestinos@n+f+pl.entrañas
bowen	n+m.Bowen
bower	n+f.glorieta@n+m.cenador
bowers	n+m.Bowers
bowery	n+m.Bowery
bowie	n+m.Bowie
bowing	vi.inclinándose@n+m.reverencia
bowl	n+m.tazón@n+m.cuenco
bowled	vt.lanzó@vi.jugó a los bolos
bowler	n+m.jugador de bolos@n+m.bombín
bowlers	n+m+pl.jugadores de bolos@n+m+pl.bombines
bowling	n+m.bolos
bowls	n+m+pl.tazones@n+m+pl.boles
bowman	n+m.Bowman
bows	n+m+pl.arcos@n+f+pl.reverencias@vi.se inclina
bowyer	n+m.arquero@n+m.fabricante de arcos
box	n+f.caja
boxcar	n+m.vagón de carga
boxed	a+m.en caja@a+f.en caja
boxer	n+m.boxeador@n+f.boxeadora
boxers	n+m+pl.boxeadores@n+m+pl.bóxers
boxes	n+f.cajas
boxing	n+m.boxeo
boxwood	n+m.boj
boy	n+m.niño@n+m.chico
boycott	n+m.boicot@vt.boicotear
boycotts	n+m+pl.boicots@vt.boicotea
boyd	n+m.Boyd
boyer	n+m.Boyer
boyfriend	n+m.novio
boyfriends	n+m+pl.novios
boyhood	n+f.niñez@n+f.infancia
boyle	n+m.Boyle
boyne	n+m.Boyne
boys	n+m.niños@n+m.chicos
boz	n+m.Boz
bozo	n+m.bobo@n+m.payaso
bpm	n+m+pl.pulsaciones por minuto
bps	n+m+pl.bps@n+m+pl.bits por segundo
bra	n+m.sostén@n+m.sujetador
brabant	n+m.Brabante
brace	n+m.soporte@n+f.abrazadera@vt.prepararse
braced	vt.preparó@a+m.preparado@a+f.preparada@a.reforzado
bracelet	n+f.pulsera
bracelets	n+f.pulseras
braces	n+m+pl.tirantes@n+m+pl.frenillos@n+f+pl.llaves
bracing	a.vigorizante@n+m.refuerzo
bracken	n+m.helecho
bracket	n+m.corchete@n+f.abrazadera
bracketed	a+m.entre corchetes@a+f.entre corchetes@vt.puso entre paréntesis
brackets	n+m.corchetes
brackish	a+m.salobre@a+f.salobre
bracknell	n+m.Bracknell
brad	n+m.Brad
bradbury	n+m.Bradbury
braddock	n+m.Braddock
bradford	n+m.Bradford
bradley	n+m.Bradley
brads	n+f+pl.puntillas@n+m+pl.clavos pequeños
bradshaw	n+m.Bradshaw
bradstreet	n+m.Bradstreet
brady	n+m.Brady
brag	vi.presumir@n+f.fanfarronada
braga	n+f.Braga
bragg	n+m.Bragg
bragging	vt.presumiendo@n+f.fanfarronería
brahma	n+m.Brahma
brahman	n+m.brahmán
brahms	n+m.Brahms
braid	n+f.trenza@vt.trenzar
braided	a+m.trenzado@a+f.trenzada
braids	n+f+pl.trenzas@vt.trenza
braille	n+m.braille
brain	n+m.cerebro
brainchild	n+f.creación@n+m.invento
brains	n+m+pl.cerebros@n+f.inteligencia
brainstorm	n+f.lluvia de ideas@vi.hacer lluvia de ideas
brainstorming	n+f.lluvia de ideas
brainwashed	vt.lavó el cerebro@a.con el cerebro lavado
brainwashing	n+m.lavado de cerebro
brainy	a+m.inteligente@a+f.inteligente@a+m.listo@a+f.lista
braised	a+m.estofado@a+f.estofada@vt.estofó
brake	n+m.freno@vi.frenar
brakes	n+m.frenos
braking	n+m.frenado@vt.frenando
bramble	n+f.zarza
brampton	n+m.Brampton
bran	n+m.salvado
branch	n+f.rama@n+f.sucursal
branched	a+m.ramificado@a+f.ramificada
branches	n+f.ramas@n+f.sucursales
branching	n+f.ramificación@v.ramificando
brand	n+f.marca
branded	a+m.de marca@a+f.de marca
brandeis	n+m.Brandeis
branden	n+m.Branden
brandenburg	n+m.Brandeburgo
brandi	n+f.Brandi
branding	n+f.marca@n+m.branding
brando	n+m.Brando
brandon	n+m.Brandon
brands	n+f.marcas
brandt	n+m.Brandt
brandy	n+m.brandy@n+m.coñac
brant	n+m.Brant
brantford	n+m.Brantford
bras	n+m.sostenes
brash	a+m.impetuoso@a+f.impetuosa
brasil	n+m.Brasil
brasilia	n+f.Brasilia
brass	n+m.latón
brasserie	n+f.cervecería
brassica	n+f.brassica
brat	n+m.mocoso@n+f.mocosa
bratislava	n+f.Bratislava
brats	n+m+pl.mocosos@n+f+pl.salchichas
braun	n+m.Braun
braunschweig	n+m.Braunschweig
bravado	n+f.bravuconada
brave	a+m.valiente@a+f.valiente
bravely	ad.valientemente
bravery	n+f.valentía@n+m.coraje
braves	n+m+pl.valientes
bravo	int.bravo
brawl	n+f.pelea@n+f.riña@vi.pelearse
bray	n+m.rebuzno@vi.rebuznar@n+m.Bray
brazen	a+m.descarado@a+f.descarada
brazil	n+m.Brasil
brazilian	a+m.brasileño@a+f.brasileña@n+m.brasileño@n+f.brasileña
brazilians	n+m+pl.brasileños
brazing	n+f.soldadura fuerte
brazos	n+m.Brazos
brazzaville	n+m.Brazzaville
breach	n+f.brecha@n+m.incumplimiento
breached	vt.violó@a+m.violado@a+f.violada
breaches	n+f+pl.brechas@vt.incumple
breaching	vt.incumpliendo@vt.abriendo brecha
bread	n+m.pan
breadcrumb	n+f.miga de pan
breadcrumbs	n+m+pl.pan rallado@n+f+pl.migas de pan
breaded	a+m.empanizado@a+f.empanizada@a+m.rebozado@a+f.rebozada
breads	n+m+pl.panes
breadth	n+f.anchura@n+f.amplitud
break	n+m.descanso@n+f.ruptura@v.romper
breakage	n+f.rotura@n+m.deterioro
breakaway	n+f.escapada@a.disidente
breakdown	n+m.desglose@n+f.avería
breakdowns	n+f+pl.averías@n+m+pl.desgloses
breaker	n+m.interruptor@n+m.rompedor
breakers	n+m+pl.interruptores@n+f+pl.olas
breakfast	n+m.desayuno
breakfasts	n+m+pl.desayunos
breaking	v.rompiendo@a+m.de última hora
breakout	n+f.fuga@n+m.estallido
breakpoints	n+m+pl.puntos de interrupción
breaks	n+m.descansos@v.rompe
breakthrough	n+m.avance@n+m.adelanto
breakthroughs	n+m+pl.avances@n+m+pl.logros
breakup	n+f.ruptura@n+f.separación
breakwater	n+m.rompeolas
bream	n+m.besugo@n+f.brema
breast	n+m.seno@n+m.pecho
breasted	a.de pecho
breastfeed	vt.amamantar
breastfeeding	n+f.lactancia materna
breasts	n+m.senos
breaststroke	n+m.estilo pecho@n+f.braza
breath	n+m.aliento@n+f.respiración
breathable	a.transpirable
breathe	vi.respirar
breathed	vi.respiró
breather	n+m.respiro@n+m.descanso
breathes	vi.respira
breathing	n+f.respiración@v.respirando
breathless	a.sin aliento@a.jadeante
breaths	n+m+pl.alientos@n+f+pl.respiraciones
breathtaking	a.impresionante@a.asombroso
brecht	n+m.Brecht
breckenridge	n+m.Breckenridge
bred	vt.crió@a+m.criado@a+f.criada
breda	n+f.Breda
bree	n+f.Bree
breech	n+f.recámara@n+m.trasero
breeches	n+m+pl.calzones@n+f+pl.bragas
breed	n+f.raza@vt.criar
breeder	n+m.criador@n+f.criadora
breeders	n+m+pl.criadores@n+f+pl.criadoras
breeding	n+f.cría@n+f.reproducción
breeds	n+f.razas@vt.cría
breeze	n+f.brisa
breezes	n+f+pl.brisas
breezy	a.ventoso@a+f.ventosa@a.desenfadado@a+f.desenfadada
bremen	n+f.Bremen
brenda	n+f.Brenda
brendan	n+m.Brendan
brennan	n+m.Brennan
brenner	n+m.Brenner
brent	n+m.Brent
brenton	n+m.Brenton
brentwood	n+m.Brentwood
brescia	n+f.Brescia
brest	n+m.Brest
bret	n+m.Bret
bretagne	n+f.Bretaña
brethren	n+m+pl.hermanos@n+m+pl.cofrades
breton	a+m.bretón@a+f.bretona@n+m.bretón@n+f.bretona
brett	n+m.Brett
breuer	n+m.Breuer
breve	n+f.breve
brevity	n+f.brevedad
brew	vt.preparar@n+f.cerveza
brewed	vt.elaboró@a+m.elaborado@a+f.elaborada
brewer	n+m.cervecero@n+f.cervecera
breweries	n+f+pl.cervecerías
brewers	n+m+pl.cerveceros
brewery	n+f.cervecería
brewing	n+f.elaboración de cerveza@v.preparando
brews	vt.prepara@n+f+pl.cervezas
brewster	n+m.Brewster
breyer	n+m.Breyer
brian	n+m.Brian
briana	n+f.Briana
brianna	n+f.Brianna
briar	n+f.brezo@n+f.zarza
bribe	n+m.soborno@vt.sobornar
bribery	n+m.soborno@n+f.corrupción
bribes	n+m+pl.sobornos@vt.soborna
brice	n+m.Brice
brick	n+m.ladrillo
bricks	n+m+pl.ladrillos
brickyard	n+m.ladrillería
bridal	a+m.nupcial@a+f.nupcial
bride	n+f.novia
bridegroom	n+m.novio
brides	n+f+pl.novias
bridesmaid	n+f.dama de honor
bridesmaids	n+f+pl.damas de honor
bridge	n+m.puente
bridged	vt.unió@a+m.unido@a+f.unida
bridgeport	n+m.Bridgeport
bridger	n+m.Bridger
bridges	n+m.puentes
bridget	n+f.Brígida
bridgetown	n+m.Bridgetown
bridgette	n+f.Bridgette
bridging	v.uniendo@n+m.puente
bridle	n+f.brida@vt.embridar
brie	n+m.brie
brief	a+m.breve@a+f.breve@n+m.resumen
briefcase	n+m.maletín@n+f.cartera
briefcases	n+m+pl.maletines@n+f+pl.carteras
briefed	vt.informó@a+m.informado@a+f.informada
briefing	n+f.reunión informativa
briefings	n+f+pl.sesiones informativas
briefly	ad.brevemente
briefs	n+m.calzoncillos@n+m.informes
brier	n+m.zarza@n+f.brezo
brig	n+m.bergantín@n+f.cárcel militar
brigade	n+f.brigada
brigades	n+f+pl.brigadas
brigadier	n+m.brigadier
briggs	n+m.Briggs
brigham	n+m.Brigham
bright	a+m.brillante@a+f.brillante
brighten	vt.iluminar@vi.animarse
brightening	vt.iluminando@vi.aclarándose
brighter	a.más brillante
brightest	a.más brillante
brightly	ad.brillantemente@ad.con brillo
brightness	n+m.brillo
brighton	n+m.Brighton
brigid	n+f.Brígida
brigitte	n+f.Brigitte
brill	n+m.rodaballo
brilliance	n+f.brillantez@n+m.brillo
brilliant	a+m.brillante@a+f.brillante
brilliantly	ad.brillantemente
brim	n+m.borde@n+f.ala
brimming	a.rebosante@vi.rebosando
brimstone	n+m.azufre
brindle	a+m.atigrado@a+f.atigrada@n+m.pelaje atigrado
brine	n+f.salmuera
bring	v.traer
bringing	v.trayendo
brings	v.trae
brink	n+m.borde@n+m.al borde
brinkley	n+m.Brinkley
brio	n+m.brío
brisbane	n+m.Brisbane
brisk	a+m.enérgico@a+f.enérgica@a.rápido
brisket	n+f.pechuga@n+f.falda de res
briskly	ad.enérgicamente@ad.rápidamente
bristle	n+f.cerda@vi.erizarse
bristles	n+f+pl.cerdas@vi.se eriza
bristol	n+m.Bristol
brit	n+m.británico@n+f.británica
britain	n+f.Gran Bretaña
britannia	n+f.Britania
britannica	n+f.Británica
british	a+m.británico@a+f.británica
britney	n+f.Britney
briton	n+m.británico@n+f.británica
britons	n+m+pl.británicos
brits	n+m+pl.británicos@n+f+pl.británicas
britt	n+f.Britt
brittany	n+f.Bretaña
britten	n+m.Britten
brittle	a.frágil@a.quebradizo@a+f.quebradiza
brittney	n+f.Brittney
brno	n+m.Brno
bro	n+m.hermano
broad	a+m.amplio@a+f.amplia
broadband	n+f.banda ancha
broadcast	n+f.transmisión@v.transmitir
broadcaster	n+m.locutor@n+f.locutora@n+f.emisora
broadcasters	n+m+pl.emisoras@n+m+pl.locutores
broadcasting	n+f.radiodifusión@n+f.transmisión
broadcasts	n+f+pl.transmisiones@vt.transmite
broaden	vt.ampliar@vi.ampliarse
broadened	vt.amplió@a+m.ampliado@a+f.ampliada
broadening	n+m.ampliación@vi.ampliando
broadens	vt.amplía@vi.se amplía
broader	a+m.más amplio@a+f.más amplia
broadest	a.más amplio@a+f.más amplia
broadleaf	n+f.hoja ancha@a.de hoja ancha
broadly	ad.ampliamente
broads	n+f+pl.marismas@n+f+pl.mujeres
broadside	n+f.andanada@ad.de costado
broadway	n+m.Broadway
brocade	n+m.brocado
broccoli	n+m.brócoli
brochure	n+m.folleto
brochures	n+m.folletos
brock	n+m.Brock
brockton	n+m.Brockton
brodsky	n+m.Brodsky
brogan	n+m.borceguí@n+m.Brogan
broil	vt.asar a la parrilla@n+f.riña
broiled	a+m.asado a la parrilla@a+f.asada a la parrilla
broiler	n+m.pollo para asar@n+m.asador
brokaw	n+m.Brokaw
broke	a+m.sin dinero@a+f.sin dinero@v.rompió
broken	a+m.roto@a+f.rota
broker	n+m.corredor@n+f.corredora@n+m.agente
brokerage	n+m.corretaje
brokerages	n+m+pl.corretajes@n+f+pl.casas de bolsa
brokered	vt.medió@a+m.negociado@a+f.negociada
brokering	vt.mediando@n+f.intermediación
brokers	n+m.corredores@n+f.corredoras
broking	n+m.corretaje
bromide	n+m.bromuro
bromine	n+m.bromo
bromley	n+m.Bromley
bronchial	a.bronquial
bronchitis	n+f.bronquitis
bronco	n+m.potro salvaje
broncos	n+m+pl.potros
bronson	n+m.Bronson
bronte	n+f.Brontë
bronx	n+m.Bronx
bronze	n+m.bronce
brooch	n+m.broche
brooches	n+m+pl.broches
brood	n+f.cría@n+f.camada@vi.rumiar
brooding	a+m.melancólico@a+f.melancólica@vi.meditando
brook	n+m.arroyo
brooke	n+f.Brooke
brookes	n+m.Brookes
brooklyn	n+m.Brooklyn
brooks	n+m.Brooks
broom	n+f.escoba
brooms	n+f+pl.escobas
bros	n+m+pl.hermanos
broth	n+m.caldo
brothel	n+m.burdel
brothels	n+m+pl.burdeles
brother	n+m.hermano
brotherhood	n+f.hermandad@n+f.fraternidad
brotherly	a.fraternal
brothers	n+m.hermanos
brougham	n+m.berlina
brought	v.trajo
brow	n+f.ceja@n+f.frente
brown	a+m.marrón@a+f.marrón@n+m.marrón
browne	n+m.Browne
browned	vt.doró@a+m.dorado@a+f.dorada
brownfield	n+m.terreno industrial abandonado
brownian	a+m.browniano@a+f.browniana
brownie	n+m.brownie@n+f.duendecilla
brownies	n+m+pl.brownies
browning	n+m.Browning@v.dorando
brownish	a+m.parduzco@a+f.parduzca@a.amarronado
browns	n+m+pl.marrones
brownstone	n+f.piedra rojiza@n+f.casa de piedra rojiza
brownsville	n+m.Brownsville
brows	n+f+pl.cejas
browse	v.navegar@v.explorar
browsed	vt.navegó@vi.hojeó
browser	n+m.navegador
browsers	n+m.navegadores
browsing	n+f.navegación@v.navegando
brubeck	n+m.Brubeck
bruce	n+m.Bruce
brucellosis	n+f.brucelosis
bruckner	n+m.Bruckner
bruges	n+m.Brujas
bruin	n+m.oso pardo
bruins	n+m+pl.Bruins
bruise	n+m.moretón@n+m.hematoma@vt.magullar
bruised	a+m.magullado@a+f.magullada@vt.magulló
bruises	n+m+pl.moretones@n+f+pl.contusiones@vt.magulla
bruising	n+m.moretones@vt.magullando
brunch	n+m.brunch
brunei	n+m.Brunéi
brunel	n+m.Brunel
brunette	n+f.morena@a+m.moreno@a+f.morena
brunettes	n+f+pl.morenas
bruno	n+m.Bruno
brunswick	n+m.Brunswick
brunt	n+m.peso@n+m.embate
brush	n+m.cepillo@n+f.brocha@vt.cepillar
brushed	a+m.cepillado@a+f.cepillada
brushes	n+m+pl.cepillos@vt.cepilla
brushing	n+m.cepillado@vi.cepillando
brussels	n+f.Bruselas
brut	a.brut@a.seco
brutal	a+m.brutal@a+f.brutal
brutality	n+f.brutalidad
brutally	ad.brutalmente
brute	n+m.bruto@a.bruto@a+f.bruta
brutus	n+m.Bruto
bruxelles	n+f.Bruselas
bryan	n+m.Bryan
bryant	n+m.Bryant
bryce	n+m.Bryce
btl	n+m.btl
btu	n+m.BTU
bub	n+m.amigo@n+m.colega
bubba	n+m.Bubba
bubble	n+f.burbuja
bubblegum	n+m.chicle@a.chicle
bubbles	n+f+pl.burbujas@vi.burbujea
bubbling	vt.burbujeando@a.burbujeante
bubbly	a.burbujeante@n+m.champán
buccaneer	n+m.bucanero
buccaneers	n+m+pl.bucaneros
buchan	n+m.Buchan
buchanan	n+m.Buchanan
bucharest	n+m.Bucarest
buck	n+m.dólar@n+m.macho
buckaroo	n+m.vaquero
bucket	n+m.cubo@n+f.cubeta
buckets	n+m+pl.cubos@n+f+pl.cubetas
buckeye	n+m.castaño de Indias
buckeyes	n+m+pl.castaños de Indias
bucking	vi.corcoveando@vt.resistiendo
buckingham	n+m.Buckingham
buckinghamshire	n+m.Buckinghamshire
buckle	n+f.hebilla@vi.doblarse
buckled	vt.abrochó@a+m.abrochado@a+f.abrochada
buckles	n+f+pl.hebillas@vt.abrocha
buckley	n+m.Buckley
buckling	n+f.pandeo@vi.doblándose
buckner	n+m.Buckner
bucks	n+m.dólares
buckskin	n+f.piel de ante@n+m.ante
buckwheat	n+m.trigo sarraceno@n+m.alforfón
bud	n+m.brote@n+m.capullo
budapest	n+m.Budapest
buddha	n+m.Buda
buddhas	n+m+pl.budas
buddhism	n+m.budismo
buddhist	n+m.budista@n+f.budista@a+m.budista@a+f.budista
buddhists	n+m+pl.budistas
buddies	n+m+pl.amigos@n+m+pl.compañeros
budding	a.en ciernes@a.incipiente
buddy	n+m.amigo@n+m.compañero
budge	vi.moverse@vt.mover
budget	n+m.presupuesto
budgetary	a+m.presupuestario@a+f.presupuestaria
budgeted	a+m.presupuestado@a+f.presupuestada@vt.presupuestó
budgeting	n+f.presupuestación
budgets	n+m.presupuestos
budgie	n+m.periquito
buds	n+m+pl.brotes@n+f+pl.yemas
budweiser	n+m.Budweiser
bueno	a+m.bueno@a+f.buena
buff	n+m.aficionado@a+m.musculoso@vt.pulir
buffalo	n+m.búfalo
buffaloes	n+m+pl.búfalos
buffer	n+m.buffer
buffered	a+m.almacenado en búfer@a.amortiguado
buffering	n+m.almacenamiento en búfer
buffers	n+m+pl.búferes
buffet	n+m.bufé
buffets	n+m+pl.bufés@vt.golpea
buffing	vt.puliendo@n+m.pulido
buffs	n+m+pl.aficionados@vt.pule
buffy	n+f.Buffy
buford	n+m.Buford
bug	n+m.error@n+m.bicho
bugaboo	n+m.coco@n+m.espantajo
bugatti	n+m.Bugatti
bugged	vt.puso micrófonos@a+m.intervenido@a+f.intervenida
bugger	n+m.sodomita@int.maldición
buggies	n+m+pl.cochecitos@n+m+pl.buggies
bugging	vt.poniendo micrófonos@vt.molestando
buggy	n+m.cochecito@n+f.calesa@a.con errores
bugle	n+m.clarín@n+f.corneta
bugs	n+m.errores@n+m.bichos
bugzilla	n+m.Bugzilla
buhl	n+m.buhl@n+m.Buhl
buick	n+m.Buick
build	v.construir@n+f.construcción
builder	n+m.constructor
builders	n+m.constructores@n+f.constructoras
building	n+m.edificio@v.construyendo
buildings	n+m.edificios
builds	vt.construye
buildup	n+f.acumulación@n+m.aumento
built	v.construyó@a+m.construido@a+f.construida
builtin	a.incorporado@a+f.incorporada
bul	n+m.bul
bulb	n+f.bombilla@n+m.bulbo
bulbs	n+f.bombillas
bulfinch	n+m.camachuelo@n+m.Bulfinch
bulgari	n+m.Bulgari
bulgaria	n+f.Bulgaria
bulgarian	a+m.búlgaro@a+f.búlgara@n+m.búlgaro@n+f.búlgara
bulge	n+m.bulto@n+f.protuberancia@vi.abultarse
bulges	n+m+pl.bultos@vi.sobresale
bulging	a.abultado@a+m.protuberante@a+f.protuberante
bulimia	n+f.bulimia
bulk	n+m.volumen@a+m.a granel@a+f.a granel
bulkhead	n+m.mamparo
bulky	a+m.voluminoso@a+f.voluminosa
bull	n+m.toro
bulldog	n+m.bulldog
bulldogs	n+m+pl.bulldogs
bulldozer	n+m.bulldozer@n+f.excavadora
bulldozers	n+f+pl.excavadoras@n+m+pl.buldóceres
bullet	n+f.bala
bulletin	n+m.boletín
bulletins	n+m+pl.boletines
bulletproof	a.a prueba de balas@a.antibalas
bullets	n+f+pl.balas
bullfrog	n+f.rana toro
bullhead	n+m.siluro
bullied	vt.intimidó@a+m.intimidado@a+f.intimidada
bullies	n+m+pl.matones@vt.intimida
bullion	n+m.lingote
bullish	a.alcista@a.optimista
bullock	n+m.buey@n+m.Bullock
bullpen	n+m.bullpen@n+m.área de calentamiento
bulls	n+m+pl.toros
bullshit	n+f.mierda@n+f.tonterías
bully	n+m.matón@vt.intimidar
bullying	n+m.acoso@n+m.bullying
bum	n+m.vagabundo@n+m.trasero
bumble	vi.tropezar@vi.balbucear
bumblebee	n+m.abejorro
bummed	a+m.deprimido@a+f.deprimida@vt.pidió prestado
bummer	n+m.fastidio@n+f.decepción
bump	n+m.golpe@n+m.bulto@vt.chocar
bumped	vt.golpeó@vt.chocó
bumper	n+m.parachoques@a+m.abundante@a+f.abundante
bumpers	n+m+pl.parachoques
bumping	vt.golpeando@n+m.golpeteo
bumps	n+m+pl.bultos@n+m+pl.golpes@vt.golpea
bumpy	a+m.lleno de baches@a.agitado
bums	n+m+pl.vagabundos@n+m+pl.traseros
bun	n+m.bollo@n+m.moño
bunch	n+m.racimo@n+m.montón
bunches	n+m+pl.racimos@n+m+pl.manojos
buncombe	n+f.pamplina
bund	n+m.malecón@n+m.dique
bundle	n+m.paquete@n+m.fardo
bundled	a+m.empaquetado@a+f.empaquetada@vt.empaquetó
bundles	n+m+pl.paquetes
bundling	vt.empaquetando@n+m.empaquetamiento
bungalow	n+m.bungalow
bungalows	n+m+pl.bungalós@n+m+pl.chalets
bungee	n+m.puenting@n+f.cuerda elástica
bungle	vt.chapucear@n+f.chapuza
bunk	n+f.litera@n+f.tontería
bunker	n+m.búnker
bunkers	n+m+pl.búnkeres
bunnies	n+m+pl.conejitos
bunny	n+m.conejito
buns	n+m+pl.bollos@n+f+pl.nalgas
bunt	n+m.toque de bola@vt.tocar la bola
bunting	n+f.banderines@n+m.escribano
bunyan	n+m.Bunyan
buoy	n+f.boya@vt.mantener a flote
buoyancy	n+f.flotabilidad@n+f.boyancia
buoyant	a.boyante@a.optimista
buoys	n+f+pl.boyas@vt.anima
bur	n+f.rebaba
burbank	n+m.Burbank
burberry	n+m.Burberry
burch	n+m.Burch
burden	n+f.carga@n+m.peso
burdened	vt.cargó@a+m.cargado@a+f.cargada
burdens	n+f+pl.cargas@vt.carga
burdensome	a+m.oneroso@a+f.onerosa
bureau	n+m.oficina@n+f.agencia
bureaucracies	n+f+pl.burocracias
bureaucracy	n+f.burocracia
bureaucrat	n+m.burócrata@n+f.burócrata
bureaucratic	a+m.burocrático@a+f.burocrática
bureaucrats	n+m+pl.burócratas
bureaus	n+m+pl.burós@n+f+pl.oficinas
burg	n+m.burgo@n+f.ciudad
burgas	n+m.Burgas
burgeoning	a.floreciente@vi.floreciendo
burger	n+f.hamburguesa
burgers	n+f+pl.hamburguesas
burgess	n+m.Burgess
burgh	n+m.burgo
burglar	n+m.ladrón@n+f.ladrona
burglaries	n+m+pl.robos@n+m+pl.allanamientos
burglars	n+m+pl.ladrones
burglary	n+m.robo@n+m.allanamiento
burgos	n+m.Burgos
burgundy	n+f.Borgoña@a+m.burdeos@a+f.burdeos
burial	n+m.entierro@n+f.sepultura
burials	n+m+pl.entierros@n+f+pl.sepulturas
buried	a+m.enterrado@a+f.enterrada
burke	n+m.Burke
burks	n+m.Burks
burl	n+m.nudo@n+f.protuberancia
burleigh	n+m.Burleigh
burlesque	n+m.burlesco@a+m.burlesco@a+f.burlesca
burley	n+m.Burley@n+m.tabaco burley
burlington	n+m.Burlington
burly	a+m.corpulento@a+f.corpulenta@a+m.fornido@a+f.fornida
burma	n+f.Birmania
burmese	a+m.birmano@a+f.birmana@n+m.birmano@n+f.birmana
burn	vt.quemar@vi.arder@n+f.quemadura
burnaby	n+m.Burnaby
burned	a+m.quemado@a+f.quemada
burner	n+m.quemador
burners	n+m+pl.quemadores
burnet	n+m.Burnet
burnett	n+m.Burnett
burney	n+m.Burney
burning	v.quemando@a+m.ardiente@a+f.ardiente
burnished	a+m.bruñido@a+f.bruñida@vt.bruñó
burnley	n+m.Burnley
burnout	n+m.agotamiento@n+m.desgaste profesional
burns	n+f.quemaduras@vt.quema
burnside	n+m.Burnside
burnt	a+m.quemado@a+f.quemada
burp	n+m.eructo@vi.eructar
burr	n+f.rebaba@n+m.Burr
burris	n+m.Burris
burrito	n+m.burrito
burritos	n+m+pl.burritos
burroughs	n+m.Burroughs
burrow	n+f.madriguera@vi.excavar
burrowing	vi.excavando@a+m.excavador@a+f.excavadora
burrows	n+f+pl.madrigueras@vi.excava
bursa	n+f.bolsa@n+f.Bursa
bursar	n+m.tesorero
bursaries	n+f+pl.becas
bursary	n+f.beca
burst	n+f.explosión@vi.estallar
bursting	vi.reventando@a.a punto de estallar
bursts	n+m+pl.estallidos@vi.estalla
burt	n+m.Burt
burton	n+m.Burton
burundi	n+m.Burundi
bury	vt.enterrar
burying	vt.enterrando
bus	n+m.autobús
busby	n+m.gorro de piel@n+m.Busby
busch	n+m.Busch
buses	n+m.autobuses
bush	n+m.arbusto
bushel	n+m.bushel@n+f.fanega
bushels	n+m+pl.bushels@n+f+pl.fanegas
bushes	n+m+pl.arbustos@n+f+pl.matas
bushing	n+m.buje@n+m.casquillo
bushings	n+m+pl.casquillos@n+m+pl.bujes
bushman	n+m.bosquimano
bushnell	n+m.Bushnell
bushy	a+m.espeso@a+f.espesa@a+m.poblado@a+f.poblada
busier	a+m.más ocupado@a+f.más ocupada
busiest	a.más ocupado@a.más concurrido
busily	ad.afanosamente
business	n+m.negocio@n+f.empresa
businesses	n+m.negocios
businessman	n+m.empresario@n+m.hombre de negocios
businessmen	n+m+pl.hombres de negocios@n+m+pl.empresarios
businesswoman	n+f.empresaria@n+f.mujer de negocios
buss	n+m.beso@vt.besar
busses	n+m+pl.autobuses
bust	n+m.busto@vt.arrestar
busted	a+m.roto@a+f.rota@a.arrestado
buster	n+m.rompe
busters	n+m+pl.cazadores@n+m+pl.rompedores
bustier	n+m.bustier@n+m.corpiño
bustiers	n+m+pl.corpiños
busting	vt.reventando@n+m.arresto
bustle	n+m.bullicio@vi.ajetrear
bustling	a.bullicioso@a+f.bulliciosa
busts	n+m+pl.bustos@vt.revienta
