the	art.—
situations	n+f.स्थितियाँ
fifth	a+m.पाँचवाँ@a+f.पाँचवीं
allocated	v.आवंटित किया@a.आवंटित
citizen	n+m.नागरिक
vertical	a.ऊर्ध्वाधर@a.लंबवत
corrections	n+m.सुधार
structural	a.संरचनात्मक
municipal	a.नगरपालिका
describes	v.वर्णन करता है
prize	n+m.पुरस्कार@n+f.इनाम
occurs	v.होता है@v.घटित होता है
jon	n+m.जॉन
absolute	a.पूर्ण@a.निरपेक्ष
disabilities	n+f.विकलांगताएँ
consists	v.शामिल है
anytime	ad.कभी भी
substance	n+m.पदार्थ@n+f.वस्तु
prohibited	v.निषेध किया@a.निषिद्ध
addressed	v.संबोधित किया@a.संबोधित
lies	v.झूठ बोलता है@n+m.झूठ
pipe	n+f.पाइप@n+m.नली
soldiers	n+m.सैनिक
guardian	n+m.अभिभावक@n+m.संरक्षक
lecture	n+m.व्याख्यान@v.व्याख्यान देना
simulation	n+f.सिमुलेशन@n+m.अनुकरण
layout	n+m.लेआउट@n+f.रूपरेखा
initiatives	n+f.पहल
ill	a.बीमार@a.बुरा
concentration	n+f.एकाग्रता@n+m.संकेंद्रण
classics	n+m.क्लासिक्स
lbs	n+m.पाउंड
lay	v.रखना@v.लेटना
interpretation	n+f.व्याख्या
horses	n+m.घोड़े
dirty	a+m.गंदा@a+f.गंदी
deck	n+m.डेक@n+f.मंज़िल
wayne	n+m.वेन
donate	v.दान करना
taught	v.सिखाया@a.पढ़ाया गया
bankruptcy	n+f.दिवालियापन
worker	n+m.कर्मचारी@n+m.मज़दूर
optimization	n+m.अनुकूलन
alive	a.जीवित
temple	n+m.मंदिर
substances	n+m.पदार्थ
prove	v.साबित करना
discovered	v.खोजा@a.खोजा गया
wings	n+m.पंख
breaks	v.तोड़ता है@n+m.विराम
genetic	a.आनुवंशिक
restrictions	n+f.प्रतिबंध
participating	v.भाग ले रहा
waters	n+m.जल@n+f.पानी
promise	n+m.वादा@v.वादा करना
thin	a+m.पतला@a+f.पतली
exhibition	n+f.प्रदर्शनी
prefer	v.पसंद करना
ridge	n+f.चोटी@n+m.कंटक
cabinet	n+f.अलमारी@n+m.मंत्रिमंडल
modem	n+m.मॉडेम
harris	n+m.हैरिस
mph	n+m.मील प्रति घंटा
bringing	v.ला रहा
sick	a.बीमार
dose	n+f.खुराक
evaluate	v.मूल्यांकन करना
tiffany	n+f.टिफ़नी
tropical	a.उष्णकटिबंधीय
collect	v.एकत्र करना
bet	n+f.शर्त@v.शर्त लगाना
composition	n+f.रचना@n+m.संयोजन
toyota	n+m.टोयोटा
streets	n+f.सड़कें
nationwide	a.राष्ट्रव्यापी@ad.देश भर में
vector	n+m.वेक्टर
definitely	ad.निश्चित रूप से
shaved	v.मुंडा@a.मुंडा हुआ
turning	v.मुड़ रहा@n+f.मोड़
buffer	n+m.बफर
purple	a+m.बैंगनी@a+f.बैंगनी@n+m.बैंगनी रंग
existence	n+f.अस्तित्व
commentary	n+f.टिप्पणी
larry	n+m.लैरी
limousines	n+f.लिमोज़िन
developments	n+m.विकास
def	n+f.परिभाषा
immigration	n+f.आप्रवासन
destinations	n+m.गंतव्य
lets	v.देता है@v.अनुमति देता है
mutual	a.आपसी@a.पारस्परिक
pipeline	n+f.पाइपलाइन
necessarily	ad.अनिवार्य रूप से
syntax	n+m.वाक्य विन्यास
attribute	n+m.गुण@v.श्रेय देना
prison	n+m.जेल@n+f.कारागार
skill	n+m.कौशल
chairs	n+f.कुर्सियाँ
everyday	a.रोज़मर्रा
apparently	ad.जाहिर तौर पर
surrounding	a.आसपास का@v.घेर रहा
mountains	n+m.पहाड़
moves	v.हिलता है@n+f.चालें
popularity	n+f.लोकप्रियता
inquiry	n+f.जाँच@n+m.पूछताछ
ethernet	n+m.ईथरनेट
checked	v.जाँचा@a.जाँचा हुआ
exhibit	n+f.प्रदर्शनी@v.प्रदर्शित करना
throw	v.फेंकना@n+m.फेंक
trend	n+m.रुझान@n+f.प्रवृत्ति
sierra	n+f.पर्वत श्रृंखला
visible	a.दृश्यमान
cats	n+f.बिल्लियाँ
desert	n+m.रेगिस्तान@v.छोड़ देना
oldest	a.सबसे पुराना
rhode	n+m.रोड
busty	a.भरी हुई छाती वाली
coordinator	n+m.समन्वयक
obviously	ad.स्पष्ट रूप से
mercury	n+m.पारा@n+m.बुध
steven	n+m.स्टीवन
handbook	n+f.पुस्तिका
greg	n+m.ग्रेग
navigate	v.नेविगेट करना
worse	a.बदतर@ad.बदतर तरीके से
summit	n+f.शिखर@n+m.सम्मेलन
victims	n+m.पीड़ित
spaces	n+f.जगहें@n+m.अंतराल
fundamental	a.मौलिक
burning	v.जल रहा@a.जलता हुआ
escape	v.बचना@n+f.पलायन
coupons	n+m.कूपन
somewhat	ad.कुछ हद तक
receiver	n+m.रिसीवर@n+m.प्राप्तकर्ता
substantial	a.पर्याप्त@a.मूल
progressive	a.प्रगतिशील
boats	n+f.नावें
glance	n+f.नज़र@v.देखना
scottish	a.स्कॉटिश
championship	n+f.चैंपियनशिप
arcade	n+m.आर्केड
richmond	n+m.रिचमंड
sacramento	n+m.सैक्रामेंटो
impossible	a.असंभव
ron	n+m.रॉन
russell	n+m.रसेल
tells	v.बताता है
obvious	a.स्पष्ट
depression	n+f.अवसाद@n+m.मंदी
graph	n+m.ग्राफ
covering	v.कवर कर रहा@n+f.आवरण
platinum	n+m.प्लैटिनम
judgment	n+m.निर्णय@n+f.फैसला
bedrooms	n+m.शयनकक्ष
talks	v.बात करता है@n+f.वार्ता
filing	v.दाखिल कर रहा@n+f.फाइलिंग
foster	v.पालना@a.पालक
passing	v.गुज़र रहा@a.गुज़रता हुआ
awarded	v.सम्मानित किया@a.पुरस्कृत
testimonials	n+m.प्रशंसापत्र
trials	n+m.परीक्षण
tissue	n+m.ऊतक@n+m.टिश्यू
memorabilia	n+f.यादगार वस्तुएँ
clinton	n+m.क्लिंटन
masters	n+m.मास्टर@v.महारत हासिल करता है
bonds	n+m.बॉन्ड@n+m.बंधन
cartridge	n+m.कारतूस@n+f.कार्ट्रिज
alberta	n+m.अल्बर्टा
explanation	n+f.व्याख्या@n+m.स्पष्टीकरण
folk	n+m.लोक@a.लोक
org	n+m.संगठन
commons	n+m.कॉमन्स
cincinnati	n+m.सिनसिनाटी
subsection	n+m.उपखंड
fraud	n+m.धोखाधड़ी
electricity	n+f.बिजली
permitted	v.अनुमति दी@a.अनुमत
spectrum	n+m.स्पेक्ट्रम
arrival	n+f.आगमन
okay	a.ठीक@int.ठीक है
pottery	n+f.मिट्टी के बर्तन
emphasis	n+m.जोर
roger	n+m.रोजर
aspect	n+m.पहलू
workplace	n+m.कार्यस्थल
awesome	a.अद्भुत@a.शानदार
mexican	a.मेक्सिकन@n+m.मेक्सिकन
confirmed	v.पुष्टि की@a.पुष्ट
counts	v.गिनता है@n+f.गिनती
priced	v.कीमत लगाई@a.मूल्य निर्धारित
wallpapers	n+m.वॉलपेपर
hist	n+m.इतिहास
crash	n+m.दुर्घटना@v.टकराना
lift	v.उठाना@n+m.लिफ्ट
desired	v.इच्छित था@a.वांछित
inter	a.अंतर
closer	a.निकट@ad.करीब
assumes	v.मान लेता है
heights	n+f.ऊँचाइयाँ
shadow	n+f.छाया
riding	v.सवारी कर रहा@n+f.सवारी
infection	n+m.संक्रमण
firefox	n+m.फायरफॉक्स
lisa	n+f.लिसा
expense	n+m.खर्च
grove	n+m.उपवन
eligibility	n+f.पात्रता
venture	n+m.उद्यम@v.साहस करना
clinic	n+m.क्लिनिक
korean	a.कोरियाई@n+f.कोरियाई भाषा
healing	n+f.चिकित्सा@v.ठीक कर रहा
princess	n+f.राजकुमारी
mall	n+m.मॉल
entering	v.प्रवेश कर रहा
packet	n+m.पैकेट
spray	n+m.स्प्रे@v.छिड़काव करना
studios	n+m.स्टूडियो
involvement	n+f.भागीदारी
dad	n+m.पिताजी
buttons	n+m.बटन
placement	n+f.नियुक्ति
observations	n+m.अवलोकन
funded	v.वित्त पोषित किया@a.वित्त पोषित
thompson	n+m.थॉम्पसन
winners	n+m.विजेता
extend	v.विस्तार करना
roads	n+f.सड़कें
subsequent	a.बाद का
pat	n+m.पैट@v.थपथपाना
dublin	n+m.डबलिन
rolling	v.लुढ़क रहा@a.लुढ़कता हुआ
fell	v.गिरा@v.गिर गया
motorcycle	n+f.मोटरसाइकिल
yard	n+m.यार्ड@n+m.आँगन
disclosure	n+m.खुलासा
establishment	n+m.स्थापना@n+f.संस्था
memories	n+f.यादें
nelson	n+m.नेल्सन
arrived	v.पहुँचा
creates	v.बनाता है
faces	n+m.चेहरे@v.सामना करता है
tourist	n+m.पर्यटक
cocks	n+m.मुर्गे@n+m.लिंग
mayor	n+m.महापौर
murder	n+f.हत्या@v.हत्या करना
sean	n+m.शॉन
adequate	a.पर्याप्त
senator	n+m.सीनेटर
yield	v.उपज देना@n+f.उपज
presentations	n+f.प्रस्तुतियाँ
grades	n+f.कक्षाएँ@n+m.ग्रेड
cartoons	n+m.कार्टून
pour	v.डालना
digest	v.पचाना@n+m.संग्रह
reg	n+m.पंजीकरण
lodging	n+m.आवास
dust	n+f.धूल
hence	ad.इसलिए
wiki	n+m.विकी
entirely	ad.पूरी तरह से
replaced	v.बदला@a.प्रतिस्थापित
radar	n+m.रडार
rescue	v.बचाना@n+f.बचाव
undergraduate	n+m.स्नातक@a.स्नातक
losses	n+f.हानियाँ
combat	n+m.युद्ध@v.लड़ना
reducing	v.कम कर रहा
stopped	v.रुका@a.रुका हुआ
occupation	n+m.व्यवसाय@n+f.कब्ज़ा
lakes	n+f.झीलें
butt	n+m.नितंब@v.सिर मारना
donations	n+m.दान
associations	n+m.संघ
closely	ad.निकट से
radiation	n+f.विकिरण
diary	n+f.डायरी
seriously	ad.गंभीरता से
kings	n+m.राजा
shooting	v.शूटिंग कर रहा@n+f.शूटिंग
kent	n+m.केंट
adds	v.जोड़ता है
ear	n+m.कान
flags	n+m.झंडे
baker	n+m.बेकर@n+m.नानबाई
launched	v.शुरू किया@a.लॉन्च किया
elsewhere	ad.कहीं और
pollution	n+m.प्रदूषण
conservative	a.रूढ़िवादी@n+m.रूढ़िवादी
guestbook	n+f.अतिथि पुस्तिका
shock	n+m.आघात@n+m.झटका@v.चौंकाना
effectiveness	n+f.प्रभावशीलता
walls	n+f.दीवारें
abroad	ad.विदेश में
ebony	n+m.आबनूस@a.काला
tie	n+f.टाई@n+m.बंधन@v.बांधना
ward	n+m.वार्ड@n+m.अभिरक्षा
drawn	a.खींचा हुआ@v.खींचा
arthur	n+m.आर्थर
ian	n+m.इयान
visited	v.गया@a.भेंट किया हुआ
roof	n+f.छत
walker	n+m.पैदल चलने वाला@n+m.वॉकर
demonstrate	v.प्रदर्शित करना@v.दिखाना
atmosphere	n+m.वातावरण@n+m.वायुमंडल
suggests	v.सुझाता है
kiss	n+m.चुंबन@v.चूमना
beast	n+m.जानवर@n+m.पशु
operated	v.संचालित किया@a.संचालित
experiment	n+m.प्रयोग@v.प्रयोग करना
targets	n+m.लक्ष्य@v.लक्षित करता है
overseas	ad.विदेश में@a.विदेशी
purchases	n+f.खरीदारी@v.खरीदता है
dodge	v.बचना@n+m.डॉज
counsel	n+m.परामर्श@n+m.वकील@v.सलाह देना
federation	n+m.संघ@n+m.महासंघ
pizza	n+m.पिज़्ज़ा
invited	v.आमंत्रित किया@a.आमंत्रित
yards	n+m.गज@n+m.आंगन
assignment	n+m.कार्य@n+f.नियुक्ति
chemicals	n+m.रसायन
gordon	n+m.गॉर्डन
mod	n+m.मॉड@a.आधुनिक
farmers	n+m.किसान
queries	n+f.प्रश्न@v.पूछताछ करता है
rush	n+f.भागदौड़@v.जल्दी करना
ukraine	n+m.यूक्रेन
absence	n+f.अनुपस्थिति
nearest	a.निकटतम
cluster	n+m.समूह@n+m.गुच्छा@v.एकत्रित होना
vendors	n+m.विक्रेता
whereas	conj.जबकि
yoga	n+m.योग
serves	v.सेवा करता है
woods	n+m.जंगल@n+f.लकड़ी
surprise	n+m.आश्चर्य@v.चौंकाना
lamp	n+m.दीपक@n+m.लैंप
rico	n+m.रीको
partial	a.आंशिक@a.पक्षपाती
shoppers	n+m.खरीदार
phil	n+m.फिल
everybody	pron.सभी@pron.हर कोई
couples	n+m.जोड़े
nashville	n+m.नैशविल
ranking	n+f.रैंकिंग@a.वरिष्ठ
jokes	n+m.चुटकुले@v.मज़ाक करता है
simpson	n+m.सिम्पसन
sublime	a.उत्कृष्ट@a.महान
palace	n+m.महल
acceptable	a.स्वीकार्य
satisfied	a.संतुष्ट
glad	a.खुश@a.प्रसन्न
wins	n+f.जीत@v.जीतता है
measurements	n+m.माप
verify	v.सत्यापित करना
globe	n+m.ग्लोब@n+f.पृथ्वी
trusted	a.विश्वसनीय@v.भरोसा किया
copper	n+m.तांबा@a.तांबे का
milwaukee	n+m.मिल्वौकी
rack	n+m.रैक@n+f.अलमारी
medication	n+f.दवा@n+m.औषधि
warehouse	n+m.गोदाम
shareware	n+m.शेयरवेयर
rep	n+m.प्रतिनिधि
kerry	n+m.केरी
receipt	n+f.रसीद
supposed	a.माना गया@a.कथित
ordinary	a.साधारण@a.सामान्य
nobody	pron.कोई नहीं
ghost	n+m.भूत@n+f.आत्मा
violation	n+m.उल्लंघन
configure	v.कॉन्फ़िगर करना@v.विन्यस्त करना
stability	n+f.स्थिरता
applying	v.लागू करना@v.आवेदन करना
southwest	n+m.दक्षिण-पश्चिम@a.दक्षिण-पश्चिमी
boss	n+m.बॉस@n+m.मालिक
pride	n+m.गर्व@n+f.अभिमान
institutional	a.संस्थागत
expectations	n+f.अपेक्षाएं
independence	n+f.स्वतंत्रता
knowing	v.जानना@a.जानकार
reporter	n+m.पत्रकार@n+m.संवाददाता
metabolism	n+m.चयापचय
keith	n+m.कीथ
champion	n+m.चैंपियन@n+m.विजेता
cloudy	a.बादल वाला@a.धुंधला
linda	n+f.लिंडा
ross	n+m.रॉस
personally	ad.व्यक्तिगत रूप से
chile	n+m.चिली
anna	n+f.अन्ना
plenty	n+f.बहुतायत@ad.बहुत
solo	a.एकल@n+m.एकल प्रदर्शन@ad.अकेले
sentence	n+m.वाक्य@n+f.सज़ा@v.दंडित करना
throat	n+m.गला
ignore	v.अनदेखा करना@v.उपेक्षा करना
maria	n+f.मारिया
uniform	n+f.वर्दी@a.एक समान
excellence	n+f.उत्कृष्टता
wealth	n+f.संपत्ति@n+m.धन
tall	a.लंबा@a.ऊंचा
somewhere	ad.कहीं
vacuum	n+m.शून्य@n+m.वैक्यूम@v.वैक्यूम करना
dancing	n+m.नृत्य@v.नाचना
attributes	n+m.गुण@v.के कारण मानता है
recognize	v.पहचानना@v.मान्यता देना
brass	n+m.पीतल@a.पीतल का
writes	v.लिखता है
plaza	n+m.प्लाज़ा@n+m.चौक
outcomes	n+m.परिणाम
survival	n+f.उत्तरजीविता@n+m.अस्तित्व
quest	n+f.खोज@n+m.अभियान
publish	v.प्रकाशित करना
sri	n+m.श्री
screening	n+f.जांच@n+f.स्क्रीनिंग
toe	n+m.पैर का अंगूठा
thumbnail	n+m.थंबनेल@n+m.अंगूठे का नाखून
trans	a.पार@prep.के पार
jonathan	n+m.जोनाथन
whenever	conj.जब भी
nova	n+f.नोवा@n+m.नया तारा
lifetime	n+m.जीवनकाल@a.आजीवन
pioneer	n+m.अग्रदूत@v.अग्रणी होना
booty	n+f.लूट@n+m.माल
forgotten	a.भुला दिया गया@v.भूल गया
acrobat	n+m.कलाबाज़
plates	n+f.प्लेटें@n+f.थालियां
acres	n+m.एकड़
venue	n+m.स्थान@n+m.स्थल
athletic	a.खेलकूद संबंधी@a.एथलेटिक
thermal	a.ऊष्मीय@n+m.गर्म झरना
essays	n+m.निबंध
behaviour	n+m.व्यवहार@n+f.आचरण
vital	a.महत्वपूर्ण@a.जीवन संबंधी
telling	a.प्रभावशाली@v.बताना
fairly	ad.काफी@ad.निष्पक्ष रूप से
coastal	a.तटीय
charity	n+f.दान@n+f.परोपकार संस्था
intelligent	a.बुद्धिमान@a.समझदार
edinburgh	n+m.एडिनबर्ग
excel	v.उत्कृष्ट होना@n+m.एक्सेल
modes	n+m.तरीके@n+m.मोड
obligation	n+f.बाध्यता@n+m.दायित्व
campbell	n+m.कैंपबेल
wake	v.जागना@n+f.जागृति@n+m.मृत्यु संस्कार
stupid	a.मूर्ख@a.बेवकूफ
hungary	n+m.हंगरी
segment	n+m.खंड@n+m.भाग@v.विभाजित करना
realize	v.समझना@v.महसूस करना
regardless	ad.परवाह किए बिना@a.लापरवाह
enemy	n+m.दुश्मन@n+m.शत्रु
puzzle	n+f.पहेली@v.उलझन में डालना
rising	a.बढ़ता हुआ@n+m.उदय
wells	n+m.कुएं@n+m.वेल्स
opens	v.खोलता है
insight	n+f.अंतर्दृष्टि@n+m.समझ
shit	n+m.मल@int.अरे@v.मल त्यागना
restricted	a.प्रतिबंधित@a.सीमित
republican	n+m.गणतंत्रवादी@a.गणतंत्रीय
secrets	n+m.रहस्य
lucky	a.भाग्यशाली
latter	a.बाद वाला@pron.दूसरा
merchants	n+m.व्यापारी
thick	a.मोटा@a.घना
trailers	n+m.ट्रेलर
repeat	v.दोहराना@n+m.दोहराव
syndrome	n+m.सिंड्रोम@n+m.लक्षण समूह
philips	n+m.फिलिप्स
attendance	n+f.उपस्थिति
penalty	n+f.सज़ा@n+m.जुर्माना@n+m.पेनल्टी
drum	n+m.ढोल@n+m.ड्रम@v.बजाना
glasses	n+m.चश्मा@n+m.गिलास
enables	v.सक्षम बनाता है
iraqi	a.इराकी@n+m.इराकी व्यक्ति
builder	n+m.निर्माता@n+m.बिल्डर
vista	n+m.दृश्य@n+m.विस्टा
jessica	n+f.जेसिका
chips	n+m.चिप्स@n+m.टुकड़े
terry	n+m.टेरी
flood	n+f.बाढ़@v.बाढ़ आना
ease	n+f.आसानी@v.आराम देना
arguments	n+m.तर्क@n+m.बहस
amsterdam	n+m.एम्स्टर्डम
orgy	n+f.रंगरेली@n+m.उत्सव
arena	n+m.मैदान@n+f.रंगभूमि
adventures	n+m.रोमांच@n+f.साहसिक यात्रा
pupils	n+m.छात्र@n+f.पुतली
stewart	n+m.स्टीवर्ट
announcement	n+f.घोषणा
tabs	n+m.टैब@n+f.पट्टियां
outcome	n+m.परिणाम@n+m.नतीजा
appreciate	v.सराहना करना@v.मूल्य बढ़ना
expanded	a.विस्तारित@v.फैलाया
casual	a.आकस्मिक@a.अनौपचारिक
grown	a.बड़ा हुआ@v.उगाया
polish	v.पॉलिश करना@n+f.पॉलिश@a.पोलिश
lovely	a.सुंदर@a.प्यारा
extras	n+m.अतिरिक्त@n+m.एक्स्ट्रा
centres	n+m.केंद्र
jerry	n+m.जेरी
clause	n+m.खंड@n+f.धारा
smile	n+f.मुस्कान@v.मुस्कुराना
lands	n+f.भूमि@v.उतरता है
troops	n+f.सेना@n+m.सैनिक
indoor	a.घर के अंदर का@a.इनडोर
bulgaria	n+m.बुल्गारिया
armed	a.सशस्त्र
broker	n+m.दलाल@n+m.ब्रोकर
charger	n+m.चार्जर
regularly	ad.नियमित रूप से
believed	v.विश्वास किया@a.माना गया
pine	n+m.देवदार@v.तड़पना
cooling	n+f.शीतलन@a.ठंडा करने वाला
tend	v.प्रवृत्त होना@v.देखभाल करना
gulf	n+m.खाड़ी
rick	n+m.रिक
trucks	n+m.ट्रक
mechanisms	n+m.तंत्र@n+f.प्रणाली
divorce	n+m.तलाक@v.तलाक देना
laura	n+f.लॉरा
shopper	n+m.खरीदार
tokyo	n+m.टोक्यो
partly	ad.आंशिक रूप से
nikon	n+m.निकॉन
customize	v.अनुकूलित करना
tradition	n+f.परंपरा
candy	n+f.कैंडी@n+f.मिठाई
pills	n+f.गोलियां
tiger	n+m.बाघ
donald	n+m.डोनाल्ड
folks	n+m.लोग@n+m.परिवार
sensor	n+m.सेंसर@n+m.संवेदक
exposed	a.उजागर@v.प्रकट किया
hunt	v.शिकार करना@n+m.शिकार
angels	n+m.देवदूत@n+f.परी
deputy	n+m.उप@n+m.प्रतिनिधि
indicators	n+m.संकेतक
sealed	a.सील बंद@v.सील किया
thai	a.थाई@n+m.थाई व्यक्ति
emissions	n+m.उत्सर्जन
physicians	n+m.चिकित्सक
loaded	a.भरा हुआ@v.लोड किया
fred	n+m.फ्रेड
complaint	n+f.शिकायत
scenes	n+m.दृश्य
experiments	n+m.प्रयोग
balls	n+m.गेंदें
afghanistan	n+m.अफगानिस्तान
boost	v.बढ़ावा देना@n+m.बढ़ावा
spanking	n+f.पिटाई@a.तेज़
scholarship	n+f.छात्रवृत्ति@n+f.विद्वता
governance	n+m.शासन@n+f.प्रशासन
mill	n+f.चक्की@n+m.कारखाना
founded	v.स्थापित किया@a.स्थापित
supplements	n+m.पूरक@v.पूरक देता है
chronic	a.पुराना@a.दीर्घकालिक
icons	n+m.आइकन@n+f.मूर्ति
moral	a.नैतिक@n+m.सीख
den	n+m.गुफा@n+m.अड्डा
catering	n+f.खानपान सेवा
aud	n+m.ऑस्ट्रेलियाई डॉलर
finger	n+f.उंगली@v.छूना
keeps	v.रखता है
pound	n+m.पाउंड@v.पीटना
locate	v.ढूंढना@v.स्थित होना
camcorder	n+m.कैमकॉर्डर
trained	a.प्रशिक्षित@v.प्रशिक्षित किया
burn	v.जलाना@n+f.जलन
implementing	v.लागू करना
roses	n+m.गुलाब
labs	n+f.प्रयोगशालाएं
ourselves	pron.हम स्वयं
bread	n+f.रोटी@n+m.ब्रेड
tobacco	n+m.तंबाकू
wooden	a.लकड़ी का
motors	n+m.मोटर
tough	a.कठिन@a.मजबूत
roberts	n+m.रॉबर्ट्स
incident	n+f.घटना
gonna	v.जा रहा है
dynamics	n+f.गतिशीलता
lie	v.झूठ बोलना@v.लेटना@n+m.झूठ
conversation	n+f.बातचीत@n+m.संवाद
decrease	v.कम होना@n+f.कमी
chest	n+m.सीना@n+f.पेटी
pension	n+f.पेंशन
billy	n+m.बिली
revenues	n+m.राजस्व
emerging	a.उभरता हुआ@v.उभरना
worship	n+f.पूजा@v.पूजा करना
capability	n+f.क्षमता@n+f.योग्यता
craig	n+m.क्रेग
herself	pron+f.स्वयं@pron+f.खुद
producing	v.उत्पादन करना
churches	n+m.गिरजाघर
precision	n+f.सटीकता@n+m.परिशुद्धता
damages	n+m.नुकसान@n+f.क्षतिपूर्ति@v.नुकसान पहुंचाता है
reserves	n+m.भंडार@v.आरक्षित करता है
contributed	v.योगदान दिया
solve	v.हल करना@v.सुलझाना
shorts	n+f.शॉर्ट्स@n+m.निकर
reproduction	n+m.प्रजनन@n+f.प्रतिकृति
minority	n+m.अल्पसंख्यक@n+f.अल्पमत
diverse	a.विविध@a.भिन्न
amp	n+m.एम्प@n+m.एम्पलीफायर
ingredients	n+m.सामग्री@n+f.संघटक
johnny	n+m.जॉनी
sole	a.एकमात्र@n+m.तलवा@n+f.सोल मछली
franchise	n+f.फ्रेंचाइज़@n+m.मताधिकार
recorder	n+m.रिकॉर्डर@n+m.अभिलेखक
complaints	n+f.शिकायतें
facing	v.सामना करना@prep.की ओर
nancy	n+f.नैंसी
promotions	n+f.पदोन्नति@n+m.प्रचार
tones	n+m.स्वर@n+f.धुन
passion	n+m.जुनून@n+f.आसक्ति
rehabilitation	n+m.पुनर्वास
maintaining	v.बनाए रखना
sight	n+f.दृष्टि@n+m.नज़ारा
laid	v.रखा@a.बिछाया हुआ
clay	n+f.मिट्टी
defence	n+f.रक्षा@n+m.बचाव
patches	n+m.पैच@n+f.थेगली
weak	a.कमज़ोर
refund	n+m.धनवापसी@v.वापस करना
towns	n+m.शहर@n+m.कस्बे
environments	n+m.वातावरण
divided	a.विभाजित@v.बांटा
blvd	n+m.बुलेवार्ड
reception	n+m.स्वागत@n+f.रिसेप्शन
wise	a.बुद्धिमान@a.समझदार
emails	n+m.ईमेल
cyprus	n+m.साइप्रस
odds	n+m.संभावना@n+f.विषमता
correctly	ad.सही ढंग से
insider	n+m.अंदरूनी व्यक्ति
seminars	n+m.सेमिनार
consequences	n+m.परिणाम@n+f.नतीजे
makers	n+m.निर्माता
hearts	n+m.दिल
geography	n+f.भूगोल
appearing	v.प्रकट होना
integrity	n+f.अखंडता@n+f.ईमानदारी
worry	n+f.चिंता@v.चिंता करना
discrimination	n+m.भेदभाव
eve	n+f.पूर्व संध्या@n+f.ईव
carter	n+m.कार्टर
legacy	n+f.विरासत
marc	n+m.मार्क
pleased	a.प्रसन्न@a.खुश
danger	n+m.खतरा
vitamin	n+m.विटामिन
widely	ad.व्यापक रूप से
processed	a.प्रसंस्कृत@v.प्रोसेस किया
phrase	n+m.वाक्यांश@v.व्यक्त करना
genuine	a.असली@a.वास्तविक
raising	v.उठाना@n+m.पालन-पोषण
implications	n+m.निहितार्थ@n+f.परिणाम
functionality	n+f.कार्यक्षमता
paradise	n+m.स्वर्ग@n+f.जन्नत
hybrid	n+m.संकर@a.हाइब्रिड
reads	v.पढ़ता है
roles	n+f.भूमिकाएं
intermediate	a.मध्यवर्ती@n+m.मध्यस्थ
emotional	a.भावनात्मक
sons	n+m.बेटे@n+m.पुत्र
leaf	n+f.पत्ती@n+m.पन्ना
pad	n+m.पैड@n+f.गद्दी@v.भरना
glory	n+f.महिमा@n+m.गौरव
platforms	n+m.मंच@n+m.प्लेटफॉर्म
bigger	a.बड़ा
billing	n+f.बिलिंग@n+m.विज्ञापन
diesel	n+m.डीज़ल
versus	prep.बनाम
combine	v.मिलाना@n+m.संयोजन
overnight	ad.रात भर@a.रातों-रात
geographic	a.भौगोलिक
exceed	v.अधिक होना@v.पार करना
rod	n+f.छड़@n+m.डंडा
saudi	a.सऊदी@n+m.सऊदी व्यक्ति
fault	n+f.गलती@n+m.दोष
cuba	n+m.क्यूबा
hrs	n+m.घंटे
preliminary	a.प्रारंभिक
districts	n+m.जिले
introduce	v.परिचय कराना@v.प्रस्तुत करना
silk	n+m.रेशम@a.रेशमी
promotional	a.प्रचारात्मक
kate	n+f.केट
chevrolet	n+m.शेवरले
babies	n+m.शिशु@n+f.बच्चियां
karen	n+f.कैरेन
compiled	v.संकलित किया@a.संकलित
romantic	a.रोमांटिक@a.रोमानी
revealed	v.प्रकट किया@a.उजागर
specialists	n+m.विशेषज्ञ
generator	n+m.जनरेटर@n+m.जनक
albert	n+m.अल्बर्ट
examine	v.जांचना@v.परीक्षा लेना
jimmy	n+m.जिमी
graham	n+m.ग्राहम
suspension	n+m.निलंबन@n+f.सस्पेंशन
bristol	n+m.ब्रिस्टल
margaret	n+f.मार्गरेट
compaq	n+m.कॉम्पैक
sad	a.दुखी@a.उदास
correction	n+m.सुधार@n+f.संशोधन
wolf	n+m.भेड़िया
slowly	ad.धीरे-धीरे
authentication	n+m.प्रमाणीकरण
communicate	v.संवाद करना@v.संचार करना
rugby	n+m.रग्बी
supplement	n+m.पूरक@v.पूरक देना
cal	n+m.कैलोरी
portions	n+m.हिस्से@n+f.मात्रा
infant	n+m.शिशु@a.शैशव
promoting	v.बढ़ावा देना@v.प्रचार करना
sectors	n+m.क्षेत्र
samuel	n+m.सैमुअल
fluid	n+m.तरल@a.तरल@a.लचीला
grounds	n+f.ज़मीन@n+m.आधार
fits	v.फिट होता है@n+m.दौरे
kick	v.लात मारना@n+f.लात
regards	n+m.संबंध में@n+m.शुभकामनाएं
meal	n+m.भोजन
hurt	v.चोट पहुंचाना@a.आहत
machinery	n+f.मशीनरी@n+m.यंत्र
bandwidth	n+f.बैंडविड्थ
unlike	prep.के विपरीत@a.भिन्न
equation	n+m.समीकरण
baskets	n+f.टोकरियां
probability	n+f.संभावना
pot	n+m.बर्तन@n+f.हांडी
dimension	n+m.आयाम@n+f.विमा
wright	n+m.राइट
barry	n+m.बैरी
proven	a.सिद्ध@v.प्रमाणित
