ABS	n+m.abs
азбука	n+f.alphabet
азербайджанец	n+m.azerbaijani
азербайджанский	a.azerbaijani
азиат	n+m.asian
азиатский	a.asian@a.asiatic
азиаты	n+m.asians
азид	n+m.azide
азимут	n+m.azimuth
азо-	a.azo
азот	n+m.nitrogen
азотистый	a.nitrous
азотный	a.nitric
аист	n+m.stork
ай	int.ouch
айва	n+f.quince
айкидо	n+n.aikido
айсберг	n+m.berg@n+m.iceberg
академии	n+f.academies
академически	ad.academically
академический	a.academic
академия	n+f.academy@n+f.academia@n+f.academe
акадиец	n+m.acadian
акадийский	a.acadian
акация	n+f.acacia
аква	n+f.aqua
аквакультура	n+f.aquaculture
акваланг	n+n.scuba
аквамарин	n+m.aquamarine
аквамариновый	a.aquamarine
акварель	n+f.watercolour
аквариум	n+m.aquarium@n+m.fishbowl
аквариумный	a.aquarian
аквариумы	n+m.aquariums
акведук	n+m.aqueduct
акита	n+f.akita
аккаунт	n+m.account@n+m.acc
аккомпанемент	n+m.accompaniment
аккорд	n+m.chord
аккордеон	n+m.accordion
аккорды	n+m.chords
аккредитация	n+f.accreditation@n+f.accrediting
аккредитованный	a.accredited@a.credentialed
аккредитуя	v.accrediting
аккреция	n+f.accretion
аккумулирует	v.accumulates
аккумулятор	n+m.battery@n+m.accumulator
аккумуляция	n+f.accumulation
аккуратно	ad.accurately@ad.neatly
аккуратный	a.accurate@a.precise@a.neat@a.spruce@a.tidy
акне	n+n.acne
акр	n+m.acre
акрил	n+m.acrylic
акриламид	n+m.acrylamide
акриловый	a.acrylic
акробат	n+m.acrobat@n+m.tumbler
акробатика	n+f.tumbling
акробатический	a.acrobatic
акроним	n+m.acronym
акронимы	n+m.acronyms
акрополь	n+m.acropolis
акселерометр	n+m.accelerometer
аксессуар	n+m.accessory
аксессуары	n+m.accessories
аксиальный	a.axial
аксиома	n+f.axiom
аксиоматический	a.axiomatic
аксиомы	n+f.axioms
аксон	n+m.axon
акт	n+m.act@n+m.deed
актив	n+m.asset
активатор	n+m.activator
активация	n+f.activation
активизм	n+m.activism
активировал	v.activated
активированный	a.enabled@a.activated@a.actuated
активировать	vt.activate
активирует	vt.activates
активирующий	a.activating
активируя	v.activating
активист	n+m.activist
активисты	n+m.militants
активная	a+f.active
активно	ad.actively
активное	a+n.active
активность	n+f.activity
активный	a+m.active@a.proactive
актин	n+m.actin
актриса	n+f.actress
актрисы	n+f.actresses
актуальность	n+f.relevance
актуальный	a.topical
актуарий	n+m.actuary
актуарный	a.actuarial
актуатор	n+m.actuator
актуация	n+f.actuation
актёр	n+m.actor
актёрские составы	n+m.casts
актёрский состав	n+m.cast
акула	n+f.shark
акулы	n+f.sharks
акупрессура	n+m.acupressure
акупунктура	n+f.acupuncture
акустика	n+f.acoustics@n+f.sonics
акустический	a.acoustic@a.sonic@a.unplugged@a.acoustical
акушерка	n+f.midwife
акушерки	n+f.midwives
акушерский	a.obstetric
акушерство	n+n.obstetrics@n+f.midwifery@n+n.obstet
акцент	n+m.emphasis@n+m.accent
акцентированный	a.accented
акцентировать	vt.emphasize@v.accentuate
акцентирует	vt.emphasizes@v.emphasises
акцентируя	v.emphasizing@v.emphasising
акценты	n+m.accents
акцептор	n+m.acceptor
акциз	n+m.excise
акции	n+m.equities@n+f.promos
акционер	n+m.shareholder@n+m.stockholder
акционерное участие	n+n.shareholding
акционеры	n+m.stockholders
акция	n+f.stock@n+f.action@n+f.share@n+f.promotion@n+f.shr
аланин	n+m.alanine
албанец	n+m.albanian
албанский	a.albanian
албанцы	n+pl.albanians
алгебра	n+f.algebra@n+f.alg
алгебраический	a.algebraic
алгебры	n+f.algebras
алгонкин	n+m.algonquin
алгонкинский	a.algonquin
алгоритм	n+m.algorithm@n+m.alg
алгоритмический	a.algorithmic
алебастр	n+m.alabaster
александрит	n+m.alexandrite
алексия	n+f.alexia
алеутский	a.aleutian
алеф	n+m.aleph
алжирец	n+m.algerian
алжирский	a.algerian
алиас	n+m.alias
алиби	n+n.alibi
алиментация	n+f.alimentation
алименты	n+pl.alimony
алифатический	a.aliphatic
алкил	n+m.alkyl
алкоголизм	n+m.alcoholism
алкоголик	n+m.alcoholic@n+m.sot
алкоголики	n+m.alcoholics
алкоголь	n+m.alcohol
алкогольный	a.alcoholic
аллегорический	a.allegorical
аллегория	n+f.allegory
аллегро	n+n.allegro
аллеи	n+pl.alleys
аллели	n+m.alleles
аллель	n+m.allele
аллельный	a.allelic
аллерген	n+m.allergen
аллергенный	a.allergenic
аллергены	n+pl.allergens
аллергии	n+f.allergies
аллергический	a.allergic
аллергия	n+f.allergy
аллея	n+f.alley@n+f.parkway@n+f.aisle
аллигатор	n+m.gator@n+m.alligator
аллигаторы	n+m.gators
аллилуйя	int.hallelujah
аллокатор	n+m.allocator
аллювиальный	a.alluvial
аллюзия	n+f.allusion
алмаз	n+m.diamond
алопеция	n+f.alopecia
алоха	int.aloha
алоэ	n+n.aloe
алтарь	n+m.altar
алтей	n+m.mallow
алфавит	n+m.alphabet
алфавитный	a.alphabetical@a.alphabetic
алхимик	n+m.alchemist
алхимия	n+f.alchemy
алчность	n+f.greed
алчный	a.greedy@a.grasping
алый	a.scarlet@a.vermilion
альба	n+f.alb
альбатрос	n+m.albatross
альбедо	n+n.albedo
альбинос	n+m.albino
альбом	n+m.album
альбом для вырезок	n+m.scrapbook
альбом для эскизов	n+m.sketchbook
альбомы для вырезок	n+pl.scrapbooks
альбумин	n+m.albumin
альвеолярный	a.alveolar
альдегид	n+m.aldehyde
альдостерон	n+m.aldosterone
альков	n+m.alcove
альманах	n+m.almanac
альманахи	n+m.almanacs
альпака	n+f.alpaca
альпийская вершина	n+f.alp
альпийский	a.alpine
альпинизм	n+f.climbing@n+m.mountaineering
альпинист	n+m.climber@n+m.mountaineer
альпинисты	n+m.climbers@n+m.mountaineers
альт	n+m.alt@n+m.alto@n+m.viola
альтернатива	n+f.alternative
альтернативно	ad.alternatively
альтернативный	a.alternative@a.alternate@a.alt
альтиметр	n+m.altimeter
альтовый	a.alto
альтруизм	n+m.altruism
альтруистический	a.altruistic
альты	n+m.altos
альфа	n+f.alpha
альянс	n+m.alliance
альянсы	n+m.alliances
алюминий	n+m.aluminium
аляскинец	n+m.alaskan
аляскинский	a.alaskan
амальгама	n+f.amalgam
амальгамация	n+f.amalgamation
амарант	n+m.amaranth
амаретто	n+m.amaretto
амариллис	n+m.amaryllis
амбар	n+m.barn
амбары	n+m.barns
амбивалентность	n+f.ambivalence
амбивалентный	a.ambivalent
амбиции	n+f.ambitions
амбициозный	a.ambitious
амбиция	n+f.ambition
амброзия	n+f.ambrosia@n+f.ragweed
амбулатория	n+f.dispensary
амбулаторный	a.outpatient@a.ambulatory
амбулаторный больной	n+m.outpatient
амвон	n+m.pulpit
амер.	a.amer
американа	n+f.americana
американец	n+m.american
американизм	n+m.americanism
американская	a+f.american
американская лиственница	n+f.tamarack
американские горки	n+m.coaster@n+pl.rollercoaster
американский	a+m.american@a.yankee@a.stateside
американское	a+n.american
аметист	n+m.amethyst
амигос	n+m.amigos
амид	n+m.amide
амилаза	n+f.amylase
амилоид	n+m.amyloid
амилоидный	a.amyloid
амин	n+m.amine
аминокислота	n+f.amino
аминокислотный	a.amino
аминь	int.amen
амиши	n+m.amish
амишский	a.amish
аммиак	n+m.ammonia
аммоний	n+m.ammonium
амнезия	n+f.amnesia
амниотический	a.amniotic
амнистия	n+f.amnesty
амоксициллин	n+m.amoxicillin
аморальность	n+f.immorality
аморальный	a.immoral
амортизатор	n+m.absorber
амортизаторы	n+m.cushions@n+pl.absorbers
амортизация	n+f.depreciation@n+f.amortization@n+f.damping@n+f.cushioning@n+f.amortisation
амортизировал	v.amortized
амортизированный	a.amortized
аморфный	a.amorphous
ампер	n+m.amp@n+m.ampere
амперсанд	n+m.ampersand
амперы	n+m.amps
ампициллин	n+m.ampicillin
амплитуда	n+f.amplitude
амплитуды	n+f.amplitudes
амплификация	n+f.amplification
ампула	n+f.vial
ампулы	n+f.vials
ампутация	n+f.amputation
амулет	n+m.amulet
амуниция	n+f.ammunition
амфетамин	n+m.amphetamine
амфибии	n+f.amphibians
амфибийный	a.amphibious
амфибия	n+f.amphibian
амфитеатр	n+m.amphitheatre
амхарский	a.amharic
амхарский язык	n+m.amharic
амёба	n+f.amoeba
анаболический	a.anabolic
анаграмма	n+f.anagram
анаконда	n+f.anaconda
анализ	n+m.analysis@n+m.assay@n+m.analysing
анализ мочи	n+m.urinalysis
анализатор	n+m.analyser
анализировал	v.assayed
анализировать	vt.assay@vt.analyse@v.dissect
анализирующий	v.analysing
анализы	n+m.assays
аналитик	n+m.analyst
аналитически	ad.analytically
аналитический	a.analytical@a.analytic
аналог	n+m.analog@n+m.analogue@n+m.counterpart
аналоги	n+m.counterparts@n+m.analogs
аналогии	n+f.similarities
аналогично	ad.similarly
аналогичный	a.analogous
аналогия	n+f.analogy
аналоговый	a.analog@a.analogue
анальгезия	n+f.analgesia
анальгетический	a.analgesic
анальный	a.anal
анаморфный	a.anamorphic
ананас	n+m.pineapple
анархизм	n+m.anarchism
анархист	n+m.anarchist
анархия	n+f.anarchy
анатолиец	n+m.anatolian
анатолийский	a.anatolian
анатомически	ad.anatomically
анатомический	a.anatomical@a.anatomic
анатомия	n+f.anatomy@n+f.anat
анафема	n+f.anathema
анафилаксия	n+f.anaphylaxis
анаэробный	a.anaerobic
ангар	n+m.hangar
ангел	n+m.angel
ангелус	n+m.angelus
ангельский	a.angelic
ангидрид	n+m.anhydride
ангина	n+f.angina
ангиогенез	n+m.angiogenesis
ангиография	n+f.angiography
ангиопластика	n+f.angioplasty
ангиотензин	n+m.angiotensin
англ	n+m.anglian
английская	a+f.english
английский	a+m.english@n+m.eng
английский язык	n+m.english
английское	a+n.english
англиканец	n+m.anglican
англиканский	a.anglican
англичанин	n+m.englishman
англо	part.anglo
англоязычный	a.anglo
англский	a.anglian
анголец	n+m.angolan
ангольский	a.angolan
ангора	n+f.angora
анданте	n+n.andante@ad.andante
андеррайтер	n+m.underwriter
андеррайтеры	n+m.underwriters
андеррайтинг	n+n.underwriting
андоррец	n+m.andorran
андоррский	a.andorran
андроген	n+m.androgen
андроид	n+m.android
андский	a.andean
аневризма	n+f.aneurysm
анекдот	n+m.anecdote
анекдотический	a.anecdotal
анекдоты	n+m.anecdotes
анемия	n+f.anaemia
анемон	n+m.anemone
анестезирующий	a.anaesthetic
анестезия	n+f.anaesthesia
анестетик	n+m.anaesthetic
анизотропия	n+f.anisotropy
анизотропный	a.anisotropic
анима	n+f.anima
аниматор	n+m.animator
анимации	n+f.animations
анимация	n+f.animation@n+f.anim
аниме	n+n.anime
анимированный	a.animated
анимируя	v.animating
анион	n+m.anion
анис	n+m.anise
анкета	n+f.questionnaire
анкеты	n+f.questionnaires
анклав	n+m.enclave
анкх	n+m.ankh
анналы	n+m.annals
аннексированный	a.annexed
аннексировать	vt.annex@vt.annexed
аннексия	n+f.annexation
аннигиляция	n+f.annihilation
аннотации	n+f.annotations@n+pl.blurbs
аннотация	n+f.abstract@n+f.annotation@n+f.blurb
аннотированный	a.annotated
аннотировать	vt.annotate
аннуитет	n+f.annuity
аннуитеты	n+m.annuities
аннулировал	v.invalidated@v.voided
аннулирование	n+n.cancellation@n+n.revocation@n+n.annulment
аннулирования	n+f.cancellations
аннулированный	a.revoked@a.rescinded@a.voided
аннулировать	vt.void@vt.cancel@vt.revoke@vt.invalidate@v.rescind
аннулирует	v.voids
анод	n+m.anode
анодированный	a.anodized
аномалии	n+f.abnormalities@n+f.anomalies
аномалия	n+f.anomaly@n+f.abnormality@n+f.irregularity
аномально	ad.abnormally
аномальный	a.abnormal@a.anomalous
анонимно	ad.anonymously
анонимность	n+f.anonymity
анонимный	a.anonymous@a.anon
анонс	n+f.announcement
анонсировать	vt.announce
анонсирует	vt.announces
анонсируя	v.announcing
анорексия	n+f.anorexia
ансамбли	n+m.ensembles
ансамбль	n+m.ensemble
антагонизм	n+m.antagonism
антагонист	n+m.antagonist
антагонистический	a.antagonistic
антагонисты	n+m.antagonists
антарктический	a.antarctic
антем	n+m.anthem
антенна	n+f.antenna@n+f.aerial
антенны	n+f.antennas@n+pl.aerials
анти-	a.anti
антибактериальный	a.antibacterial
антибиотик	n+m.antibiotic
антибиотики	n+m.antibiotics
антибиотический	a.antibiotic
антивирус	n+m.antivirus
антивирусный	a.antivirus
антивирусный препарат	n+m.antiviral
антивоенный	a.antiwar
антивозрастной	a.antiaging
антиген	n+m.antigen
антигенный	a.antigenic
антигены	n+m.antigens
антигипертензивное средство	n+n.antihypertensive
антигипертензивный	a.antihypertensive
антигистамин	n+m.antihistamine
антигистаминный	a.antihistamine
антидепрессант	n+m.antidepressant
антидепрессанты	n+m.antidepressants
антидепрессивный	a.antidepressant
антидот	n+m.antidote
антиквар	n+m.antiquarian
антиквариат	n+m.antique@n+m.antiquities
антикварная безделушка	n+f.vertu
антикварный	a.antique@a.antiquarian
антикоагулянт	n+m.anticoagulant
антикоагулянтный	a.anticoagulant
антилопа	n+f.antelope
антилопы гну	n+m.gnus
антимикробный	a.antimicrobial
антимонопольный	a.antitrust
антиоксидант	n+m.antioxidant
антиоксидантный	a.antioxidant
антиоксиданты	n+m.antioxidants
антипатии	n+pl.dislikes
антипригарный	a.nonstick
антипсихотик	n+m.antipsychotic
антипсихотический	a.antipsychotic
антисептик	n+n.antiseptic
антисептический	a.antiseptic
антисоциальный	a.antisocial
антистатик	n+n.antistatic
антистатический	a.antistatic
антитеза	n+f.antithesis
антитело	n+n.antibody
антиутопия	n+f.dystopia
антифриз	n+m.antifreeze
антихрист	n+m.antichrist
античность	n+f.antiquity
античные авторы	n+pl.ancients
античный	a.ancient
антологии	n+f.anthologies
антология	n+f.anthology
антракт	n+m.interlude@n+m.intermission
антрацит	n+m.anthracite
антресоль	n+m.mezzanine
антропогенный	a.anthropogenic
антрополог	n+m.anthropologist
антропологический	a.anthropological
антропология	n+f.anthropology
антураж	n+m.ambiance
анус	n+m.anus
анютины глазки	n+f.pansy
аорта	n+f.aorta
аортальный	a.aortic
апартеид	n+m.apartheid
апатичный	a.apathetic
апатия	n+f.apathy
апач	n+m.apache
апекс	n+m.apex
апеллировать	vi.appeal
апеллирует	v.appeals
апеллируя	v.appealing
апеллянт	n+m.appellant
апеллянты	n+m.appellants
апелляционный	a.appellate
апелляция	n+f.appeal
апельсин	n+m.orange
апельсины	n+m.oranges
аперитив	n+n.appetizer
апертура	n+f.aperture
апикальный	a.apical
аплодировать	vt.applaud@vt.applauded
аплодирует	v.applauds
аплодисменты	n+m.applause@n+f.clap@n+pl.clapping
апогей	n+m.culmination@n+m.apogee
апокалипсис	n+m.apocalypse
апокалиптический	a.apocalyptic
апологетика	n+f.apologetics
апологетический	a.apologetic
апология	n+f.apology
апоптоз	n+m.apoptosis
апоптотический	a.apoptotic
апостасия	n+f.apostasy
апостол	n+m.apostle
апостолы	n+m.disciples@n+m.apostles
апостольский	a.apostolic
апостроф	n+m.apostrophe
аппалачский	a.appalachian
аппарат	n+m.apparatus@n+m.handset
аппарат ИВЛ	n+m.ventilator
аппаратура	n+f.hardware
аппелласьон	n+f.appellation
аппендикс	n+m.appendix
аппендиксы	n+f.appendices
аппендицит	n+m.appendicitis
аппетит	n+m.appetite
аппетитный	a.yummy
апплет	n+m.applet
апплеты	n+m.applets
аппликатор	n+m.applicator
аппликатура	n+n.fingering
аппликация	n+f.applique
аппроксимации	n+f.approximations
аппроксимация	n+f.approximation
аппроксимирует	v.approximates
апрель	n+m.april@n+m.apr
апробация	n+f.approbation
аптека	n+f.pharmacy@n+f.chemist@n+f.drugstore@n+f.apothecary
аптекарь	n+m.pharmacist@n+m.apothecary
ара	n+m.ara@n+m.macaw
араб	n+m.arab
арабеска	n+f.arabesque
арабский	a.arab@a.arabic@a.arabian
арабский язык	n+m.arabic
арабы	n+m.arabs
аравийский	a.arabian
арамейский	a.aramaic
арамейский язык	n+m.aramaic
аранжировка	n+n.arranging
аранжировщик	n+m.arranger
арахис	n+m.peanut@n+m.peanuts
арбалет	n+m.crossbow
арбитр	n+m.referee@n+m.arbitrator@n+m.umpire@n+m.arbiter@n+m.adjudicator
арбитраж	n+m.arbitration@n+m.arbitrage
арбитражный	a.arbitral
арбитражёр	n+m.arb
арбитры	n+pl.umpires@n+pl.arbitrators
арбуз	n+m.watermelon
аргайл	a.argyle
аргентинец	n+m.argentine@n+m.argentinian@n+m.argentinean
аргентинский	a.argentine@a.argentinian@a.argentinean
аргинин	n+m.arginine
аргон	n+m.argon
аргумент	n+m.argument@n+m.arg
аргументация	n+f.argumentation
аргументируя	v.arguing
ард	n+m.ard
ареальный	a.areal
арена	n+f.arena
арена борьбы	n+f.battleground
аренда	n+f.rental@n+f.rent@n+f.hire@n+f.lease@n+f.leasing@n+f.renting@n+f.tenancy@n+f.lettings@n+f.leasehold
арендатор	n+m.tenant@n+m.renter@n+m.lessee
арендаторы	n+m.renters
арендный	a.rental
арендовал	v.leased@v.rented
арендованный	a.leased@a.rented@a.leasehold
арендовать	vt.rent@vt.lease
арендодатели	n+m.landlords
арендодатель	n+m.landlord@n+m.lessor
арендует	vt.rents
арендуя	v.renting
аренды	n+f.leases@n+f.rents
арены	n+f.arenas
арест	n+m.arrest@n+m.busting@n+m.lockup
арест имущества	n+m.garnishment
арестовал	v.arrested
арестованный	a.arrested@a.detained
арестовать	vt.bust
арестовывает	vt.arrests@vt.busts
арестовывать	vt.arrest@vt.arresting
аресты	n+m.arrests
арианин	n+m.arian
арианский	a.arian
ариец	n+m.aryan
арии	n+f.arias
арийский	a.aryan
арил	n+m.aryl
арильный	a.aryl
аристократ	n+m.nob@n+m.aristocrat@n+m.nobleman
аристократический	a.aristocratic
аристократия	n+f.aristocracy
аристократы	n+pl.aristocrats
аритмия	n+f.arrhythmia
арифметика	n+f.arithmetic
арифметический	a.arithmetic
ария	n+f.aria
арка	n+f.arch@n+f.archway
аркада	n+f.arcade
аркан	n+m.noose@n+m.lariat
арки	n+f.arches
арктический	a.arctic
арлекин	n+m.harlequin
армада	n+f.armada
арматура	n+f.armature
армии	n+f.armies
армированный	a.reinforced
армирующий	a.reinforcing
армия	n+f.army
армянин	n+m.armenian
армянский	a.armenian
арника	n+f.arnica
аромат	n+m.fragrance@n+m.flavor@n+m.scent@n+m.aroma@n+m.flavour@n+m.odour
ароматерапия	n+f.aromatherapy
ароматизированный	a.scented@a.flavoured
ароматический	a.aromatic
ароматный	a.fragrant@a.flavorful
ароматы	n+m.flavors@n+m.scents@n+m.flavours@n+m.aromas
арочный	a.arched
арочный проход	n+m.archway
арройо	n+m.arroyo
аррондисман	n+m.arrondissement
арсенал	n+m.arsenal@n+m.armoury
артериальный	a.arterial
артерии	n+f.arteries
артериосклероз	n+m.arteriosclerosis
артерия	n+f.artery
артефакт	n+m.artefact
артефакты	n+m.artefacts
артикулируя	v.articulating
артикуляция	n+f.articulation
артиллерист	n+m.gunner
артиллерия	n+f.artillery
артист	n+m.artist@n+m.entertainer@n+m.artiste
артистический	a.artistic
артистично	ad.artistically
артистичность	n+f.artistry
артистичный	a.artsy
артистка	n+f.artiste
артисты	n+m.performers@n+m.entertainers@n+pl.artistes
артишок	n+m.artichoke
артрит	n+m.arthritis
артритик	n+m.arthritic
артритный	a.arthritic
артуровский	a.arthurian
арфа	n+f.harp
архаичный	a.archaic
архангел	n+m.archangel
археолог	n+m.archaeologist
археологи	n+pl.archaeologists
археологический	a.archaeological
археология	n+f.archaeology
архетип	n+m.archetype
архетипический	a.archetypal
архив	n+m.archive
архив tar	n+m.tarball
архивирование	n+n.filing@n+n.archiving
архивировать	v.archive
архивируя	v.archiving
архивист	n+m.archivist
архивный	a.archived@a.archival
архивы	n+m.archives
архиепархия	n+f.archdiocese
архиепископ	n+m.archbishop
архипелаг	n+m.archipelago
архитектор	n+m.architect
архитектура	n+f.architecture
архитектурно	ad.architecturally
архитектурный	a.architectural
архитектуры	n+f.architectures
ас	n+m.ace
асбест	n+m.asbestos
асептический	a.aseptic
асессор	n+m.assessor
асессоры	n+m.assessors
асимметричный	a.asymmetric@a.asymmetrical
асимметрия	n+f.asymmetry
асимптотически	ad.asymptotically
асимптотический	a.asymptotic
асинхронный	a.asynchronous
аскорбиновый	a.ascorbic
асоциальный	a.antisocial
аспартам	n+m.aspartame
аспект	n+m.aspect@n+m.facet
аспекты	n+m.facets
аспергилл	n+m.aspergillus
аспирант	n+m.postgraduate@n+m.postdoc
аспирантский	a.postgraduate
аспирация	n+f.aspiration
аспирин	n+m.aspirin
ассамбляж	n+f.assemblage
ассасин	n+m.assassin
ассасины	n+m.assassins
ассемблер	n+m.assembler
ассерция	n+f.assertion
ассигнование	n+f.appropriation
ассигнования	n+f.allocations
ассигнованный	a.appropriated
ассимилировал	v.assimilated
ассимилированный	a.assimilated
ассимилировать	vt.assimilate
ассимиляция	n+f.assimilation
ассириец	n+m.assyrian
ассирийский	a.assyrian
ассистент	n+m.assistant
ассортимент	n+m.range@n+m.assortment
ассортиментный	a.assorted
ассоциативный	a.associative
ассоциация	n+f.association@n+f.assoc@n+f.assn
ассоциированный	a.associated
ассоциировать	vt.associate@vt.associating
ассоциирует	v.associates
астериск	n+m.asterisk
астероид	n+m.asteroid
астероиды	n+m.asteroids
астигматизм	n+m.astigmatism
астма	n+f.asthma
астматик	n+m.asthmatic
астматический	a.asthmatic
астра	n+f.aster
астрагал	n+m.astragalus
астральный	a.astral
астробиология	n+f.astrobiology
астролог	n+m.astrologer
астрологический	a.astrological
астрология	n+f.astrology
астронавт	n+m.astronaut
астронавтика	n+f.astronautics
астронавты	n+m.astronauts
астроном	n+m.astronomer
астрономический	a.astronomical
астрономия	n+f.astronomy@n+f.astr
астрономы	n+m.astronomers
астрофизика	n+f.astrophysics
астрофизический	a.astrophysical
астрофотография	n+f.astrophotography
асфальт	n+m.asphalt@n+m.tarmac
асфальтовый	a.asphalt
асфиксия	n+f.suffocation
асцендент	n+m.ascendant
асцит	n+m.ascites
асы	n+m.aces
атавизм	n+m.throwback
атака	n+f.attack@n+f.assault
атаковал	v.attacked
атакованный	a.attacked
атаковать	vt.attack
атаковать ядерным оружием	vt.nuke
атаксия	n+f.ataxia
атакует	v.attacks@vt.assaults
атакующие	n+m.attackers
атакующий	a.attacking@n+m.attacker
атакуя	v.attacking
атаман	n+m.chieftain
атеизм	n+m.atheism
атеист	n+m.atheist
атеистический	a.atheist
атеисты	n+m.atheists
ателье	n+n.atelier
атенеум	n+m.athenaeum
атеросклероз	n+m.atherosclerosis
атипичный	a.atypical
атлантический	a.atlantic
атлас	n+m.atlas@n+m.satin
атласный	a.satin
атласы	n+m.atlases
атлет	n+m.athlete
атлетика	n+f.athletics
атлетический	a.athletic
атлеты	n+m.jocks
атмосфера	n+f.atmosphere@n+f.vibe@n+f.ambience@n+f.ambiance@n+f.vibes
атмосферный	a.atmospheric
атмосферы	n+pl.atmospheres
атолл	n+m.atoll
атом	n+m.atom
атомная единица массы	n+f.amu
атомный	a.nuclear@a.atomic
атомы	n+m.atoms
атрибут	n+m.attribute@n+m.att@n+m.attrib
атрибутивный	a.attrib
атрибутика	n+pl.paraphernalia
атрибуция	n+f.attribution
атриум	n+m.atrium
атропин	n+m.atropine
атрофироваться	vi.atrophy
атрофия	n+f.wasting@n+f.atrophy
атташе	n+m.attache
аттенюатор	n+m.attenuator
аттенюация	n+f.attenuation
аттестация	n+n.credentialing@n+f.attestation
аттрактор	n+m.attractor
аугментация	n+f.augmentation
аудио	n+n.audio@a.audio
аудиовизуальный	a.audiovisual
аудиокассета	n+f.audiotape
аудиология	n+f.audiology
аудиофил	n+m.audiophile
аудит	n+m.audit@n+m.auditing
аудитор	n+m.auditor
аудитории	n+f.classrooms
аудитория	n+f.audience@n+f.classroom@n+f.auditorium
аудиторы	n+m.auditors
аудиты	n+m.audits
аукцион	n+m.auction
аукционист	n+m.auctioneer
аукционисты	n+m.auctioneers
аукционная продажа	n+f.auctioning
аура	n+f.aura
аустраль	n+m.austral
аутентификатор	n+m.authenticator
аутентификация	n+f.authentication@n+f.auth
аутентифицированный	a.authenticated
аутентифицировать	vt.authenticate
аутентифицируя	v.authenticating
аутентичность	n+f.authenticity
аутентичный	a.authentic
аутизм	n+m.autism
аутист	n+m.autistic
аутичный	a.autistic
аутоиммунный	a.autoimmune
аутопсия	n+f.autopsy
аутригер	n+m.outrigger
аутсайдер	n+m.outsider@n+m.underdog
аутсайдеры	n+n.outs@n+m.outsiders
аутсорсинг	n+m.outsourcing
аутфилд	n+m.outfield
аутфилдер	n+m.outfielder
афазия	n+f.aphasia
афганец	n+m.afghan
афгани	n+m.afghani
афганский	a.afghan@a.afghani
афганцы	n+pl.afghans
афера	n+f.scam@n+f.swindle
аферы	n+f.scams
афинский	a.athenian
афинянин	n+m.athenian
афиша	n+f.placard@n+f.affiche
афоризм	n+m.adage
африкаанс	n+m.afrikaans
африкана	n.africana
африканец	n+m.african
африканский	a.african@a.afro@a.afr
африканцы	n+m.africans
афро	n+m.afro
афродизиак	n+m.aphrodisiac
афтершок	n+m.aftershock
аффективный	a.affective
афферентный	a.afferent
аффидевиты	n+pl.affidavits
аффикс	n+m.affix
аффилиация	n+f.affiliation
аффилированный	a.affiliate@a.affiliated
аффинный	a.affine
аффирмация	n+f.affirmation
афёра	n+f.fraud
ах	int.aah
ахнуть	vi.gasped
ацетаминофен	n+m.acetaminophen
ацетат	n+m.acetate
ацетил	n+m.acetyl
ацетилен	n+m.acetylene
ацетилхолин	n+m.acetylcholine
ацетон	n+m.acetone
ацидоз	n+m.acidosis
ациклический	a.acyclic
ацикловир	n+m.acyclovir
ацил	n+m.acyl
ацтек	n+m.aztec
ацтеки	n+pl.aztecs
ацтекский	a.aztec
ашкеназ	n+m.ashkenazi
ашкеназский	a.ashkenazi
ашрам	n+m.ashram
аэрация	n+f.aeration
аэро	part.aero
аэробика	n+f.aerobics
аэробный	a.aerobic
аэрограф	n+m.airbrush
аэродинамика	n+f.aerodynamics
аэродинамический	a.aerodynamic
аэродром	n+m.airfield@n+m.aerodrome
аэрозоли	n+m.aerosols
аэрозоль	n+m.aerosol
аэрокосмическая промышленность	n+f.aerospace
аэрокосмический	a.aerospace
аэронавтика	n+f.aeronautics
аэронавтический	a.aeronautical
аэроплан	n+m.aeroplane
аэропорт	n+m.airport
аэросъёмки	n+pl.aerials
аюрведа	n+f.ayurveda
аятолла	n+m.ayatollah
ба	int.bah
баба	n+f.baba
баббит	n+m.babbitt
бабочка	n+f.butterfly
бабочки	n+f.butterflies
бабуин	n+m.baboon
бабушка	n+f.granny@n+f.gran@n+f.grandmother@n+f.grandma@n+f.grandparent
бабушка и дедушка	n+m.grandparents
бабушки	n+f.grannies
баварец	n+m.bavarian
баварский	a.bavarian
баг	n+m.bug
багаж	n+m.luggage@n+m.baggage
багажник	n+m.trunk
багамец	n+m.bahamian
багамский	a.bahamian
багет	n+m.baguette
багровый цвет	n+m.crimson
багрянец	n+m.scarlet
бадминтон	n+m.badminton
база	n+f.base
база данных	n+f.database
базальный	a.basal
базальт	n+m.basalt
базар	n+m.bazaar@n+m.bazar
базилик	n+m.basil
базилика	n+f.basilica
базирование	n+n.basing
базировать	v.base
базис	n+m.basis
базовая	a+f.basic
базовая линия	n+f.baseline
базовое	a+n.basic
базовый	a+m.basic@a.underlying
базовый уровень	n+m.baseline
базука	n+f.bazooka
байдарки	n+m.kayaks
байесовский	a.bayesian
байкер	n+m.biker
байкеры	n+m.bikers
байт	n+m.byte
байю	n+m.bayou
бак	n+m.tank
бакалавр	n+m.bachelor
бакалавриат	n+m.baccalaureate
бакалавры	n+m.bachelors
бакалейщик	n+m.grocer
бакалея	n+f.groceries
бакелит	n+m.bakelite
бакенбарда	n+f.whisker
