the	art+m.o@art+f.a
inconvenience	n+m.inconveniente@n+f.inconveniência
tang	n+m.sabor forte@n.Tang
graphite	n+f.grafite
vaccination	n+f.vacinação
stroller	n+m.carrinho de bebê
farther	ad.mais longe@a.mais distante
bowel	n+m.intestino
sweaters	n+m.suéteres@n+f.malhas
chats	n+m.bate-papos@v.conversa
mafia	n+f.máfia
riot	n+m.motim@n+f.revolta
fats	n+f.gorduras
mandarin	n+m.mandarim
dungeon	n+f.masmorra
predictable	a.previsível
germans	n+m.alemães@n+f.alemãs
lilly	n.Lilly
shire	n+m.condado
susceptible	a.suscetível
mosquito	n+m.mosquito
kashmir	n.Caxemira
lyons	n.Lyon
skyline	n+m.horizonte@n+f.linha do céu
scams	n+m.golpes@n+f.fraudes
lipid	n+m.lipídio@a.lipídico
putnam	n.Putnam
corpse	n+m.cadáver@n+m.corpo
speedy	a+m.rápido@a+f.rápida@a+m.veloz
ming	n.Ming
tao	n+m.tao@n.Tao
quot	n+f.citação
ritz	n.Ritz
networked	a+m.conectado em rede@a.em rede
lush	a+m.exuberante@a+m.luxuriante
barrels	n+m.barris
transformations	n+f.transformações
cabling	n+f.cabeação
analogue	a+m.analógico@a+f.analógica@n+m.análogo
werner	n.Werner
clyde	n.Clyde
stills	n+f.imagens fixas@n+m.alambiques
perimeter	n+m.perímetro
biased	a+m.tendencioso@a+f.tendenciosa@a+m.enviesado@a+f.enviesada
cardiology	n+f.cardiologia
playoff	n+m.playoff@n+f.eliminatória
honorary	a+m.honorário@a+f.honorária
irwin	n.Irwin
brewer	n+m.cervejeiro@n+f.cervejeira
exchanged	a+m.trocado@a+f.trocada@v.trocou
payload	n+f.carga útil
adhere	v.aderir
fran	n.Fran
merrill	n.Merrill
oldsmobile	n.Oldsmobile
grilled	a+m.grelhado@a+f.grelhada@v.grelhou
rafael	n.Rafael
enquire	v.inquirir@v.perguntar
toilets	n+m.banheiros@n+f.privadas
mains	n+f.rede elétrica@n+m.pratos principais
whales	n+f.baleias
misty	a+m.enevoado@a+f.enevoada@n.Misty
lindsey	n.Lindsey
parity	n+f.paridade
partitions	n+f.partições@n+f.divisórias
grim	a+m.sombrio@a+f.sombria@a+m.cruel
conserved	a+m.conservado@a+f.conservada@v.conservou
hubbard	n.Hubbard
rewrite	v.reescrever@n+f.reescrita
vending	n+f.venda@a.de venda automática
prism	n+m.prisma
chasing	v.perseguir@n+f.perseguição
flop	n+m.fracasso@v.fracassar
aggregation	n+f.agregação
shelley	n.Shelley
batting	n+f.rebatida@v.rebater
borrowed	a+m.emprestado@a+f.emprestada@v.emprestou
rests	v.descansa@n+m.restos
toss	v.jogar@n+m.lançamento
prentice	n.Prentice
depicted	a+m.retratado@a+f.retratada@v.retratou
grapes	n+f.uvas
proposing	v.propor@n+f.proposta
cumbria	n.Cumbria
winding	a.sinuoso@v.enrolar@n+f.curva
ripped	a+m.rasgado@a+f.rasgada@a+m.musculoso@a+f.musculosa
vegan	a.vegano@n+m.vegano@n+f.vegana
congressman	n+m.congressista
cobalt	n+m.cobalto
pity	n+f.pena@n+f.piedade@v.ter pena
recombinant	a.recombinante
ubuntu	n.Ubuntu
downward	a.descendente@ad.para baixo
superstar	n+f.superestrela
closeout	n+f.liquidação
kayaking	n+m.caiaque@v.andar de caiaque
synergy	n+f.sinergia
eta	n+f.ETA@n+m.eta
catalogues	n+m.catálogos@v.cataloga
aspire	v.aspirar
harvesting	n+f.colheita@v.colher
garfield	n.Garfield
groom	n+m.noivo@v.preparar
jewels	n+f.joias
saturated	a+m.saturado@a+f.saturada
georges	n.Georges
backpacking	n+m.mochilão
quincy	n.Quincy
accidentally	ad.acidentalmente
doughty	a+m.valente@a+f.valente@n.Doughty
bonded	a+m.ligado@a+f.ligada@a+m.unido@a+f.unida
sticking	v.colar@a.pegajoso
dudley	n.Dudley
weeds	n+f.ervas daninhas@v.capina
stripped	a+m.despido@a+f.despida@v.despiu
oprah	n.Oprah
inflatable	a.inflável@n+m.inflável
beers	n+f.cervejas
clive	n.Clive
fixture	n+m.acessório fixo@n+f.luminária
glassware	n+f.vidraria
canary	n+m.canário
steadily	ad.constantemente@ad.firmemente
imagined	a+m.imaginado@a+f.imaginada@v.imaginou
darby	n.Darby
woke	v.acordou@a.acordado
kos	n.Kos
fills	v.preenche@n+f.enchimentos
proportions	n+f.proporções
grips	n+m.apertos@v.agarra
clergy	n+m.clero
coursework	n+m.trabalho de curso
solicitors	n+m.advogados@n+f.advogadas
kayak	n+m.caiaque
moderately	ad.moderadamente
mayotte	n.Mayotte
altar	n+m.altar
salvage	n+m.salvamento@v.salvar
repetitive	a+m.repetitivo@a+f.repetitiva
stanton	n.Stanton
creators	n+m.criadores@n+f.criadoras
gears	n+f.engrenagens@n+f.marchas
orbital	a.orbital
musicals	n+m.musicais
kilometres	n+m.quilômetros
cuff	n+m.punho@n+f.algema
lithuanian	a+m.lituano@a+f.lituana@n+m.lituano@n+f.lituana
repeating	v.repetir@a.repetitivo
empires	n+m.impérios
profiling	n+f.perfilagem@n+m.profiling
reps	n+m.representantes@n+f.repetições
oyster	n+f.ostra
sturdy	a+m.robusto@a+f.robusta@a+m.resistente
sequencing	n+m.sequenciamento
massacre	n+m.massacre@v.massacrar
undergo	v.submeter-se@v.passar por
panoramic	a+m.panorâmico@a+f.panorâmica
risen	a+m.ressuscitado@a+f.ressuscitada@v.subiu
blended	a+m.misturado@a+f.misturada@v.misturou
rhino	n+m.rinoceronte
polynomial	n+m.polinômio@a.polinomial
tau	n+m.tau
imperative	a+m.imperativo@a+f.imperativa@n+m.imperativo
stakeholder	n+m.interessado@n+f.interessada@n+m.stakeholder
beg	v.implorar@v.mendigar
digging	v.cavar@n+f.escavação
lantern	n+f.lanterna
catches	v.pega@n+f.capturas
evangelical	a+m.evangélico@a+f.evangélica
eaton	n.Eaton
ruler	n+f.régua@n+m.governante
signifies	v.significa
henri	n.Henri
stochastic	a+m.estocástico@a+f.estocástica
tokens	n+m.tokens@n+f.fichas
santana	n.Santana
kidding	v.brincar@n+f.brincadeira
piping	n+f.tubulação@n+f.canalização@a.fervente
swept	v.varreu@a+m.varrido@a+f.varrida
swansea	n.Swansea
airmail	n+m.correio aéreo
staring	v.encarar@a.fixo
seventy	n+m.setenta@a.setenta
problematic	a+m.problemático@a+f.problemática
troop	n+f.tropa@n+m.grupo
arose	v.surgiu@v.levantou
decomposition	n+f.decomposição
chatham	n.Chatham
becky	n.Becky
farrell	n.Farrell
elders	n+m.anciãos@n+m.idosos
interpreters	n+m.intérpretes
supporter	n+m.apoiador@n+f.apoiadora@n+m.torcedor@n+f.torcedora
acknowledgements	n+m.agradecimentos
klaus	n.Klaus
skincare	n+m.cuidado com a pele
conquest	n+f.conquista
heroin	n+f.heroína
repairing	v.reparar@n+m.reparo
mandated	a+m.determinado@a+f.determinada@v.determinou
workbook	n+m.livro de exercícios@n+f.pasta de trabalho
assemble	v.montar@v.reunir
hogan	n.Hogan
whistle	n+m.apito@v.assobiar
dresden	n.Dresden
timeshare	n+m.timeshare@n+f.multipropriedade
diversified	a+m.diversificado@a+f.diversificada
oldies	n+f.músicas antigas@n+m.clássicos
fertilizer	n+m.fertilizante@n+m.adubo
complaining	v.reclamar@n+f.reclamação
analytic	a+m.analítico@a+f.analítica
predominantly	ad.predominantemente
amethyst	n+f.ametista
debra	n.Debra
woodward	n.Woodward
rewritten	a+m.reescrito@a+f.reescrita
concerto	n+m.concerto
adorable	a.adorável
ambition	n+f.ambição
torres	n.Torres
apologize	v.desculpar-se@v.pedir desculpas
restraint	n+f.contenção@n+m.autocontrole
thrillers	n+m.thrillers
eddy	n+m.redemoinho@n.Eddy
condemned	a+m.condenado@a+f.condenada@v.condenou
berger	n.Berger
timeless	a.atemporal@a.eterno
parole	n+f.liberdade condicional
corey	n.Corey
kendall	n.Kendall
spouses	n+m.cônjuges
slips	n+m.deslizes@v.escorrega
ninety	n+m.noventa@a.noventa
tyr	n.Tyr
trays	n+f.bandejas
stewardship	n+f.administração@n+f.gestão
cues	n+f.deixas@n+f.sugestões
esq	n+m.esquire
kisses	n+m.beijos@v.beija
kerr	n.Kerr
regulating	v.regular@n+f.regulação
flock	n+m.rebanho@n+m.bando@v.aglomerar
exporting	v.exportar@n+f.exportação
arabian	a.árabe@a+m.arábico@a+f.arábica
chung	n.Chung
scheduler	n+m.agendador@n+m.programador
bending	v.dobrar@n+f.dobra
boris	n.Boris
hypnosis	n+f.hipnose
kat	n.Kat
ammunition	n+f.munição
vega	n.Vega
pleasures	n+m.prazeres
shortest	a.mais curto
denying	v.negar@n+f.negação
cornerstone	n+f.pedra angular
recycle	v.reciclar@n+f.reciclagem
shave	v.barbear@n+m.barbear
sos	n+m.SOS
disruption	n+f.interrupção@n+f.perturbação
galway	n.Galway
colt	n+m.potro@n.Colt
artillery	n+f.artilharia
furnish	v.mobiliar@v.fornecer
precedence	n+f.precedência
gao	n.GAO
applicability	n+f.aplicabilidade
volatility	n+f.volatilidade
grinding	v.moer@n+f.moagem
rubbish	n+m.lixo@n+f.besteira
missionary	n+m.missionário@n+f.missionária@a.missionário
knocked	v.bateu@a.derrubado
swamp	n+m.pântano@v.inundar
pitching	n+m.arremesso@v.arremessar
bordeaux	n.Bordeaux@n+m.bordô
manifold	n+m.coletor@a.múltiplo
tornado	n+m.tornado
disneyland	n.Disneylândia
possessed	a+m.possuído@a+f.possuída@v.possuiu
upstairs	ad.lá em cima@a.de cima@n+m.andar de cima
bro	n+m.mano
turtles	n+f.tartarugas
offs	n+m.desligamentos
fab	a.fabuloso@n.Fab
welcoming	a.acolhedor@v.receber
learns	v.aprende
manipulate	v.manipular
dividing	v.dividir@n+f.divisão
hickory	n+m.nogueira@n.Hickory
renovated	a+m.renovado@a+f.renovada@v.renovou
inmates	n+m.presos@n+m.internos
conformance	n+f.conformidade
slices	n+f.fatias@v.fatia
bittorrent	n.BitTorrent
cody	n.Cody
frankie	n.Frankie
lawson	n.Lawson
quo	n+m.status quo
damned	a+m.maldito@a+f.maldita@a+m.condenado@a+f.condenada
beethoven	n.Beethoven
faint	a+m.fraco@a+f.fraca@v.desmaiar@n+m.desmaio
rebuilt	a+m.reconstruído@a+f.reconstruída@v.reconstruiu
proceeded	v.prosseguiu
collaborate	v.colaborar
lei	n+f.lei@n+m.colar havaiano
tentative	a+m.provisório@a+f.provisória@a+m.hesitante
peterborough	n.Peterborough
fierce	a.feroz@a.intenso
jars	n+m.potes@n+m.frascos
authenticity	n+f.autenticidade
hips	n+m.quadris
rene	n.René
gland	n+f.glândula
positives	n+m.positivos
wigs	n+f.perucas
resignation	n+f.renúncia@n+f.demissão
striped	a+m.listrado@a+f.listrada
zion	n.Sião
blends	n+f.misturas@v.mistura
garments	n+f.peças de roupa@n+m.vestuário
fraternity	n+f.fraternidade
hunk	n+m.pedaço@n+m.bonitão
allocations	n+f.alocações
lymphoma	n+m.linfoma
tapestry	n+f.tapeçaria
originating	v.originar@a.originário
stu	n.Stu
chap	n+m.sujeito@n+m.cara
blows	n+m.golpes@v.sopra
inevitably	ad.inevitavelmente
freebies	n+m.brindes
converse	v.conversar@a+m.inverso@a+f.inversa@n.Converse
frontline	n+f.linha de frente@a.de vanguarda
gardener	n+m.jardineiro@n+f.jardineira
winnie	n.Winnie
higgins	n.Higgins
stoke	v.atiçar@n.Stoke
warwickshire	n.Warwickshire
polymers	n+m.polímeros
penguins	n+m.pinguins
attracting	v.atrair@n+f.atração
grills	n+f.grelhas@v.grelha
jeeves	n.Jeeves
harp	n+f.harpa@v.insistir
phat	a.estiloso@a.legal
escrow	n+m.depósito em garantia
dds	n+m.DDS
denton	n.Denton
anthem	n+m.hino
tack	n+f.tacha@n+m.rumo@v.pregar
whitman	n.Whitman
nowadays	ad.hoje em dia@ad.atualmente
woodstock	n.Woodstock
sack	n+m.saco@v.demitir
inferior	a.inferior
surfers	n+m.surfistas
abuses	n+m.abusos@v.abusa
inspected	a+m.inspecionado@a+f.inspecionada@v.inspecionou
deb	n.Deb@n+f.debutante
jockey	n+m.jóquei
kauai	n.Kauai
indicative	a+m.indicativo@a+f.indicativa@n+m.indicativo
stresses	n+m.estresses@v.enfatiza
incumbent	a.atual@n+m.titular
ithaca	n.Ítaca
edmund	n.Edmundo
peoria	n.Peoria
upholstery	n+m.estofamento
aggression	n+f.agressão
peek	v.espiar@n+f.espiada
ella	n.Ella
casualties	n+f.vítimas@n+f.baixas
bournemouth	n.Bournemouth
sudoku	n+m.sudoku
monarch	n+m.monarca
housed	a+m.abrigado@a+f.abrigada@v.abrigou
administering	v.administrar@n+f.administração
temptation	n+f.tentação
havana	n.Havana
roe	n+f.ovas@n.Roe
campground	n+m.acampamento
nasal	a.nasal
restrictive	a+m.restritivo@a+f.restritiva
costing	v.custar@n+m.custeio
ranged	a+m.variado@a+f.variada@v.variou
predictive	a+m.preditivo@a+f.preditiva
aquaculture	n+f.aquicultura
spruce	n+m.abeto@v.arrumar@a.elegante
paradox	n+m.paradoxo
redesign	n+m.redesenho@v.redesenhar
billings	n.Billings
jeanne	n.Jeanne
nitro	n+m.nitro
oxidation	n+f.oxidação
jackpot	n+m.jackpot@n+m.prêmio máximo
marin	n.Marin
halfway	ad.no meio do caminho@a.intermediário
cortex	n+m.córtex
entitlement	n+m.direito@n+f.prerrogativa
amending	v.emendar@n+f.emenda
conflicting	a.conflitante@v.conflitar
georgian	a+m.georgiano@a+f.georgiana@n+m.georgiano@n+f.georgiana
compensate	v.compensar
recherche	n+f.pesquisa
loser	n+m.perdedor@n+f.perdedora
secs	n+m.segundos
mixers	n+m.misturadores@n+f.batedeiras
accountancy	n+f.contabilidade
claus	n.Claus
policing	n+m.policiamento@v.policiar
braves	n+m.bravos@v.enfrenta
cracking	v.rachar@a.excelente@n+f.rachadura
sued	v.processou
shoots	v.atira@n+m.brotos
interrupted	a+m.interrompido@a+f.interrompida@v.interrompeu
hemisphere	n+m.hemisfério
miranda	n.Miranda
clover	n+m.trevo
kindness	n+f.gentileza@n+f.bondade
similarities	n+f.semelhanças
porto	n.Porto
neutron	n+m.nêutron
duluth	n.Duluth
directs	v.dirige
jolly	a+m.alegre@a+m.jovial@ad.muito
snakes	n+f.cobras
swelling	n+m.inchaço@v.inchar
spanning	v.abranger@a.abrangente
politician	n+m.político@n+f.política
femme	n+f.mulher
unanimous	a+m.unânime
railways	n+f.ferrovias
approves	v.aprova
scriptures	n+f.escrituras
misconduct	n+f.má conduta
lester	n.Lester
folklore	n+m.folclore
resides	v.reside
wording	n+f.redação@n+m.texto
obliged	a+m.obrigado@a+f.obrigada@v.obrigou
perceive	v.perceber
rockies	n.Rochosas
siege	n+m.cerco
exercising	v.exercitar@n+m.exercício
acoustics	n+f.acústica
voluntarily	ad.voluntariamente
pensacola	n.Pensacola
atkinson	n.Atkinson
condominium	n+m.condomínio
wildcats	n+m.gatos selvagens
exhibitors	n+m.expositores
truths	n+f.verdades
grouping	n+m.agrupamento@v.agrupar
wolfe	n.Wolfe
redwood	n+f.sequoia
thereto	ad.a isso
invoices	n+f.faturas@n+f.notas fiscais
tyres	n+m.pneus
authorizing	v.autorizar@n+f.autorização
enamel	n+m.esmalte
toby	n.Toby
radiant	a.radiante
estonian	a+m.estoniano@a+f.estoniana@n+m.estoniano@n+f.estoniana
virgins	n+f.virgens
firstly	ad.primeiramente
martini	n+m.martini@n.Martini
butte	n+f.colina@n.Butte
bomber	n+m.bombardeiro
reeves	n.Reeves
songwriter	n+m.compositor@n+f.compositora
suspicion	n+f.suspeita
disadvantage	n+f.desvantagem
bastard	n+m.bastardo@n+f.bastarda
coaster	n+f.montanha-russa@n+m.porta-copos
spends	v.gasta
hicks	n.Hicks
pratt	n.Pratt
pedigree	n+m.pedigree@n+f.linhagem
strippers	n+f.strippers
macmillan	n.Macmillan
fraudulent	a+m.fraudulento@a+f.fraudulenta
woodworking	n+f.marcenaria
sherwood	n.Sherwood
forgiveness	n+m.perdão
almond	n+f.amêndoa
catalytic	a+m.catalítico@a+f.catalítica
petitions	n+f.petições@v.peticiona
trenton	n.Trenton
chalk	n+m.giz@n+f.cal
omar	n.Omar
alexis	n.Alexis
bethesda	n.Bethesda
privatization	n+f.privatização
sourceforge	n.SourceForge
sanford	n.Sanford
axle	n+m.eixo
membranes	n+f.membranas
puppet	n+m.fantoche@n+f.marionete
testosterone	n+f.testosterona
cultivation	n+m.cultivo
nunavut	n.Nunavut
surveying	n+f.topografia@v.pesquisar
grazing	n+m.pastoreio@v.pastar
biochemical	a+m.bioquímico@a+f.bioquímica
pillar	n+m.pilar
mirage	n+f.miragem
lennon	n.Lennon
questionable	a.questionável
seaside	n+f.beira-mar@a.litorâneo
suitability	n+f.adequação
precinct	n+m.distrito@n+f.circunscrição
renamed	a+m.renomeado@a+f.renomeada@v.renomeou
cobb	n.Cobb
lara	n.Lara
unbelievable	a.inacreditável
soluble	a.solúvel
piracy	n+f.pirataria
rowing	n+m.remo@v.remar
siding	n+m.revestimento@n+f.linha secundária
hardest	a.mais difícil
forrest	n.Forrest
invitational	n+m.torneio por convite@a.por convite
reminders	n+m.lembretes
negro	a+m.negro@a+f.negra@n+m.negro@n+f.negra
blanca	n.Blanca@a+f.branca
equivalents	n+m.equivalentes
johann	n.Johann
handcrafted	a+m.artesanal@a.feito à mão
aftermarket	n+m.mercado de reposição@a.de reposição
pineapple	n+m.abacaxi
fellowships	n+f.bolsas de estudo@n+f.irmandades
freeway	n+f.autoestrada
wrath	n+f.ira@n+f.fúria
opal	n+f.opala
simplest	a.mais simples
patrons	n+m.patronos@n+m.clientes
peculiar	a.peculiar@a.estranho
europeans	n+m.europeus@n+f.europeias
commence	v.começar@v.iniciar
descendants	n+m.descendentes
redmond	n.Redmond
safeguard	n+f.salvaguarda@v.salvaguardar
digitally	ad.digitalmente
lars	n.Lars
hatchback	n+m.hatchback
obsession	n+f.obsessão
grind	v.moer@n+f.moagem@n+m.trabalho árduo
albeit	conj.embora@conj.ainda que
billiards	n+m.bilhar
clint	n.Clint
bankers	n+m.banqueiros@n+f.banqueiras
righteous	a+m.justo@a+f.justa@a+m.virtuoso@a+f.virtuosa
redistribution	n+f.redistribuição
freaks	n+m.malucos@n+f.aberrações
subclass	n+f.subclasse
rutgers	n.Rutgers
sampled	a+m.amostrado@a+f.amostrada@v.amostrou
sincere	a+m.sincero@a+f.sincera
deploying	v.implantar@n+f.implantação
interacting	v.interagir
roanoke	n.Roanoke
intentionally	ad.intencionalmente
blitz	n+m.blitz@n+f.ofensiva
tended	v.tendeu@v.cuidou
censorship	n+f.censura
cactus	n+m.cacto
viva	int.viva@n.Viva
treadmill	n+f.esteira
attained	a+m.alcançado@a+f.alcançada@v.alcançou
blew	v.soprou@v.explodiu
howe	n.Howe
nap	n+f.soneca@n+m.cochilo@v.cochilar
osaka	n.Osaka
splendid	a+m.esplêndido@a+f.esplêndida
janice	n.Janice
personalize	v.personalizar
lava	n+f.lava
leonardo	n.Leonardo
sucked	v.sugou@a.uma droga
scissors	n+f.tesoura
broncos	n+m.broncos@n.Broncos
jorge	n.Jorge
cooks	n+m.cozinheiros@n+f.cozinheiras@v.cozinha
sharply	ad.bruscamente@ad.nitidamente
granada	n.Granada
laurence	n.Laurence
rebellion	n+f.rebelião
rainy	a+m.chuvoso@a+f.chuvosa
tho	conj.embora
regent	n+m.regente
evelyn	n.Evelyn
vinegar	n+m.vinagre
vie	v.competir@v.disputar
classifications	n+f.classificações
rafting	n+m.rafting
pluto	n.Plutão
gil	n.Gil
vail	n.Vail@v.cobrir
fisherman	n+m.pescador
misery	n+f.miséria
undergoing	v.passar por@a.em andamento
limerick	n+m.limerick@n.Limerick
safaris	n+m.safáris
contaminants	n+m.contaminantes
envy	n+f.inveja@v.invejar
scr	n+m.SCR
mitch	n.Mitch
sweeping	a.abrangente@v.varrer@n+f.varredura
healthier	a.mais saudável
mailer	n+m.remetente@n+m.programa de email
preface	n+m.prefácio@v.prefaciar
jameson	n.Jameson
grievance	n+f.queixa@n+f.reclamação
liners	n+m.revestimentos@n+m.transatlânticos
unread	a.não lido
sentiment	n+m.sentimento
pencils	n+m.lápis
galloway	n.Galloway
kristin	n.Kristin
forged	a+m.forjado@a+f.forjada@a+m.falsificado@a+f.falsificada
bistro	n+m.bistrô
viola	n+f.viola@n.Viola
voodoo	n+m.vodu
disclosures	n+f.divulgações@n+f.revelações
provence	n.Provença
caching	n+m.cache@v.armazenar em cache
computerized	a+m.computadorizado@a+f.computadorizada
rustic	a+m.rústico@a+f.rústica
dillon	n.Dillon
shah	n+m.xá
eleanor	n.Eleanor
deception	n+f.decepção@n+m.engano
volts	n+m.volts
conducts	v.conduz
divorced	a+m.divorciado@a+f.divorciada
rushed	a+m.apressado@a+f.apressada@v.apressou
excalibur	n.Excalibur
bots	n+m.bots@n+m.robôs
weighs	v.pesa
sinatra	n.Sinatra
magnolia	n+f.magnólia
diver	n+m.mergulhador@n+f.mergulhadora
disappointment	n+f.decepção@n+m.desapontamento
castles	n+m.castelos
notions	n+f.noções
plateau	n+m.planalto@n+m.platô
interpersonal	a.interpessoal
dexter	n.Dexter
traumatic	a+m.traumático@a+f.traumática
ringer	n+m.toque@n+m.sósia
zipper	n+m.zíper
palette	n+f.paleta
blaze	n+m.incêndio@n+f.chama@v.arder
wreck	n+m.destroço@n+f.ruína@v.destruir
threatens	v.ameaça
strengthened	a+m.fortalecido@a+f.fortalecida@v.fortaleceu
sammy	n.Sammy
briefings	n+f.instruções@n+m.briefings
siblings	n+m.irmãos
wakefield	n.Wakefield
adversely	ad.adversamente
devastating	a.devastador@v.devastar
pitcairn	n.Pitcairn
arabs	n+m.árabes
robbery	n+m.roubo@n+m.assalto
nucleic	a+m.nucleico@a+f.nucleica
telecoms	n+f.telecomunicações
jasmine	n+m.jasmim@n.Jasmine
crochet	n+m.crochê
brock	n.Brock
crowds	n+f.multidões@v.aglomera
hoops	n+m.aros@n+m.cestas
macon	n.Macon
lynne	n.Lynne
invariant	a.invariável@n+m.invariante
stamped	a+m.carimbado@a+f.carimbada@v.carimbou
challenger	n+m.desafiante@n.Challenger
increment	n+m.incremento@v.incrementar
redistributed	a+m.redistribuído@a+f.redistribuída@v.redistribuiu
uptake	n+f.absorção@n+f.captação
newsweek	n.Newsweek
geared	a+m.voltado@a+f.voltada@a+m.adaptado@a+f.adaptada
ideals	n+m.ideais
chloe	n.Chloe
ape	n+m.macaco@v.imitar
gee	int.puxa
apologies	n+f.desculpas
prada	n.Prada
tycoon	n+m.magnata
malignant	a+m.maligno@a+f.maligna
dismiss	v.demitir@v.dispensar
preceded	v.precedeu@a+m.precedido@a+f.precedida
lawful	a.legal@a.lícito
stag	n+m.veado@a.só para homens
crosby	n.Crosby
rash	n+f.erupção cutânea@a+m.precipitado@a+f.precipitada
gateways	n+m.gateways@n+f.portas de entrada
collapsed	a+m.desabado@a+f.desabada@v.desabou
antibiotic	n+m.antibiótico@a.antibiótico
horns	n+f.buzinas@n+m.chifres
vanderbilt	n.Vanderbilt
cps	n+m.CPS
diversion	n+f.diversão@n+m.desvio
overweight	a.acima do peso@n+m.excesso de peso
fantasies	n+f.fantasias
taliban	n.Talibã
maureen	n.Maureen
trekking	n+m.trekking
coordinators	n+m.coordenadores@n+f.coordenadoras
beginnings	n+m.começos@n+m.inícios
reversal	n+f.reversão@n+m.revés
lex	n.Lex@n+f.lei
shoreline	n+f.costa@n+f.linha costeira
presses	v.pressiona@n+f.prensas
ordination	n+f.ordenação
oxfordshire	n.Oxfordshire
yves	n.Yves
tandem	n+m.tandem@ad.em conjunto
boil	v.ferver@n+m.furúnculo
deliberate	a+m.deliberado@a+f.deliberada@v.deliberar
gagged	a+m.amordaçado@a+f.amordaçada@v.amordaçou
surprises	n+f.surpresas@v.surpreende
abe	n.Abe
roc	n+m.roc@n.ROC
dementia	n+f.demência
barley	n+f.cevada
potent	a.potente
amusing	a.divertido@a.engraçado
mastering	v.dominar@n+f.masterização
levine	n.Levine
nerves	n+m.nervos
retains	v.retém
pow	int.pow@n+m.prisioneiro de guerra
docking	n+f.acoplagem@v.acoplar
guidebook	n+m.guia
pilates	n+m.pilates
chimney	n+f.chaminé
backstreet	n+f.rua secundária@a.de fundo de quintal
packers	n+m.empacotadores@n.Packers
localized	a+m.localizado@a+f.localizada
naomi	n.Naomi
proverbs	n+m.provérbios
risky	a+m.arriscado@a+f.arriscada
mistaken	a+m.enganado@a+f.enganada@a+m.equivocado@a+f.equivocada
carving	n+f.escultura@n+m.entalhe@v.esculpir
miracles	n+m.milagres
clair	n.Clair
slipped	v.escorregou@a+m.deslizado@a+f.deslizada
realism	n+m.realismo
crete	n.Creta
fractions	n+f.frações
archiving	n+m.arquivamento@v.arquivar
disconnect	v.desconectar@n+f.desconexão
bloodhound	n+m.cão de caça
multilingual	a.multilíngue
sherry	n+m.xerez@n.Sherry
desperately	ad.desesperadamente
indies	n.Índias
tulip	n+f.tulipa
madame	n+f.madame
remedial	a.corretivo@a.de recuperação
vain	a+m.vaidoso@a+f.vaidosa@a+m.vão@a+f.vã
bert	n.Bert
immunization	n+f.imunização
dalton	n.Dalton
bologna	n.Bolonha
departing	v.partir@a.de partida
maze	n+m.labirinto
cumming	n.Cumming
barefoot	a.descalço@ad.descalço
remuneration	n+f.remuneração
bohemian	a+m.boêmio@a+f.boêmia@n+m.boêmio@n+f.boêmia
interviewing	v.entrevistar@n+f.entrevista
categorized	a+m.categorizado@a+f.categorizada@v.categorizou
imposing	a.imponente@v.impor
damon	n.Damon
tivoli	n.Tivoli
transmissions	n+f.transmissões
receivable	a.recebível@n+m.recebível
rode	v.cavalgou@v.andou
amen	int.amém
marching	v.marchar@n+f.marcha
ronnie	n.Ronnie
evacuation	n+f.evacuação
owing	prep.devido a@v.devendo
warp	v.empenar@n+f.deformação@n+m.dobra
implant	n+m.implante@v.implantar
playlists	n+f.playlists
thematic	a+m.temático@a+f.temática
brentwood	n.Brentwood
catholics	n+m.católicos@n+f.católicas
correctional	a.correcional
faculties	n+f.faculdades
denies	v.nega
buffers	n+m.buffers
servings	n+f.porções
reinforce	v.reforçar
kobe	n.Kobe
inception	n+f.criação@n+m.início
draper	n.Draper
baylor	n.Baylor
bowman	n.Bowman@n+m.arqueiro
frustrating	a.frustrante@v.frustrar
subversion	n+f.subversão
zeta	n+m.zeta
benny	n.Benny
spires	n+f.torres@n+m.pináculos
barney	n.Barney
dinnerware	n+f.louça de jantar
sclerosis	n+f.esclerose
homosexuality	n+f.homossexualidade
declares	v.declara
emotionally	ad.emocionalmente
masonry	n+f.alvenaria@n+f.maçonaria
carbohydrate	n+m.carboidrato
medicinal	a.medicinal
accrued	a+m.acumulado@a+f.acumulada@v.acumulou
temples	n+m.templos
realizing	v.perceber@v.realizar
cemeteries	n+m.cemitérios
indoors	ad.dentro de casa@a.interno
telescopes	n+m.telescópios
magellan	n.Magalhães
champs	n+m.campeões
federated	a+m.federado@a+f.federada
averaging	v.fazer média@n+f.média
salads	n+f.saladas
addicted	a+m.viciado@a+f.viciada
flashlight	n+f.lanterna
disappointing	a.decepcionante@v.decepcionar
rockford	n.Rockford
eighty	n+m.oitenta@a.oitenta
staging	n+f.encenação@n+m.estadiamento
unlocked	a+m.desbloqueado@a+f.desbloqueada@v.desbloqueou
scarce	a+m.escasso@a+f.escassa
statistic	n+f.estatística
roche	n.Roche
ropes	n+f.cordas
torino	n.Turim
spiders	n+f.aranhas
obedience	n+f.obediência
plague	n+f.praga@n+f.peste@v.assolar
diluted	a+m.diluído@a+f.diluída@v.diluiu
canine	a+m.canino@a+f.canina@n+m.canino
gladly	ad.com prazer@ad.alegremente
schizophrenia	n+f.esquizofrenia
brewery	n+f.cervejaria
lineage	n+f.linhagem
brew	v.fermentar@n+f.cerveja
vaughan	n.Vaughan
