ABA	n.aba
casco	n+m.hull@n+m.hoof
cascos	n+m+pl.hulls@n+m+pl.hooves
casebre	n+m.hut
caseira	a+f.homegrown@n+f.housekeeper@a+f.homespun@a+f.homey
caseiro	a.homemade@a+m.homegrown@n+m.housekeeper@a+m.homespun@a+m.homey
caserna	n+f.barracks
caseína	n+f.casein
cashback	n+m.cashback
casinha	n+f.outhouse
casinha de cachorro	n+f.doghouse
caso	n+m.case@n+m.affair@n+m.fling
caso contrário	ad.otherwise
casos	n+m.cases@n+m+pl.affaires
casou	v.married@v.wedded
casou-se novamente	v.remarried
caspa	n+f.dandruff
casper	n.casper
cassete	n+m.cassette
cassidy	n.cassidy
cassino	n+m.casino
cassinos	n+m.casinos
casta	n+f.caste@a+f.chaste
castanha	n+f.chestnut
castanhas	n+f+pl.nuts@n+f+pl.chestnuts
castanhas-da-índia	n+m.buckeyes
castanheiro	n+m.chestnut
castanheiro da Índia	n+m.buckeye
castanho	a.chestnut@a.hazel@n+m.maroon
castanho-avermelhada	a+f.tawny
castanho-avermelhado	a.auburn@a+m.tawny
castas	n+f+pl.castes
castelo	n+m.castle@n+m.chateau
castelos	n+m.castles@n+m+pl.chateaux
castidade	n+f.chastity
castigo	n+m.punishment@n+m.retribution
castigos	n+m.punishments
castiçais	n+m+pl.candlesticks
castiçal	n+m.candlestick
casto	a+m.chaste
castor	n+m.beaver
castores	n+m+pl.beavers@n+m+pl.castors
castrada	a+f.neutered@a+f.spayed
castrado	a+m.neutered@a+m.spayed
castrar	v.geld@v.neuter@v.spay
castração	n+f.castration
castrou	v.neutered@v.spayed
casual	a.casual
casualmente	ad.casually
casulo	n+m.cocoon
catabolismo	n+m.catabolism
catacumbas	n+f+pl.catacombs
catador	n+m.scavenger
catadora	n+f.scavenger
catalase	n+f.catalase
catalina	n.catalina
catalisador	n+m.catalyst
catalisadores	n+m.catalysts
cataloga	v.catalogues
catalogada	a+f.catalogued
catalogado	a+m.catalogued
catalogando	v.cataloguing
catalogar	v.catalogue
catalogou	v.catalogued
catalã	a+f.catalan@n+f.catalan
catalão	a+m.catalan@n+m.catalan
catalítica	a+f.catalytic
catalítico	a+m.catalytic
catamarã	n+m.catamaran
catando	v.scavenging
catapora	n+f.chickenpox
catapulta	n+f.catapult
catapultar	v.catapult
catarata	n+f.cataract
cataratas	n+f+pl.cataracts
catari	a+m.qatari@a+f.qatari@n+m.qatari@n+f.qatari
catastrófica	a+f.catastrophic
catastrófico	a+m.catastrophic
catavento	n+m.pinwheel
catação	n+f.scavenging
catecismo	n+m.catechism
catedrais	n+f+pl.cathedrals
catedral	n+f.cathedral@n+f.minster
categoria	n+f.category
categorias	n+f.categories
categoricamente	ad.categorically@ad.flatly
categorizada	a+f.categorized@a+f.categorised
categorizado	a+m.categorized@a+m.categorised
categorizando	v.categorizing
categorizar	v.categorize
categorização	n+f.categorization@n+f.categorisation
categorizou	v.categorized@v.categorised
categórica	a+f.categorical
categórico	a+m.categorical
catering	n+m.catering
caterpillar	n.caterpillar
cateter	n+m.catheter@n+m.cath
cateteres	n+m+pl.catheters
cativa	a+f.captive@n+f.captive
cativada	a+f.captivated
cativado	a+m.captivated
cativante	a+m.catchy@a+f.catchy@a+m.captivating@a+f.captivating@a+m.endearing@a+f.endearing
cativar	v.captivate
cativas	n+f+pl.captives
cativeiro	n+m.captivity
cativo	a+m.captive@n+m.captive
cativos	n+m+pl.captives
cativou	v.captivated
catiônica	a+f.cationic
catiônico	a+m.cationic
catolicismo	n+m.catholicism
catraca	n+f.ratchet
catálise	n+f.catalysis
catálogo	n+m.catalogue
catálogos	n+m.catalogues
catástrofe	n+f.catastrophe
catástrofes	n+f+pl.catastrophes
catão	n.cato
católica	a+f.catholic@n+f.catholic
católicas	n+f.catholics
católico	a+m.catholic@n+m.catholic
católicos	n+m.catholics
caubóis	n+m+pl.cowboys
caucasiana	a+f.caucasian@n+f.caucasian
caucasiano	a+m.caucasian@n+m.caucasian
caucus	n+m.caucus
cauda	n+f.tail
cauda de andorinha	n+f.dovetail
caudal	a+m.caudal@a+f.caudal
caudas	n+f.tails
caule	n+m.stem
caules	n+m.stems@n+m+pl.stalks
causa	n+f.cause@v.causes
causada	a+f.caused
causado	a+m.caused
causal	a.causal
causalidade	n+f.causation@n+f.causality
causando	v.causing
causar	v.cause@v.wreak
causas	n+f.causes
causativa	a+f.causative
causativo	a+m.causative
causou	v.caused
cautela	n+f.caution
cautelar	a+m.precautionary@a+f.precautionary@a+m.cautionary@a+f.cautionary
cautelas	n+f.cautions
cautelosa	a+f.cautious@a+f.wary@a+f.guarded
cautelosamente	ad.cautiously
cauteloso	a.careful@a+m.cautious@a+m.wary@a+m.guarded
cauterizando	v.searing
cauterizou	v.seared
cava	v.digs
cavala	n+f.mackerel
cavalar	a+m.horsey@a+f.horsey
cavalaria	n+f.cavalry@n+f.cav@n+f.chivalry
cavaleiro	n+m.knight@n+m.rider@n+m.equestrian@n+m.cavalier@n+m.chevalier@n+m.caballero@n+m.horseman
cavaleiros	n+m+pl.knights@n+m+pl.riders@n+m.cavaliers@n+m+pl.horsemen
cavalete	n+m.easel@n+m.trestle
cavaletes	n+m+pl.easels
cavalga	v.rides
cavalgar	v.straddle
cavalgou	v.rode
cavalheirismo	n+f.chivalry
cavalheiro	n+m.gentleman@n+m.gent
cavalheiros	n+m+pl.gentlemen@n+m.gents
cavalo	n+m.horse
cavalo castrado	n+m.gelding
cavalo de trabalho	n+m.workhorse
cavalo-marinho	n+m.seahorse
cavalo-vapor	n+m.horsepower
cavalos	n+m.horses@n+m.gees
cavalos de carga	n+m+pl.dobbins
cavalos velhos	n+m+pl.nags
cavando	v.burrowing
cavar	v.dig@v.digging@v.shovel
caveira	n+f.skull
caveiras	n+f.skulls
caverna	n+f.cave@n+f.cavern
cavernas	n+f.caves@n+f+pl.caverns
cavernosa	a+f.cavernous
cavernoso	a+m.cavernous
caviar	n+m.caviar
cavidade	n+f.cavity
cavidades	n+f.cavities
cavilha	n+m.dowel
cavou	v.dug
caxemira	n+f.cashmere
caxemiriana	a+f.kashmiri@n+f.kashmiri
caxemiriano	a+m.kashmiri@n+m.kashmiri
caxumba	n+f.mumps
cazaque	a+m.kazakh@a+f.kazakh@n+m.kazakh@n+f.kazakh
caça	n+f.hunting@n+f.hunt@n+m.fighter@v.hunts
caça ao homem	n+f.manhunt
caça ilegal	n+f.poaching
caça às baleias	n+f.whaling
caçada	a+f.hunted
caçadas	n+f.hunts
caçado	a+m.hunted
caçador	n+m.hunter@n+m.huntsman@n+m.nimrod
caçador de animais com armadilha	n+m.trapper
caçador de talentos	n+m.headhunter
caçadora	n+f.hunter
caçadora de talentos	n+f.headhunter
caçadores	n+m+pl.hunters@n+m.busters
caçadores de focas	n+m+pl.sealers
caçadores de talentos	n+m+pl.headhunters
caçamba	n+f.dumpster
caçando	v.hunting
caçando ilegalmente	v.poaching
caçar	v.hunt
caçarola	n+f.casserole
caçarolas	n+f+pl.casseroles
caças	n+m+pl.fighters
caçou	v.hunted
caçou ilegalmente	v.poached
caída	a+f.saggy
caído	a.fallen@v.fallen@a+m.saggy
caótica	a+f.chaotic
caótico	a+m.chaotic
cdf	n+m.swot
cebola	n+f.onion
cebolas	n+f.onions
cebolinhas	n+f+pl.chives
ceceio	n+m.lisp
cedendo	v.yielding@v.sagging
cedente	n+m.transferor@n+f.transferor
ceder	v.sag@v.caving@v.budge
cedeu	v.yielded@v.subsided@v.ceded@v.indulged
cedi	n+m.cedi
cedida	a+f.ceded
cedido	a+m.ceded
cedo	a+m.early@a+f.early@ad.early
cedro	n+m.cedar
cedros	n+m+pl.cedars
cega	a+f.blind@v.blinds
cegada	a+f.blinded
cegado	a+m.blinded
cegamente	ad.blindly
cegar	v.blinding
cego	a+m.blind@a.blunt
cegonha	n+f.stork
cegou	v.blinded
cegueira	n+f.blindness
ceia	n+f.supper
ceifador	n+m.reaper@n+m.cropper
ceifadora	n+f.reaper
ceifando	v.reaping
ceifar	v.reap@v.mow@v.scythe
cela	n+f.lockup
celebra	v.celebrates
celebrado	a.celebrated
celebrando	v.celebrating
celebrante	n+m.celebrant@n+f.celebrant
celebrar	v.celebrate
celebração	n+f.celebration
celebrações	n+f+pl.celebrations@n+f+pl.observances
celebridade	n+f.celebrity@n+m.celeb@n+f.celeb
celebridades	n+f+pl.celebrities@n+m+pl.celebs
celebrou	v.celebrated
celeiro	n+m.barn
celeiros	n+m.barns
celeste	a+m.celeste@a+f.celeste
celestial	a.heavenly@a.celestial
celibato	n+m.celibacy
celofane	n+m.cellophane
celsius	n+m.celsius
celta	a.celtic@n+m.celt@n+f.celt
celtas	n+m+pl.celts
celular	n+m.mobile@n+m.cell@a.cellular@n+m.cellular@n+m.cellphone
celulares	n+m+pl.mobiles@n+m.cellphones
celulite	n+f.cellulite
celuloide	n+m.celluloid
celulose	n+f.cellulose
cem	num.hundred
cem mil	n+m.lakh@n+m+pl.lakhs
cemitério	n+m.cemetery@n+m.graveyard
cemitério da igreja	n+m.churchyard
cemitérios	n+m.cemeteries
cen	n+m.cen
cena	n+f.scene
cenas	n+f.scenes
cenas cortadas	n+f+pl.outtakes
cenoura	n+f.carrot
cenouras	n+f.carrots
censo	n+m.census
censor	n+m.censor
censores	n+m+pl.censors
censos	n+m+pl.censuses
censura	n+f.censorship@n+f.censure@v.censors
censurada	a+f.censored
censurado	a+m.censored
censurando	v.censoring
censurar	v.censor@v.censure
censurou	v.censored
censurável	a.objectionable
centauro	n+m.centaur
centavo	n+m.cent@n+m.penny@n+m.doit
centavos	n+m+pl.cents@n+m.pennies
centeio	n+m.rye
centena	n+f.hundred
centenas	n+f.hundreds
centenária	a+f.centenary
centenário	a.centennial@n+m.centennial@n+m.centenary@a+m.centenary
centopeia	n+f.centipede
centrada	a+f.centric@a+f.centred
centrado	a+m.centric@a+m.centred
central	a+m.central@a+f.central@a+m.core@a+f.core
central telefônica	n+f.switchboard
centralidade	n+f.centrality
centralizada	a+f.centralized@a+f.centralised
centralizado	a+m.centralized@a+m.centralised
centralizar	v.centralised
centralização	n+f.centralization
centralmente	ad.centrally
centrifuga	v.centrifuges
centrifugar	v.centrifuge
centrista	a+m.centrist@a+f.centrist@n+m.centrist@n+f.centrist
centro	n+m.centre@n+m.core@n+m.hub@n.ctr@n+m.centrum
centro da cidade	n+m.downtown@n+m.midtown
centroide	n+m.centroid
centros	n+m.centres@n+m+pl.hubs@n+m+pl.centra
centrou	v.centred
centrífuga	a+f.centrifugal@n+f.juicer@n+f.centrifuge
centrífugas	n+f.juicers@n+f+pl.centrifuges
centrífugo	a+m.centrifugal
centurião	n+m.centurion
centésima	a+f.hundredth
centésimo	a+m.hundredth@n+m.hundredth
centésimos	n+m+pl.hundredths
centímetros	n+m+pl.centimetres
cenário	n+m.setting@n+m.scenario@n+m.scenery@n+m.backdrop
cenários	n+m+pl.scenarios@n+m+pl.backdrops
cepa	n+f.strain
cepas	n+f+pl.strains
cepo	n+m.stump
cepos	n+m+pl.stumps
cera	n+f.wax
cera de abelha	n+f.beeswax
ceras	n+f+pl.waxes
cerca	n+f.fence@n+f.fencing@v.surrounds
cerca de	prep.circa
cerca viva	n+f.hedge
cercada	a+f.fenced@a+f.hedged@a+f.encircled
cercado	v.surrounded@a.surrounded@n+m.enclosure@a+m.fenced@n+m.paddock@a+m.hedged@a+m.encircled
cercados	n+m.enclosures
cercando	v.surrounding
cercar	v.surround@v.mobs
cercas	n+f.fences
cercas vivas	n+f.hedges
cerceamento	n+m.curtailment
cerco	n+m.siege
cercou	v.fenced@v.ringed@v.hedged@v.encircled
cerda	n+f.bristle
cerdas	n+f+pl.bristles
cereais	n+m.cereals
cereal	n+m.grain@n+m.cereal
cerebelar	a+m.cerebellar@a+f.cerebellar
cerebelo	n+m.cerebellum
cerebral	a.cerebral
cerebrospinal	a+m.cerebrospinal@a+f.cerebrospinal
cerebrovascular	a+m.cerebrovascular@a+f.cerebrovascular
cereja	n+f.cherry
cerejas	n+f.cherries
cerimonial	a+m.ceremonial@a+f.ceremonial@n+m.ceremonial
cerimônia	n+f.ceremony
cerimônia de batismo	n+f.christening
cerimônias	n+f.ceremonies
cerne	n+m.crux@n+m.heartwood
cernelha	n+f.withers
cerosa	a+f.waxy
ceroso	a+m.waxy
cerrada	a+f.bushy@a+f.clenched
cerrado	a+m.bushy@a+m.clenched
cerrou	v.clenched
certa	a+f.right@a+f.sure@a+f.certain
certamente	ad.certainly@ad.surely@ad.assuredly
certeza	n+f.certainty
certifica	v.certifies
certificada	a+f.certified@a+f.certificated
certificado	n+m.certificate@a+m.certified@n.cert@a+m.certificated
certificado provisório	n+m.scrip
certificados	n+m.certificates@n+m+pl.certs
certificando	v.certifying
certificar	v.certify
certificação	n+f.certification@n+f.attestation
certificações	n+f.certifications
certinha	a+f.prim
certinho	a+m.prim
certiorari	n+m.certiorari
certo	a+m.right@ad.right@a+m.sure@a+m.certain@ad.oke
cervas	n+f.hinds
cerveja	n+f.beer@n+f.ale@n+f.brew
cerveja bock	n+f.bock
cerveja com limonada	n+f.shandy
cerveja lager	n+f.lager
cerveja stout	n+f.stout
cervejaria	n+f.brewery
cervejarias	n+f.breweries
cervejas	n+f.beers@n+f+pl.brews
cervejas ale	n+f.ales
cervejeira	n+f.brewer
cervejeiro	n+m.brewer
cervejeiros	n+m.brewers
cervical	a.cervical
cervo	n+m.deer@n+m.buck
cervo jovem	n+m.fawn
cervos	n+m+pl.bucks@n+m+pl.stags
cerzido	v.darned
cerâmica	n+f.pottery@n+f.ceramic@n+f.ceramics@n+f.earthenware
cerâmica de grés	n+f.stoneware
cerâmico	a.ceramic
cesariana	n+f.cesarean@a+f.cesarean
cesariano	a+m.cesarean
cessa	v.ceases
cessado	a.ceased
cessando	v.ceasing
cessar	v.cease
cessar-fogo	n+m.ceasefire
cessação	n+f.cessation
cessionária	n+f.assignee@n+f.transferee
cessionárias	n+f.grantees
cessionário	n+m.assignee@n+m.transferee
cessionários	n+m.grantees
cessna	n.cessna
cessou	v.ceased
cesta	n+f.basket
cestas	n+f.baskets@n+m.hoops@n+f.hampers
cesto	n+m.basket@n+m.hamper
cesto de pesca	n+m.creel
ceticismo	n+m.scepticism
cetim	n+m.satin@n+m.sateen
cetona	n+f.ketone
cetonas	n+f+pl.ketones
cetro	n+m.sceptre
cevada	n+f.barley
chacal	n+m.jackal
chacoalha	v.rattles
chacoalhando	v.rattling
chacoalhar	v.rattle
chacoalhou	v.rattled
chafariz	n+m.fountain
chairmen	n+m.chairmen
chaise	n+f.chaise
chaleira	n+f.kettle
chaleiras	n+f.kettles
chalotas	n+f+pl.shallots
chalé	n+m.cottage@n+m.chalet
chalé rural	n+m.gite
chalés	n+m.chalets
chama	v.calls@n+f.flame@n+f.blaze@n+f.flare
chamada	n+f.call@a+f.called@a+f.named@n+f.calling
chamadas	n+f.calls
chamado	a+m.called@a+m.named@v.hight
chamador	n+m.caller
chamadoras	n+f.callers
chamadores	n+m.callers
chamando	v.calling@v.hailing
chamar	v.call
chamarizes	n+m+pl.decoys
chamas	n+f+pl.flames@n+f+pl.blazes
chamativa	a+f.flashy
chamativo	a+m.flashy
chamberlain	n.chamberlain
chaminé	n+f.chimney@n+f.flue
chaminés	n+f+pl.chimneys
chamou	v.called
chamou pelo pager	v.paged
champanhe	n+m.champagne@n+m.bubbly
chamuscada	a+f.scorched
chamuscado	a+m.scorched
chamuscar	v.sear
chamuscou	v.scorched
chamável	a+m.callable@a+f.callable
chance	n+f.chance
chancelaria	n+f.chancery
chanceler	n+m.chancellor
chanceleres	n+m+pl.chancellors
chances	n+f.odds@n+f+pl.chances
chandigarh	n.chandigarh
chanfrar	v.bevel
chanfro	n+m.bevel
chantagear	v.blackmail
chantagem	n+f.blackmail
chantili	n+m.chantilly
chapa	n+f.griddle
chapa de metal esmaltada	n+f.tole
chapada	a+f.stoned
chapado	a+m.stoned
chaparral	n+m.chaparral
chapeleiro	n+m.hatter
chapeleiros	n+m+pl.hatters
chaperonas	n+f+pl.chaperones
chapim	n+m.chickadee
chapinha	n+f.straightener
chapinhas	n+f+pl.straighteners
chapéu	n+m.hat
chapéu coco	n+m.bowler
chapéu de palha	n+m.boater
chapéu stetson	n+m.stetson
chapéus	n+m+pl.hats
chapéus de palha	n+m.boaters
chapéus-coco	n+m+pl.bowlers
charada	n+f.riddle@n+f.charade
charadas	n+f.riddles
chardonnay	n+m.chardonnay
charge	n+f.cartoon
charlatã	n+f.quack
charlatão	n+m.quack
charlottesville	n.charlottesville
charlton	n.charlton
charme	n+m.charm@n+m.mojo
charmoso	a.charming
charneca	n+f.heath@n+m.moor@n+f.moorland
charnecas	n+m+pl.moors
chartreuse	n+m.chartreuse
charuto	n+m.cigar
charutos	n+m.cigars
chassi	n+m.chassis
chassé	n+m.chasse
chata	a+f.pesky
chateada	a+f.bummed
chateado	a.upset@a+m.bummed
chateou	v.bummed
chatice	n+f.nuisance@n+f.bummer
chatices	n+f.hassles
chato	a.boring@a+m.pesky
chave	n+f.key@a+m.key@a+f.key
chave de fenda	n+f.screwdriver
chave inglesa	n+f.wrench@n+f.spanner
chaveira	n+f.locksmith
chaveiras	n+f+pl.locksmiths
chaveiro	n+m.fob@n+m.keyring@n+m.locksmith
chaveiros	n+m+pl.locksmiths
chaves	n+f.keys@n+f.braces
chaves de fenda	n+f+pl.screwdrivers
chaves inglesas	n+f.wrenches
chaveta	n+f.cotter
chechena	a+f.chechen
checheno	a+m.chechen@n+m.chechen
chechênia	n.chechnya
check-up	n+m.checkup
checkout	n+m.checkout
checksum	n+m.checksum
cheddar	n+m.cheddar
cheerleaders	n+f.cheerleaders
cheeseburger	n+m.cheeseburger
cheesecake	n+m.cheesecake
cheesecakes	n+m+pl.cheesecakes
chef	n+m.chef
chefa	n+f.boss
chefe	n+m.head@n+m.chief@n+m.boss@n+m.chieftain
chefe da máfia	n+m.capo
chefe de correios	n+m.postmaster
chefe de cozinha	n+m.chef
chefe de família	n+m.householder@n+f.householder
chefes	n+m+pl.chiefs@n+m.bosses@n+f.bosses
chefes de família	n+m+pl.householders@n+f+pl.householders
chefes tribais	n+m+pl.chieftains
chefs	n+m.chefs
chefão	n+m.kingpin
chega	v.comes@v.arrives
chegada	n+f.arrival@n+f.arr
chegada a terra	n+m.landfall
chegadas	n+f+pl.arrivals
chegados	n+m+pl.comers
chegando	v.reaching@a.incoming@v.arriving@a+m.inbound
chegar	v.come@v.arrive
chegou	v.came@v.arrived
cheia	a+f.full@a+f.filled@a+f.fraught
cheia de bugs	a+f.buggy
cheia de garra	a+f.spunky
cheia de juncos	a+f.reedy
cheia de lixo	a+f.littered
cheia de suspense	a+f.suspenseful
cheia demais	a+f.overfull
cheio	a+m.full@a+m.filled@a+m.fraught
cheio de bugs	a+m.buggy
cheio de garra	a+m.spunky
cheio de juncos	a+m.reedy
cheio de lixo	a+m.littered
cheio de suspense	a+m.suspenseful
cheio demais	a+m.overfull
cheira	v.smells
cheirada	n+m.sniff@a+f.smelled
cheirado	a+m.smelled
cheirando	v.smelling
cheirar	v.smell@v.sniffing@v.smelled@v.whiff
cheiro	n+m.smell@n+m.scent@n+m.smelling@n+m.odour
cheiros	n+m.smells
cheirou	v.sniffed
chelmsford	n.chelmsford
cheltenham	n.cheltenham
chem	n+f.chem
chenile	n+m.chenille
cheque	n+m.check@n+m.cheque
cheque especial	n+m.overdraft
cheques	n+m.checks@n+m.cheques
cher	n.cher
cherokee	n+m.cherokee
chevron	n+m.chevron
chi	n+m.chi
chiado	n+m.sizzle@n+m.wheezing
chiando	v.wheezing
chianti	n+m.chianti
chiar	v.sizzling@v.sizzle
chibatada	n+f.lashing
chicana	n+f.chicano@a+f.chicano
chicano	n+m.chicano@a+m.chicano
chiclete	n+f.gum@n+m.bubblegum
chicotada	n+f.whipping@n+m.whiplash
chicotadas	n+f.lashes
chicote	n+m.whip@n+m.lash
chicoteada	a+f.lashed
chicoteado	a+m.lashed
chicoteando	v.whipping
chicotear	v.whip@v.lash@v.lashes
chicoteia	v.whips
chicoteou	v.whipped@v.lashed
chicotes	n+m.whips
chiffon	n+m.chiffon
chifre	n+m.horn@n+m.antler
chifres	n+m.horns@n+m+pl.antlers
chifruda	a+f.horned
chifrudo	a+m.horned
chihuahua	n+m.chihuahua@n.chihuahua
chilena	a+f.chilean@n+f.chilean
chileno	a+m.chilean@n+m.chilean
chimpanzé	n+m.chimp@n+m.chimpanzee
chimpanzés	n+m+pl.chimpanzees@n+m+pl.chimps
chinatown	n+f.chinatown
chinchila	n+f.chinchilla
chinelo	n+m.slipper
chinelos	n+m.slippers
chinesa	a+f.chinese
ching	n+m.ching@n.ching
chinook	n+m.chinook@n.chinook
chinês	a+m.chinese@n+m.chinese
chip	n+m.chip@n+m.sim
chips	n+m.chips
chique	a.chic@a+m.posh@a+f.posh@a+m.swank@a+f.swank@a+m.spiffy@a+f.spiffy
chiqueiro	n+m.sty
chita	n+f.cheetah@n+m.calico
choca	v.shocks
chocada	a+f.hatched
chocado	a.shocked@a+m.hatched
chocalho	n+m.rattle
chocalhos	n+m+pl.rattles
chocante	a.shocking@a+m.appalling@a+f.appalling@a+m.jarring@a+f.jarring@a+m.lurid@a+f.lurid
chocantemente	ad.shockingly
chocar	v.shock@v.hatch@v.shocking@v.brood@v.hatched@v.hatches
chocolate	n+m.chocolate@n+m.cocoa@n+m.choc
chocolates	n+m.chocolates
chocou	v.shocked
chofer	n+m.chauffeur
chope	n+m.draught
choque	n+m.shock@n+m.clash@n+m.jolt@n+m.shocker
choques	n+m.shocks
chora	v.cries@v.mourns@v.weeps
choramingando	v.whining
choramingar	v.whine
choramingo	n+m.whining
chorando	v.crying@v.weeping
chorar	v.cry@v.weep@v.mourn@v.wept
choro	n+m.cry@n+m.crying@n+m.weeping@n+m.weep
chorona	a+f.whiny
choros	n+m.cries
chorou	v.cried
chorão	a+m.whiny
choupo	n+m.poplar
chove	v.rains
chovendo	v.raining
chover	v.rain@v.rained
chover granizo	v.sleet
chow-chow	n+m.chow
christensen	n.christensen
chucrute	n+m.kraut
chumaço	n+m.wad
chumbo	n+m.lead
chupa	v.sucks
chupando	v.sucking
chupar	v.suck
chupeta	n+f.pacifier
chupão	n+m.hickey
churrascaria	n+f.steakhouse
churrasco	n+m.barbecue@n+m.barbeque
churrascos	n+m+pl.barbecues
churrasquear	v.barbecue
chuta	v.kicks@v.punts
chutada	a+f.kicked
chutado	a+m.kicked
chutador	n+m.kicker
chutadores	n+m+pl.kickers
chutando	v.punting
chutar	v.kick@v.kicking@v.punt@v.booted
chute	n+m.kick@n+m.kicking@n+m.punt
chute com queda	n+m.dropkick
chute giratório	n+m.roundhouse
chuteira	n+f.cleat
chuteiras	n+f.cleats
chutes	n+m+pl.kicks@n+m+pl.punts
chutney	n+m.chutney
chutou	v.kicked
chuva	n+f.rain@n+f.rainfall
chuva congelada	n+f.sleet
chuva de ideias	n+f.brainstorming@n+f.brainstorm
chuvas	n+f+pl.showers@n+f.rains
chuveiro	n+m.shower
chuveiros	n+m+pl.showers
chuvosa	a+f.rainy
chuvoso	a+m.rainy
chá	n+m.tea@n+m.cha
chás	n+m.teas
château	n+m.chateau
chão	n+m.ground@n+m.floor@n+m.piso
cianeto	n+m.cyanide
ciano	n+m.cyan@a.cyan
ciberespaço	n+m.cyberspace
cibernética	n+f.cybernetics
ciborgue	n+m.cyborg
cicatriz	n+f.scar
cicatrizar	v.scar@v.scarring
cicatrização	n+f.scarring
cicatrizes	n+f.scars
ciclismo	n+m.cycling@n+m.biking@n+m.bicycling
ciclista	n+m.rider@n+m.cyclist@n+f.cyclist
ciclistas	n+m.cyclists@n+m+pl.bicyclists@n+f+pl.bicyclists
ciclo	n+m.cycle
ciclomotor	n+m.moped
ciclone	n+m.cyclone
ciclones	n+m.cyclones
ciclope	n+m.cyclops
ciclos	n+m+pl.cycles
ciclosporina	n+f.cyclosporine
ciclou	v.cycled
ciclídeos	n+m+pl.cichlids
ciclônica	a+f.cyclonic
ciclônico	a+m.cyclonic
cicuta	n+f.hemlock
cid	n+m.cid
cidadania	n+f.citizenship@n+f.citizenry
cidade	n+f.city@n+f.town@n+f.burg
cidade natal	n+f.hometown
cidadela	n+f.citadel
cidades	n+f.cities@n+f.towns
cidadã	n+f.citizen
cidadão	n+m.citizen
cidadãos	n+m.citizens@n+m+pl.citizenry
cidadãs	n+f.citizens
cidra	n+m.citron
cidreira	n+f.citron
ciente	a.aware@a+m.privy@a+f.privy@a+m.cognizant@a+f.cognizant
cientificamente	ad.scientifically
cientista	n+m.scientist
cientistas	n+m.scientists
cientologia	n+f.scientology
científica	a+f.scientific
científico	a+m.scientific
cifra	n+f.cipher@n+f.cypher
cifras	n+f+pl.ciphers
cigana	n+f.gypsy
ciganas	n+f.gypsies
cigano	n+m.gypsy@a.gypsy
ciganos	n+m.gypsies
cigarro	n+m.cigarette@n+m.fag@n+m.cig
cigarro de maconha	n+m.reefer
cigarros	n+m+pl.cigarettes@n+m.smokes@n+m+pl.fags
cigarros de maconha	n+m+pl.blunts
cilada	n+f.entrapment
cilindro	n+m.cylinder@n+m.cyl
cilindros	n+m.cylinders
cilindros cabeças setores	n+m.chs
cilíndrica	a+f.cylindrical
cilíndrico	a+m.cylindrical
cimenta	v.cements
cimentada	a+f.cemented
cimentado	a+m.cemented
cimentar	v.cement
cimento	n+m.cement
cimentos	n+m+pl.cements
cimentou	v.cemented
cimetidina	n+f.cimetidine
cincela	v.chisels
cinco	n+m.five@a+m.five@a+f.five@n+m.cinque
cincos	n+m+pl.fives
cineasta	n+m.filmmaker@n+f.filmmaker
cineasta autor	n+m.auteur
cineastas	n+m.filmmakers@n+f.filmmakers
cinebiografia	n+m.biopic
cinegrafista	n+m.cameraman
cinema	n+m.cinema@n+m.cine@n+m.kino
cinema antigo	n+m.nickelodeon
cinemas	n+m.cinemas
cinematografia	n+f.cinematography
cinematográfica	a+f.cinematic
cinematográfico	a+m.cinematic
cinematógrafa	n+f.cinematographer
cinematógrafo	n+m.cinematographer
cinemática	n+f.kinematics@a+f.kinematic
cinemático	a+m.kinematic
cinesiologia	n+f.kinesiology
cingalesa	a+f.lankan@n+f.lankan@a+f.sinhalese@n+f.sinhalese
cingalês	a+m.lankan@n+m.lankan@a+m.sinhalese@n+m.sinhalese
cinismo	n+m.cynicism
cinquenta	num.fifty
cinta	n+f.girdle
cintilando	v.twinkling
cintilante	a+m.shimmering@a+f.shimmering@a+m.glittering@a+f.glittering@a+m.spangled@a+f.spangled@a+m.sparkly@a+f.sparkly@a+m.twinkling@a+f.twinkling
cintilar	v.sparkle@v.twinkle@v.flicker@v.shimmering@v.glittering@v.shimmer
cintilação	n+f.twinkle@n+m.flicker@n+f.shimmer@n+f.scintillation
cinto	n+m.belt
cinto de segurança	n+m.seatbelt
cintos	n+m+pl.belts
cintou	v.belted
cintura	n+f.waist
cinturão	n+m.girdle
cinturão do sol	n+m.sunbelt
cinturão verde	n+m.greenbelt
cinza	a.gray@n+m.gray@a.grey@n+m.grey@n+f.ash@n+f.cinder
cinza-chumbo	a+m.gunmetal@a+f.gunmetal
cinzas	n+f.ashes@n+m+pl.greys
cinzeiro	n+m.ashtray
cinzeiros	n+m+pl.ashtrays
cinzel	n+m.chisel
cinzelar	v.chisel
cinzéis	n+m+pl.chisels
cinética	a+f.kinetic@n+f.kinetics
cinético	a+m.kinetic
cio	n+m.rut
cipreste	n+m.cypress
cipriota	n+m.cypriot@n+f.cypriot@a+m.cypriot@a+f.cypriot
cipriotas	n+m+pl.cypriots
circadiana	a+f.circadian
circadiano	a+m.circadian
circo	n+m.circus
circo glacial	n+m.cirque@n+m.corrie@n+m.cwm
circuitaria	n+f.circuitry
circuito	n+m.circuit@n.cir@n+m.circuitry
