آب	n+m.abe
تجميل أنف	n+f.rhinoplasty
تجميلي	a.cosmetic
تجمُّعات	n+f.assemblies
تجمّع	n+m.gathering@n+m.rally
تجنب	n+m.avoidance@v.averted
تجنيد	n+m.enlistment
تجنيد إجباري	n+f.conscription
تجنيس	n+f.naturalization
تجنَّب	v.avoided
تجنّب	v.shunned
تجهم	n+f.pout
تجهمة	n+f.wince
تجهيز	n+m.priming@n+m.equipping@n+m.outfitting
تجهيزات	n+f.fixtures@n+f.fittings@n+f.equipments@n+f.fixings
تجهيزة	n+f.fixture
تجوال	n+m.wandering@n+m.roaming
تجوالات	n+f.wanderings
تجول	n+m.rambling@v.wandered@v.drifted@v.cruised@v.roamed
تجوية	n+m.weathering
تجويف	n+m.hollow@n+m.cavity@n+m.recess@n+m.lumen
تجويفي	a.luminal
تحالف	n+m.alliance
تحالفات	n+f.alliances
تحاليل	n+f.assays
تحاميل	n+f.suppositories
تحايل	n+m.circumvention
تحبير	n+m.inking
تحت	prep.under@prep.below@prep.sub@prep.beneath@prep.underneath@prep.sous@prep.infra@prep.neath@a.hypo
تحت الأرض	a+m.underground@a.subterranean
تحت الإبط	a.underarm
تحت البحر	a.undersea
تحت الجلد	a.subcutaneous
تحت الحمراء	a.infrared
تحت الخط	n+m.btl
تحت السطح	a.subsurface
تحت العتبة	a.subliminal
تحت القدم	ad.underfoot
تحت اللسان	a.sublingual
تحت الماء	a.underwater
تحت المهاد	n+m.hypothalamus
تحت المهادي	a.hypothalamic
تحت حاد	a.subacute
تحت خلوي	a.subcellular
تحته	ad.thereunder
تحته خط	a.underlined
تحتي	a.nether
تحجيم	n+m.sizing@n+m.scaling
تحدى	v.defied
تحدي	n+m.gauntlet
تحديات	n+f.challenges@n+f.dares
تحديث	n+m.update@n+m.updating@n+f.modernization@n+m.retrofit@n+f.modernisation@n+m.retrofitting
تحديثات	n+f.updates
تحديثي	a.modernizing
تحديد	n+m.identification@n+m.determination@n+m.delineation
تحديد الملامح	n+m.contouring
تحديد موقع	n+m.siting
تحديد نطاق	n+m.scoping
تحديدات	n+f.determinations
تحديداً	ad.specifically
تحديق	n+m.staring@n+m.gazing
تحدٍ	n+m.challenge@n+m.defiance
تحدٍّ	a.challenging@n+m.dare
تحدَّى	v.challenged
تحدّث	v.spoke@v.talked
تحذير	n+m.warning@n+m.caveat@n+f.admonition
تحذيرات	n+f.warnings@n+f.advisories@n+f.cautions@n+f.caveats
تحذيري	a.cautionary
تحرري	n+m.libertarian@a.libertarian
تحررية	n+f.libertarianism
تحرش	n+m.molestation@v.molested
تحرك	v.moved
تحرير	n+m.edit@n+m.editing@n+m.liberation@n+m.liberalization@n+m.freeing@n+m.emancipation@n+f.liberalisation
تحريري	a+m.editorial
تحريرية	a+f.editorial
تحريض	n+m.agitation@n+m.sedition@n+m.incitement@n+m.exhortation
تحريضي	a.inductive
تحريف	n+f.misrepresentation@n+m.perversion
تحريفات	n+f.misrepresentations
تحريفي	n+m.revisionist@a.revisionist
تحريك	n+m.stirring
تحريك كاميرا	n+m.panning
تحرُّش	n+m.harassment
تحزب	n+f.partisanship
تحسس	n+m.groping
تحسيس	n+f.sensitization
تحسين	n+m.improvement@n+m.optimization@n+m.enhancement@n+m.refinement@n+f.optimisation@n+m.betterment@n+m.optimising
تحسينات	n+f.improvements@n+f.enhancements@n+f.optimizations@n+f.refinements
تحصين	n+m.immunization@n+m.immunisation@n+f.fortification
تحصينات	n+f.immunizations@n+f.fortifications
تحضر	n+f.urbanization
تحضير	n+f.preparation@n+m.prep
تحضيرات	n+f.preparations@n+f.preps
تحضيري	a.prep@a.preparatory@a.preseason
تحطم	n+m.crash@v.crashed
تحطيم	n+m.wrecking
تحف	n+f.antiques@n+f.masterpieces@n+f.antiquities@n+f.curiosities@n+f.curios
تحفة	n+f.antique@n+f.masterpiece@n+f.curio
تحفة موروثة	n+m.heirloom
تحفظ	n+f.reservation@n+f.conservatism@n+f.proviso
تحفيز	n+f.motivation@n+m.stimulation@n+m.excitation@n+m.inducing
تحفيزي	a.motivational@a.catalytic
تحقق	v.checked@n+m.verification@n+m.validation@n+m.verifying@v.ascertained@n+m.fruition@v.materialized
تحققات	n+f.verifications
تحقيق	n+m.investigation@n+m.attainment@n+m.attaining@n+f.realisation@n+m.fulfilment@n+m.inquest
تحقيقات	n+f.investigations@n+f.realizations
تحقيقات جنائية	n+m.cid
تحكم إدخال وإخراج	n+m.ioctl
تحكم بالمثانة	n+m.continence
تحكيم	n+m.arbitration@n+f.adjudication
تحكيمي	a.arbitral
تحلل	n+m.decay@n+m.decomposition@v.decomposed@n+m.lysis@v.decayed
تحلل حيوي	n+m.biodegradation
تحلل مائي	n+m.hydrolysis
تحللات	n+f.decays
تحلية	n+f.desalination
تحليل	n+m.analysis@n+m.breakdown@n+m.parsing@n+m.analysing
تحليل البول	n+m.urinalysis
تحليل طيفي	n+m.spectroscopy
تحليل عوامل	n+m.factoring
تحليل كهربائي	n+m.electrolysis
تحليل لعوامل	n+f.factorization
تحليل نفسي	n+m.psychoanalysis
تحليلات	n+f.analyses
تحليلي	a.analytical@a.analytic
تحليلي نفسي	a.psychoanalytic
تحليلياً	ad.analytically
تحمل	v.tolerated@v.endured@n+m.hardiness
تحمير	n+m.browning
تحميص	n+m.roasting
تحميل	n+m.download@n+m.loading
تحميلات	n+f.downloads@n+f.uploads@n+f.loadings
تحمُّل	n+f.endurance
تحمّل	n+f.tolerance@v.shouldered
تحنيط	n+m.taxidermy
تحوت	n+m.thoth
تحوط	n+m.hedging
تحول	v.turned@n+m.shift@n+f.transformation@n+f.makeover@n+m.turnaround@n+m.morph@n+f.metamorphosis@v.mutated
تحولات	n+f.transformations@n+f.transforms
تحويرات	n+f.permutations
تحويل	n+m.conversion@n+m.shifting@n+m.diversion@n+f.transduction@n+m.remittance@n+f.permutation@n+m.changeover@n+m.morphing@n+f.transference@n+m.switchover
تحويل برمجي	n+m.compilation
تحويل بنكي	n+m.giro
تحويلات	n+f.transfers@n+f.conversions@n+f.diversions@n+f.bypasses
تحويلات مالية	n+f.remittances
تحويلة	n+m.shunt
تحويلي	a.anamorphic@a.transformational
تحوَّل	v.transformed@v.shifted
تحوّط	v.hedged
تحوّل	v.morphed
تحيات	n+f.regards@n+f.greetings@n+f.salutes
تحياتي	int.cheers
تحية	n+f.greeting@n+f.salute@n+f.salutation
تحيز	n+m.bias
تحيزات	n+f.biases@n+f.prejudices
تحييد	n+f.neutralization
تحيُّز	n+m.prejudice
تخاطر	n+m.telepathy
تخبط	n+f.fumble
تخثر	n+m.thrombosis@n+m.coagulation@n+m.clotting
تخدير	n+f.anaesthesia@n+m.sedation
تخديري	a.anaesthetic
تخرجات	n+f.graduations
تخريب	n+m.subversion@n+m.vandalism@n+m.sabotage@n+m.sab
تخريبي	a.subversive
تخريز	n+m.beading
تخرّج	n+m.graduation@v.graduated
تخزين	n+m.storage@n+m.warehousing
تخزين مؤقت	n+m.caching@n+m.buffering
تخشين	n+m.roughing
تخصص	n+m.discipline@n+m.specialization@n+f.speciality@n+f.specialisation
تخصصات	n+f.disciplines@n+m.majors@n+f.niches@n+f.specialities@n+f.specializations
تخصيب	n+m.fertilization
تخصيص	n+m.allocation@n+m.appropriation@n+f.customization@n+m.customizing@n+m.personalization@n+m.allotment@n+m.allocating@n+f.customisation
تخصيصات	n+f.allocations@n+f.customizations
تخضير	n+m.greening
تخطى	v.skipped
تخطيط	n+m.planning@n+m.layout@n+m.plotting@n+m.outlining@n+m.striping
تخطيط حضري	n+m.urbanism
تخطيطات	n+f.layouts
تخطيطي	a.schematic
تخفيض	n+m.reduction@n+m.abatement@n+m.downgrade@n+m.undercut
تخفيض حاد	n+m.slashing
تخفيض قيمة	n+f.devaluation
تخفيضات	n+f.sale@n+f.discounts@n+f.cuts@n+f.reductions@n+f.downgrades@n+f.cutbacks
تخفيف	n+m.mitigation@n+m.dilution@n+m.easing@n+f.alleviation@n+m.commutation
تخفيف الضغط	n+f.decompression
تخفيفات	n+f.dilutions
تخلص	n+m.discarding@n+f.riddance
تخلص من	v.discarded
تخلف	n+m.retardation@v.defaulted@n+m.defaulting
تخلف مغناطيسي	n+f.hysteresis
تخلق شكلي	n+m.morphogenesis
تخلل	v.interspersed
تخلى	v.relinquished
تخلى عن	v.renounced
تخليص	n+f.clearance
تخليق حيوي	n+f.biosynthesis
تخلٍ	n+f.abandonment
تخلٍّ	n+m.abandon@n+m.renunciation
تخلَّص	v.disposed
تخلّص	n+m.disposal
تخمة	n+f.glut
تخمر	n+f.fermentation@n+m.ferment
تخميد	n+m.damping@n+m.dampening
تخمير	n+m.brewing@n+m.fermentation
تخمين	n+m.guess@n+m.guessing@n+m.conjecture@n+m.guesswork
تخمينات	n+f.guesses@n+f.conjectures
تخميني	a.speculative
تخوم	n+f.frontier
تخويف	n+f.intimidation
تخيل	v.imagined@v.envisioned@n+m.imagining
تخييم	n+m.camping
تخيّل	v.fancied
تدابير	n+f.measures
تدابير مضادة	n+f.countermeasures
تداخل	n+m.overlap@n+f.interpolation@n+m.crosstalk@v.interleaved@n+m.lapping@v.overlapped
تداخلات	n+f.overlaps
تداعيات	n+f.implications@n+m.fallout@n+f.ramifications@n+f.repercussions@n+f.spillovers
تداعية	n+f.implication
تدافع	n+f.stampede@n+m.scrum@v.flocked
تداول	n+m.trading@n+m.circulation
تداولي	a.deliberative
تدبير منزلي	n+f.housekeeping@n+m.menage
تدحرج	v.tumbled
تدخل	n+m.intervention@n+m.interference@n+m.meddling
تدخلات	n+f.interventions
تدخين	n+m.smoking
تدخّل	v.intervened@v.interfered
تدرب	v.rehearsed
تدرج	n+m.gradation
تدرج رمادي	n+m.monochrome
تدرجات	n+f.gradients
تدريب	n+m.training@n+m.coaching@n+f.drill@n+f.scrimmage
تدريب داخلي	n+f.internship
تدريب عملي	n+m.practicum
تدريب كتابي	n+f.clerkship
تدريب مهني	n+f.apprenticeship@n+f.apprenticeships
تدريبات	n+f.drills@n+f.trainings
تدريبات داخلية	n+f.internships
تدريج	n+m.phasing
تدريجي	a.incremental@a.gradual@a.fabian@a.stepwise
تدريجياً	ad.gradually@ad.progressively@ad.incrementally@ad.piecemeal
تدريس	n+m.teaching
تدرُّج	n+m.gradient
تدفئة	n+m.heating
تدفق	n+m.flow@n+m.flux@n+m.influx@v.flowed@v.streamed@n+m.gush@n+m.welling@v.surged@n+m.outpouring@n+m.spouting
تدفق الهواء	n+m.airflow
تدفق بطيء	n+m.trickle
تدفق خارجي	n+m.outflow@n+m.efflux
تدفق داخلي	n+m.inflow
تدفق عكسي	n+m.backflow
تدفق نقدي	n+m.cashflow
تدفقات	n+f.flows@n+m.fluxes
تدفقات خارجة	n+f.outflows
تدفقات داخلة	n+f.inflows
تدقيق	n+m.audit@n+m.auditing@n+m.scrutiny@n+m.proofing@n+m.proofread
تدقيق لغوي	n+m.proofreading
تدليك	n+m.massage@n+m.massaging
تدليكات	n+f.massages
تدليل	n+m.pampering
تدلٍ	n+m.sag
تدمر	n+f.palmyra
تدمير	n+m.destruction@n+m.ruining@n+f.decimation@n+m.trashing
تدمير ذاتي	n+m.destruct
تدنيس	n+f.desecration
تدهور	n+m.degradation@n+m.deterioration@n+m.degeneration@v.deteriorated@n+m.worsening
تدوير	n+m.twirling
تدويل	n+f.internationalization@n+f.internationalisation
تدوينات	n+f.notations
تذاكر	n+f.tickets@n+f.fares
تذبذب	n+m.oscillation@n+f.fluctuation
تذبذبات	n+f.oscillations
تذبذبي	a.oscillatory
تذكار	n+f.souvenir@n+f.keepsake@n+f.memento@n+f.trinket
تذكارات	n+f.memorabilia@n+f.souvenirs@n+f.keepsakes
تذكاري	a+m.memorial@a.commemorative@a.monumental@a.votive
تذكارية	a+f.memorial
تذكر	n+m.recollection
تذكرة	n+f.ticket
تذكير	n+f.reminder@n+m.reminding
تذكيرات	n+f.reminders
تذمر	n+m.whining@n+f.grumble
تذوق	v.tasted
تذوقات	n+f.tastings
تذوُّق	n+m.tasting
تذييل	n+m.footer
تذييلات	n+f.footers
ترأس	v.chaired@v.presided
ترؤس	n+m.officiating
تراب	n+f.dirt
ترابط	n+m.bonding@n+m.interconnection@n+f.cohesion@n+f.interdependence@n+f.connectedness
ترابطات	n+f.interconnections
ترابطي	a.associative
ترابي	a.earthy@a.earthen
تراث	n+m.heritage@n+m.lore
تراجع	n+m.regression@n+m.setback@n+m.downturn@n+m.rollback@n+m.regress@v.retreated@v.retracted@n+f.retraction@n+f.slippage@n+m.backtracking
تراجعات	n+f.regressions@n+f.retractions
تراجعي	a.regressive
تراخيص	n+f.licences
ترادف	n+m.tandem
تراسل	v.corresponded
تراص	n+f.compactness
ترافالغار	n+f.trafalgar
ترافرتين	n+m.travertine
ترافع	v.pleaded
ترافولتا	n+m.travolta
ترافيس	n+m.travis
تراقيا	n+f.thrace
تراكب	n+m.aliasing@n+m.superposition
تراكم	n+m.accumulation@v.accumulated@v.accrued@n+m.backlog@n+f.accrual@n+m.buildup@n+m.accretion
تراكمات	n+f.accumulations
تراكمي	a.cumulative
تراكي	n+f.truckee
تراكيب	n+f.compositions
ترالي	n+f.tralee
ترام	n+m.tram@n+f.trams@n+f.streetcar
ترامب	n+m.trump
ترامبل	n+m.trumbull
ترامبولين	n+f.trampoline
ترامبولينات	n+f.trampolines
تران	n+m.tran
ترانزستور	n+m.transistor
ترانزستورات	n+f.transistors
ترانس	n+m.trance
ترانسيلفانيا	n+f.transylvania
ترانيم	n+f.hymns@n+f.carols
تراوح	v.ranged
تربة	n+f.soil@n+f.soils@n+f.sod
تربة سطحية	n+f.topsoil
تربة صقيعية دائمة	n+f.permafrost
تربوي	a.pedagogical@a.pedagogic
تربية	n+f.education@n+m.breeding@n+f.rearing@n+f.upbringing
تربية الأطفال	n+f.parenting
تربية النحل	n+f.beekeeping
تربية حيوانات	n+m.husbandry
تربية ماشية	n+m.ranching
تربيع	n+f.quadrature
تربيعي	a.quadratic
ترتان	n+m.tartan@n+m.tartans
ترتر	n+f.sequin@n+f.sequins
ترتيب	n+m.order@n+m.arrangement@n+m.ord@n+m.arranging@n+m.collation@n+m.collating@n+m.marshalling
ترتيب الأولويات	n+f.prioritization
ترتيبات	n+f.arrangements@n+f.standings@n+f.dispositions@n+f.setups
ترتيبي	a.ordinal
ترتيلات	n+f.chants
ترجم	v.subtitled
ترجمات	n+f.translations@n+f.subtitles@n+f.renderings
ترجمة	n+f.translation@n+f.interpretation@n+m.subtitle@n+f.translating@n+f.transl
ترجمة نصية	n+m.captioning
ترجمي	a.translational
ترجيح	n+m.weighting
ترحيب	n+m.welcome@n+m.welcoming
ترحيبي	a.hospitable
ترحيل	n+m.deportation@n+m.carryover
ترخيص	n+m.license@n+m.licensing
تردد	n+m.frequency@n+m.freq@n+m.hesitation@n+m.reluctance@v.hesitated@n+m.indecision
تردد صداه	v.echoed
تردد عالي جداً	n+m.vhf
تردد على النوادي	n+m.clubbing
تردد فائق العلو	n+m.uhf
ترددات	n+f.frequencies
ترددي	a.reciprocating
ترديد	n+m.chanting
ترس	n+m.gear@n+m.cog
ترس صغير	n+m.pinion
ترس مسنن	n+f.sprocket
ترسانة	n+m.arsenal
ترسبات	n+f.depositions
ترسيب	n+f.sedimentation
ترسية	n+m.anchoring
ترسيم	n+f.delineation
ترسيم حدود	n+f.demarcation
ترسُّب	n+m.plaque
ترشح	n+f.candidacy
ترشيح	n+m.nomination@n+f.filtration@n+f.infiltration@n+m.nominating@n+m.leaching@n+m.percolation
ترشيحات	n+f.nominations
ترشيد	n+f.rationalization@n+f.rationalisation
ترصيع	n+m.inlay
ترصيعات	n+f.inlays
ترضع	v.lactating
ترطيب	n+f.hydration
ترعيد	n+m.tremolo
ترفيه	n+m.entertainment@n+m.recreation@n+m.rec@n+m.entertainments
ترفيه معلوماتي	n+m.infotainment
ترفيهات	n+f.recreations
ترفيهي	a.recreational
ترقب	n+m.anticipation
ترقيات	n+f.promotions@n+f.upgrades@n+f.advancements
ترقية	n+f.upgrade@n+f.promotion@n+m.upgrading@n+f.ascent
ترقيع	n+m.patchwork@n+m.patching
ترقيق	n+m.thinning
ترقيم	n+m.numbering
ترقيم صفحات	n+f.pagination
تركات	n+f.estates@n+f.legacies
تركة	n+f.estate@n+f.legacy
تركمانستان	n+f.turkmenistan
تركماني	a.turkmen@n+m.turkmen
تركي	a.turkish@n+m.turkish@n+m.turk
تركيا	n+f.turkey
تركيب	n+f.installation@n+m.mounting@n+m.synthesis@n+m.fitting@n+m.compounding@n+m.texturing@n+m.synthesizing
تركيب صور	n+m.compositing
تركيبات	n+f.combinations@n+f.installations@n+f.mountings
تركيبة	n+f.combination@n+f.formula@n+f.composition
تركيبة سكانية	n+f.demographics
تركيبي	a.syntactic@a.compositional
تركيز	n+m.focus@n+m.concentration@n+m.conc@n+m.focussing
تركيزات	n+f.focuses@n+f.concentrations
ترمس	n+m.lupin@n+m.thermos@n+m.lupine
ترمل	v.widowed
ترميز	n+m.coding@n+m.encoding@n+m.notation@n+m.markup
ترميم	n+m.restoration@n+f.refurbishment
ترميمات	n+f.restorations
ترميمي	a.restorative@a.reconstructive
ترنتون	n+f.trenton
ترنح	v.staggered@n+f.ataxia
ترنر	n+m.turner
ترنيمة	n+f.carol@n+f.hymn@n+f.chant@n+f.chorale
ترهيب	n+m.intimidation
تروبريدج	n+f.trowbridge
تروبوسفيري	a.tropospheric
تروبيكانا	n+f.tropicana
تروتسكي	n+m.trotsky
تروخيو	n+m.trujillo
ترودو	n+m.trudeau
ترودي	n+f.trudy
ترورو	n+m.truro
تروس	n+m.gears@n+m.gearing@n+f.cogs
تروس مسننة	n+f.sprockets
ترومان	n+m.truman
ترومبون	n+m.trombone
ترون	n+m.tron
تروندهايم	n+f.trondheim
تروي	n+m.troy
تروية	n+f.perfusion
ترويج	n+m.promotion@n+m.promo@n+m.touting
ترويجي	a.promotional
ترويسة	n+f.masthead@n+f.letterhead
ترويض	n+m.taming
ترويض الخيول	n+m.dressage
ترويكا	n+f.troika
تري	n+m.trey
ترياتلون	n+m.triathlon
ترياسي	a.triassic
ترياق	n+m.antidote
تريبتوفان	n+m.tryptophan
تريبسين	n+m.trypsin
تريبورا	n+f.tripura
تريتون	n+m.triton
تريتيوم	n+m.tritium
ترير	n+f.trier
تريستان	n+m.tristan
تريسترام	n+m.tristram
تريسي	n+f.tracy@n+f.tracey@n+f.traci@n+f.tracie
تريشا	n+f.tricia@n+f.trisha
تريفاندروم	n+f.trivandrum
تريفور	n+m.trevor
تريفيزو	n+f.treviso
تريفينو	n+m.trevino
تريفيوم	n+m.trivium
تريليون	n+m.trillion
ترينا	n+f.trina
ترينت	n+m.trent
ترينتو	n+f.trento
ترينيداد	n+f.trinidad
ترييستي	n+f.trieste
تزامن	n+f.concurrency@n+m.synch@v.concurred@v.coincided@n+m.synchro
تزامنية	n+f.synchronicity
تزاوج	n+m.mating@v.mated
تزاوج الأقارب	n+m.inbreeding
تزجيج	n+m.glazing
تزكوي	a.testimonial
تزلج	n+m.ski@n+m.skiing@n+m.skating@n+m.skate
تزلج بمزلجة	n+m.sledding
تزلج على الجليد	n+m.snowboarding
تزلج على اللوح	n+m.skateboarding
تزلج متعرج	n+m.slalom
تزليق	n+m.lubrication
تزمير	n+m.tooting
تزوج	v.wedded
تزوج ثانية	v.remarried
تزويد	n+m.provisioning
تزويد بالطاقة	n+m.powering
تزوير	n+m.rigging@n+m.forging@n+m.counterfeit@n+f.forgery@n+m.counterfeiting@n+m.falsification
تزويرات	n+f.forgeries
تزييف	n+m.faking@n+f.falsification
تزيين	n+m.decorating@n+m.garnish@n+m.embellishment
تزيين بالكريمة	n+m.frosting
تزيينات	n+f.embellishments
تساءل	v.wondered
تسابق	v.raced
تسابيح	n+f.hymns
تسارع	n+m.acceleration@n+m.accel
تساقط	n+m.shedding
تساقط الثلج	n+m.snowfall@n+m.snowing@v.snowed
تسالونيكيون	n+m.thessalonians
تسامح	n+m.tolerance
تسامٍ	n+m.sublimation
تساهل	n+m.indulgence
تساهمي	a.covalent
تستوستيرون	n+m.testosterone
تسجيل	n+m.registration@n+m.recording@n+m.reg@n+m.scoring@n+m.logging@n+f.rec@n+m.enrolment@n+m.enrolling@n+m.taping
تسجيل براءة	n+m.patenting
تسجيل جامعي	n+f.matriculation
تسجيل خروج	n+m.logout@n+m.logoff
تسجيل دخول	n+m.login@n+m.logon
تسجيل هدف	n+f.touchdown
تسجيلات	n+f.recordings@n+f.registrations@n+m.touchdowns@n+f.enrolments
تسجيلات صوتية	n+f.audios
تسجيلات مقرصنة	n+f.bootlegs
تسجيلة	n+f.record
تسخير	n+m.harnessing
تسرب	n+m.leakage@n+m.leaking@v.leaked@n+m.seepage
تسرطن	n+m.carcinogenesis
تسرع	n+m.haste
تسرع القلب	n+m.tachycardia
تسريب	n+m.leak@n+m.infusion
تسريبات	n+f.leaks
تسريح	n+m.layoff
تسريحات	n+f.layoffs@n+f.redundancies
تسريحات شعر	n+f.hairstyles
تسريحة شعر	n+f.hairstyle
تسريع	n+f.speedup
تسطح	n+m.flatness
تسطيح	n+m.surfacing@n+m.flattening
تسطير	n+m.underlining
تسعة	n+f.nine@a.nine
تسعة عشر	n+m.nineteen
تسعة وثلاثون	n+m.xxxix
تسعة وعشرون	n+m.xxix
تسعون	n+m.ninety
تسعير	n+m.pricing
تسقيف	n+m.roofing
تسك تسك	int.tut
تسكيجي	n+f.tuskegee
تسكين الألم	n+f.analgesia
تسلا	n+m.tesla
تسلسل	n+m.sequence@n+m.seq@n+m.sequencing@n+f.serialization@n+m.chaining
تسلسل زمني	n+m.chronology@n+m.chron
تسلسل هرمي	n+m.hierarchy
تسلسلات	n+f.sequences
تسلسلات هرمية	n+f.hierarchies
تسلسلياً	ad.sequentially
تسلق	n+m.climbing@n+m.climb@v.climbed@n+f.escalade@n+m.scrambling
تسلق الجبال	n+m.mountaineering
تسلقات	n+f.climbs
تسلل	n+f.stealth@n+m.infiltration@v.crept@v.infiltrated@n+m.offside
تسليات	n+f.diversions@n+f.amusements@n+f.entertainments@n+f.pastimes
تسلية	n+f.amusement@n+f.diversion@n+m.pastime
تسليح	n+m.armament@n+m.arming
تسليحات	n+f.armaments
تسليم	n+m.handing@n+f.rendition@n+m.deliverable@n+m.handover@n+m.handoff
تسليم المجرمين	n+f.extradition
تسليمات	n+f.renditions
تسماني	a.tasmanian@n+m.tasmanian
تسمانيا	n+f.tasmania
تسمم	n+m.intoxication
تسميات	n+f.labels@n+f.designations
تسمية	n+f.label@n+f.designation@n+f.naming@n+m.nomenclature@n+f.appellation
تسمية توضيحية	n+f.caption
تسميد	n+m.composting
تسمير	n+m.tanning@n+m.nailing
تسمُّم	n+m.poisoning
تسنين	n+m.teething
تسهيل	n+f.facilitation
تسهيلات	n+f.accommodations
تسوس	n+m.caries
تسوق	n+m.shopping@v.shopped
تسول	n+m.begging
تسونامي	n+m.tsunami@n+f.tsunamis
تسويات	n+f.settlements@n+f.compromises
تسوية	n+f.settlement@n+f.adjustment@n+f.arrangement@n+f.compromise@n+f.settling@n+m.equalization@n+m.planing@n+m.levelling@n+f.regularization
تسويف	n+m.procrastination
تسويق	n+m.marketing@n+m.merchandising@n+f.commercialisation
تسويق تجاري	n+m.commercialization
تسويق هاتفي	n+m.telemarketing
تشاؤم	n+f.pessimism
تشابك	v.tangled@n+m.interlock@v.intertwined@v.entangled@n+f.tangle@n+m.entanglement@v.interlaced@v.entwined
تشابكي	a.synaptic
تشابمان	n+m.chapman
تشابه	n+f.similarity
تشابه بنيوي	n+m.homology
تشاتام	n+m.chatham
تشاتانوغا	n+f.chattanooga
تشاتاهوتشي	n+m.chattahoochee
تشاد	n+m.chad
تشادويك	n+m.chadwick
تشاركي	a.participatory
تشارلتون	n+m.charlton
تشارلز	n+m.charles
تشارلستون	n+f.charleston
تشارلي	n+m.charlie@n+m.charley
تشافيز	n+m.chavez
تشاك	n+m.chuck
تشاكل	n+m.homomorphism
تشاكو	n+m.chaco
تشالمرز	n+m.chalmers
تشام	n+m.cham
تشامبرلين	n+m.chamberlain
تشان	n+m.chan
تشاندرا	n+m.chandra
تشاندلر	n+m.chandler
تشانغ	n+m.chang
تشاو	n+m.chow
تشايكوفسكي	n+m.tchaikovsky
تشب	n+m.chubb
تشبث	v.clung
تشبع	n+m.saturation
تشبيك	n+m.netting
تشبيه	n+f.analogy@n+f.simile
تشبيهات	n+f.analogies
تشتت	n+m.scattering@n+m.dispersion@n+m.distraction@n+m.dispersal
تشتية	n+m.wintering
تشجيع	n+m.encouragement
تشحيم	n+f.lubrication
تشخيص	n+m.diagnosis@n+m.diagnostic@n+m.diagnostics@n+m.diagnosing@n+m.diag
تشخيصات	n+f.diagnoses
تشخيصي	a.diagnostic
تشديد	n+m.emphasis@n+m.tightening@n+m.stressing
تشرد	n+m.homelessness
تشرشل	n+m.churchill
تشريح	n+m.anatomy@n+m.dissection@n+m.dissecting@n+m.anat
تشريح جثة	n+m.autopsy@n+m.postmortem
تشريحي	a.anatomical@a.anatomic
تشريحياً	ad.anatomically
تشريع	n+m.legislation
تشريعات	n+f.enactments
تشريعي	a+m.legislative@a.statutory
تشريعية	a+f.legislative
تشسترتون	n+m.chesterton
تشطيبات	n+f.finishes@n+f.finishers
تشعب	v.forked
تشعبات	n+f.ramifications
تشعيع	n+m.irradiation
تشعّب	n+f.bifurcation
تشغيل	n+m.playback@n+m.actuation@n+m.cranking
تشغيل آلي	n+f.machining
تشغيلي	a+m.operating@a+m.operational
تشغيلياً	ad.operationally
تشغيلية	a+f.operating@a+f.operational
تشفير	n+m.encryption@n+m.cryptography@n+m.encrypting
تشفيري	a.cryptographic
تشكل	n+m.conformation
تشكيل	n+m.formation@n+m.forming@n+m.accent@n+m.shaping
تشكيل أشجار	n+m.topiary
تشكيل المعادن	n+f.metalworking
تشكيل نمطي	n+m.patterning
تشكيلات	n+f.formations@n+f.assortments@n+f.lineups@n+f.conformations
تشكيلة	n+f.selection@n+m.array@n+f.lineup@n+f.assortment
تشكيلي	a.formative@a.conformational
تشمم	v.nosed
تشنج	n+f.cramp@n+f.spasm@n+m.crick@n+m.cramping
تشنج عصبي	n+f.tic
تشنجات	n+f.cramps@n+f.spasms@n+f.convulsions
تشنجات عصبية	n+f.tics
تشنجي	a.spastic
تشنغدو	n+f.chengdu
تشهير	n+f.defamation@n+m.libel
تشهيري	a.defamatory@a.libellous
تشوسر	n+m.chaucer
تشوكتو	n+m.choctaw
تشومسكي	n+m.chomsky
تشونسي	n+m.chauncey
تشونغ	n+m.chung
تشونغتشينغ	n+f.chongqing
تشوه	n+m.warp@n+m.deformation@n+f.deformity@n+m.malformation
تشوهات	n+f.distortions@n+f.malformations@n+f.deformations@n+f.deformities
تشويش	n+f.interference@n+m.aliasing@n+m.jamming
تشويق	n+m.suspense
تشويه	n+m.distortion@n+m.mutilation@n+m.tarnish@n+m.travesty
تشي	n+f.chi@n+m.che
تشياباس	n+f.chiapas
تشيبا	n+f.chiba
تشيبيوا	n+m.chippewa@n+m.chippewas
تشيتشستر	n+f.chichester
تشيخوف	n+m.chekhov
تشيرنوبيل	n+m.chernobyl
تشيز كيك	n+f.cheesecake
تشيزبرغر	n+m.cheeseburger
تشيزهولم	n+m.chisholm
تشيسابيك	n+f.chesapeake
تشيستر	n+m.chester
تشيسترفيلد	n+m.chesterfield
تشيشاير	n+f.cheshire
تشيكو	n+m.chico
تشيكوسلوفاكيا	n+f.czechoslovakia
تشيكي	a+m.czech
تشيكية	a+f.czech@n+f.czech
تشيكيون	n+m.czechs
تشيلتنهام	n+f.cheltenham
تشيلسي	n+f.chelsea
تشيلمسفورد	n+f.chelmsford
تشيلو	n+m.cello@n+m.violoncello
تشيلي	n+f.chile@a.chilean@n+m.chilean
