Java语言	n.java
做手势	v.gesture@v.gestures
做标记	v.marking
做梦	v.dream@v.dreaming@v.dreamed
做法	n.practices
停	int.whoa
停业	n.closeout
停业大拍卖	n.closeouts
停产的	a.discontinued@a.discontinued
停工	n.shutdown@v.shutdown
停工期	n.layup@n.layup
停放	v.parked@v.parked
停放的	a.parked
停机坪	n.apron@n.apron
停机时间	n.downtime@n.downtime
停止	v.stop@n.stop@v.stopped@v.stops@v.stopping@v.cease@v.stopping@v.cease@v.halt@v.ceased@n.cessation@v.stalls@v.discontinue@v.ceases
停止的	a.stopped
停泊	v.moor
停电	n.outage@n.outage@n.blackout
停留	v.stay@n.stay@v.stayed@v.staying@v.stays@n.stays@n.stays@v.stays
停船	v.hove
停车	v.park@n.parking@v.parking@v.parks@n.stopping
停车的	a.parked
停靠	v.dock@v.docks@v.dock@v.docking@v.docks
停顿	v.stalls@n.pause@v.stall
健全的	a.sound
健壮的	a.robust@a.hale
健康	n.health@n.wellness
健康的	a.well@a.fit@a.healthy
健美	n.bodybuilding
健美操	n.aerobics@n.aerobics
健美男子	n.hunks
健身	n.fitness@n.bodybuilding
健身房	n.gym@n.gyms@n.gyms@n.gymnasium
偶像	n.icon@n.icons@n.idol@n.idol@n.idols
偶尔	ad.occasionally
偶尔的	a.occasional@a.occasional
偶数的	a.even
偶然地	ad.incidentally@ad.accidentally@ad.incidentally
偶然性	n.contingency
偶然的	a.occasional@a.accidental@a.occasional@a.accidental@a.incidental
偷	v.stolen@v.steal@v.steals@v.steal@v.stole@v.steals
偷偷地走	v.sneak
偷看	v.peek@v.peep
偷窃	v.stealing
偷窥者	n.voyeur
偷运	v.smuggling
偿还	n.reimbursement@v.repay@v.refunded@n.repayments@v.reimbursed@n.repayment@n.reimbursement@n.repayment@v.repay@v.refunded@n.repayments@v.reimbursed@v.reimburse
傀儡	n.puppets@n.puppet@n.puppets
傅里叶	n.fourier@n.fourier
傍晚	n.evening@n.dusk@n.evenings
储备	v.stock@n.reserve@n.reserves@v.stocking@v.stocking@v.stocked
储存	v.store@v.stores@n.storage@v.warehouse@v.storing@v.storing@v.warehousing@v.warehouses
储存的	a.stored
储户	n.savers
储物柜	n.locker@n.locker@n.lockers
储蓄	n.savings@n.saving@n.saves@n.thrift
储藏	n.reservoirs@n.reservoir@v.caches
催促	v.urge@v.urged@n.urging@v.hustle@v.dun@v.urge@v.urging@v.hustle@v.dun
催函	n.reminders
催化作用的	a.catalytic
催化剂	n.catalyst@n.catalyst
催化的	a.catalytic
催眠	n.hypnosis
催眠术	n.hypnosis
傲慢的	a.cavalier@a.arrogant@a.cavalier@a.arrogant
傻乎乎的	a.goofy
傻瓜	n.fool@n.idiot@n.idiots@n.sucker@n.idiot@n.dummies@n.fools@n.idiots@n.sucker@n.twat
傻的	a.silly@a.foolish@a.daft
像	prep.like@prep.ala@v.resemble@v.resembles@v.resemble@v.resembles
像素	n.pixels@n.pixel
僧侣	n.monk@n.monk@n.monks
僵尸	n.zombie@n.zombie@n.zombies
僵尸程序	n.bots
僵硬	n.stiffness
僵硬的	a.stiff@a.stiff
儿子	n.son@n.sons
儿童	n.children@n.child
儿童保育	n.childcare@n.childcare
儿童游戏室	n.playhouse@n.playhouse
允许	v.let@v.allow@v.allows@v.allowed@v.permit@v.allowing@v.lets@v.permitted@v.permits@n.allowance@v.permitting
允许的	a.allowed@a.allowable@a.permissible
允许进入	v.admitting
元	n.dollars@n.dollar@n.meta@n.yuan
元帅	n.marshal@n.marshal
元数据	n.metadata@n.metadata
元的	a.meta
元素	n.elements@n.element@n.elemental@n.elem
元素的	a.elemental
元组	n.tuple@n.tuple
兄弟	n.brother@n.brothers@n.bro@n.bros@n.brethren
兄弟会	n.brotherhood@n.fraternity@n.brotherhood
兄弟关系	n.brotherhood@n.brotherhood
兄弟姐妹	n.sibling@n.siblings@n.sibling
充分	n.adequacy
充分利用	v.maximise
充分地	ad.fully@ad.sufficiently@ad.adequately@ad.sufficiently@ad.adequately
充分的	a.sufficient
充实	v.enrich
充气物	n.inflatable
充气的	a.pumped@a.pneumatic
充满	v.abound@v.abound
充满感情的	a.lyrical
充满活力地	ad.dynamically
充满活力的	a.vibrant@a.vibrant
充满爱的	a.loving
充满的	a.filled
充电	v.charge@v.charges@v.charging@v.charging@v.recharge
充电器	n.charger@n.chargers@n.chargers
充血	n.congestion@n.congestion
充裕	n.abundance
充裕的	a.abundant@a.abundant
充足	ad.plenty@n.sufficiency@n.adequacy@n.sufficiency
充足的	a.ample
兆	n.mega@n.trillion
兆赫	n.mhz
先令	n.shilling@n.shilling
先例	n.precedent
先决条件	n.prerequisite@n.prerequisites@n.prerequisite@n.prerequisites
先前	ad.previously
先前的	a.previous@a.prior@a.prev
先天的	a.congenital@a.congenital
先生	n.sir@n.gentleman@n.gentleman@n.gentlemen@n.esq@n.mister
先生们	n.gentlemen
先知	n.prophet@n.prophet@n.prophets
先祖	n.ancestors
先见之明	n.foresight
先进的	a.advanced
先锋	n.vanguard
先驱	n.pioneer@n.herald@n.precursor@n.pioneers
光	n.light
光圈	n.aperture@n.aperture
光子	n.photon
光学	n.optics@n.optic
光学的	a.optical@a.optic@a.optic
光度学	n.photometry
光彩	n.sheen
光晕	n.halo
光束	n.beam
光栅	n.raster@n.raster
光栅的	a.raster@a.raster
光标	n.cursor@n.cursor
光泽	n.shine@n.shines@n.gloss@n.shine@n.gloss@n.shines@n.sheen
光滑的	a.smooth@a.glazed@a.sleek@a.slick@a.glazed
光环	n.halo@n.halo@n.aura
光盘	n.cd@n.disc@n.disk@n.discs@n.disks
光盘刻录	n.cdr
光秃的	a.bald@a.bald
光线	n.ray@n.rays@n.rays
光芒	n.radiance
光荣的	a.glorious@a.glorious@a.honorable@a.honourable
光谱	n.spectrum@n.spectra@n.spectra
光谱仪	n.spectrometer
光谱学	n.spectroscopy
光谱测定法	n.spectrometry
光谱的	a.spectral@a.spectral
光辉	n.glow@n.brightness@n.brilliance@n.glow@n.brilliance@n.radiance
克	n.grams@n.gram@n.grams@n.gram
克什米尔	n.kashmir
克兰西	n.clancy@n.clancy
克利夫兰	n.cleveland
克利夫顿	n.clifton
克利尔沃特	n.clearwater
克利福德	n.clifford
克利须那神	n.krishna
克制	v.refrain@n.restraint@v.refrain
克制的	a.contained
克劳利	n.crowley@n.crowley
克劳德	n.claude@n.claude
克劳斯	n.klaus@n.claus
克劳福德	n.crawford@n.crawford
克劳迪奥	n.claudio
克劳迪娅	n.claudia
克尔	n.kerr
克尔维特	n.corvette
克恩	n.kern
克拉	n.carat
克拉伦斯	n.clarence
克拉伦登	n.clarendon@n.clarendon
克拉克	n.clark@n.clarke
克拉拉	n.clara@n.clara
克拉科夫	n.krakow
克服	v.overcome@v.overcoming@v.overcoming
克朗	n.krona@n.krone@n.krona@n.krone@n.koruna@n.kroner
克林特	n.clint
克林顿	n.clinton
克洛伊	n.chloe
克罗伊登	n.croydon@n.croydon
克罗地亚	n.croatia
克罗地亚人	n.croatian
克罗地亚的	a.croatian
克罗夫特	n.croft@n.croft
克罗斯比	n.crosby
克莱因	n.klein@n.kline
克莱夫	n.clive
克莱姆森	n.clemson
克莱尔	n.claire@n.clare@n.clare@n.clair
克莱德	n.clyde
克莱斯勒	n.chrysler
克莱普顿	n.clapton@n.clapton
克莱本	n.claiborne@n.claiborne
克莱门斯	n.clemens@n.clemens
克莱门特	n.clement@n.clement
克莱门茨	n.clements
克莱顿	n.clayton@n.clayton
克赖斯特彻奇	n.christchurch
克里	n.kerry
克里奥尔的	a.creole
克里奥尔语	n.creole
克里希那	n.krishna
克里斯	n.chris@n.kris
克里斯托弗	n.christopher
克里斯汀	n.christine@n.kristin@n.kristen
克里斯滕森	n.christensen@n.christensen
克里斯蒂	n.christi@n.christie
克里斯蒂娜	n.christina@n.kristina@n.cristina
克里特	n.crete
克隆	n.clone@v.clone@n.cloning@v.cloning@n.cloning@v.cloning@n.clones@v.clones@v.cloned
克隆的	a.cloned
克雷文	n.craven
克雷格	n.craig
克雷默	n.kramer
克鲁兹	n.cruz
克鲁格	n.kruger@n.kruger
免疫	n.immunity@n.immunization
免疫不全	n.immunodeficiency
免疫力	n.immunity
免疫学	n.immunology@n.immunology
免疫接种	n.immunization
免疫球蛋白	n.immunoglobulin
免疫的	a.immune
免疫缺陷	n.immunodeficiency
免职	n.removals
免责声明	n.disclaimer@n.disclaimers
免费品	n.freebies
免费地	ad.gratis@ad.freely
免费的	a.free@a.gratis@a.complimentary@a.complementary@a.complimentary
免费软件	n.freeware
免赔额	n.deductible@n.deductible
免除	v.exempt@n.exemption@v.waived@v.waive@n.exemptions@v.waived@v.waive@v.exempted@v.remit
免除的	a.immune@a.excused
兑换	v.redeem@v.exchanged@v.exchanging
兑现	v.cash
兔子	n.rabbit@n.bunny@n.bunny@n.rabbits
党团会议	n.caucus
党派	n.party@n.parties
党派的	a.partisan
兜售	v.tout@v.hawk@v.tout
兜帽	n.hood@n.hoods
入会	n.initiation
入住率	n.occupancy@n.occupancy
入侵	n.invasion@v.hack@v.hacked@v.invade@v.invaded@n.intrusion@v.invade@v.invaded
入侵者	n.invaders@n.invaders@n.intruder
入口	n.entry@n.portal@n.entrance@n.portals@n.inlet@n.portals@n.inlet
入围者	n.finalists@n.finalist
入场	n.admission@n.admissions
入境	n.immigration
入境的	a.inbound
入学	n.enrolment
入室盗窃	n.burglary@n.burglary
入职	n.induction
入门书	n.primer@n.primer@n.primers
入门的	a.introductory@a.introductory
全世界	ad.globally
全世界的	a.worldwide
全体	n.ensemble
全体会议	n.plenary
全体地	ad.universally
全体的	a.plenary
全国地	ad.nationally
全国性地	ad.nationally@ad.nationally
全国性的	a.nationwide@a.countrywide@a.countrywide
全国流行的	a.pandemic
全国的	a.natl
全国范围	ad.countrywide
全国范围地	ad.countrywide
全国锦标赛	n.nationals
全套服装	n.ensembles
全局的	a.global
全州的	a.statewide
全景	n.panorama@n.panorama
全景的	a.panoramic
全民投票	n.referendum
全球化	n.globalization@n.globalisation@n.globalization@n.globalisation
全球地	ad.globally
全球的	a.global
全盛时期	n.prime
全神贯注的	a.absorbed
全能的	a.almighty@a.almighty
全能者	n.almighty@n.almighty
全貌的	a.panoramic
全身的	a.systemic@a.systemic
全部	pron.all@n.whole@n.entirety
全部地	ad.entirely@ad.wholly@ad.wholly
全部服装	n.wardrobe
全部的	a.entire
全部节目	n.repertoire@n.repertoire
全集	n.corpus@n.corpus
全面的	a.comprehensive@a.thorough@a.holistic@a.holistic@a.sweeping
八	num.eight@num.viii@num.viii
八个	num.eight
八位字节	n.octet
八分之一	n.eighth@n.eighth
八十	num.eighty
八卦	n.gossip@n.gossip
八度	n.octave
八月	n.august@n.aug
八重奏	n.octet
八音度	n.octave
公主	n.princess
公众	n.public
公会	n.guild
公共	n.common
公共关系	n.prs
公共汽车	n.bus@n.buses@n.buses@n.omnibus
公共用地	n.commons
公共的	a.public@a.communal@a.communal
公关	n.prs
公制的	a.metric
公升	n.litre
公司	n.business@n.company@n.companies@n.co@n.corporation@n.com@n.inc@n.firm@n.firms@n.corp@n.corporations@n.cpl
公司的	a.corporate
公告	n.announcements@n.bulletin@n.announcement@n.proclamation@n.advisories@n.advisories@n.bulletins@n.proclamation
公园	n.park@n.parks
公园路	n.pkwy@n.parkway
公园道路	n.parkway
公墓	n.cemeteries
公寓	n.flat@n.apartments@n.apartment@n.condo@n.condos@n.flats@n.condo@n.condos@n.flats@n.condominium@n.condominiums
公尺	n.metres@n.metres@n.metre
公差	n.tolerance
公布	v.announced@v.announce@v.announces@v.unveils@v.promulgated@v.unveiled@v.unveils@v.promulgated
公平	n.fairness
公平地	ad.fairly
公平的	a.fair@a.equitable
公开	n.disclosure@n.publicity@v.disclose@n.publicity@v.disclosed
公开地	ad.publicly@ad.openly
公开的	a.open@a.transparent@a.disclosed
公式	n.formula@n.formulas@n.formulas
公投	n.referendum
公报	n.gazette@n.gazette
公文包	n.briefcase@n.briefcase
公断	n.arbitration@n.arbitration
公断人	n.arbitrator@n.arbitrator
公正	n.righteousness@n.fairness@n.justices
公正地	ad.rightly@ad.rightly
公正的	a.just@a.unbiased@a.impartial@a.unbiased@a.equitable@a.impartial
公民	n.citizens@n.citizen@n.civ
公民权	n.citizenship@n.citizenship
公民的	a.civil@a.civic
公然地	ad.publicly
公爵	n.duke@n.dukes@n.dukes
公牛	n.bull@n.bulls@n.bulls
公猫	n.toms@n.toms
公理	n.axiom@n.axiom
公用事业	n.utilities@n.utility
公社的	a.communal@a.communal
公羊	n.ram@n.rams
公认地	ad.admittedly
公认的	a.accepted@a.recognized@a.accredited@a.acknowledged@a.putative
公证人	n.notary@n.notary
公证员	n.notary
公诉人	n.prosecutor@n.prosecutors
公路	n.highway@n.roads@n.hwy@n.highways@n.highways
公道的	a.reasonable
公里	n.kilometres
公顷	n.hectares@n.hectares
公馆	n.mansion
公马	n.stallion
公鸡	n.cock@n.cocks@n.rooster@n.rooster
公鸭	n.drake@n.drake
六	num.six
六个	num.six
六十	num.sixty@num.sixty
六十多	num.sixties
六十年代	n.sixties
六月	n.june@n.jun
兰伯特	n.lambert
兰利	n.langley
兰博基尼	n.lamborghini@n.lamborghini
兰卡	n.lanka
兰开夏	n.lancashire@n.lancashire
兰开斯特	n.lancaster
兰德	n.lander
兰德尔	n.randall@n.randall
兰斯	n.lance
兰特	n.rand@n.rand
兰花	n.orchid@n.orchids@n.orchid@n.orchids
兰辛	n.lansing@n.lansing
兰迪	n.randy
兰金	n.rankin
共产主义	n.communism
共产主义的	a.communist@a.communist
共产主义者	n.communist@n.communists
共产党员	n.communist@n.communists
共享	n.sharing
共享的	a.shared
共享软件	n.shareware
共同	part.co@ad.together
共同发起	v.cosponsors@v.cosponsors
共同发起人	n.cosponsors@n.cosponsors
共同地	ad.jointly@ad.jointly@ad.mutually@ad.collectively
共同基金	n.kitty
共同的	a.mutual
共同资金	n.kitty
共和党人	n.republican@n.republicans
共和党的	a.republican
共和国	n.republic@n.commonwealth
共振	n.resonance@n.resonance
共济会的	a.masonic
共管公寓	n.condominium@n.condominiums
共识	n.consensus
共谋	n.conspiracy
共鸣	n.resonance@n.resonance@n.vibrations@n.empathy
关上	v.shutting
关于	prep.about@prep.re@prep.regarding@prep.concerning@v.pertaining@v.pertaining@prep.respecting
关于此	ad.hereof
关于那	ad.thereon@ad.thereon
关入笼中	v.cage@v.cages@v.cage
关在狗舍	v.kennel
关塔那摩	n.guantanamo
关岛	n.guam
关心	v.care@v.caring@v.cares@v.cares@v.cared
关心的	a.concerned@a.caring
关怀	n.care@n.cares
关押	v.imprisoned@n.imprisonment
关注	n.attention@n.concerns@n.concern
关税	n.tariff@n.tariff@n.tariffs
关系	n.relations@n.relationship@n.relationships@n.connections@n.relation@n.rel
关系的	a.relational
关联	n.association@n.relevance@n.correlation@v.relates@n.correlations
关节	n.joint@n.joints@n.joints@n.articulation
关节炎	n.arthritis
关进狗舍	v.kennels
关进笼中	v.cages
关键的	a.key@a.critical@a.pivotal@a.pivotal
关键词	n.keywords@n.keyword
关闭	v.close@v.closed@v.closing@v.shut@n.closure@v.closes@n.shutdown@n.closures@v.closes@n.shutdown@n.closures@v.shutting@n.closings
关闭的	a.off@a.closed@a.shut
兴奋	n.excitement@n.excitation@n.excitement@n.thrill@n.excitation
兴奋的	a.excited@a.thrilled
兴旺	n.prosperity@v.thrive@v.thrive@v.prosper
兴旺的	a.thriving@a.roaring@a.thriving@a.roaring
兴趣	n.interest@n.interests
兵	n.pawn
兵工厂	n.arsenal
兵舍	n.billet
兵营	n.barracks
其中	ad.thereof
其他	pron.other@n.others@ad.else
其他人	pron.others
其他的	a.other
其余	n.rest
其实	ad.actually
其时	n.meantime
其次	ad.secondly@ad.secondly
其次的	a.followed
其间	n.meantime
具体化的	a.embodied@a.embodied
具体的	a.specific@a.concrete
具有	v.possess@v.possesses@v.possess@v.possesses
具有挑战性的	a.challenging
具有特征	v.characterized
具有讽刺意味地	ad.ironically
典型地	ad.typically
典型的	a.representative@a.typical@a.textbook@a.typ@a.textbook@a.canonical
典当	n.pawn@v.pawn
典狱官	n.warden
典礼	n.ceremony@n.rituals@n.rites@n.rite@n.ceremonies@n.rituals@n.rites
典范	n.paragon@n.paradigm@n.paragon
典范的	a.exemplary@a.exemplary
典雅	n.elegance
养分	n.nutrients@n.nutrients
养殖场	n.hatchery
养殖者	n.breeders
养狗场	n.kennel@n.kennels
养生法	n.regimen@n.regimen
养老金	n.pension@n.pensions@n.superannuation@n.annuities@n.pensions@n.annuity@n.superannuation@n.annuities
养育	n.parenting@v.parenting@n.parenthood@v.nurture
兼容性	n.compatibility
兼容的	a.compatible
兼并	n.mergers
兼收并蓄的	a.eclectic
兼职	v.moonlight
兽	n.beasts
兽交	n.bestiality
兽交癖	n.zoophilia
兽人	n.orc
兽医	n.veterinary@n.vet@n.vets@n.veterinarian@n.veterinarians@n.vet@n.vets@n.veterinarian@n.veterinarians
兽医的	a.veterinary
兽皮	n.hide@n.hides@n.hides
兽穴	n.den
内分泌	n.endocrine
内分泌学	n.endocrinology@n.endocrinology
内分泌的	a.endocrine@a.endocrine
内分泌腺	n.endocrine
内利	n.nelly
内华达	n.nevada
内向的	a.withdrawn@a.withdrawn
内含物	n.inclusion
内在地	ad.inherently@ad.inherently
内在的	a.inherent@a.inherent@a.intrinsic
内地	n.outback
内地的	a.outback
内奥米	n.naomi
内存	n.memory@n.ram
内容	n.content@n.contents
内布拉斯加	n.nebraska
内幕人士	n.insider
内德	n.ned
内心的	a.inner
内插	n.interpolation
内核	n.kernel@n.kernels@n.kernels
内森	n.nathan@n.nathan
内源性的	a.endogenous
内源的	a.endogenous
内特	n.nate
内生的	a.endogenous@a.endogenous
内疚	n.guilt@n.guilt
内疚的	a.guilty
内皮尔	n.napier
内皮的	a.endothelial@a.endothelial
内皮细胞的	a.endothelial
内维尔	n.neville@n.neville
内罗毕	n.nairobi@n.nairobi
内联的	a.inline
内联网	n.intranet@n.intranet
内聚力	n.cohesion
内脏	n.guts@n.guts
内莉	n.nelly
内行	n.maven@n.maven@n.adept
内衣	n.underwear
内衬	n.lining
内裤	n.panties@n.briefs@n.panty@n.pantie@n.briefs@n.panty@n.drawers@n.pantie
内部	n.inside@n.interior@n.interiors@n.bowel
内部人员	n.insider@n.insiders
内部人士	n.insiders
内部地	ad.internally@ad.internally
内部的	a.internal@a.interior@a.inner@a.inward
内部网	n.intranet
内阁	n.cabinet@n.cabinets@n.ministries
内阁的	a.ministerial
内陆	n.midland@n.outback
内陆的	a.inland@a.midland@a.inland@a.midland
内饰	n.interiors
冈比亚	n.gambia@n.gambia
冈萨雷斯	n.gonzales@n.gonzalez@n.gonzales
册	n.tome@n.vols@n.tome@n.vols
再	ad.bis
再三地	ad.repeatedly@ad.repeatedly
再也不	ad.anymore
再使用	n.reuse
再保险	n.reinsurance
再充电	v.recharge@n.recharge
再分配	v.redistribute@n.redistribution
再利用	n.reuse
再卖	v.resell
再发行	v.reissue
再开发	n.redevelopment
再循环	n.recycling
再抵押	v.remortgage@n.remortgage@v.remortgage@v.remortgages
再抵押贷款	n.remortgage
再探讨	v.revisited
再来一次	n.encore
再次	ad.again
再次列出	v.relisted
再次发生	n.recurrence
再版	v.reprinted@n.reissue
再生	n.regeneration@n.regeneration
再生的	a.recycled@a.recycled
再考虑	v.reconsider@v.reconsider
再融资	v.refinance@n.refinance@n.refinancing@v.refinancing@n.refinancing@v.refinancing
再装填	n.recharge
再装满	v.refill@v.refills
再见	int.ciao@int.bye@int.goodbye@int.bye@int.goodbye@int.vale@int.farewell
再设计	n.redesign
再销售	n.resale
冒号	n.colon@n.colon
冒名顶替者	n.ringer
冒泡	v.bubble@v.bubbles
冒烟的	a.smoky
冒犯	n.offence@v.offended@v.offending@n.offence@v.offended@v.offending@v.offend
冒犯的	a.offensive
冒犯者	n.offender
冒险	v.risk@n.adventure@v.risks@n.venture@v.venture@n.adventures@v.hazard@v.chances@v.hazards@n.ventures@v.ventures@v.ventures@n.gamble
冒险的	a.adventurous@a.risky
冗余	n.redundancy
冗余的	a.redundant@a.redundant
冗长乏味的	a.tedious
冗长的	a.tedious@a.verbose@a.lengthy@a.verbose
写	v.write@v.written@v.writing@v.wrote@v.pen@v.writes@v.pens@v.writ@v.pens
写作	n.writing
写博客	v.blog@v.blogs@v.blogging
写字板	n.clipboard
写实主义	n.realism
军事的	a.military@a.martial
军人	n.soldiers@n.soldier
军刀	n.sabre
军医	n.surgeon@n.medic
军团	n.corps@n.legion
军官	n.officer@n.officers
军校学员	n.cadet@n.cadet@n.cadets
军械	n.ordnance
军火	n.ammo@n.ammunition@n.ordnance
军火库	n.arsenal
军舰的	a.naval
军营	n.battalion
军邮局	n.apo@n.apo
军队	n.military@n.army@n.troops@n.troop@n.armies
农业	n.agriculture@n.farming
农业的	a.agricultural
农产品	n.produce
农作物	n.crop@n.crops
农场	n.farm@n.ranch@n.farms
农场主	n.farmer
农家	n.farmhouse
农庄	n.farmhouse@n.grange
农村	n.countryside@n.countryside
农村的	a.rural
农民	n.farmers@n.farmer@n.peasant@n.peasant@n.peasants
农田	n.farmland@n.farmland
农神	n.saturn
农舍	n.farmhouse@n.chalets@n.chalet@n.farmhouse
农药	n.pesticides@n.pesticide@n.pesticides@n.pesticide
冠军	n.championship@n.champion@n.champions@n.champ@n.champs@n.premiership
冠军赛	n.championships
冠状动脉	n.coronary@n.coronary
冠状的	a.coronary@a.coronary
冤情	n.grievances
冥想	n.meditation@n.meditation@n.musings
冥王星	n.pluto
冬天	n.winter@n.winters
冬季	n.winter
冬至	n.solstice
冬青	n.holly
冰	n.ice
冰冷的	a.icy@a.icy@a.iced
冰冻	v.iced
冰冻的	a.freezing@a.freezing
冰壶	n.curling@n.curling
冰山	n.berg@n.iceberg
冰岛	n.iceland
冰岛的	a.icelandic@a.icelandic
冰岛语	n.icelandic@n.icelandic
冰川	n.glacier
冰川井	n.moulin
冰斗	n.cirque@n.cirque
冰柜	n.freezer@n.freezer@n.freezers
冰毒	n.meth@n.methamphetamine
冰球	n.hockey@n.puck@n.puck
冰球场	n.rink
冰箱	n.refrigerator@n.fridge@n.refrigerator@n.fridge@n.coolers@n.refrigerators@n.fridges
冰镇	v.iced
冰镇的	a.iced
冰雹	n.hail
冲	v.rush@v.dashed@v.rushing@v.rushed
冲击波	n.shockwave@n.shockwave
冲刺	v.sprint
冲动	n.urge@n.impulse@n.urges
冲压	n.stamping@n.stamping@n.punches
冲床	n.punch
冲洗	v.flush@v.rinse@v.flushing@n.irrigation@v.flush@v.rinse@v.flushing
冲浪	v.surf@v.surfing@n.surfing@v.windsurfing
冲浪者	n.surfer@n.surfers@n.surfer
冲淡	n.dilution@n.dilution
冲突	n.conflict@v.conflict@n.conflicts@v.conflicts@n.collision@n.clash@v.clash@n.collisions@n.confrontation@n.collision@n.clash@v.conflicting@n.contradiction@n.collisions@n.strife
冲锋	v.charging@n.rushing
决不	ad.never
决定	n.decision@v.determine@v.decided@n.decisions@v.decide@n.determination@v.determining@v.opt@v.determines@v.deciding@v.decides@v.opted@v.deciding@v.decides@n.determinations@v.opted
决定因素	n.determinants@n.determinants
决定性的	a.crucial@a.definitive@a.decisive@a.decisive
决定论的	a.deterministic@a.deterministic
决心	n.determination@n.resolve@v.decides@n.determinations@v.deciding
决战	n.showdown@n.showdown
决斗	n.duel@v.duel
决策	n.decision@n.decisions
决策者	n.policymakers
决胜选举	n.runoff
决议	n.resolution@n.resolutions
决赛	n.final@n.finals@n.finals@n.playoffs
决赛选手	n.finalists@n.finalists@n.finalist
冷冻	v.ice@v.freeze@v.freezing@v.freezing
冷冻室	n.freezer@n.freezer@n.freezers
冷冻的	a.frozen@a.chilled
冷凝	n.condensation
冷凝器	n.condenser
冷却	v.cool@v.cooling@n.cooling@v.chill@v.chilled@v.chilling@v.chill@v.cooled
冷却器	n.cooler@n.coolers
冷却的	a.cooled
冷杉	n.fir
冷淡的	a.chilly
冷的	a.cold
冷知识	n.trivia
冷藏	n.refrigeration@v.chilled
冷藏库	n.refrigerator@n.refrigerator
冷藏的	a.chilled
冷酷的	a.stony@a.grim@a.stony
冷静地	ad.clinically@ad.clinically
冻原	n.tundra@n.tundra
冻结	v.frozen@v.freeze@n.freeze@v.freeze@n.freeze
净化	n.purification@n.purification@v.purified@v.cleanse
净化剂	n.purifiers
净化器	n.purifier@n.purifier@n.purifiers
净化装置	n.purifier
净得	v.nets
净的	a.net
准	a.quasi
准则	n.guidelines@n.criteria@n.criterion@n.guideline@n.maxim@n.criterion@n.guideline@n.maxim
准备	v.prime@v.prepared@n.preparation@v.prepare@v.preparing@n.prep@v.prep@n.preparations@v.provisioning@n.preparedness@n.preparations@n.preparedness@v.prepares
准备好	ad.ready@v.poised
准备好的	a.ready@a.prepared
准备就绪	n.readiness@n.preparedness@n.readiness
准备工作	n.preparations
准备的	a.preparatory@a.preparatory
准时地	ad.sharp
准确地	ad.accurately@ad.precisely@ad.accurately
准确性	n.accuracy
准确的	a.accurate@a.precise
准许	v.granting
准许进入	v.admit
凉亭	n.bowers
凉爽的	a.cool
凉鞋	n.sandals@n.sandal@n.sandals@n.sandal
凌	n.ling
凌乱的	a.messy
减	v.subtract
减值	n.impairment@n.impairments
减刑	v.commute@v.commute
减去	prep.less@prep.minus@v.deducted@v.subtract@v.deducted@v.subtract
减少	v.reduce@v.reduced@n.reduction@v.reducing@v.decrease@n.decrease@v.reduces@v.decreased@v.minimize@n.reductions@v.decreases@n.decreases@v.diminished@v.minimizing@n.abatement@v.minimise@v.diminish@v.decreasing@n.reductions@v.decreases@n.decreases@v.decreasing@v.diminished@n.abatement@v.diminish
减少的	a.decreased
减弱	n.attenuation
减弱的	a.diminished@a.diminished
减慢	v.slow@v.slowed
减慢的	a.slowing
减肥	v.slim
减轻	v.ease@n.mitigation@v.mitigate@v.alleviate@n.abatement@n.mitigation@v.relieve@v.mitigate@v.alleviate@n.abatement
减速	v.slowing@v.slowed@v.slows@n.slowdown
减速的	a.slowing
凝结	v.gel@n.condensation
凝聚力	n.cohesion
凝胶	n.gel@n.gels@n.gels
凝视	v.peer@v.peers@v.stare@n.stare@v.stared@v.peers@v.staring@v.gaze@v.stare@v.stared
几个	a.several@pron.several
几乎	ad.almost@ad.nearly@ad.virtually@ad.practically@ad.practically@ad.quasi
几乎不	ad.hardly@ad.scarcely@ad.scarcely
几何	n.geometry
几何学	n.geometry
几何学的	a.geometric@a.geometric
几何的	a.geometric@a.geometric
几内亚	n.guinea
几十	n.dozens@n.dozens@num.tens
几率	n.odds
几维鸟	n.kiwi
凡人	n.mortal
凡尔赛	n.versailles
凤凰	n.phoenix
凤凰城	n.phoenix
凤梨	n.pineapple
凭单	n.vouchers@n.voucher
凭此	ad.whereby@ad.whereby
凭直觉知道	v.intuit
凭证	n.voucher@n.credential@n.vouchers@n.credentials@n.credential
凯	n.kay
凯伊	n.kaye
凯伦	n.karen
凯利	n.kelly@n.kelley@n.kelley
凯勒	n.keller@n.keller
凯尔	n.kyle@n.kyle
凯尔特人	n.celtic@n.celtics
凯尔特人队	n.celtics
凯尔特的	a.celtic
凯尔西	n.kelsey
凯思	n.cath
凯恩	n.kane@n.kane
凯恩斯	n.cairns@n.keynes
凯撒	n.kaiser@n.kaiser@n.caesar
凯文	n.kevin
凯洛格	n.kellogg@n.kellogg
凯特	n.kate@n.kat
凯瑟琳	n.catherine@n.kathleen@n.katherine@n.kathleen@n.katherine@n.kathryn
凯耶	n.kaye
凯茜	n.kathy@n.cathy
凯莱布	n.caleb
凯蒂	n.katie@n.katy@n.katy
凯西	n.casey@n.kathy@n.casey@n.cathy
凯迪拉克	n.cadillac@n.cadillac@n.cts
凯迪拉克CTS	n.cts
凯里	n.carey
凯门鳄	n.cayman
