अँधेरा कमरा	n+m.darkroom
ओडेल	n+m.odell
ओडेसा	n+f.odessa
ओडोमीटर	n+m.odometer
ओत-प्रोत किया	v.imbued
ओथेलो	n+m.othello
ओनीडा	n+m.oneida
ओनो	n+m.ono
ओनोंडागा	n+m.onondaga
ओपनऑफिस	n+m.openoffice
ओपनर	n+m.opener@n+m.openers
ओपरा	n+f.oprah
ओपल	n+m.opal@n+m.opel@n+m.opals
ओपिओइड	n+m.opioid
ओपिओइड संबंधी	a.opioid
ओपीपी	n+m.opp
ओपेनहाइमर	n+m.oppenheimer
ओपेरा	n+m.opera@n+m.operas
ओपेरा संबंधी	a.operatic
ओफ़ेलिया	n+f.ophelia
ओबद्याह	n+m.obadiah
ओबर्लिन	n+m.oberlin
ओबामा	n+m.obama
ओबिलिस्क	n+m.obelisk
ओबी	n+m.obi
ओबीएस	n+m.obs
ओबेरॉन	n+m.oberon
ओबो	n+m.oboe
ओब्लास्ट	n+m.oblast
ओम	n+m.ohm@n+m.ohms
ओमर	n+m.omer
ओमाइक्रॉन	n+m.omicron
ओमाघ	n+m.omagh
ओमान	n+m.oman
ओमानी	a.omani@n+m.omani
ओमाहा	n+m.omaha
ओमेगा	n+m.omega
ओम्ब्रे	n+m.ombre
ओर	n+f.behalf
ओरा	n+f.ora
ओरांगुटान	n+m.orang
ओरान	n+m.oran
ओरिएंटियरिंग	n+m.orienteering
ओरिएंटे	n+m.oriente
ओरिक्स	n+m.oryx
ओरिगन	n+m.origen
ओरिनोको	n+m.orinoco
ओरियन	n+m.orion
ओरियो	n+m.oreo
ओरियोल पक्षी	n+m.oriole
ओरियोल्स	n+m.orioles
ओरेकल	n+m.oracle
ओरेगन	n+m.oregon
ओरेगानो	n+m.oregano
ओरेगॉन का	a.oregonian
ओरेगॉनवासी	n+m.oregonian
ओरेन	n+m.oren
ओर्टेगा	n+m.ortega
ओलंपस	n+m.olympus
ओलंपिक	a.olympic@n+m.olympics
ओलंपिक खिलाड़ी	n+m.olympians
ओलंपियन	n+m.olympian
ओलंपिया	n+f.olympia
ओलंपियाई	a.olympian
ओलंपियाड	n+m.olympiad
ओला	n+f.hail@n+f.ola
ओलाफ	n+m.olaf
ओलाव	n+m.olav
ओलावृष्टि	n+f.sleet
ओलिगोन्यूक्लियोटाइड	n+m.oligonucleotide@n+m.oligonucleotides
ओलिन	n+m.olin
ओलिफैंट	n+m.oliphant
ओलिवर	n+m.oliver
ओलिवाइन	n+m.olivine
ओलिविया	n+f.olivia
ओलिवेटी	n+m.olivetti
ओली	n+m.ollie
ओले	n+f.hails
ओले गिरना	v.sleet
ओल्गा	n+f.olga
ओल्डनबर्ग	n+m.oldenburg
ओल्डफील्ड	n+m.oldfield
ओल्डहैम	n+m.oldham
ओल्ड्समोबाइल	n+m.oldsmobile
ओल्मस्टेड	n+m.olmsted
ओल्सन	n+m.olson
ओल्सेन	n+m.olsen
ओवन	n+m.oven@n+m.ovens
ओवर	n+m.overs
ओवरऑल	n+m.overalls@n+m.coveralls
ओवरकोट	n+m.overcoat
ओवरक्लॉक करना	v.overclock
ओवरक्लॉकिंग	n+f.overclocking
ओवरटाइम	n+m.overtime
ओवरड्राइव	n+m.overdrive
ओवरड्राफ्ट	n+m.overdraft
ओवरपास	n+m.overpass
ओवरराइट करना	v.overwriting
ओवरराइटन	a.overwritten
ओवरराइड	n+m.override@n+m.overrides@a.overridden
ओवरलैप	n+m.overlap
ओवरलैप करना	v.overlap@v.overlapping
ओवरलैप किया	v.overlapped
ओवरलैप होता है	v.overlaps
ओवरलोडिंग	n+m.overloading
ओवरहॉल	n+m.overhaul
ओवर्न	n+f.auvergne
ओविड	n+m.ovid
ओवीडो	n+m.oviedo
ओवेन	n+m.owen
ओवेन्स	n+m.owens
ओशकोश	n+m.oshkosh
ओशावा	n+m.oshawa
ओशिनिया	n+m.oceania
ओस	n+f.dew
ओसबोर्न	n+m.osborn
ओसाका	n+m.osaka
ओसिओला	n+m.osceola
ओसिरिस	n+m.osiris
ओसिलोस्कोप	n+m.oscilloscope
ओसेज	n+m.osage
ओस्लो	n+m.oslo
ओह	int.ohs
ओहायो	n+m.ohio
औंस	n+m.ounces@n+m.ounce
औचित्य	n+m.justification@n+f.justifications@n+m.rationales
औचित्य सिद्ध करता है	v.justifies
औचित्य सिद्ध करना	v.justifying
औज़ार	n+m.tool
औज़ारों से बनाया	v.tooled
औजार बनाना	n+f.tooling
औद्योगिक	a.industrial@a.industrialized@a.industrialised
औद्योगिक शेयर	n+m.industrials
औद्योगिकीकृत	v.industrialised
औद्योगीकरण	n+f.industrialization
औद्योगीकृत किया	v.industrialized
औपचारिक	a.formal@a.ceremonial@a.prim@a.formalized@a.dressy
औपचारिक किया	v.formalized
औपचारिक बनाना	v.formalize
औपचारिक रूप से	ad.formally
औपचारिकता	n+f.formality
औपचारिकताएँ	n+f.formalities
औपचारिकतावाद	n+m.formalism
औपनिवेशिक	a.colonial@n+m.colonials
और	conj.and@ad.more@ad.else@conj.plus
और अधिक	ad.further
और न	conj.nor
औरंगाबाद	n+m.aurangabad
औरत	n+f.woman
औरतें	n+f.women
औषध विज्ञान	n+f.pharmacology
औषध विज्ञान संबंधी	a.pharmacologic
औषधालय	n+f.dispensary
औषधि	n+m.medication@n+m.pharmaceuticals@n+f.potion
औषधि दुकान	n+f.apothecary
औषधीय	a.pharmaceutical@a.medicinal@a.pharmacological@a.medicated
औसत	n+m.average@a.average@n+m.mean@n+m.avg@n+m.averages@a.averaged
औसत निकालना	v.averages@v.averaged@v.averaging
कंकड़	n+m.pebble@n+m.pebbles
कंकाल	n+m.skeleton@n+m.skeletons
कंकाल संबंधी	a.skeletal
कंक्रीट	n+m.concrete
कंगन	n+m.bracelet@n+m.bracelets
कंगारू	n+m.kangaroo@n+m.roo@n+m.kangaroos
कंगाल	a.broke@n+m.pauper
कंघियाँ	n+f.combs
कंघी	n+f.comb
कंघी करना	v.comb@v.combs@v.combing
कंघी की	v.combed
कंचा	n+f.marble
कंचे	n+m.marbles
कंजूस	n+m.scrooge@a.stingy@n+m.miser
कंजूसी करना	v.stint
कंजेस्टिव	a.congestive
कंटक	n+m.ridge
कंटक शूकर	n+m.hedgehog
कंटेनर	n+m.container@n+m.containers
कंठस्थ	a.memorized
कंठस्थ करना	v.memorizing
कंडक्टर	n+m.conductor@n+m.conductors
कंडरा	n+m.tendon
कंडराएँ	n+m.tendons
कंडीशनर	n+m.conditioner@n+m.conditioners
कंडीशनिंग	n+f.conditioning
कंडोम	n+m.condoms@n+m.condom
कंडोर	n+m.condor
कंद	n+m.tubers@n+m.tuber
कंधा	n+m.shoulder
कंधार	n+m.kandahar
कंधे	n+m.shoulders
कंधे उचकाए	v.shrugged
कंधे उचकाता है	v.shrugs
कंधे उचकाना	v.shrug@n+m.shrug@n+m.shrugs
कंधे का भाग	n+m.withers
कंधे पर उठाया	v.shouldered
कंपकंपी	n+f.shudder@n+f.shiver@n+f.shivering@n+f.shivers
कंपन	n+m.vibration@n+f.vibrations@n+m.trembling@n+m.tremor@n+f.fibrillation@n+m.tremors@n+f.tremble
कंपन करता हुआ	a.vibrating
कंपन करना	v.vibrating@v.vibrate
कंपन संबंधी	a.vibrational
कंपन स्वर	n+m.tremolo
कंपनशील	a.vibratory
कंपनियाँ	n+f.companies@n+f.firms
कंपनी	n+f.business@n+f.company@n+f.co@n+f.corporation@n+f.firm@n+f.compagnie
कंपाइलर	n+m.compiler@n+m.compilers
कंपाला	n+f.kampala
कंपोज़िटिंग	n+f.compositing
कंप्यूट कर रहा	v.computing
कंप्यूटर	n+m.computer@n+m.pc@n+m.computers@n+m.comp
कंप्यूटर एडेड डिज़ाइन	n+m.cad
कंप्यूटरीकृत	a.computerized@a.computerised
कंप्यूटिंग	n+m.computing
कंप्यूसर्व	n+m.compuserve
कंप्रेसर	n+m.compressor@n+m.compressors
कंफेटी	n+m.confetti
कंबरलैंड	n+m.cumberland
कंबल	n+m.blanket@n+m.blankets
कंबोडिया	n+m.cambodia
कंबोडियाई	a.cambodian
कंबोडियाई व्यक्ति	n+m.cambodian
कंसर्टो	n+m.concerto@n+m.concertos
कंसीलर	n+m.concealer
कंसोर्टियम	n+m.consortium
कंसोल	n+m.console@n+m.consoles
कई	a.several@a.multiple
कउआई	n+m.kauai
कक्ष	n+m.chamber@n+m.chambers@n+m.cubicles
कक्षक	n+m.orbitals
कक्षा	n+f.class@n+f.grade@n+f.classroom@n+f.orbit
कक्षाएँ	n+f.classes@n+f.grades@n+f.classrooms@n+f.orbits
कक्षीय	a.orbital@a.axillary
कगार	n+f.brink@n+f.verge@n+m.ledge@n+m.escarpment
कचरा	n+m.waste@n+m.refuse@n+m.trash@n+m.garbage@n+m.rubbish
कच्चा	a+m.raw@a.crude@a.unprocessed@a.uncooked
कच्चा चमड़ा	n+m.rawhide
कच्चा माल	n+m.feedstock
कच्ची	a+f.raw
कछुआ	n+m.turtle@n+m.tortoise@n+m.terrapin
कछुए	n+m.turtles@n+m.terrapins@n+m.tortoises
कज़ाख	a.kazakh
कज़ाख व्यक्ति	n+m.kazakh
कज़ाखस्तान	n+m.kazakhstan
कटअवे	n+m.cutaway
कटआउट	n+m.cutout@n+m.cutouts
कटऑफ	n+m.cutoff
कटमरान	n+m.catamaran
कटर	n+m.cutter@n+m.cutters
कटलर	n+m.cutler
कटलरी	n+f.cutlery
कटा पेड़	n+m.pollard
कटा हुआ	a.chopped@a.sliced@a.harvested@a.shredded@a.clipped@a.severed@a.slashed@a.cutaway
कटाई	n+f.cutting@n+f.harvesting@n+f.trims@n+m.mowing@n+m.chopping@n+f.felling
कटाई मशीन	n+f.reaper@n+m.harvester@n+m.harvesters
कटाक्षपूर्ण	a.snide@a.snarky
कटानें	n+f.slashes
कटार	n+m.dagger@n+f.daggers
कटाव	n+m.erosion
कटि	n+f.loins
कटिंग	n+f.cuttings
कटुवादी	a.bitchy
कटोरा	n+m.bowl
कटोरे	n+m.bowls
कटौतियाँ	n+f.deductions
कटौती	n+m.cut@n+m.cuts@n+f.reductions@n+f.deduction@n+m.deductible@n+f.truncation@n+f.cutbacks@n+m.curtailment
कटौती करना	v.deducting
कटौती किया हुआ	a.deducted
कटौती की	v.deducted
कटौती योग्य	a.deductible
कटौती योग्य राशि	n+m.deductibles
कटौबा	n+m.catawba
कट्टर	a.hardcore@a.fanatic@a.fanatical@a.dogmatic@a.diehard@n+m.bigot
कट्टर समर्थक	n+m.diehard
कट्टरता	n+f.bigotry@n+m.fanaticism
कट्टरपंथ	n+m.fundamentalism@n+m.radicalism
कट्टरपंथी	a.radical@n+m.radicals@n+m.fanatics@n+m.fanatic@n+m.fundamentalist@a.fundamentalist@n+m.fundamentalists@n+m.zealots@n+m.zealot
कठपुतलियाँ	n+f.puppets
कठपुतली	n+f.puppet@n+f.marionette
कठपुतली कला	n+f.puppetry
कठफोड़वा	n+m.woodpecker
कठिन	a+m.hard@a+f.hard@a.difficult@a.tough@a.harder@a.demanding@a.tougher@a.daunting@a.taxing@a.punishing@a.strenuous@a.burdensome@a.exacting@a.arduous@a.thorny
कठिन परिश्रम करने वाला	n+m.drudge
कठिन परिस्थिति	n+m.plight
कठिन परीक्षा	n+m.ordeal
कठिनाइयाँ	n+f.hardships
कठिनाइयां	n+f.difficulties
कठिनाई	n+f.difficulty@n+f.hardship
कठिनाई से	ad.hard
कठोर	a.severe@a.rough@a.strict@a.hardy@a.stern@a.rigid@a.harsh@a.rugged@a.stiff@a.stark@a.rigorous@a.hardened@a.spartan@a.drastic@a.relentless@a.crusty@a.draconian@a.unrelenting@a.austere
कठोर करना	v.harden
कठोर जिल्द वाला	a.hardbound
कठोर नैतिक	a.puritan
कठोर लकड़ियाँ	n+f.hardwoods
कठोर लकड़ी	n+f.hardwood
कठोर व्यक्ति	n+m.stiffs
कठोर हो रहा	v.hardening
कठोर होना	n+m.hardening
कठोरता	n+f.hardness@n+f.stiffness@n+f.rigidity@n+f.toughness@n+f.hardiness
कठोरता से	ad.drastically@ad.rigorously@ad.harshly@ad.rigidly@ad.sternly
कड़वा	a.bitter@a.pungent
कड़वाहट	n+f.bitterness
कड़वाहट से	ad.bitterly
कड़ा	a+m.hard@a.harsh@a.biting@a.tighter@a.scathing
कड़ा करना	v.tighten
कड़ाही	n+m.skillet@n+m.wok@n+m.cauldron
कड़ियाँ	n+m.links
कड़ी	n+f.link@a+f.hard@n+m.rafter
कड़ी कार्रवाई	n+m.crackdown
कड़ी मेहनत	n+f.toil
कड़ी मेहनत करना	v.drudge@v.toil
कड़े बाल	n+f.bristles
कढ़ाई	n+f.pan@n+f.embroidery
कढ़ाई किया हुआ	a.embroidered
कण	n+m.particles@n+m.particle@n+m.particulate@n+m.mite@n+m.granules@n+m.mites@n+m.speck@n+m.particulates@n+m.mote
कणिका	a.particulate
कण्ठमाला	n+m.mumps
कतर	n+m.qatar
कतरता है	v.snips
कतरन	n+f.snippet@n+f.snip@n+f.clipping
कतरना	v.shear@n+f.shearing@v.shearing@v.shredding
कतरनी	n+m.shear@n+m.clippers
कतरनें	n+m.clippings
कतरा	v.shredded
कतरी	a.qatari@n+m.qatari
कता हुआ	a.spun
कताई	n+f.spinning
कतार	n+f.que@n+f.queue@n+f.queuing
कतार में खड़ा होना	v.queueing
कतार में लग रहा	v.queuing
कतार में लगना	v.queue@v.queues
कतार में लगा	v.queued
कतारबद्ध	a.queued
कतारें	n+f.queues
कत्ल करना	v.butcher
कथन	n+m.utterance
कथबर्ट	n+m.cuthbert
कथा	n+f.fiction@n+f.legend@n+f.narrative
कथा पट्ट	n+f.storyboard
कथाएँ	n+f.narratives
कथात्मक	a.narrative@a.fabled
कथानक	n+f.plot
कथित	a.stated@a.supposed@a.alleged@a.putative@a.purported
कथित तौर पर	ad.allegedly@ad.reportedly
कथित रूप से	ad.purportedly
कद	n+f.stature
कदम	n+m.step@n+m.steps@n+m.pace@n+m.strides
कदम रखना	v.step@v.stepped@v.stepping@v.paced
कदम-कदम	ad.stepwise
कदमताल करता है	v.marches
कदाचार	n+f.malpractice
कद्दू	n+m.pumpkin@n+m.pumpkins
कद्दूकस करना	v.grate
कद्दूकस किया	v.grated
कद्दूकस किया हुआ	a.grated
कनक्स	n+m.canucks
कनखजूरा	n+m.centipede
कनवर्टर	n+m.converter@n+m.converters
कनस्तर	n+m.canisters
कनाडा	n+m.canada
कनाडाई	a.canadian@n+m.canadian@n+m.canadians@n+m.canuck
कनान	n+m.canaan
कनारी पक्षी	n+m.canaries
कनिंघम	n+m.cunningham
कनिष्ठ	a.junior
कनेक्ट करना	v.connect
कनेक्टर	n+m.connector@n+m.connectors
कनेक्टिकट	n+m.connecticut
कनेक्टिविटी	n+f.connectivity
कनेक्शन	n+m.connection@n+m.connections@n+m.hookup@n+m.hookups
कनेर	n+m.oleander
कन्नड़	n+f.kannada
कन्फ्यूशियस	n+m.confucius
कन्फ्यूशियसवाद	n+m.confucianism
कन्या राशि	n+f.virgo
कन्वर्टिबल कार	n+f.convertible
कन्वेयर	n+m.conveyor@n+m.conveyors
कप	n+m.cup@n+m.cups
कप की तरह बनाया	v.cupped
कपकेक	n+m.cupcakes@n+m.cupcake
कपटी	a.insidious@a.disingenuous
कपड़ा	n+m.fabric@n+m.cloth@n+m.drapery
कपड़े	n+m.clothing@n+m.apparel@n+m.clothes@n+m.textiles@n+m.fabrics@n+m.cloths@n+m.tog@n+m.draperies
कपड़े उतार रहा	v.undressing
कपड़े उतारना	v.undress
कपड़े उतारे	v.undressed
कपड़े धोने की जगह	n+f.laundry
कपड़े धोने की दुकान	n+m.laundromat
कपड़े पहनता है	v.dresses
कपड़े पहनना	v.dress@v.dressing@v.tog
कपड़े पहना हुआ	a.dressed
कपड़े पहनाए	v.clothed
कपड़े पहनाना	v.clothe
कपड़े पहने	v.dressed@a.clothed
कपाल मुख संबंधी	a.craniofacial
कपालीय	a.cranial@a.intracranial
कपास	n+m.cotton
कपासी बादल	n+m.cumulus
कपिंग	n+f.cupping
कप्तान	n+m.captain@n+m.captains@n+m.skipper@n+m.capt@n+m.skippers
कप्पा	n+m.kappa
कफ	n+m.cuff@n+m.cuffs
कफ़न	n+m.shroud@n+m.pall
कब	ad.when
कबाड़	n+m.junk
कबाड़ करना	n+f.scrapping
कबाड़खाना	n+m.junkyard
कबाना	n+f.cabana
कबाब	n+m.kebab
कबालाह	n+f.kabbalah
कबीला	n+m.tribe
कबीले	n+m.clans
कबूतर	n+f.dove@n+m.pigeon@n+m.doves@n+m.pigeons
कबूतर पूंछ जोड़	n+m.dovetail
कबूतरखाना	n+m.dovecot
कब्ज़	n+f.constipation
कब्ज़ा	n+f.occupation@n+f.hinge
कब्ज़ा करना	v.occupying
कब्ज़ाधारी	n+m.occupiers@n+m.occupier
कब्ज़े से उतारना	v.unhinged
कब्जा	n+m.possession
कब्जा करना	v.occupy
कब्जा किया	v.occupied
कब्जे	n+f.hinges
कब्जे वाला	a.hinged
कब्र	n+f.grave@n+f.tomb
कब्रिस्तान	n+m.cemetery@n+m.cemeteries@n+m.graveyard
कब्रिस्तान रक्षक	n+m.sexton
कब्रें	n+f.graves
कभी	ad.ever@ad.sometime
कभी नहीं	ad.never@ad.nevermore
कभी भी	ad.anytime
कभी-कभार	ad.seldom@a.infrequent
कभी-कभी	ad.sometimes@ad.occasionally@ad.infrequently
कभी-कभी होने वाला	a.occasional
कम	a.low@a.less@ad.less@a.reduced@a.fewer@a.lesser@a.diminished@a.scant
कम अनुमान	n+m.underestimate
कम आंकना	v.underestimate
कम आंका	v.underestimated@v.undervalued
कम आंका गया	a.underrated
कम उपयोग किया	a.underutilized
कम उम्र का	a.younger
कम कर रहा	v.reducing@v.mitigating
कम करता है	v.reduces@v.lowers
कम करना	v.lower@v.reduce@v.minimize@v.lowering@v.lowered@v.minimizing@v.mitigate@v.alleviate@v.minimise@v.diminish@v.lessen@v.downsizing@v.detract@v.bate@v.curtail@v.alleviating@v.dampen@v.lessening
कम करने वाला	a.extenuating
कम कहना	n+m.understatement
कम किया	v.reduced@v.mitigated@v.curtailed@v.damped@v.alleviated
कम किया गया	a.lowered
कम किया हुआ	a.minimized
कम कीमत	n+m.undercut
कम प्रतिनिधित्व वाला	a.underrepresented
कम बताया	v.understated
कम मात्रा में	ad.sparingly
कम वजन वाला	a.underweight
कम संख्या में	a.outnumbered
कम से कम	a.least@ad.least
कम हुआ	v.decreased@v.diminished@v.lessened@v.subsided@a.deflated@v.abated
कम हो रहा	v.diminishing@v.easing
कम होता है	v.eases@v.diminishes
कम होना	v.decrease@v.ebb@v.abate
कमज़ोर	a.weak@a.vulnerable@a.lame@a.weakened@a.feeble@a.frail@a.puny@a.pansy@a.flimsy@a.wimpy@a.infirm
कमज़ोर कर रहा	v.undermining
कमज़ोर करता है	v.undermines
कमज़ोर करना	v.sap@v.weaken
कमज़ोर किया	v.weakened@v.undermined
कमज़ोर पक्ष	n+m.underdog@n+m.underdogs
कमज़ोर रूप से	ad.weakly
कमज़ोर व्यक्ति	n+m.wimp
कमज़ोर हो रहा	v.weakening
कमज़ोर होना	n+m.weakening
कमज़ोरियाँ	n+f.weaknesses@n+f.vulnerabilities@n+f.failings
कमज़ोरी	n+f.vulnerability@n+f.failing@n+f.weakness@n+f.frailty
कमजोर	a.weaker@a.tenuous
कमजोर करता है	v.weakens
कमजोर करना	v.undermine@v.nerf@v.saps
कमजोर किया	v.attenuated
कमर	n+f.waist@n+m.groin@n+f.loin@n+m.loins
कमर का जोड़	n+m.crotch
कमर पट्टी	n+f.trusses
कमर संबंधी	a.lumbar
कमरबंद	n+m.waistband
कमरा	n+m.room
कमरे	n+m.rooms@n+m.dens
कमरे का साथी	n+m.roommate
कमरे का सेट	n+m.suite
कमल	n+m.lotus@n+f.lily
कमांडर	n+m.commander@n+m.commanders
कमांडेंट	n+m.commandant
कमांडो	n+m.commando@n+m.commandos
कमाई	n+f.earnings@n+f.earning@n+f.takings
कमाता है	v.earns
कमाना	v.earn@v.earning@n+f.tanning@v.grosses
कमाने वाला	n+m.earner
कमाने वाले	n+m.earners
कमाया	v.earned
कमिंग	n+m.cumming
कमिंग्स	n+m.cummings
कमिट करने वाले	n+m.committers
कमियाँ	n+f.deficiencies@n+f.shortcomings@n+f.pitfalls@n+f.shortfalls
कमियां	n+m.drawbacks
कमी	n+f.lack@n+f.reduction@n+f.decrease@n+m.reductions@n+f.deficiency@n+f.shortage@n+f.decreases@n+f.lowering@n+f.shortages@n+f.depletion@n+m.abatement@n+f.shortfall@n+m.drawback@n+f.scarcity@n+f.shortness@n+f.dearth@n+m.decrement@n+m.wane@n+f.diminution@n+f.lessening@n+f.lacuna@n+f.shortcoming@n+f.paucity
कमी थी	v.lacked
कमी वाला	a.lacking@a.deficient
कमी होना	v.lack
कमीज़	n+f.shirt
कमीज़ें	n+f.shirts
कमीना	n+m.sod
कमीशन	n+f.commission@n+f.commissions
कमीशन प्राप्त	a.commissioned
कमीशनिंग	n+f.commissioning
कमोडोर	n+m.commodore@n+m.commodores
कम्पास	n+m.compass@n+m.compasses
कम्प्यूटेशनल	a.computational
कम्ब्रिया	n+m.cumbria
कम्युनिस्ट	n+m.commie
कम्यून	n+f.commune@n+f.communes
कयाक	n+m.kayaks
कयाकिंग	n+m.kayaking
कर	n+m.tax@n+m.taxes@n+m.vat@n+m.tribute@n+m.levy@n+m.imposition@n+m.geld@n+m.levies
कर योग्य	a.taxable
कर रहा	v.doing
कर लगा हुआ	a.taxed
कर लगाता है	v.levies
कर लगाना	v.levy@v.taxing
कर लगाया	v.taxed
करघा	n+m.loom@n+m.looms
करछुल	n+m.scoop@n+m.ladle@n+m.dipper
करछुल से डालना	v.ladle
करतब	n+m.stunt@n+m.stunts@n+m.feats
करतब दिखाना	v.juggling@v.juggle
करता है	v.does@v.doth@v.dost
करती है	v.does
करदाता	n+m.taxpayer@n+m.taxpayers@n+m.ratepayers
करधनी	n+f.girdle
करना	v.do@v.make@v.commit@v.commits@v.doit
करना होगा	v.gotta
करने योग्य	a.doable
करमिट	n+m.kermit
कराओके	n+m.karaoke
कराची	n+m.karachi
कराटे	n+m.karate
कराधान	n+m.taxation
करारा	a.crispy
कराह	n+f.moan@n+f.groan@n+f.groans
कराह रहा	v.moaning
कराहट	n+f.moaning
कराहता है	v.moans@v.groans
कराहना	v.moan@v.groan@v.groaning
कराहा	v.moaned@v.groaned
कराहें	n+f.moans
करियर	n+m.career@n+m.careers
करिश्मा	n+m.charisma
करिश्माई	a.charismatic
करी	n+f.curry@n+f.curries
करीना	n+f.karina
करीब	ad.closer
करीबी	a.closeup
करीम	n+m.kareem
करुणा	n+f.ruth@n+f.mercy@n+f.compassion@n+m.pathos
करुणामय	a.compassionate
करू	n+m.karoo
करूब	n+m.cherub
करेगा	v.shalt
करोड़	n+m.crore@n+m.crores
करोड़पति	n+m.millionaire@n+m.millionaires
करोड़ों	n+m.millions
करोड़ों का	a.multimillion
कर्कश	a.grating@a.shrill@a.raucous@a.jarring@a.gruff
कर्कश आवाज़	n+f.screeching
कर्ज़	n+m.loan@n+m.debt
कर्ज़न	n+m.curzon
कर्ट	n+m.kurt
कर्टिन	n+m.curtin
कर्टिस	n+m.curtis@n+m.curtiss@n+m.kurtis
कर्णकोटर संबंधी	a.vestibular
कर्णावर्त संबंधी	a.cochlear
कर्तव्य	n+m.duty@n+m.duties
कर्तव्य निभा रहा	v.officiating
कर्तव्यनिष्ठ	a.conscientious
कर्ता	n+m.doer@n+m.doers
कर्नल	n+m.col@n+m.colonel@n+m.colonels
कर्नेल	n+m.kernel
कर्फ़्यू	n+m.curfew
कर्म	n+m.karma
कर्म संबंधी	a.karmic
कर्मचारियों की संख्या	n+m.headcount
कर्मचारियों वाला	a.staffed@a.manned
कर्मचारी	n+m.staff@n+m.employees@n+m.workers@n+m.employee@n+m.personnel@n+m.worker@n+m.staffs@n+m.staffers@n+m.staffer
कर्मचारी नियुक्त किया	v.staffed
कर्रारा	n+m.carrara
कर्लिंग	n+f.curling
कर्सर	n+m.cursor@n+m.cursors
कल	ad.yesterday@n+m.yesterday@ad.tomorrow@n+m.tomorrow@n+m.morrow
कलंक	n+m.stigma@n+m.slur
कलंकित	a.scandalous
कलंकित करना	v.sully@v.tarnish
कलंकित किया	v.tarnished
कलकत्ता	n+m.calcutta
कलन	n+m.calculus
कलबर्टसन	n+m.culbertson
कलम	n+f.pen@n+f.stylus@n+m.pens@n+f.graft
कलम बाँधना	n+f.grafting
कलम लगाना	v.graft
कलमें	n+f.grafts
कलवारी	n+m.calvary
कलश	n+m.urn@n+f.urns
कलह	n+f.strife@n+m.discord
कलहंस	n+m.geese
कला	n+f.art@n+f.talent@n+f.knack
कला वस्तु	n+m.vertu
कलाई	n+f.wrist@n+f.wrists
कलाई घड़ी	n+f.wristwatch@n+f.wristwatches
कलाई पट्टी	n+m.wristband
कलाई संबंधी	a.carpal
कलाईपट्टी	n+m.wristbands
कलाएँ	n+f.arts
कलाकार	n+m.artist@n+m.artists@n+m.cast@n+m.performer@n+m.performers@n+m.artistes@n+m.artiste
कलाकारी	n+f.artistry
कलाकृति	n+f.artwork@n+m.artefact
कलाकृतियाँ	n+f.crafts@n+f.artworks
कलाकृतियां	n+m.artefacts
कलात्मक	a.artistic@a.artful@a.arty@a.artsy
कलात्मक रूप से	ad.artistically
कलाप्रवीण	n+m.virtuoso
कलाबाज़	n+m.acrobat@n+m.tumbler
कलाबाज़ी	n+m.tumbling
कलाबाज़ी का	a.acrobatic
कलाबाजी	a.gymnastic
कलामाज़ू	n+m.kalamazoo
कलिकायन	n+m.budding
कलियाँ	n+f.buds
कलिल संबंधी	a.colloidal
कली	n+f.bud
कलेक्टर	n+m.collector
कलेन	n+m.cullen
कल्टीवार	n+m.cultivar
कल्पना	n+m.fiction@n+f.fantasy@n+f.fancy@n+f.imagination@n+f.imagery@n+f.fictions
कल्पना कर रहा	v.imagining
कल्पना करता है	v.envisions
कल्पना करना	v.imagine@v.visualize@v.conceive@v.envision@v.visualizing@v.envisage@v.imagines@v.envisioning@v.visioning
कल्पना की	v.imagined@v.envisioned@v.visualized
कल्पनाएँ	n+f.fantasies@n+f.imaginations
कल्पनाएं	n+f.fancies
कल्पनाशील	a.imaginative
कल्पनीय	a.imaginable
कल्पित	a.assumed@a.conceived@a.fancied
कल्पित बौने	n+m.elves
कल्ब	n+m.kalb
कल्याण	n+m.welfare@n+m.wellness
कल्वर	n+m.culver
कवक	n+m.fungi@n+m.fungus
कवक संबंधी	a.fungal
कवकनाशी	n+m.fungicides
कवच	n+m.armour
कवर	n+m.cover@n+m.covers
कवर कर रहा	v.covering
कवर करता है	v.covers
कवर किया हुआ	a.covered
कवरेज	n+f.coverage@n+f.coverages
कवि	n+m.poet@n+m.poets@n+m.bard@n+m.bards
कविता	n+f.poetry@n+f.poem@n+f.verse
कविताएं	n+f.poems
कश	n+m.toke
कश लेना	v.toke
कशेरुकाएँ	n+f.vertebrae
कशेरुकी	n+m.vertebrate@a.vertebrate@n+m.vertebrates
कशेरुकीय	a.vertebral
कश्मीर	n+m.kashmir
कश्मीरी	a.kashmiri@n+m.kashmiri
कश्मीरी ऊन	n+m.cashmere
कष्ट	n+m.agony@n+m.travail@n+m.affliction@n+f.tribulations
कष्ट उठाना	v.travail
कष्ट देना	v.scourge
कष्टकारी	a.annoying@a.pesky
कष्टदायक	a.distressing@a.harrowing
कस देता है	v.clamps
कस रहा	v.tightening
कसकर	ad.tightly
कसना	v.tighten@v.clamping@v.cinch@v.tightens
कसम खा रहा	v.swearing
कसम खाई	v.swore
कसम खाता है	v.swears
कसम खाना	v.swear
कसरत	n+f.workout
कसा	v.tightened@v.clamped
कसा हुआ	a.tight@a.taut
कसाई	n+m.butcher@n+m.butchers
कसाई की तरह काटता है	v.butchers
