12	n.twelve
Mick	n.mick
Mickey	n.mickey
Micky	n.micky
Micronesia	n.micronesia
Midas	n.midas
Middlesbrough	n.middlesbrough
Middleton	n.middleton
Midgard	n.midgard
Midland	n.midland
Midlands	n.midlands
Midlothian	n.midlothian
Midway	n.midway
Mignon	n.mignon
Miguel	n.miguel
Mikado	n.mikado
Mikhail	n.mikhail
Milan	n.milan
Mildred	n.mildred
Milford	n.milford
Milken	n.milken
Millard	n.millard
Millie	n.millie
Mills	n.mills
Milne	n.milne
Milo	n.milo
Milos	n.milos
Milosevic	n.milosevic
Milton	n.milton
Milwaukee	n.milwaukee
Mimi	n.mimi
Mindanao	n.mindanao
Mindy	n.mindy
Minerva	n.minerva
Ming	n.ming
Mingus	n.mingus
Minna	n.minna
Minneapolis	n.minneapolis
Minnesota	n.minn
Minnie	n.minnie
Minolta	n.minolta
Minos	n.minos
Minot	n.minot
Minotaur	n.minotaur
Minsk	n.minsk
Minter	n.minter
Miocene	n.miocene
Miquelon	n.miquelon
Mir	n.mir
Mira	n.mira
Miranda	n.miranda
Miriam	n.miriam
Miro	n.miro
Mirza	n.mirza
Mise	n.mise
Mississauga	n.mississauga
Mitch	n.mitch
Mitchel	n.mitchel
Mitchell	n.mitchell
Mitra	n.mitra
Mitsubishi	n.mitsubishi
Mitt	n.mitt
Mitzi	n.mitzi
Moab	n.moab
Mobil	n.mobil
Modena	n.modena
Modesto	n.modesto
Modigliani	n.modigliani
Moe	n.moe
Moet	n.moet
Mohamed	n.mohamed
Mohammad	n.mohammad
Mohave	n.mohave
Mohawk	n.mohawk
Mohegan	n.mohegan
Moira	n.moira
Mojave	n.mojave
Moldavia	n.moldavia
Moldova	a.moldovan@n.moldova
Molina	n.molina
Moline	n.moline
Moll	n.moll
Mollie	n.mollie
Molly	n.molly
Molnar	n.molnar
Molokai	n.molokai
Molotov	n.molotov
Mombasa	n.mombasa
Mona	n.mona
Monaco	n.monaco
Monaghan	n.monaghan
Moncton	n.moncton
Monde	n.monde
Monet	n.monet
Monica	n.monica
Monique	n.monique
Monmouth	n.monmouth
Monmouthshire	n.monmouthshire
Monroe	n.monroe
Monrovia	n.monrovia
Mons	n.mons
Monsanto	n.monsanto
Montagu	n.montagu
Montague	n.montague
Montaigne	n.montaigne
Montana	n.montana
Monte	n.monte
Montenegro	n.montenegro
Monterey	n.monterey
Montero	n.montero
Monterrey	n.monterrey
Montes	n.montes
Montessori	n.montessori
Montevideo	n.montevideo
Montezuma	n.montezuma
Montfort	n.montfort
Montgomery	n.montgomery
Monticello	n.monticello
Montmartre	n.montmartre
Montoya	n.montoya
Montparnasse	n.montparnasse
Montpelier	n.montpelier
Montpellier	n.montpellier
Montreal	n.montreal
Montserrat	n.montserrat
Monty	n.monty
Moody	n.moody
Moog	n.moog
Mooney	n.mooney
Moor	a.moorish
Mora	n.mora
Morales	n.morales
Moran	n.moran
Moravia	n.moravia@a.moravian
Moray	n.moray
Mordecai	n.mordecai
Moreau	n.moreau
Moreno	n.moreno
Morgen	n.morgen
Moriarty	n.moriarty
Morin	n.morin
Morita	n.morita
Morley	n.morley
Mormon	n.mormon
Moro	n.moro
Morocco	n.morocco
Morpheus	n.morpheus
Morphy	n.morphy
Morris	n.morris
Morrison	n.morrison
Morrow	n.morrow
Morse	n.morse
Mort	n.mort
Mortimer	n.mortimer
Morton	n.morton
Moscow	n.moscow
Moseley	n.moseley
Moses	n.moses
Mosley	n.mosley
Moss	n.moss
Mosul	n.mosul
Mot	n.mot
Motherwell	n.motherwell
Motown	n.motown
Motrin	n.motrin
Mott	n.mott
Moulin	n.moulin
Moulton	n.moulton
Mouton	n.mouton
Mozambique	n.mozambique
Mozart	n.mozart
Mozilla	n.mozilla
Mubarak	n.mubarak
Mueller	n.mueller
Mugabe	n.mugabe
Mughal	n.mughal
Muhammad	n.muhammad
Muir	n.muir
Mulder	n.mulder
Mull	n.mull
Mullen	n.mullen
Muller	n.muller
Mulligan	n.mulligan
Mullins	n.mullins
Mumbai	n.mumbai
Mumford	n.mumford
Mun	n.mun
Munch	n.munch
Munich	n.munich
Munoz	n.munoz
Munro	n.munro
Munster	n.munster
Murat	n.murat
Murchison	n.murchison
Murcia	n.murcia
Murdoch	n.murdoch
Muriel	n.muriel
Murphy	n.murphy
Murray	n.murray
Murrow	n.murrow
Muscat	n.muscat
Musharraf	n.musharraf
Muskogee	n.muskogee
Mussolini	n.mussolini
Mustang	n.mustang
Mustangs	n.mustangs
MySpace	n.myspace
Myanmar	n.myanmar
Myers	n.myers
Myles	n.myles
Myra	n.myra
Myrna	n.myrna
Myron	n.myron
Myrtle	n.myrtle
Mysore	n.mysore
Myst	n.myst
Mác xít	a.marxist
Mátxcơva	n.moscow
Mãn Châu	n.manchuria@a.manchurian
Mông	n.mong
Mông Cổ	n.mongolia
Mỹ	a.american
NEG	a.neg
NIT	n.nit
NOM	n.nom
Na Uy	a.norwegian@n.norway
Na Uy cổ	a.norse
Nabisco	n.nabisco
Nablus	n.nablus
Nabokov	n.nabokov
Nader	n.nader
Nadia	n.nadia
Nadine	n.nadine
Naga	n.naga
Nagaland	n.nagaland
Nagano	n.nagano
Nagasaki	n.nagasaki
Nagoya	n.nagoya
Nagpur	n.nagpur
Nagy	n.nagy
Nahum	n.nahum
Nair	n.nair
Nairn	n.nairn
Nairobi	n.nairobi
Nam	n.nam
Nam Cực	n.antarctica@a.antarctic
Nam Tư	n.yugoslavia
Nama	n.nama
Namibia	a.namibian@n.namibia
Nan	n.nan
Nance	n.nance
Nancy	n.nancy
Nanette	n.nanette
Nanjing	n.nanjing
Nantes	n.nantes
Nantucket	n.nantucket
Naomi	n.naomi
Napier	n.napier
Naples	n.naples@a.neapolitan
Napoleon	a.napoleonic@n.napoleon
Napster	n.napster
Nara	n.nara
Narnia	n.narnia
Narragansett	n.narragansett
Nash	n.nash
Nashua	n.nashua
Nashville	n.nashville
Nassau	n.nassau
Nasser	n.nasser
Nat	n.nat
Natalia	n.natalia
Natalie	n.natalie
Natasha	n.natasha
Natchez	n.natchez
Nate	n.nate
Nathan	n.nathan
Nathaniel	n.nathaniel
Natick	n.natick
Nauru	n.nauru
Nautilus	n.nautilus
Navajo	n.navajo
Navarre	n.navarre
Navarro	n.navarro
Naxos	n.naxos
Nazareth	n.nazareth
Neal	n.neal
Nebo	n.nebo
Nebraska	n.nebraska
Ned	n.ned
Negros	n.negros
Nehemiah	n.nehemiah
Nehru	n.nehru
Neil	n.neil
Nell	n.nell
Nellie	n.nellie
Nelly	n.nelly
Nelson	n.nelson
Nepal	n.nepal@a.nepali
Nero	n.nero
Nessus	n.nessus
Nestor	n.nestor
Netflix	n.netflix
Netscape	n.netscape
Nettie	n.nettie
Nev	n.nev
Neva	n.neva
Neville	n.neville
Nevin	n.nevin
Nevis	n.nevis
Newark	n.newark
Newcastle	n.newcastle
Newell	n.newell
Newfoundland	n.newfoundland
Newham	n.newham
Newman	n.newman
Newmarket	n.newmarket
Newport	n.newport
Newry	n.newry
Newsweek	n.newsweek
Newton	a.newtonian@n.newton
Nexis	n.nexis
Nguyễn	n.nguyen
Ngũ tuần	a.pentecostal
Nhân Mã	n.sagittarius
Niagara	n.niagara
Nicaragua	a.nicaraguan@n.nicaragua
Nicholas	n.nicholas
Nichole	n.nichole
Nichols	n.nichols
Nicholson	n.nicholson
Nickelodeon	n.nickelodeon
Nicklaus	n.nicklaus
Nicobar	n.nicobar
Nicola	n.nicola
Nicolai	n.nicolai
Nicolas	n.nicolas
Nicole	n.nicole
Nicolson	n.nicolson
Nicosia	n.nicosia
Niedersachsen	n.niedersachsen
Nielsen	n.nielsen
Nietzsche	n.nietzsche
Nigel	n.nigel
Niger	n.niger
Nigeria	n.nigeria
Nihon	n.nihon
Niigata	n.niigata
Nike	n.nike
Nikita	n.nikita
Nikkei	n.nikkei
Nikki	n.nikki
Nikko	n.nikko
Nikolai	n.nikolai
Nikon	n.nikon
Niles	n.niles
Nils	n.nils
Nilsson	n.nilsson
Nimrod	n.nimrod
Nina	n.nina
Nippon	n.nippon
Nissan	n.nissan
Nita	n.nita
Niue	n.niue
Nivea	n.nivea
Nixon	n.nixon
Noah	n.noah
Nobel	n.nobel
Noddy	n.noddy
Noe	n.noe
Noel	n.noel
Noelle	n.noelle
Nola	n.nola
Nolan	n.nolan
Nome	n.nome
Nona	n.nona
Nora	n.nora
Norbert	n.norbert
Noreen	n.noreen
Norfolk	n.norfolk
Norge	n.norge
Norma	n.norma
Norman	n.norman
Normandy	n.normandy
Norris	n.norris
Northampton	n.northampton
Northamptonshire	n.northamptonshire
Northrop	n.northrop
Northumberland	n.northumberland
Northumbria	n.northumbria
Norton	n.norton
Norwich	n.norwich
Nosferatu	n.nosferatu
Nostradamus	n.nostradamus
Nottingham	n.nottingham
Nottinghamshire	n.nottinghamshire
Nova	n.nova
Novartis	n.novartis
Novgorod	n.novgorod
Novosibirsk	n.novosibirsk
Noyes	n.noyes
Nubia	a.nubian
Nunavut	n.nunavut
Nunez	n.nunez
Nuremberg	n.nuremberg
Nus	n.nus
ODS	n.ods
OMS	n.oms
OPP	n.opp
ORCH	n.orch
ORIG	n.orig
Oahu	n.oahu
Oakland	n.oakland
Oakley	n.oakley
Oates	n.oates
Oaxaca	n.oaxaca
Obadiah	n.obadiah
Obama	n.obama
Oberlin	n.oberlin
Oberon	n.oberon
Occam	n.occam
Oceanside	n.oceanside
Ochoa	n.ochoa
Octavia	n.octavia
Odell	n.odell
Odense	n.odense
Odeon	n.odeon
Oder	n.oder
Odessa	n.odessa
Odin	n.odin
Odom	n.odom
Odysseus	n.odysseus
Odyssey	n.odyssey
Oedipus	n.oedipus
Offenbach	n.offenbach
OfficeMax	n.officemax
Ogden	n.ogden
Ogilvy	n.ogilvy
Oglethorpe	n.oglethorpe
Oilers	n.oilers
Oireachtas	n.oireachtas
Oka	n.oka
Okavango	n.okavango
Okeechobee	n.okeechobee
Okinawa	n.okinawa
Oklahoma	n.okla
Ola	n.ola
Olaf	n.olaf
Olav	n.olav
Oldenburg	n.oldenburg
Oldfield	n.oldfield
Oldham	n.oldham
Oldsmobile	n.oldsmobile
Olga	n.olga
Olin	n.olin
Oliphant	n.oliphant
Oliver	n.oliver
Olivet	n.olivet
Olivetti	n.olivetti
Olivia	n.olivia
Olivier	n.olivier
Ollie	n.ollie
Olmsted	n.olmsted
Olsen	n.olsen
Olson	n.olson
Olympia	n.olympia
Olympic	a.olympic
Olympics	n.olympiad@n.olympics
Olympus	n.olympus
Omagh	n.omagh
Omaha	n.omaha
Oman	n.oman@a.omani
Omar	n.omar
Omer	n.omer
Oneida	n.oneida
Ono	n.ono
Onondaga	n.onondaga
Opel	n.opel
OpenOffice	n.openoffice
Ophelia	n.ophelia
Oppenheimer	n.oppenheimer
Oprah	n.oprah
Optima	n.optima
Ora	n.ora
Oran	n.oran
Orangemen	n.orangemen
Orbison	n.orbison
Ord	n.ord
Oregon	a.oregonian
Oren	n.oren
Oreo	n.oreo
Oriente	n.oriente
Origen	n.origen
Orinoco	n.orinoco
Orion	n.orion
Orissa	n.orissa
Orkney	n.orkney
Orleans	n.orleans
Orly	n.orly
Orpheus	n.orpheus
Orr	n.orr
Orrin	n.orrin
Orson	n.orson
Ortega	n.ortega
Ortiz	n.ortiz
Orville	n.orville
Orwell	n.orwell
Osage	n.osage
Osaka	n.osaka
Osborn	n.osborn
Osborne	n.osborne
Oscar	n.oscar@n.oscars
Osceola	n.osceola
Osgood	n.osgood
Oshawa	n.oshawa
Oshkosh	n.oshkosh
Osiris	n.osiris
Oslo	n.oslo
Osman	n.osman
Oswald	n.oswald
Othello	n.othello
Otis	n.otis
Ottawa	n.ottawa
Otto	n.otto
Ottoman	n.ottomans@n.ottoman@a.ottoman
Ouachita	n.ouachita
Oulu	n.oulu
Ouse	n.ouse
Ovid	n.ovid
Oviedo	n.oviedo
Owen	n.owen
Owens	n.owens
Oxbridge	n.oxbridge
Oxford	n.oxford
Oxfordshire	n.oxfordshire
Oxnard	n.oxnard
OxyContin	n.oxycontin
Ozark	n.ozark
Ozarks	n.ozarks
Ozzie	n.ozzie
PATHOL	n.pathol
PED	n.ped
PES	n.pes
PFC	n.pfc
PIP	n.pip
PIS	n.pis
PKWY	n.pkwy
PMS	n.pms
POW	n.pow
PPD	n.ppd
PRED	n.pred
PREF	n.pref
PRIV	n.priv
PROV	n.prov
PRS	n.prs
PSF	n.psf
PUBL	n.publ
Paar	n.paar
Pablo	n.pablo
Pacers	n.pacers
Pacheco	n.pacheco
Pacino	n.pacino
Packard	n.packard
Packers	n.packers
Padilla	n.padilla
Padova	n.padova
Padres	n.padres
Padua	n.padua
Paganini	n.paganini
Paige	n.paige
Paine	n.paine
Paisley	n.paisley
Pakistan	a.pakistani@n.pakistan
Pal	n.pal
Palais	n.palais
Palatine	n.palatine
Palau	n.palau
Palermo	n.palermo
Palestine	n.palestine@a.palestinian
Paley	n.paley
Pallas	n.pallas
Palma	n.palma
Palmer	n.palmer
Palmerston	n.palmerston
Palmetto	n.palmetto
Palmyra	n.palmyra
Palomar	n.palomar
Pam	n.pam
Pamela	n.pamela
Pampers	n.pampers
Pamplona	n.pamplona
Pan	n.pan
Panama	a.panamanian@n.panama
Pandora	n.pandora
Papas	n.papas
Paphos	n.paphos
Papillon	n.papillon
Papua	n.papua
Paraguay	n.paraguay
Paralympic	a.paralympic
Paramount	n.paramount
Pareto	n.pareto
Paris	a.parisian
Parker	n.parker
Parkin	n.parkin
Parkinson	n.parkinson
Parma	n.parma
Parnell	n.parnell
Paros	n.paros
Parr	n.parr
Parramatta	n.parramatta
Parrish	n.parrish
Parsons	n.parsons
Parthenon	n.parthenon
Parton	n.parton
Pasadena	n.pasadena
Pascal	n.pascal
Pasquale	n.pasquale
Pasteur	n.pasteur
Pat	n.pat
Patagonia	n.patagonia
Patel	n.patel
Paterson	n.paterson
Patna	n.patna
Paton	n.paton
Patras	n.patras
Patrice	n.patrice
Patricia	n.patricia
Patsy	n.patsy
Patten	n.patten
Patterson	n.patterson
Patti	n.patti
Patton	n.patton
Patty	n.patty
Pau	n.pau
Paula	n.paula
Paulette	n.paulette
Pauli	n.pauli
Pauline	n.pauline
Pauling	n.pauling
Pavarotti	n.pavarotti
Pawnee	n.pawnee
Pax	n.pax
Paxton	n.paxton
Payne	n.payne
Peabody	n.peabody
Pearson	n.pearson
Peavey	n.peavey
Pecos	n.pecos
Pedro	n.pedro
Peebles	n.peebles
Pegasus	n.pegasus
Peggy	n.peggy
Pei	n.pei
Peirce	n.peirce
Pekin	n.pekin
Pele	n.pele
Pelham	n.pelham
Pella	n.pella
Pelletier	n.pelletier
Pembroke	n.pembroke
Pena	n.pena
Penang	n.penang
Pendragon	n.pendragon
Penelope	n.penelope
Peng	n.peng
Penn	n.penn
Penna	n.penna
Penney	n.penney
Pennington	n.pennington
Penobscot	n.penobscot
Pensacola	n.pensacola
Pentax	n.pentax
Pentium	n.pentium
Penzance	n.penzance
Peoria	n.peoria
Pepin	n.pepin
Pepsi	n.pepsi
Pepys	n.pepys
Pequot	n.pequot
Pera	n.pera
Percival	n.percival
Percy	n.percy
Perdido	n.perdido
Peregrine	n.peregrine
Perez	n.perez
Peri	n.peri
Perkins	n.perkins
Perlman	n.perlman
Permi	a.permian
Perot	n.perot
Perrier	n.perrier
Perrin	n.perrin
Perry	n.perry
Persephone	n.persephone
Perseus	n.perseus
Pershing	n.pershing
Perth	n.perth
Peru	n.peru
Perugia	n.perugia
Peshawar	n.peshawar
Pete	n.pete
Peterborough	n.peterborough
Peters	n.peters
Petersburg	n.petersburg
Petersen	n.petersen
Peterson	n.peterson
Petra	n.petra
Petrie	n.petrie
Petter	n.petter
Peugeot	n.peugeot
Pfizer	n.pfizer
Pharos	n.pharos
Phebe	n.phebe
Phelps	n.phelps
Phenix	n.phenix
Phi	a.afro
Phil	n.phil
Philadelphia	n.philly
Philemon	n.philemon
Philip	n.philip
Philippa	n.philippa
Philippe	n.philippe
Philippians	n.philippians
Philippines	a.filipino@a.philippine
Philips	n.philips
Phillip	n.phillip
Phillips	n.phillips
Philo	n.philo
Phipps	n.phipps
Phish	n.phish
Phoebe	n.phoebe
Phoenicia	a.phoenician
Phyllis	n.phyllis
Phấn trắng	a.cretaceous
Phần Lan	a.finnish
Phật	n.buddhas@n.buddha
Phật giáo	a.buddhist@n.buddhism
Phật tử	n.buddhists@n.buddhist
Phổ	a.prussian
Piaget	n.piaget
Picard	n.picard
Picasso	n.picasso
Piccadilly	n.piccadilly
Pickering	n.pickering
Pickett	n.pickett
Pickwick	n.pickwick
Pict	n.pict
Piedmont	n.piedmont
Piemonte	n.piemonte
Pierce	n.pierce
Pierre	n.pierre
Piet	n.piet
Pike	n.pike
Pilate	n.pilate
Pillsbury	n.pillsbury
Pilsen	n.pilsen
Pima	n.pima
Pinckney	n.pinckney
Pinkerton	n.pinkerton
Pinocchio	n.pinocchio
Pinochet	n.pinochet
Pinot	n.pinot
Pinter	n.pinter
Pinto	n.pinto
Piper	n.piper
Pippin	n.pippin
Piraeus	n.piraeus
Pisa	n.pisa
Pitcairn	n.pitcairn
Pitman	n.pitman
Pitt	n.pitt
Pittman	n.pittman
Pitts	n.pitts
Pius	n.pius
Placer	n.placer
Planck	n.planck
Plano	n.plano
Plata	n.plata
Plath	n.plath
Plato	n.plato
Platte	n.platte
Playboy	n.playboy
Playtex	n.playtex
Pleistocene	n.pleistocene
Pliocen	n.pliocene
Plovdiv	n.plovdiv
Plutarch	n.plutarch
Pluto	n.pluto
Plymouth	n.plymouth
Pocahontas	n.pocahontas
Pocatello	n.pocatello
Pocono	n.pocono
Poe	n.poe
Pogo	n.pogo
Poincare	n.poincare
Poirot	n.poirot
Poisson	n.poisson
Poitiers	n.poitiers
Pokemon	n.pokemon
Pola	n.pola
Polanski	n.polanski
Polaris	n.polaris
Polaroid	n.polaroid
Polk	n.polk
Pollack	n.pollack
Pollard	n.pollard
Pollock	n.pollock
Polly	n.polly
Polynesia	n.polynesia
Pomona	n.pomona
Pompeii	n.pompeii
Pompey	n.pompey
Poms	n.poms
Ponce	n.ponce
Pondicherry	n.pondicherry
Pong	n.pong
Pontiac	n.pontiac
Pooh	n.pooh
Poole	n.poole
Poon	n.poon
Popeye	n.popeye
Popper	n.popper
Poppins	n.poppins
Porky	n.porky
Porsche	n.porsche
Porte	n.porte
Portia	n.portia
Portland	n.portland
Porto	n.porto
Portsmouth	n.portsmouth
Posada	n.posada
Poseidon	n.poseidon
Posen	n.posen
Potomac	n.potomac
Potsdam	n.potsdam
Potter	n.potter
Potts	n.potts
Poughkeepsie	n.poughkeepsie
Powell	n.powell
PowerPoint	n.powerpoint
Powhatan	n.powhatan
Powys	n.powys
Poznan	n.poznan
Prada	n.prada
Prado	n.prado
Prague	n.prague
Praia	n.praia
Pratchett	n.pratchett
Prater	n.prater
Prato	n.prato
Pratt	n.pratt
Pravda	n.pravda
Prem	n.prem
Prentice	n.prentice
Prescott	n.prescott
Presidio	n.presidio
Presley	n.presley
Preston	n.preston
Pret	n.pret
Pretoria	n.pretoria
Priestley	n.priestley
Primus	n.primus
Princeton	n.princeton
Principe	n.principe
Prinz	n.prinz
Priscilla	n.priscilla
Pristina	n.pristina
Prius	n.prius
Procter	n.procter
Proctor	n.proctor
Prokofiev	n.prokofiev
Prometheus	n.prometheus
Proteus	n.proteus
Proust	n.proust
Provence	n.provence@a.provencal
Providence	n.providence
Provincetown	n.provincetown
Provo	n.provo
Prozac	n.prozac
Prudential	n.prudential
Pruitt	n.pruitt
Prussia	n.prussia
Pryor	n.pryor
Ptolemy	n.ptolemy
Puccini	n.puccini
Puckett	n.puckett
Puebla	n.puebla
Pueblo	n.pueblo
Puget	n.puget
Pugh	n.pugh
Puglia	n.puglia
Pul	n.pul
Pulaski	n.pulaski
Pulitzer	n.pulitzer
Pullman	n.pullman
Puma	n.puma
Pune	n.pune
Punjab	n.punjab
Purcell	n.purcell
Purdue	n.purdue
Puri	n.puri
Purim	n.purim
Putin	n.putin
Putnam	n.putnam
Pye	n.pye
Pyle	n.pyle
Pylori	n.pylori
Pyrenees	n.pyrenees
Pyrex	n.pyrex
Pythagoras	n.pythagoras
QWERTY	n.qwerty
Qantas	n.qantas
Qatar	n.qatar@a.qatari
Quai	n.quai
Quaker	n.quaker
Quayle	n.quayle
Quebec	n.quebec
Queensland	n.queensland
Queenstown	n.queenstown
Quentin	n.quentin
Quezon	n.quezon
Quin	n.quin
Quincy	n.quincy
Quinn	n.quinn
Quinton	n.quinton
Quito	n.quito
Quixote	n.quixote
Quảng Châu	n.guangzhou
RCD	n.rcd
RECT	n.rect
REM	n.rem
REPRO	n.repro
RESP	n.resp
RIT	n.rit
RMS	n.rms
RPS	n.rps
RPT	n.rpt
RTE	n.rte
Rabat	n.rabat
Rabin	n.rabin
Rachael	n.rachael
Rachel	n.rachel
Rachelle	n.rachelle
Racine	n.racine
Radcliffe	n.radcliffe
Rae	n.rae
Rafael	n.rafael
Raff	n.raff
Raffles	n.raffles
Raglan	n.raglan
Ragnarok	n.ragnarok
Raider	n.raider
Rails	n.rails
Rainier	n.rainier
Raj	n.raj
Raja	n.raja
Rajasthan	n.rajasthan
Rajkot	n.rajkot
Raleigh	n.raleigh
Rall	n.rall
Ralph	n.ralph
Rama	n.rama
Ramada	n.ramada
Ramadan	n.ramadan
Rambo	n.rambo
Ramirez	n.ramirez
Ramon	n.ramon
Ramona	n.ramona
Ramos	n.ramos
Ramsay	n.ramsay
Ramsey	n.ramsey
Ramsgate	n.ramsgate
Ranchi	n.ranchi
Randal	n.randal
Randall	n.randall
Randi	n.randi
Randolph	n.randolph
Randy	n.randy
Rangoon	n.rangoon
Rani	n.rani
Rankin	n.rankin
Raoul	n.raoul
Raphael	n.raphael
Raptors	n.raptors
Raquel	n.raquel
Rasmussen	n.rasmussen
Rasta	n.rasta
Rata	n.rata
Rath	n.rath
Ratliff	n.ratliff
Raul	n.raul
Raven	n.raven
Ravenna	n.ravenna
Rawlings	n.rawlings
Rayburn	n.rayburn
Rayleigh	n.rayleigh
Raymond	n.raymond
Reade	n.reade
Reagan	n.reagan
Reba	n.reba
Rebekah	n.rebekah
Recife	n.recife
Redbridge	n.redbridge
Redd	n.redd
Redford	n.redford
Redgrave	n.redgrave
Redmond	n.redmond
Redskins	n.redskins
Redstone	n.redstone
Reebok	n.reebok
Reed	n.reed
Reese	n.reese
Reeve	n.reeve
Reeves	n.reeves
Regensburg	n.regensburg
Reggie	n.reggie
Regina	n.regina
Reginald	n.reginald
Regis	n.regis
Rehnquist	n.rehnquist
Reich	n.reich
Reid	n.reid
Reilly	n.reilly
Reims	n.reims
Reinhardt	n.reinhardt
Reinhold	n.reinhold
Rembrandt	n.rembrandt
Remington	n.remington
Remus	n.remus
Rena	n.rena
Renault	n.renault
Rene	n.rene
Renee	n.renee
Renfrew	n.renfrew
Rennes	n.rennes
Reno	n.reno
Renoir	n.renoir
Retriever	n.retriever
Reuben	n.reuben
Reuters	n.reuters
Rev	n.rev
Revlon	n.revlon
Rex	n.rex
Reyes	n.reyes
Reykjavik	n.reykjavik
Reynolds	n.reynolds
Rhea	n.rhea
Rheims	n.rheims
Rhiannon	n.rhiannon
Rhine	n.rhine
Rhinelander	n.rhinelander
Rhoda	n.rhoda
Rhode	n.rhode
Rhodes	n.rhodes
Rhodesia	n.rhodesia@a.rhodesian
Rhonda	n.rhonda
Rhondda	n.rhondda
Rhone	n.rhone
Ria	n.ria
Rialto	n.rialto
Ricardo	n.ricardo
Richards	n.richards
Richardson	n.richardson
Richelieu	n.richelieu
Richie	n.richie
Richmond	n.richmond
Richter	n.richter
Rick	n.rick
Rickey	n.rickey
Ricks	n.ricks
Ricky	n.ricky
Rico	n.rico
Ridley	n.ridley
Riemann	n.riemann
Riga	n.riga
Riggs	n.riggs
Riley	n.riley
Rimes	n.rimes
Rimini	n.rimini
Ringling	n.ringling
Ringo	n.ringo
Rio	n.rio
Rios	n.rios
Ripley	n.ripley
Ripon	n.ripon
Rita	n.rita
Ritalin	n.ritalin
Ritter	n.ritter
Ritz	n.ritz
Rivas	n.rivas
Rivera	n.rivera
Riverhead	n.riverhead
Riviera	n.riviera
Riyadh	n.riyadh
Rizal	n.rizal
Roanoke	n.roanoke
Robbie	n.robbie
Robbins	n.robbins
Robby	n.robby
Roberson	n.roberson
Roberta	n.roberta
Roberto	n.roberto
Roberts	n.roberts
Robertson	n.robertson
Robeson	n.robeson
Robin	n.robin
Robinson	n.robinson
Robles	n.robles
Robson	n.robson
Robyn	n.robyn
Roc	n.roc
Roca	n.roca
Rocco	n.rocco
Rocha	n.rocha
Rochdale	n.rochdale
Roche	n.roche
Rochelle	n.rochelle
Rochester	n.rochester
Rockaway	n.rockaway
Rockefeller	n.rockefeller
Rockford	n.rockford
Rockhampton	n.rockhampton
Rockies	n.rockies
Rockingham	n.rockingham
Rockville	n.rockville
Rockwell	n.rockwell
Rocky	n.rocky
Rod	n.rod
Roderick	n.roderick
Rodger	n.rodger
Rodgers	n.rodgers
Rodin	n.rodin
Rodney	n.rodney
Rodolfo	n.rodolfo
Rodrigo	n.rodrigo
Rodriguez	n.rodriguez
Roger	n.roger
Rogers	n.rogers
Roget	n.roget
Rojas	n.rojas
Roku	n.roku
Roland	n.roland
Rolando	n.rolando
Rolex	n.rolex
Rolf	n.rolf
Rollin	n.rollin
Rollins	n.rollins
Rollo	n.rollo
Rolls	n.rolls
Roma	n.roma
Romagna	n.romagna
Romanesque	a.romanesque
Romani	a.romani
Romania	a.romanian
Romano	n.romano
Rome	n.rome
Romeo	n.romeo
Romero	n.romero
Romney	n.romney
Romulus	n.romulus
Ron	n.ron
Rona	n.rona
Ronald	n.ronald
Ronda	n.ronda
Ronde	n.ronde
Ronnie	n.ronnie
Ronny	n.ronny
Ronstadt	n.ronstadt
Roo	n.roo
Rooney	n.rooney
Roosevelt	n.roosevelt
Roper	n.roper
Roque	n.roque
Rory	n.rory
Rosa	n.rosa
Rosalie	n.rosalie
Rosalind	n.rosalind
Rosanna	n.rosanna
Rosanne	n.rosanne
Rosario	n.rosario
Roscoe	n.roscoe
Roscommon	n.roscommon
Roseanne	n.roseanne
Rosemarie	n.rosemarie
Rosemary	n.rosemary
Rosenberg	n.rosenberg
Rosetta	n.rosetta
Rosie	n.rosie
Roslyn	n.roslyn
Ross	n.ross
Rossetti	n.rossetti
Rossini	n.rossini
Rostock	n.rostock
Roswell	n.roswell
Roth	n.roth
Rotherham	n.rotherham
Rothko	n.rothko
Rothschild	n.rothschild
Rotorua	n.rotorua
Rotterdam	n.rotterdam
Rouen	n.rouen
Rourke	n.rourke
Rousseau	n.rousseau
Roussillon	n.roussillon
Rover	n.rover
Rovers	n.rovers
Rowan	n.rowan
Rowe	n.rowe
Rowena	n.rowena
Rowland	n.rowland
Rowling	n.rowling
Roxanne	n.roxanne
Roxy	n.roxy
Roy	n.roy
Royce	n.royce
Rubbermaid	n.rubbermaid
Ruben	n.ruben
Rubens	n.rubens
Rubicon	n.rubicon
Rubik	n.rubik
Rubin	n.rubin
Rubinstein	n.rubinstein
Ruby	n.ruby
Ruck	n.ruck
Rudd	n.rudd
Rudolf	n.rudolf
Rudolph	n.rudolph
Rudy	n.rudy
Rudyard	n.rudyard
Rufus	n.rufus
Rugrats	n.rugrats
Ruhr	n.ruhr
Ruiz	n.ruiz
Rumsfeld	n.rumsfeld
Rupert	n.rupert
Rus	n.rus
Rushdie	n.rushdie
Rushmore	n.rushmore
Ruskin	n.ruskin
Russ	n.russ
Russel	n.russel
Russell	n.russell
Russo	n.russo
Rutgers	n.rutgers
Ruth	n.ruth
Rutherford	n.rutherford
Rutland	n.rutland
Rutledge	n.rutledge
Rwanda	n.rwanda@a.rwandan
Ryder	n.ryder
