অ	a.non
ইয়ট চালনা	n+m.yachting
ইয়র্ক	n+m.york
ইয়র্কটাউন	n+m.yorktown
ইয়র্কশায়ার	n+m.yorkshire
ইয়র্কশায়ার টেরিয়ার	n+m.yorkie
ইয়র্কার	n+m.yorker
ইয়র্কার বল	n.yorkers
ইয়র্কি	n+m.yorkie
ইয়াং	n+m.yang
ইয়াংসি	n+m.yangtze
ইয়াক	int.eek@n+m.yak@n+m.yacc
ইয়াকিমা	n+m.yakima
ইয়াকোবুস	n+m.jacobus
ইয়াঙ্কি	n+m.yankees@n+m.yankee
ইয়াঙ্গুন	n+m.yangon
ইয়াজু	n+m.yazoo
ইয়াটজি	n+m.yahtzee
ইয়ান	n+m.ian
ইয়াপি	int.yippee@n+m.yuppie
ইয়ামাশিতা	n+m.yamashita
ইয়ামাহা	n+m.yamaha
ইয়ারফোন	n.earphones@n+m.earphone@n+m.earpiece
ইয়ারবাড	n+m.earbud@n+m.earbuds
ইয়ারমাউথ	n+m.yarmouth
ইয়ারহার্ট	n+m.earhart
ইয়ারো গাছ	n+m.yarrow
ইয়ার্ডেজ	n+m.yardage
ইয়াল্টা	n+f.yalta
ইয়াহওয়েহ	n+m.yahweh
ইয়াহু	n+m.yahoo
ইয়িন	n+m.yin
ইয়ুং	n+m.jung
ইয়েগার	n+m.jaeger@n+m.yeager
ইয়েটস	n+m.yates@n+m.yeats
ইয়েতি	n+m.yeti
ইয়েন	n+m.yen
ইয়েমেন	n+m.yemen
ইয়েমেনবাসী	n+m.yemeni
ইয়েমেনি	a.yemeni
ইয়েরেভান	n+m.yerevan
ইয়েল	n+m.yale
ইয়েলোনাইফ	n+m.yellowknife
ইয়েলোস্টোন	n+m.yellowstone
ইয়েলৎসিন	n+m.yeltsin
ইয়েশিভা	n+f.yeshiva
ইয়োকো	n+f.yoko
ইয়োকোহামা	n+m.yokohama
ইয়োগার্ট	n+m.yogurt@n+f.yoghurt
ইয়োডা	n+m.yoda
ইয়োম্যান	n+m.yeoman
ইয়োর	n+m.eeyore
ইয়োরুবা	n+m.yoruba
ইয়োলান্ডা	n+f.yolanda
ইয়োসেমাইট	n+m.yosemite
ইয়োহানেস	n+m.johannes
ইরভিন	n+m.irvin
ইরমা	n+f.irma
ইরা	n+f.ira
ইরাক	n+m.iraq
ইরাকি	a.iraqi@n+m.iraqis
ইরাকি ব্যক্তি	n+m.iraqi
ইরান	n+m.iran
ইরানি	a.iranian@n.iranians
ইরানি ব্যক্তি	n+m.iranian
ইরানি মুদ্রা	n+f.rial
ইরানের অধিবাসী	n.iranians
ইরাসমাস	n+m.erasmus
ইরিডিয়াম	n+m.iridium
ইরিত্রিয়া	n+f.eritrea
ইরিত্রিয়ান	a.eritrean
ইরিত্রিয়াবাসী	n+m.eritrean
ইরেজার	n+m.erasers
ইরোকুওই	n+m.iroquois
ইরোকুওই জাতির	a.iroquois
ইরোটিকা	n+f.erotica
ইরোস	n+m.eros
ইল	n.eels
ইলা	n+f.ila
ইলাই	n+m.eli
ইলাস্টিক	n+m.elastic
ইলাস্টিক দড়ি	n+f.bungee
ইলাস্টোমার	n+m.elastomer@n+m.elastomers
ইলাস্ট্রেটর	n+m.illustrator
ইলিং	n+m.ealing
ইলিনয়	n+m.illinois
ইলিয়ট	n+m.elliott@n+m.eliot
ইলিয়াড	n+f.iliad
ইলিয়াম হাড়	n+m.ilia
ইলিশা	n+m.elisha
ইলুমিনাতি	n+m.illuminati
ইলুমিনেটর	n+m.illuminator
ইলেইন	n+f.elaine
ইলেকট্রন	n+m.electron@n+m.electrons
ইলেকট্রনিক	a+m.electronic@a+f.electronic
ইলেকট্রনিক সংগীত	n+m.electronica
ইলেকট্রনিকভাবে	ad.electronically
ইলেকট্রনিকা	n+f.electronica
ইলেকট্রনিক্স	n+f.electronics
ইলেকট্রিশিয়ান	n+m.electrician@n+m.electricians
ইলেকট্রো	n+m.electro
ইলেকট্রোড	n+m.electrode@n+m.electrodes
ইলেক্ট্রা	n+f.electra
ইলেক্ট্রোকেমিক্যাল	a.electrochemical
ইলেক্ট্রোপ্লেটিং	n+f.electroplating
ইলেক্ট্রোলাইট	n+m.electrolytes
ইশতেহার	n+m.manifesto
ইশাইয়া	n+m.isaiah
ইশারা	n+m.beck@n+f.gesture@n+f.gestures
ইশারা করে ডাকে	v.beckons
ইশারা করেছে	v.motioned
ইশ্চেরিচিয়া	n+f.escherichia
ইসকিয়া	n+f.ischia
ইসপ	n+m.aesop
ইসমাইল	n+m.ismail@n+m.ishmael
ইসমায়েল	n+m.ismael
ইসরাইলি	n+m.israelis
ইসরাইলের	a.israelis
ইসরায়েল	n+m.israel
ইসরায়েলি	a.israeli@n+m.israelite
ইসরায়েলি ব্যক্তি	n+m.israeli
ইসরায়েলি সংসদ	n+m.knesset
ইসরায়েলীয়	a.israelite
ইসলাম	n+m.islam
ইসলামপন্থী	n+m.islamist
ইসলামাবাদ	n+m.islamabad
ইসলামিক	a.islamic
ইসলামী	a.islamic@a.islamist
ইসলিংটন	n+m.islington
ইসাবেল	n+f.isabel@n+f.isabelle
ইসাবেলা	n+f.isabella
ইসিইউ	n+m.ecu
ইসুজু	n+m.isuzu
ইসোল্ড	n+f.isolde
ইস্কাপন	n+m.spades@n+m.spade
ইস্ট	n+f.yeast@n+f.yeasts
ইস্টউড	n+m.eastwood
ইস্টবোর্ন	n+m.eastbourne
ইস্টম্যান	n+m.eastman
ইস্টার	n+m.easter
ইস্টার সম্পর্কিত	a.paschal
ইস্তফা	n+m.resignation@n+f.resignations
ইস্তফা দিচ্ছে	v.resigning
ইস্তফা দেয়	vi.resigns
ইস্তানবুল	n+m.istanbul
ইস্তেহার	n+m.proclamations
ইস্ত্রি	n+m.irons@n+m.flatiron
ইস্ত্রি করা	v.iron@n+m.ironing@v.ironing
ইস্পাত	n+m.steel@n.steels
ইস্পাতের মতো	a.steely
ইস্যু	n+f.issues@n+m.issue@n+f.issuance
ইস্যুকারী	n+m.issuer@n+m.issuers
ইহুদি	a+m.jewish@a+f.jewish@n+m.jews@n+m.jew@n+m.hebrews@a.judaic
ইহুদি আচার	n+m.mitzvah
ইহুদি উপাসনালয়	n+m.synagogue@n+m.synagogues
ইহুদি ধর্ম	n+m.judaism
ইহুদি ধর্ম সম্পর্কিত	a.judaic
ইহুদি ধর্মগুরু	n+m.rabbi
ইহুদি ধর্মগুরু বিষয়ক	a.rabbinic
ইহুদি ধর্মগ্রন্থ	n+f.torah@n+m.talmud
ইহুদি ধর্মযাজক	n+m.rabbis
ইহুদি বিদ্যালয়	n+f.yeshiva
ইহুদি রহস্যবাদ	n+f.kabbalah
ইহুদি সংস্কৃতি	n.judaica
ইহুদি সম্প্রদায়	n+m.jewry
ঈগল	n+m.eagle@n+m.eagles
ঈগল নক্ষত্রমণ্ডল	n+f.aquila
ঈর্ষণীয়	a.enviable
ঈর্ষা	n+f.jealousy
ঈর্ষান্বিত	a.jealous@a.envious
ঈশ্বর	n+m.god@n+m.gods@n+m.almighty@n+m.jehovah@n+m.deus
ঈশ্বর অবিশ্বাস	n+m.atheism
ঈশ্বর হত্যা	n+m.deicide
ঈশ্বরতত্ত্ব	n+m.divinity
ঈশ্বরত্ব	n+m.godhead
ঈশ্বরনিন্দা	n+m.blasphemy
ঈশ্বরবাদ	n+m.theism
ঈশ্বরবিদ্যা সংক্রান্ত	a.theological
ঈশ্বরবিহীন	a.godless
ঈশ্বরভক্ত	a.godly
ঈশ্বরে অবিশ্বাসী	n.atheists
ঈশ্বরের প্রশংসা	int.hallelujah
ঈষৎ অন্ধকার	a.dusky
ঈষৎ লবণাক্ত	a.brackish
উঁইপোকা	n+m.termite
উঁকি	n+m.peek@n+m.peep@n.peeps@n+m.peeking@n+f.peeks
উঁকি দিচ্ছে	v.peering@v.peeping@v.prying@v.peeking
উঁকি দিয়েছে	v.peered
উঁকি দেওয়া	v.peer@vi.peek@vi.peep
উঁকি দেখা প্রদর্শনী	n+m.peepshow
উঁকি দেয়	v.peers@v.peeks
উঁকি মারে	vi.peeps
উঁকিঝুঁকি	n+m.peeping@n+m.voyeurism
উঁকিঝুঁকি মারা ব্যক্তি	n+m.snooper
উঁকিঝুঁকিবাজ	n+m.voyeurs
উঁকিমার	n+m.voyeur
উঁচু	a.high@a.tall@a.towering
উঁচু অংশ	n+m.mons
উঁচু গলার জামা	n+f.turtleneck
উঁচু জমি	a.upland
উঁচু জায়গা	n+m.heights
উঁচু নিচু ভূমি	n+m.downs
উঁচু ভাঁজ	n.ridges
উঁচু ভূমি	n+m.promontory
উঁচু রাস্তা	n+m.causeway
উঁচু হওয়া	a.surging
উঁচুতে অবস্থিত	a.perched
উঁচুতে উঠল	v.soared
উঁচুতে ওড়া	a.soaring@vi.soar
উঁচুনিচু	a.hilly
উইংকল	n+m.winkle
উইংনাট	n+m.wingnut
উইংস্প্যান	n+m.wingspan
উইকলো	n+m.wicklow
উইকি	n+m.wiki@n.wikis
উইকিপিডিয়া	n+f.wikipedia
উইকেট	n+m.wicket@n.wickets
উইকেন্ডার	n+m.weekender
উইক্কা	n+m.wicca
উইক্কা সম্পর্কিত	a.wiccan
উইক্কান	n+m.wiccan
উইক্লিফ	n+m.wycliffe
উইগওয়াম	n+m.wigwam
উইগান	n+m.wigan
উইগিন্স	n+m.wiggins
উইঙ্গার	n+m.winger@n+m.wingers
উইচিটা	n+m.wichita
উইজার্ড	n+m.wizard@n+m.wizards
উইজেট	n+m.widget@n+m.widgets
উইঞ্চ	n+m.winch
উইট	n+m.witt
উইঢিবি	n+m.anthill
উইন	n+m.wynn
উইনচেস্টার	n+m.winchester
উইনটন	n+m.winton
উইনথ্রপ	n+m.winthrop
উইনফিল্ড	n+m.winfield
উইনফ্রে	n+f.winfrey
উইনস্টন	n+m.winston
উইনি	n+f.winnie
উইনিপেগ	n+m.winnipeg
উইনিফ্রেড	n+f.winifred
উইনেবাগো	n+m.winnebago
উইন্টারগ্রিন	n+m.wintergreen
উইন্টার্স	n+m.winters
উইন্ডচিল	n+m.windchill
উইন্ডমিল	n+m.windmill@n+f.windmills
উইন্ডশিল্ড	n+m.windshield
উইন্ডসর	n+m.windsor
উইন্ডসার্ফিং	n+m.windsurfing
উইন্ডস্ক্রিন	n+m.windscreen
উইন্ডহোক	n+m.windhoek
উইন্ডার	n+m.winders
উইন্ডারমিয়ার	n+m.windermere
উইন্ডো	n+m.window
উইন্ডোজ	n+m.windows
উইন্ডোয়িং	n+m.windowing
উইপোকা	n+m.termites
উইম্বলডন	n+m.wimbledon
উইল	n+m.testament@n+f.wills@n+m.testaments
উইল করেছিল	v.willed
উইল কার্যকারী	n+m.executor@n+m.executors
উইল প্রমাণ	n+m.probate
উইলকক্স	n+m.wilcox
উইলকস	n+m.wilkes
উইলকারসন	n+m.wilkerson
উইলকারী	n+m.testator
উইলকিনসন	n+m.wilkinson
উইলকিন্স	n+m.wilkins
উইলকৃত সম্পত্তি	n+m.bequest
উইলটন	n+m.wilton
উইলফ্রেড	n+m.wilfred
উইলবার	n+m.wilbur@n+m.wilber
উইলমা	n+f.wilma
উইলমার	n+m.wilmer
উইলমিংটন	n+m.wilmington
উইলসন	n+m.wilson
উইলহেলম	n+m.wilhelm
উইলা	n+f.willa
উইলামেট	n+m.willamette
উইলার্ড	n+m.willard
উইলি	n+m.wiley@n+m.willie@n+m.willy
উইলিয়াম	n+m.william
উইলিয়ামস	n+m.williams
উইলিয়ামসন	n+m.williamson
উইলিয়ামসবার্গ	n+m.williamsburg
উইলিস	n+m.willis
উইলে দান	n+m.bequests
উইলের সম্পত্তি	n+m.legacy
উইলো গাছ	n+m.willow@n.willows
উইল্টশায়ার	n+m.wiltshire
উইশবোন	n+m.wishbone
উইসকনসিন	n+m.wisconsin@n+m.wis@n.wisc
উইস্টেরিয়া	n+f.wisteria
উকিল	n+m.lawyer@n+m.lawyers@n+m.attorneys@n+m.advocate@n+m.advocates@n+m.solicitor@n+m.solicitors
উকুন	n.lice
উকুনযুক্ত	a.nitty
উকুনের ডিম	n+m.nit@n+m.nits
উক্তি	n+f.sayings@n+f.utterances@n+m.dictum
উগরে দেওয়া	v.spew
উগান্ডা	n+f.uganda
উগান্ডাবাসী	n+m.ugandan
উগান্ডার	a.ugandan
উগিয়া	n+f.ouguiya
উগ্র	a.aggressive@a.fanatical
উগ্র ব্যক্তি	n+m.hotspur
উগ্রতা	n+f.aggressiveness
উগ্রপন্থা	n+m.radicalism
উগ্রপন্থী	n+m.fanatics@n+m.fanatic@a.extremist@n+m.zealots@n+m.zealot
উগ্রবাদ	n+m.extremism
উচিত	v.should@v.ought@a.advisable
উচ্চ	a+m.high@a+f.high@a.lofty@a.exalted@a.hight
উচ্চ কণ্ঠ	n+f.sopranos
উচ্চ পার্বত্য	a.alpine
উচ্চ ফ্রিকোয়েন্সি স্পিকার	n+m.tweeters
উচ্চ মাত্রায়	ad.highly
উচ্চ রক্তচাপ	n+f.hypertension
উচ্চ রক্তচাপযুক্ত	a.hypertensive
উচ্চ রক্তচাপের রোগী	n+m.hypertensive
উচ্চ রক্তশর্করা	n+f.hyperglycemia
উচ্চ লক্ষ্য	n+f.ideals
উচ্চ শব্দ স্পিকার	n+m.tweeter
উচ্চ স্বর	n+m.treble
উচ্চকণ্ঠ গায়িকা	n+f.soprano
উচ্চচাপযুক্ত	a.hyperbaric
উচ্চতর	a+m.higher@a+f.higher@a.superior@a.elevated@a.louder@a.excelsior
উচ্চতা	n+f.height@n+f.heights@n+m.highs@n+f.elevation@n+f.altitude@n+f.elevations@n+m.stature@n+f.altitudes@n+f.highness@n+f.loudness@n.elev
উচ্চতামাপক	n+m.altimeter
উচ্চতার মার্জিন	n+f.headroom
উচ্চনাদী	a.raucous
উচ্চপদ	n+m.eminence
উচ্চপদস্থ ব্যক্তি	n+m.superiors
উচ্চবংশীয়	n+m.nobleman
উচ্চভূমি	n+f.highland@n+f.highlands@n+m.upland@n+m.uplands
উচ্চমাত্রা	n+m.upbeat
উচ্চমানের	a.classy@a.upscale@a.upmarket
উচ্চমানের পোশাক	n+f.couture
উচ্চরক্তচাপবিরোধী ওষুধ	n+m.antihypertensive
উচ্চশিক্ষা সংক্রান্ত	a.tertiary
উচ্চস্থান	n+m.altitudes
উচ্চস্বরী ব্যক্তি	n+m.stentor
উচ্চস্বরে	a.loud@ad.aloud@ad.loudly
উচ্চস্বরে বকা	n+m.ranting
উচ্চাকাঙ্ক্ষা	n+f.ambition@n+f.ambitions
উচ্চাকাঙ্ক্ষী	a.ambitious@a.aspiring@a.thrusting
উচ্চাকাঙ্ক্ষী হওয়া	vi.aspire
উচ্চাভিলাষী	a.ambitious
উচ্চারণ	n+m.accent@n+m.accents@n+f.pronunciation@n+f.articulation@n+f.utterance@n+f.diction
উচ্চারণ করা	vt.utter@vt.articulate@vt.pronounce@v.uttering
উচ্চারণ করেছিল	v.uttered
উচ্চারণবিশিষ্ট	a.accented
উচ্চারণমূলক	a.phonetic
উচ্চারিত	a.pronounced@a.accentuated
উচ্চাশা	n+m.aspirations@n+f.aspiration
উচ্চাশা রাখে	v.aspires
উচ্চৈঃস্বরে বলেছিল	v.exclaimed
উচ্ছিষ্ট	n+m.ort
উচ্ছৃঙ্খল	a.rowdy@a.unruly@a.libertine
উচ্ছৃঙ্খল উৎসব	n+f.orgies
উচ্ছৃঙ্খল ব্যক্তি	n+m.hooligans
উচ্ছেদ	n+m.eradication@n+m.abolition@n+m.eviction@n+f.evictions
উচ্ছেদ করা	vt.eradicate
উচ্ছেদ করেছিল	v.evicted
উচ্ছেদ করেছে	v.eradicated
উচ্ছ্বলতা	n+f.buoyancy
উচ্ছ্বসিত	a.gushing@a.ecstatic@a.exuberant@a.euphoric
উচ্ছ্বসিত কবিতা	n+f.rhapsody
উচ্ছ্বসিত প্রশংসা করে	vi.raves
উচ্ছ্বসিত হওয়া	v.gush
উচ্ছ্বাস	n+f.euphoria@n+f.effusion@n+f.exuberance
উজ	n+f.ouse
উজবেক	a.uzbek
উজবেকিস্তান	n+m.uzbekistan
উজবেকিস্তানের অধিবাসী	n+m.uzbek
উজানে	ad.upstream
উজানের	a.upstream
উজি	n+m.uzi
উজ্জ্বল	a.bright@a.brilliant@a.vivid@a.shining@a.shiny@a.radiant@a.glowing@a.lucent@a.luminous@a.dazzling@a.incandescent@a.bubbling@a.lustrous@a.dashing@a.beaming@a.flamboyant@a.ablaze@a.resplendent
উজ্জ্বল আলো	n+m.glare@n+m.spotlights
উজ্জ্বল করা	vt.brighten@v.brightening
উজ্জ্বল কলম	n+m.highlighter
উজ্জ্বল মহাজাগতিক বস্তু	n+m.quasars
উজ্জ্বল হওয়া	vi.brighten@vi.lighten
উজ্জ্বল হয়	vi.shines
উজ্জ্বল হয়েছিল	v.shone
উজ্জ্বলতর	a.brighter
উজ্জ্বলতা	n+f.brightness@n+f.brilliance@n+m.radiance@n+m.sheen@n+m.luminosity@n+m.lustre@n+f.luminance@n+f.lightness
উজ্জ্বলভাবে	ad.brightly@ad.brilliantly
উট	n+m.camel@n.camels
উটপাখি	n+m.ostrich
উটাহ	n+m.utah
উটেন	n+m.wooten
উটের পিঠ	n+m.camelback
উটের পিঠের মতো	a.camelback
উট্রেখ্ট	n+m.utrecht
উঠতি বার্তা	n+m.popups
উঠা	v.rise@v.rising@v.risen@v.arose@vt.ascend
উঠান	n+m.yard@n+m.yards@n+f.patio@n+f.courtyard@n+m.patios@n+m.courtyards
উঠানো	v.jacking
উঠেছিল	v.rose@v.boarded
উঠেছে	v.climbed@v.arisen
উডওয়ার্ড	n+m.woodward
উডকক	n+m.woodcock
উডবাইন	n+m.woodbine
উডব্রিজ	n+m.woodbridge
উডরাফ	n+m.woodruff
উডরো	n+m.woodrow
উডল	n+m.udall
উডস্টক	n+m.woodstock
উডহাউস	n+m.wodehouse
উড়নচণ্ডী	n+m.prodigal
উড়ন্ত	a.flying
উড়া	v.fly@v.flying
উড়ান	n+f.flight@n+f.flights@n+m.flying
উড়ানকালীন	a.inflight
উড়ানপূর্ব	a.preflight
উড়ানযোগ্যতা	n+f.airworthiness
উড়ানের আগে	n+m.preflight
উড়ালসেতু	n+m.viaduct@n+m.overpass@n+m.skyway
উড়িয়ে দেয়	vt.blasts
উড়িষ্যা	n+m.orissa
উড়ে	v.flies
উড়ে গিয়েছিল	v.flied
উড়ে গেছে	v.flown
উড়ে যাওয়া	v.flew
উড়ে যায়	v.soars
উড়েছে	v.flown
উড়োজাহাজ	n+m.aeroplane@n+f.aeroplanes
উড়োজাহাজ চলার পথ	n+f.runways
উডার্ড	n+m.woodard
উডি	n+m.woody
উড্ডয়ন	n+m.takeoff
উত্তপ্ত	a.heated@a.fiery@a.steamy@a.torrid
উত্তপ্তভাবে	ad.hotly
উত্তম কাজ করেছে	v.outperformed
উত্তমরূপে	ad.excellently
উত্তর	n+m.north@a+m.north@a+f.north@n+m.reply@n+f.response@n+m.answer@a+m.northern@a+f.northern@n+m.answers@n+m.replies@n+f.responses@n+f.answering@n+m.ans
উত্তর আধুনিক	a.postmodern
উত্তর আধুনিকতাবাদ	n+m.postmodernism
উত্তর আফ্রিকা	n+f.barbary
উত্তর দিকে	ad.northward
উত্তর দিচ্ছে	v.replying
উত্তর দেওয়া	v.reply@v.answer@v.answered@v.replied@v.responded@v.answering
উত্তর দেয়	v.answers@v.replies
উত্তর মেরু	n+m.arctic
উত্তর-পশ্চিম	n+m.northwest@a.northwestern
উত্তর-পশ্চিমী	a.northwest
উত্তর-পূর্ব	n+m.northeast
উত্তর-পূর্বাঞ্চলীয়	a.northeastern
উত্তর-পূর্বী	a.northeast
উত্তরগামী	a.northbound
উত্তরদাতা	n+m.respondents@n+m.respondent@n+m.responder@n+m.answerer
উত্তরদিকে	a.northerly
উত্তরমুখী	a.northward@a.northbound@ad.northerly
উত্তরসূরি	n+m.successor@n+m.descendants
উত্তরসূরিতা	n+f.inheritance
উত্তরহীন	a.unanswered
উত্তরাঞ্চল	n+m.upstate
উত্তরাঞ্চলের	a.boreal
উত্তরাধিকার	n+f.legacy@n+f.inheritance@n+f.succession@n+m.heirloom@n+f.legacies@n+f.heredity@n+f.bequests
উত্তরাধিকার কর	n+m.heriot
উত্তরাধিকার পায়	v.inherits
উত্তরাধিকার সূত্রে পাওয়া	v.inherited
উত্তরাধিকারসূত্রে পাওয়া	vt.inherit@v.inheriting
উত্তরাধিকারসূত্রে প্রাপ্ত	a.inherited@a.hereditary
উত্তরাধিকারিণী	n+f.heiress
উত্তরাধিকারী	n+m.beneficiaries@n+m.beneficiary@n+m.successor@n+m.heirs@n+m.heir@n+m.successors@n+m.descendant
উত্তরাধিকারী বস্তু	n+f.heirlooms
উত্তরাধিকারী হওয়া	v.succeed
উত্তরাধিকারী হয়	vi.succeeds
উত্তরিত	a.answered@a.replied
উত্তরের অধিবাসী	n+m.northerner
উত্তল	a.convex@a.embossed
উত্তল করা	v.camber@v.emboss
উত্তল বক্রতা	n+m.camber
উত্তাপক	n+m.heaters
উত্তাপন	n+m.heating
উত্তাল	a.turbulent@a.stormy@a.tumultuous@a.choppy
উত্তেজক	a.inflammatory@a.stirring@a.provoking@a.provocative@a.stimulant@n+m.agitator@a.racy@a.inciting@a.arousing@n+m.rouser
উত্তেজক ওষুধ	n+m.amphetamine@n+m.uppers
উত্তেজক পদার্থ	n+m.stimulants
উত্তেজক যন্ত্র	n+m.stimulator
উত্তেজনা	n+f.tension@n+f.excitement@n+f.stimulation@n+m.suspense@n+f.flap@n+f.tensions@n+f.excitation@n+m.agitation@n+f.arousal@n+f.provocation@n+f.excitations
উত্তেজনা প্রশমিত করা	v.defuse
উত্তেজনা বাড়া	n+m.escalation
উত্তেজনাকর	a.exhilarating
উত্তেজনাপূর্ণ	a.exciting@a.sensational@a.heady@a.suspenseful
উত্তেজিত	a.excited@a.wired@a.hyper@a.tense@a.stimulated@a.pumped@a.aroused@a.agitated@a.frenzied@a.impassioned@a.feverish
উত্তেজিত করা	vt.stimulate@vt.excite@vt.provoke@v.trolling@vt.rouse@v.arouse@v.vex@v.kindled
উত্তেজিত করা হয়েছে	v.stoked@v.roused
উত্তেজিত করে	v.excites@v.provokes
উত্তেজিত করেছিল	v.provoked@v.hyped
উত্তেজিত বক্তৃতা	n+m.rant@n+m.rants
উত্তেজিতভাবে	ad.excitedly
উত্তোলক	n+f.lever@n+m.raiser@n+m.lifter@n+m.raisers@n+m.lifters
উত্তোলক যন্ত্র	n+m.hoists
উত্তোলন	n+m.withdrawal@n+f.extraction@n+f.lifting@n+m.heave@n+m.hoisting
উত্তোলন করছে	v.elevating
উত্তোলন করা	v.raise@v.raising@v.lifting@vt.elevate@v.hoisted
উত্তোলন করে	v.raises@v.hoists
উত্তোলন যন্ত্র	n+m.hoist@n+m.winches
উত্তোলিত	a.lifted@a.jacked
উত্তোলিত করছে	v.embossing
উত্তোলিত করল	v.uplifted
উত্ত্যক্ত করা	vt.harass
উত্ত্যক্ত করেছিল	v.harassed
উত্ত্যক্তকারী	a.harassing
উত্থান	n+m.rise@n+m.rising@n+f.rises@n+m.erection@n+m.ascension@n+f.ascent@n+m.riser@n+m.uplift@n+m.risers@n+m.upheaval
উত্থান-পতন	n+f.rollercoaster
উত্থানশীল	a.erectile
উত্থাপন	n+m.raising@n+f.erections
উত্থাপনকারী	n+m.raiser
উত্থাপিত	a+m.raised@a+f.raised
উত্থাপিত হয়েছিল	v.reared
উত্থাপিত হয়েছে	v.raised
উত্থিত	a.risen@a.ascended
উত্থিত হয়েছে	v.arisen
উত্যক্ত করছে	v.baiting
উত্যক্ত করা	n+f.harassment@n+m.annoyance
উত্যক্ত করা হয়েছে	v.molested
উত্যক্ত করেছিল	v.teased
উত্যক্তকারী	n+m.teaser
উত্সাহ	n+m.passion
উত্সাহিত করা	v.prompt
উথলে উঠেছিল	v.surged
উথলে ওঠা	v.welling
উথলে ওঠে	vi.surges
উথলে পড়ছে	v.gushing
উদঘাটন	n+f.revelation
উদবিলাই	n+m.beavers
উদযাপন	n+f.celebration@n+f.celebrations@n+f.ceremonies
উদযাপন করা	v.celebrate@v.celebrating@v.celebrated@v.celebrates@vt.commemorate@v.commemorating@v.commemorated
উদযাপন করে	v.commemorates
উদযাপনকারী	n+m.celebrant
উদযাপনমূলক	a.celebratory
উদর	n+f.belly@n+f.tummy@n+m.abdomen@n.bellies
উদর সংক্রান্ত	a.abdominal
উদরাবরণ সংক্রান্ত	a.peritoneal
উদরী	n+m.ascites
উদরীয়	a.ventral
উদার	a.liberal@a.generous@a.tolerant@a.bountiful@a.permissive
উদারতা	n+f.bounty@n+f.generosity@n+f.bounties
উদারনীতি	n+m.liberalism
উদারপন্থী	n+m.liberal@n+m.liberals
উদারবাদ	n+m.liberalism
উদারভাবে	ad.generously@ad.liberally@ad.handsomely
উদারীকরণ	n+f.liberalization@n+m.liberalisation
উদাসীন	a.cavalier@a.insensitive@a.indifferent@a.careless@a.negligent@int.meh@a.apathetic@a.tepid
উদাসীনতা	n+f.indifference@n+m.apathy
উদাহরণ	n+m.example@n+m.examples@n+f.instance@n+f.instances@n+f.illustration@n+f.illustrations
উদাহরণ তৈরি করেছিল	v.instantiated
উদাহরণ দিয়েছিল	v.exemplified
উদাহরণ দেওয়া	v.illustrate@v.exemplify
উদাহরণ দেয়	v.exemplifies
উদিত হচ্ছে	v.dawning
উদিত হয়েছে	v.dawned
উদীয়মান	a.emerging@a.emergent@a.budding@a.ascendant
উদো	n+m.udo
উদ্গার	n+m.emissions
উদ্গীরণ	n+m.gush@n+f.outpouring
উদ্গীরণ করছে	v.spewing
উদ্গীরণ করা	v.spouting
উদ্ঘাটন	n+f.revelations
উদ্ঘাটন করা	vt.elicit@v.eliciting
উদ্ঘাটিত করল	v.elicited
উদ্ঘোষক	n+m.announcer@n+m.announcers
উদ্দাম	a.wanton@a.amok
উদ্দিষ্ট	a+m.intended@a+f.intended
উদ্দীপক	a.inspirational@a.stimulating@n+m.stimuli@a.uplifting@n+m.boosters@a.suggestive@n+m.stimulant@a.evocative@n+m.agonists@n+m.stimulants@n+m.stimulator@a.energizing@a.invigorating@n+m.motivator
উদ্দীপক হরমোন	n+m.adrenaline
উদ্দীপন	n+m.excitation
উদ্দীপনা	n+f.enthusiasm@n+f.stimulation@n+m.pep@n+m.stimulus@n+m.spur@n+m.passions@n+m.verve@n.inspirations@n+m.brio@n+f.excitations
উদ্দীপনামূলক	a.rousing
উদ্দীপিত	a.stirred@v.actuated
উদ্দীপিত করছে	v.triggering
উদ্দীপিত করা	vt.stimulate@v.stimulating@v.triggered@v.stimulated@vt.actuate@v.whet
উদ্দীপিত করা হয়েছে	v.galvanized
উদ্দীপিত করে	vt.stimulates
উদ্দীপিত করেছে	v.galvanised
উদ্দীপ্ত	a.passionate
উদ্দীপ্ত করা	v.trigger@vt.pep@v.energize
উদ্দীপ্ত করে	v.excites
উদ্দেশ্য	n+m.purpose@n+f.mission@n+m.purposes@n+m.objectives@n+m.objective@n+m.intent@n+f.intention@n+f.intentions@n+m.motive@n+m.motives@n+m.motivations@n+m.intents
উদ্দেশ্য করা	v.intend
উদ্দেশ্য করে	v.intends
উদ্দেশ্যপূর্ণভাবে	ad.purposefully
উদ্দেশ্যমূলক	a+m.objective@a+f.objective@a.intentional@a.purposeful
উদ্দেশ্যহীনভাবে	ad.adrift
উদ্দেশ্যে ছিল	v.intended
উদ্ধত	a.arrogant@a.condescending@a.haughty
উদ্ধার	n+m.rescue@n+f.retrieval@n+m.salvage@n+m.deliverance@n.rescues
উদ্ধার করা	v.rescue@vt.salvage@v.rescuing
উদ্ধার করা হয়নি	a.unclaimed
উদ্ধার করে	vt.rescues
উদ্ধার করেছে	v.rescued@v.salvaged
উদ্ধার দড়ি	n+f.lifelines
