the	art+m.der@art+f.die@art+n.das
television	n+n.Fernsehen@n+m.Fernseher
interested	a.interessiert
core	n+m.Kern@n+n.Core
break	n+f.Pause@n+m.Bruch@v.brechen
purposes	n+m.Zwecke
throughout	prep.während@ad.überall
sets	n+m.Sets@n+f.Sätze@v.setzt
dance	n+m.Tanz@v.tanzen
wood	n+n.Holz@n+m.Wald
itself	pron.sich selbst
defined	a.definiert@v.definierte
papers	n+f.Papiere@n+f.Arbeiten
playing	v.spielend@n+n.Spielen
awards	n+f.Auszeichnungen@n+m.Preise
fee	n+f.Gebühr
studio	n+n.Studio
reader	n+m.Leser@n+f.Leserin
virtual	a.virtuell
device	n+n.Gerät
established	a.etabliert@v.gründete
answers	n+f.Antworten@v.antwortet
rent	n+f.Miete@v.mieten
las	n+n.Las
remote	a.entfernt@a+m.abgelegener@a+f.abgelegene@a+n.abgelegenes@n+f.Fernbedienung
dark	a+m.dunkler@a+f.dunkle@a+n.dunkles@n+n.Dunkel
programming	n+f.Programmierung@v.programmierend
external	a.extern@a+m.äußerer@a+f.äußere@a+n.äußeres
apple	n+m.Apfel@n+n.Apple
regarding	prep.bezüglich
instructions	n+f.Anweisungen@n+f.Anleitungen
min	n+f.Min@n+f.Minute
offered	a.angeboten@v.bot an
theory	n+f.Theorie
enjoy	v.genießen
remove	v.entfernen
aid	n+f.Hilfe@n+f.Unterstützung@v.helfen
surface	n+f.Oberfläche
minimum	n+n.Minimum@a.minimal
visual	a.visuell
host	n+m.Gastgeber@n+m.Wirt@n+m.Host@v.hosten
variety	n+f.Vielfalt@n+f.Auswahl
teachers	n+m.Lehrer@n+f.Lehrerinnen
martin	n+m.Martin
manual	n+n.Handbuch@a.manuell
block	n+m.Block@v.blockieren
subjects	n+n.Themen@n+f.Fächer@n+n.Subjekte
agents	n+m.Agenten@n+m.Vertreter
increased	a.erhöht@v.erhöhte
repair	n+f.Reparatur@v.reparieren
fair	a+m.fairer@a+f.faire@a+n.faires@n+f.Messe
civil	a.zivil@a.bürgerlich
steel	n+m.Stahl
understanding	n+n.Verständnis@v.verstehend
songs	n+n.Lieder@n+m.Songs
fixed	a.fest@a.fixiert@v.reparierte
wrong	a+m.falscher@a+f.falsche@a+n.falsches@ad.falsch@n+n.Unrecht
beginning	n+m.Anfang@n+m.Beginn@v.beginnend
hands	n+f.Hände
associates	n+m.Partner@n+m.Mitarbeiter@v.verbindet
finally	ad.endlich@ad.schließlich
updates	n+f.Aktualisierungen@n+n.Updates@v.aktualisiert
desktop	n+m.Desktop@n+m.Schreibtisch
classes	n+f.Klassen@n+m.Kurse
paris	n+n.Paris
ohio	n+n.Ohio
gets	v.bekommt@v.erhält
sector	n+m.Sektor@n+f.Branche
capacity	n+f.Kapazität@n+f.Fähigkeit
requires	v.erfordert@v.benötigt
jersey	n+n.Jersey@n+n.Trikot
fat	n+n.Fett@a+m.dicker@a+f.dicke@a+n.dickes@a+m.fetter@a+f.fette@a+n.fettes
fully	ad.vollständig@ad.voll
father	n+m.Vater
electric	a.elektrisch
saw	n+f.Säge@v.sah
instruments	n+n.Instrumente
quotes	n+f.Zitate@n+m.Kurse@v.zitiert
officer	n+m.Beamter@n+m.Offizier
driver	n+m.Fahrer@n+m.Treiber
businesses	n+n.Unternehmen@n+n.Geschäfte
dead	a.tot@n+m.Tote
respect	n+m.Respekt@n+f.Achtung@v.respektieren
unknown	a.unbekannt
specified	a.angegeben@v.spezifizierte
restaurant	n+n.Restaurant
mike	n+m.Mike@n+n.Mikrofon
trip	n+f.Reise@n+m.Ausflug@n+m.Trip@v.stolpern
worth	n+m.Wert@a.wert
procedures	n+f.Verfahren@n+f.Prozeduren
poor	a+m.armer@a+f.arme@a+n.armes@a+m.schlechter@a+f.schlechte@a+n.schlechtes
teacher	n+m.Lehrer@n+f.Lehrerin
xxx	a.XXX
eyes	n+n.Augen
relationship	n+f.Beziehung
workers	n+m.Arbeiter
farm	n+f.Farm@n+m.Bauernhof
fucking	a.verdammt@v.fickend
georgia	n+n.Georgia@n+n.Georgien
peace	n+m.Frieden@n+f.Ruhe
traditional	a.traditionell
campus	n+m.Campus
tom	n+m.Tom
showing	n+f.Vorführung@v.zeigend
creative	a.kreativ
coast	n+f.Küste
benefit	n+m.Vorteil@n+f.Leistung@v.profitieren
progress	n+m.Fortschritt@v.fortschreiten
funding	n+f.Finanzierung@v.finanzierend
devices	n+n.Geräte
lord	n+m.Herr@n+m.Lord
grant	n+f.Zuschuss@n+m.Stipendium@v.gewähren
sub	n+n.U-Boot@n+m.Ersatz@pref.unter
agree	v.zustimmen@v.einwilligen
fiction	n+f.Fiktion@n+f.Belletristik
hear	v.hören
sometimes	ad.manchmal
watches	n+f.Uhren@v.beobachtet
careers	n+f.Karrieren
beyond	prep.jenseits@ad.darüber hinaus
goes	v.geht
families	n+f.Familien
led	v.führte@n+f.LED
museum	n+n.Museum
themselves	pron.sich selbst
fan	n+m.Fan@n+m.Ventilator@n+m.Lüfter
transport	n+m.Transport@v.transportieren
interesting	a.interessant
blogs	n+m.Blogs
wife	n+f.Ehefrau@n+f.Frau
evaluation	n+f.Bewertung@n+f.Auswertung
accepted	a.akzeptiert@v.akzeptierte
former	a+m.ehemaliger@a+f.ehemalige@a+n.ehemaliges
implementation	n+f.Implementierung@n+f.Umsetzung
ten	n+f.Zehn@a.zehn
hits	n+m.Treffer@n+m.Hits@v.trifft
zone	n+f.Zone
complex	a.komplex@n+m.Komplex
cat	n+f.Katze
galleries	n+f.Galerien
references	n+f.Referenzen@n+m.Verweise
die	v.sterben@n+m.Würfel
presented	a.präsentiert@v.präsentierte
jack	n+m.Jack@n+m.Bube@n+f.Buchse
flat	a+m.flacher@a+f.flache@a+n.flaches@n+f.Wohnung
flow	n+m.Fluss@n+m.Flow@v.fließen
agencies	n+f.Agenturen@n+f.Behörden
literature	n+f.Literatur
respective	a.jeweilig
parent	n+m.Elternteil@n+f.Mutter@n+m.Vater
spanish	a.spanisch@n+n.Spanisch
michigan	n+n.Michigan
columbia	n+n.Kolumbien@n+n.Columbia
setting	n+f.Einstellung@n+n.Setting@v.einstellend
scale	n+f.Skala@n+m.Maßstab@n+f.Waage@v.skalieren
stand	n+m.Stand@n+m.Ständer@v.stehen
economy	n+f.Wirtschaft@n+f.Ökonomie
highest	a+m.höchster@a+f.höchste@a+n.höchstes
helpful	a.hilfreich
monthly	a.monatlich@ad.monatlich
critical	a.kritisch@a.entscheidend
frame	n+m.Rahmen@n+n.Frame@v.rahmen
musical	a.musikalisch@n+n.Musical
definition	n+f.Definition
secretary	n+m.Sekretär@n+f.Sekretärin@n+m.Minister
angeles	n+n.Angeles
networking	n+n.Networking@n+f.Vernetzung
path	n+m.Pfad@n+m.Weg
australian	a.australisch@n+m.Australier
employee	n+m.Angestellter@n+m.Mitarbeiter@n+f.Angestellte
chief	n+m.Chef@n+m.Häuptling@a.Haupt
gives	v.gibt
bottom	n+m.Boden@n+n.Unterteil@a+m.unterer@a+f.untere@a+n.unteres
magazines	n+f.Zeitschriften@n+n.Magazine
packages	n+n.Pakete
detail	n+n.Detail@n+f.Einzelheit
francisco	n+n.Francisco
laws	n+n.Gesetze
changed	a.geändert@v.änderte
pet	n+n.Haustier@v.streicheln
heard	v.hörte
begin	v.beginnen
individuals	n+n.Individuen@n+m.Einzelpersonen
colorado	n+n.Colorado
royal	a.königlich
clean	a+m.sauberer@a+f.saubere@a+n.sauberes@v.reinigen
switch	n+m.Schalter@n+m.Wechsel@v.wechseln@v.umschalten
russian	a.russisch@n+n.Russisch
largest	a+m.größter@a+f.größte@a+n.größtes
african	a.afrikanisch@n+m.Afrikaner
guy	n+m.Kerl@n+m.Typ
titles	n+m.Titel
relevant	a.relevant
guidelines	n+f.Richtlinien
justice	n+f.Gerechtigkeit@n+f.Justiz
connect	v.verbinden@v.anschließen
bible	n+f.Bibel
cup	n+f.Tasse@n+m.Pokal@n+m.Becher
basket	n+m.Korb
applied	a.angewandt@v.bewarb
weekly	a.wöchentlich@ad.wöchentlich
vol	n+m.Band@n+n.Volumen
installation	n+f.Installation
described	a.beschrieben@v.beschrieb
demand	n+f.Nachfrage@n+f.Forderung@v.fordern
suite	n+f.Suite
vegas	n+n.Vegas
square	n+m.Platz@n+n.Quadrat@a+m.quadratischer@a+f.quadratische@a+n.quadratisches
chris	n+m.Chris
attention	n+f.Aufmerksamkeit
advance	n+m.Fortschritt@n+m.Vorschuss@v.vorwärts gehen
skip	v.überspringen@n+m.Sprung
diet	n+f.Diät@n+f.Ernährung
army	n+f.Armee@n+n.Heer
auction	n+f.Auktion@n+f.Versteigerung@v.versteigern
gear	n+n.Getriebe@n+f.Ausrüstung@n+m.Gang
lee	n+m.Lee
difference	n+m.Unterschied@n+f.Differenz
allowed	a.erlaubt@v.erlaubte
correct	a+m.korrekter@a+f.korrekte@a+n.korrektes@v.korrigieren
charles	n+m.Karl
nation	n+f.Nation
selling	n+m.Verkauf@v.verkaufend
lots	n+f.Lose@n+f.Mengen@ad.viele
piece	n+n.Stück@n+m.Teil
sheet	n+n.Blatt@n+f.Tabelle@n+n.Laken
firm	n+f.Firma@a+m.fester@a+f.feste@a+n.festes
seven	n+f.Sieben@a.sieben
older	a+m.älterer@a+f.ältere@a+n.älteres
illinois	n+n.Illinois
regulations	n+f.Vorschriften@n+f.Regelungen
elements	n+n.Elemente
species	n+f.Art@n+f.Spezies
jump	n+m.Sprung@v.springen
cells	n+f.Zellen
module	n+n.Modul
resort	n+m.Ferienort@n+n.Resort@v.greifen zu
facility	n+f.Einrichtung@n+f.Anlage
random	a.zufällig
pricing	n+f.Preisgestaltung
certificate	n+n.Zertifikat@n+f.Bescheinigung
minister	n+m.Minister@n+f.Ministerin
motion	n+f.Bewegung@n+m.Antrag
looks	n+m.Aussehen@v.schaut
fashion	n+f.Mode
directions	n+f.Richtungen@n+f.Wegbeschreibung
visitors	n+m.Besucher
documentation	n+f.Dokumentation
monitor	n+m.Monitor@v.überwachen
trading	n+m.Handel@v.handelnd
forest	n+m.Wald@n+m.Forst
calls	n+m.Anrufe@v.ruft
whose	pron.dessen@pron.deren
coverage	n+f.Abdeckung@n+f.Berichterstattung
couple	n+n.Paar@v.koppeln
giving	v.gebend
chance	n+f.Chance@n+f.Gelegenheit
vision	n+f.Vision@n+n.Sehvermögen
ball	n+m.Ball@n+m.Kugel
ending	n+n.Ende@n+f.Endung@v.endend
clients	n+m.Kunden@n+m.Klienten
actions	n+f.Aktionen@n+f.Handlungen
listen	v.hören@v.zuhören
discuss	v.diskutieren@v.besprechen
accept	v.akzeptieren@v.annehmen
automotive	a.Automobil@a.Kraftfahrzeug
naked	a.nackt
goal	n+n.Ziel@n+n.Tor
successful	a.erfolgreich
sold	a.verkauft@v.verkaufte
wind	n+m.Wind@v.wickeln
communities	n+f.Gemeinschaften@n+f.Communities
clinical	a.klinisch
situation	n+f.Situation@n+f.Lage
sciences	n+f.Wissenschaften
markets	n+m.Märkte
lowest	a+m.niedrigster@a+f.niedrigste@a+n.niedrigstes
highly	ad.hoch@ad.sehr
publishing	n+n.Verlagswesen@v.veröffentlichend
appear	v.erscheinen@v.auftreten
emergency	n+m.Notfall@n+f.Notlage
developing	a.entwickelnd@v.entwickelnd
lives	n+n.Leben@v.lebt
currency	n+f.Währung
leather	n+n.Leder@a.Leder
determine	v.bestimmen@v.feststellen
milf	n+f.MILF
temperature	n+f.Temperatur
palm	n+f.Handfläche@n+f.Palme
announcements	n+f.Ankündigungen@n+f.Bekanntmachungen
patient	n+m.Patient@n+f.Patientin@a.geduldig
actual	a.tatsächlich@a+m.eigentlicher@a+f.eigentliche@a+n.eigentliches
historical	a.historisch
stone	n+m.Stein
bob	n+m.Bob
commerce	n+m.Handel@n+f.Wirtschaft
ringtones	n+m.Klingeltöne
perhaps	ad.vielleicht@ad.möglicherweise
persons	n+f.Personen
difficult	a.schwierig@a+m.schwieriger@a+f.schwierige@a+n.schwieriges
scientific	a.wissenschaftlich
satellite	n+m.Satellit
fit	a+m.fitter@a+f.fitte@a+n.fittes@v.passen@n+f.Passform
tests	n+m.Tests@n+f.Prüfungen@v.testet
village	n+n.Dorf
accounts	n+n.Konten@n+f.Berichte
amateur	n+m.Amateur@a.Amateur
met	v.traf
pain	n+m.Schmerz@n+f.Pein
particularly	ad.besonders@ad.insbesondere
factors	n+m.Faktoren
coffee	n+m.Kaffee
settings	n+f.Einstellungen
cum	n+n.Sperma@v.abspritzen
buyer	n+m.Käufer@n+f.Käuferin
cultural	a.kulturell
steve	n+m.Steve
easily	ad.leicht@ad.einfach
oral	a.mündlich@a.oral
ford	n+m.Ford@n+f.Furt
poster	n+n.Poster@n+n.Plakat
edge	n+f.Kante@n+m.Rand
functional	a.funktional@a.funktionsfähig
root	n+f.Wurzel@n+m.Root
closed	a.geschlossen@v.schloss
holidays	n+m.Feiertage@n+f.Ferien
ice	n+n.Eis
pink	a+m.rosafarbener@a+f.rosafarbene@a+n.rosafarbenes@n+n.Rosa
zealand	n+n.Neuseeland
balance	n+f.Balance@n+n.Gleichgewicht@n+m.Saldo@v.balancieren
monitoring	n+f.Überwachung@v.überwachend
graduate	n+m.Absolvent@n+f.Absolventin@v.abschließen
replies	n+f.Antworten@v.antwortet
shot	n+m.Schuss@n+f.Aufnahme
architecture	n+f.Architektur
initial	a+m.anfänglicher@a+f.anfängliche@a+n.anfängliches@n+f.Initiale
label	n+n.Etikett@n+n.Label@v.beschriften
thinking	n+n.Denken@v.denkend
scott	n+m.Scott
sec	n+f.Sekunde
recommend	v.empfehlen
canon	n+m.Kanon@n+n.Canon
hardcore	a.hardcore@n+m.Hardcore
league	n+f.Liga
waste	n+m.Abfall@n+f.Verschwendung@v.verschwenden
minute	n+f.Minute@a.winzig
bus	n+m.Bus
provider	n+m.Anbieter@n+m.Provider
optional	a.optional@a.wahlweise
dictionary	n+n.Wörterbuch
cold	a+m.kalter@a+f.kalte@a+n.kaltes@n+f.Kälte@n+f.Erkältung
accounting	n+f.Buchhaltung@n+n.Rechnungswesen
manufacturing	n+f.Herstellung@n+f.Fertigung@v.herstellend
sections	n+f.Abschnitte@n+f.Sektionen
chair	n+m.Stuhl@n+m.Vorsitz
fishing	n+n.Angeln@n+m.Fischfang@v.angelnd
effort	n+f.Anstrengung@n+f.Mühe@n+m.Aufwand
phase	n+f.Phase
fields	n+n.Felder@n+m.Bereiche
bag	n+f.Tasche@n+m.Beutel@n+f.Tüte
fantasy	n+f.Fantasie
letters	n+m.Briefe@n+m.Buchstaben
motor	n+m.Motor
professor	n+m.Professor@n+f.Professorin
context	n+m.Kontext@n+m.Zusammenhang
install	v.installieren
shirt	n+n.Hemd@n+n.Shirt
apparel	n+f.Kleidung@n+f.Bekleidung
generally	ad.im Allgemeinen@ad.generell
continued	a.fortgesetzt@v.setzte fort
foot	n+m.Fuß
mass	n+f.Masse@n+f.Messe
crime	n+n.Verbrechen@n+f.Kriminalität
count	n+f.Zählung@n+m.Graf@v.zählen
breast	n+f.Brust
techniques	n+f.Techniken
johnson	n+m.Johnson
quickly	ad.schnell
dollars	n+m.Dollar
websites	n+f.Webseiten
religion	n+f.Religion
claim	n+f.Behauptung@n+m.Anspruch@v.behaupten
driving	n+n.Fahren@v.fahrend
permission	n+f.Erlaubnis@n+f.Genehmigung
surgery	n+f.Chirurgie@n+f.Operation
patch	n+n.Pflaster@n+m.Patch@v.flicken
heat	n+f.Hitze@n+f.Wärme@v.heizen
wild	a+m.wilder@a+f.wilde@a+n.wildes
measures	n+f.Maßnahmen@v.misst
generation	n+f.Generation
kansas	n+n.Kansas
miss	v.vermissen@v.verpassen@n+f.Fräulein
chemical	a.chemisch@n+f.Chemikalie
doctor	n+m.Arzt@n+f.Ärztin@n+m.Doktor
task	n+f.Aufgabe
reduce	v.reduzieren@v.verringern
brought	v.brachte
himself	pron.sich selbst
nor	conj.noch@conj.weder
component	n+f.Komponente@n+m.Bestandteil
enable	v.ermöglichen@v.aktivieren
exercise	n+f.Übung@n+m.Sport@v.trainieren
bug	n+m.Fehler@n+m.Bug@n+f.Wanze
santa	n+m.Weihnachtsmann@n+f.Santa
mid	a.mittel@pref.mitte
guarantee	n+f.Garantie@v.garantieren
leader	n+m.Anführer@n+m.Leiter@n+f.Anführerin
diamond	n+m.Diamant
israel	n+n.Israel
processes	n+m.Prozesse@v.verarbeitet
soft	a+m.weicher@a+f.weiche@a+n.weiches
servers	n+m.Server
alone	ad.allein@a.allein
meetings	n+n.Treffen@n+f.Besprechungen
seconds	n+f.Sekunden
jones	n+m.Jones
arizona	n+n.Arizona
keyword	n+n.Schlüsselwort@n+n.Stichwort
interests	n+f.Interessen@v.interessiert
flight	n+m.Flug@n+f.Flucht
congress	n+m.Kongress
fuel	n+m.Treibstoff@n+n.Benzin@v.betanken
username	n+m.Benutzername
walk	n+m.Spaziergang@v.gehen@v.spazieren
fuck	v.ficken@n+m.Fick
produced	a.produziert@v.produzierte
italian	a.italienisch@n+n.Italienisch
paperback	n+n.Taschenbuch
classifieds	n+f.Kleinanzeigen
wait	v.warten@n+f.Wartezeit
supported	a.unterstützt@v.unterstützte
pocket	n+f.Tasche
saint	n+m.Heiliger@n+f.Heilige
rose	n+f.Rose@v.erhob
freedom	n+f.Freiheit
argument	n+n.Argument@n+m.Streit
competition	n+m.Wettbewerb@n+f.Konkurrenz
creating	v.erstellend@v.erschaffend
jim	n+m.Jim
drugs	n+f.Drogen@n+n.Medikamente
joint	n+n.Gelenk@n+m.Joint@a.gemeinsam
premium	n+f.Prämie@a.Premium
providers	n+m.Anbieter
fresh	a+m.frischer@a+f.frische@a+n.frisches
characters	n+m.Charaktere@n+n.Zeichen
attorney	n+m.Anwalt@n+f.Anwältin
upgrade	n+n.Upgrade@n+f.Aufrüstung@v.aufrüsten
factor	n+m.Faktor
growing	a.wachsend@v.wachsend
thousands	n+f.Tausende
stream	n+m.Strom@n+m.Bach@v.streamen
apartments	n+f.Wohnungen
pick	v.pflücken@v.auswählen@n+f.Auswahl
hearing	n+f.Anhörung@n+n.Gehör@v.hörend
eastern	a+m.östlicher@a+f.östliche@a+n.östliches
auctions	n+f.Auktionen
therapy	n+f.Therapie
entries	n+m.Einträge
dates	n+n.Daten@n+f.Verabredungen
generated	a.generiert@v.generierte
signed	a.unterschrieben@v.unterschrieb
upper	a+m.oberer@a+f.obere@a+n.oberes
administrative	a.administrativ@a.verwaltend
serious	a.ernst@a+m.ernsthafter@a+f.ernsthafte@a+n.ernsthaftes
prime	a.prim@a+m.erster@a+f.erste@a+n.erstes@n+f.Blüte
samsung	n+n.Samsung
limit	n+n.Limit@n+f.Grenze@v.begrenzen
began	v.begann
louis	n+m.Louis
steps	n+m.Schritte@n+f.Stufen
errors	n+m.Fehler
shops	n+m.Läden@n+n.Geschäfte
bondage	n+f.Fesselung@n+f.Knechtschaft
del	n+m.Del
efforts	n+f.Bemühungen@n+f.Anstrengungen
informed	a.informiert@v.informierte
thoughts	n+m.Gedanken
creek	n+m.Bach
worked	v.arbeitete@a.gearbeitet
quantity	n+f.Menge@n+f.Quantität
urban	a.städtisch@a.urban
practices	n+f.Praktiken@v.praktiziert
sorted	a.sortiert@v.sortierte
reporting	n+f.Berichterstattung@v.berichtend
essential	a.wesentlich@a.notwendig
myself	pron.mich selbst
tours	n+f.Touren@n+f.Rundfahrten
platform	n+f.Plattform
load	n+f.Last@n+f.Ladung@v.laden
affiliate	n+m.Partner@v.angliedern
immediately	ad.sofort@ad.unmittelbar
admin	n+m.Admin@n+m.Administrator
nursing	n+f.Krankenpflege@v.pflegend
machines	n+f.Maschinen
designated	a.bezeichnet@v.bezeichnete
tags	n+m.Tags@n+f.Etiketten
heavy	a+m.schwerer@a+f.schwere@a+n.schweres
covered	a.bedeckt@v.bedeckte
recovery	n+f.Erholung@n+f.Wiederherstellung
joe	n+m.Joe
guys	n+m.Kerle@n+m.Typen
integrated	a.integriert@v.integrierte
configuration	n+f.Konfiguration
cock	n+m.Schwanz@n+m.Hahn
merchant	n+m.Händler@n+m.Kaufmann
comprehensive	a.umfassend@a.umfangreich
expert	n+m.Experte@n+f.Expertin@a.Experten
universal	a.universal@a.allgemein
protect	v.schützen
drop	n+m.Tropfen@n+m.Fall@v.fallen lassen
solid	a+m.solider@a+f.solide@a+n.solides@a+m.fester@a+f.feste@a+n.festes
presentation	n+f.Präsentation@n+f.Vorstellung
languages	n+f.Sprachen
became	v.wurde
orange	n+f.Orange@a+m.orangefarbener@a+f.orangefarbene@a+n.orangefarbenes
compliance	n+f.Compliance@n+f.Einhaltung
vehicles	n+n.Fahrzeuge
prevent	v.verhindern@v.vorbeugen
theme	n+n.Thema@n+n.Motiv
rich	a+m.reicher@a+f.reiche@a+n.reiches
campaign	n+f.Kampagne@n+m.Feldzug
marine	a.Meeres@a.marin@n+m.Marinesoldat
improvement	n+f.Verbesserung
guitar	n+f.Gitarre
finding	n+f.Erkenntnis@n+m.Fund@v.findend
pennsylvania	n+n.Pennsylvania
examples	n+n.Beispiele
ipod	n+m.iPod
saying	n+n.Sprichwort@v.sagend
spirit	n+m.Geist@n+f.Stimmung
claims	n+f.Ansprüche@n+f.Behauptungen@v.behauptet
porno	n+m.Porno
challenge	n+f.Herausforderung@v.herausfordern
motorola	n+n.Motorola
acceptance	n+f.Akzeptanz@n+f.Annahme
strategies	n+f.Strategien
seem	v.scheinen
affairs	n+f.Angelegenheiten@n+f.Affären
touch	n+f.Berührung@v.berühren
intended	a.beabsichtigt@v.beabsichtigte
towards	prep.in Richtung@prep.gegenüber
goals	n+n.Ziele@n+n.Tore
hire	v.einstellen@v.mieten@n+f.Einstellung
election	n+f.Wahl
suggest	v.vorschlagen@v.empfehlen
branch	n+m.Zweig@n+f.Filiale@n+f.Abteilung
charges	n+f.Gebühren@n+f.Anklagen@v.berechnet
serve	v.dienen@v.servieren
affiliates	n+m.Partner@n+f.Tochtergesellschaften
reasons	n+m.Gründe
magic	n+f.Magie@n+m.Zauber@a.magisch
mount	n+m.Berg@n+f.Halterung@v.montieren@v.besteigen
smart	a+m.intelligenter@a+f.intelligente@a+n.intelligentes@a+m.schlauer@a+f.schlaue@a+n.schlaues
talking	v.sprechend@n+n.Reden
gave	v.gab
ones	pron.welche@n+f.Einsen
latin	a.lateinisch@n+n.Latein
multimedia	n+n.Multimedia
tits	n+f.Titten
avoid	v.vermeiden
certified	a.zertifiziert@v.zertifizierte
manage	v.verwalten@v.schaffen
corner	n+f.Ecke
rank	n+m.Rang@v.rangieren
computing	n+f.Informatik@v.berechnend
oregon	n+n.Oregon
element	n+n.Element
birth	n+f.Geburt
virus	n+m.Virus@n+n.Virus
abuse	n+m.Missbrauch@v.missbrauchen
interactive	a.interaktiv
requests	n+f.Anfragen@v.fordert an
separate	a.getrennt@a.separat@v.trennen
quarter	n+n.Viertel@n+n.Quartal
procedure	n+n.Verfahren@n+f.Prozedur
leadership	n+f.Führung@n+f.Leitung
tables	n+m.Tische@n+f.Tabellen
define	v.definieren
racing	n+n.Rennen@v.rennend
religious	a.religiös
facts	n+f.Fakten@n+f.Tatsachen
breakfast	n+n.Frühstück
kong	n+n.Kong
column	n+f.Spalte@n+f.Säule
plants	n+f.Pflanzen@n+n.Werke
faith	n+m.Glaube@n+n.Vertrauen
chain	n+f.Kette
developer	n+m.Entwickler@n+f.Entwicklerin
identify	v.identifizieren
avenue	n+f.Allee@n+f.Avenue
missing	a.fehlend@a.vermisst
died	v.starb
approximately	ad.ungefähr@ad.etwa
domestic	a.häuslich@a.inländisch
sitemap	n+f.Sitemap
recommendations	n+f.Empfehlungen
moved	v.bewegte@v.zog um
houston	n+n.Houston
reach	v.erreichen@n+f.Reichweite
comparison	n+m.Vergleich
mental	a.mental@a.geistig
viewed	v.betrachtete@a.betrachtet
moment	n+m.Moment@n+m.Augenblick
extended	a.erweitert@v.erweiterte
sequence	n+f.Sequenz@n+f.Reihenfolge
inch	n+m.Zoll
attack	n+m.Angriff@n+f.Attacke@v.angreifen
sorry	a.leid@int.entschuldigung
opening	n+f.Öffnung@n+f.Eröffnung@v.öffnend
damage	n+m.Schaden@v.beschädigen
lab	n+n.Labor
reserve	n+f.Reserve@n+n.Reservat@v.reservieren
recipes	n+n.Rezepte
gamma	n+n.Gamma
plastic	n+n.Plastik@n+m.Kunststoff@a.Plastik
produce	v.produzieren@v.herstellen@n+n.Erzeugnis
snow	n+m.Schnee@v.schneien
placed	v.platzierte@a.platziert
truth	n+f.Wahrheit
counter	n+m.Zähler@n+m.Tresen@n+f.Theke@v.entgegenwirken
failure	n+m.Versagen@n+m.Misserfolg@n+f.Panne
follows	v.folgt
weekend	n+n.Wochenende
dollar	n+m.Dollar
camp	n+n.Lager@n+n.Camp@v.campen
ontario	n+n.Ontario
automatically	ad.automatisch
minnesota	n+n.Minnesota
films	n+m.Filme
bridge	n+f.Brücke
native	a.einheimisch@a+m.gebürtiger@a+f.gebürtige@a+n.gebürtiges@n+m.Einheimischer
fill	v.füllen@n+f.Füllung
williams	n+m.Williams
movement	n+f.Bewegung
printing	n+m.Druck@v.druckend
baseball	n+m.Baseball
owned	a.besessen@v.besaß
approval	n+f.Genehmigung@n+f.Zustimmung
draft	n+m.Entwurf@n+m.Zug@v.entwerfen
chart	n+f.Tabelle@n+n.Diagramm@n+f.Karte
played	v.spielte
contacts	n+m.Kontakte
jesus	n+m.Jesus
readers	n+m.Leser
clubs	n+m.Clubs@n+m.Vereine
jackson	n+m.Jackson
equal	a.gleich@v.gleichen
adventure	n+n.Abenteuer
matching	a.passend@v.passend
offering	n+n.Angebot@v.anbietend
shirts	n+n.Hemden@n+n.Shirts
profit	n+m.Gewinn@n+m.Profit@v.profitieren
leaders	n+m.Anführer@n+m.Leiter
posters	n+n.Poster@n+n.Plakate
institutions	n+f.Institutionen@n+f.Einrichtungen
assistant	n+m.Assistent@n+f.Assistentin@a.Assistenz
variable	n+f.Variable@a.variabel
ave	n+f.Allee
advertisement	n+f.Werbung@n+f.Anzeige
expect	v.erwarten
parking	n+n.Parken@n+m.Parkplatz
headlines	n+f.Schlagzeilen
yesterday	ad.gestern@n+m.gestern
compared	v.verglich@a.verglichen
determined	a.entschlossen@v.bestimmte
wholesale	n+m.Großhandel@a.Großhandels
workshop	n+f.Werkstatt@n+m.Workshop
russia	n+n.Russland
gone	a.gegangen@v.gegangen
codes	n+m.Codes
kinds	n+f.Arten@n+f.Sorten
extension	n+f.Erweiterung@n+f.Verlängerung
seattle	n+n.Seattle
statements	n+f.Aussagen@n+f.Erklärungen
golden	a+m.goldener@a+f.goldene@a+n.goldenes
completely	ad.vollständig@ad.völlig
teams	n+n.Teams@n+f.Mannschaften
fort	n+n.Fort@n+f.Festung
lighting	n+f.Beleuchtung
senate	n+m.Senat
forces	n+f.Kräfte@n+f.Streitkräfte@v.zwingt
funny	a+m.lustiger@a+f.lustige@a+n.lustiges@a+m.komischer@a+f.komische@a+n.komisches
brother	n+m.Bruder
gene	n+n.Gen
turned	v.drehte@v.wandte
portable	a.tragbar@a.portabel
tried	v.versuchte@a.erprobt
electrical	a.elektrisch
applicable	a.anwendbar@a.zutreffend
disc	n+f.Scheibe@n+f.CD
returned	v.kehrte zurück@a.zurückgekehrt
pattern	n+n.Muster@n+f.Vorlage
boat	n+n.Boot
named	v.nannte@a.genannt
theatre	n+n.Theater
laser	n+m.Laser
earlier	ad.früher@a+m.früherer@a+f.frühere@a+n.früheres
manufacturers	n+m.Hersteller
sponsor	n+m.Sponsor@v.sponsern
classical	a.klassisch
icon	n+n.Symbol@n+f.Ikone@n+n.Icon
warranty	n+f.Garantie@n+f.Gewährleistung
dedicated	a.gewidmet@a.engagiert
indiana	n+n.Indiana
direction	n+f.Richtung@n+f.Leitung
harry	n+m.Harry
basketball	n+m.Basketball
