29	n.xxix
خراب ہونا	v.malfunction@v.deteriorated@v.deteriorating@v.worsened@vi.malfunctions@v.worsens
خرابی	n+f.fault@n+f.disorder@n+f.breakdown@n+f.impairment@n+f.dysfunction@n+f.deterioration@n+f.glitch@n+f.malfunction
خرابی دور کرنا	v.troubleshoot
خرابی کا تدارک	n+f.troubleshooting
خرابی ہونا	v.malfunctioning
خرابیاں	n+m.bugs@n+f.impairments@n+f.glitches@n+f.breakdowns@n+f.malfunctions
خراج	n+f.tribute
خراج تحسین	n+m.tribute@n+f.tributes
خراد	n+f.lathe
خراد مشینیں	n+f.lathes
خراد کار	n+m.turners
خراش	n+f.scratch@n+m.scrapes
خراشیدہ	a.scratched
خراشیں	n+f.scratches
خرافات	n+m.myths
خراٹے	n+m.snoring@n+m.snore
خراٹے لینا	v.snore
خربوزہ	n+m.melon
خربوزے	n+m.melons
خرد برقی	a.microelectronic
خرد حیاتیات	n+f.microbiology
خرد حیاتیاتی	a.microbiological
خرد ساخت	n+f.microstructure
خرد مرد	n+f.trinket
خرد معاشی	a.microeconomic
خرد معاشیات	n+f.microeconomics
خردنامے	n+m.microorganisms
خرطوم	n+m.khartoum
خرچ	n+m.spending@n+m.expense@n+m.expenditure@n+m.outlay
خرچ شدہ	a.spent
خرچ کر رہا ہے	v.spending
خرچ کرتا ہے	v.spends
خرچ کرنا	v.spend@v.expend
خرچ کیا	v.spent@v.expended
خرگوش	n+m.rabbit@n+m.bunny@n+m.rabbits@n+m.hare@n+m.bunnies@n+m.coney@n+m.hares
خرگوش کا پنجرہ	n+f.hutches
خرید رہا ہے	v.buying@v.purchasing
خریدا	v.bought@v.purchased
خریدا ہوا	a.purchased
خریدار	n+m.buyer@n+m.buyers@n+m.shoppers@n+m.shopper@n+m.purchaser@n+m.purchasers
خریداری	n+f.shopping@n+f.purchase@n+f.buying@n+f.purchasing@n+f.purchases@n+m.procurement@n+f.buys@n+m.buyout
خریداری کرنا	v.shop@v.shopped@v.subscribes
خریدتا ہے	v.purchases@v.buys
خریدنا	v.buy@v.purchase@v.acquire
خزانچی	n+m.treasurer@n+m.bursar@n+m.treasurers
خزانہ	n+m.treasury@n+f.repository@n+m.treasure@n+m.trove@n+m.exchequer@n+m.treas
خزانے	n+m.treasures@n+m.coffers@n+f.treasuries
خزاں	n+m.fall@n+f.autumn
خسارہ	n+m.deficit
خسارے	n+m.losses@n+m.deficits
خستہ حال	a.rundown
خسرہ	n+f.measles
خشک	a+m.dry@a+f.dry@a.dried@a.arid@a.brut
خشک دیوار	n+m.drywall
خشک سالی	n+f.drought@n+f.droughts
خشک ندی	n+m.arroyo
خشک پودوں کا مجموعہ	n+m.herbarium
خشک کرنا	v.dry@v.drying
خشک کرنے کا کاغذ	n+m.blotter
خشک گوشت	n+m.jerky
خشکی	n+f.drying@n+f.dryness
خشکی پل	n+m.isthmus
خصلتیں	n+f.traits
خصوصی	a.special@a.exclusive@n+m.specials@n+m.exclusives
خصوصیات	n+f.features@n+f.properties@n+f.characteristics@n+f.specialities@n+f.peculiarities
خصوصیات بیان کرنا	v.characterizing@v.characterise
خصوصیات بیان کیں	v.characterized
خصوصیت	n+f.feature@n+f.characteristic@n+f.characterization@n+f.speciality@n+f.trait@n+f.exclusivity
خصوصیت بیان کرتا ہے	vt.characterizes
خصوصیت بیان کرنا	v.characterize
خصوصیت بیان کی	v.characterised
خصی	a.neutered
خصی بھیڑ	n+m.wether
خصی کرنا	v.geld@vt.neuter@n+m.castration
خصی گھوڑا	n+m.gelding
خصیہ	n+m.testis@n+m.testicle
خصیہ کی تھیلی	n+f.scrotum
خصیے	n+m.testes
خط	n+m.letter@n+f.underline
خط استوا	n+m.equator
خط ربط	n+m.hyphen
خط و کتابت	n+f.correspondence@n+f.correspondences
خط و کتابت کرتا ہے	v.corresponds
خط و کتابت کرتے ہوئے	v.corresponding
خط و کتابت کرنا	v.correspond@v.corresponded
خط ڈبہ	n+m.letterbox
خط کشیدہ کرنا	v.underline
خطاب کرتا ہے	v.addresses
خطاب کرنا	v.address@v.addressing
خطاب کیا	v.addressed
خطابت	n+f.oratory
خطاطی	n+f.fonts@n+f.calligraphy
خطبے	n+m.sermons
خطرات	n+m.risks@n+m.threats@n+m.hazards@n+m.dangers@n+f.pitfalls@n+m.perils
خطرناک	a.dangerous@a.hazardous@a.risky@a.alarming@a.perilous
خطرناک صورتحال	n+f.tinderbox
خطرناک طور پر	ad.dangerously
خطرناک مواد	n+m.hazmat
خطرہ	n+m.risk@n+m.threat@n+m.danger@n+m.vulnerability@n+m.hazard@n+m.menace@n+f.jeopardy@n+m.peril@n+m.pitfall
خطرہ مول لیا	v.risked
خطرہ مول لینا	v.risk@v.venturing
خطرے میں	a.vulnerable@a.threatened
خطرے میں ڈالنا	v.hazard@v.endanger@v.risking@vt.jeopardize@v.endangering
خطوط	n+m.letters@n+f.epistles
خطہ	n+f.region
خطی طور پر	ad.linearly
خطیت	n+f.linearity
خفیہ	a.secret@a.confidential@a.occult@a.undercover@a.backdoor@a.clandestine
خفیہ اجلاس	n+m.conclave
خفیہ انداز	n+m.stealth
خفیہ تحریر	n+f.cypher
خفیہ جگہ	n+f.caches
خفیہ سے ہٹایا	v.declassified
خفیہ طور پر	ad.confidentially
خفیہ لکھائی	n+f.ciphers
خفیہ لکھنا	v.cipher
خفیہ معلومات	n+f.intelligence
خفیہ نگاری	n+f.cryptography
خفیہ نگاری کا	a.cryptographic
خفیہ کاری	n+f.encryption
خفیہ کرتا ہے	vt.encrypts
خفیہ کردہ	a.encrypted
خفیہ کرنا	v.encrypt@v.encrypting
خفیہ کوڈ	n+m.cipher
خفیہ کیا	v.encrypted
خلا	n+f.space@n+m.void@n+f.gap@n+m.spaces@n+m.vacuum@n+m.gulf@n+f.gaps@n+m.vacuums@n+f.lacuna
خلا باز	n+m.astronauts
خلائی جہاز	n+m.spacecraft@n+f.spaceship
خلائی علم	n+f.astronautics
خلائی مخلوق	n+m.aliens
خلائی پرواز	n+f.spaceflight
خلاباز	n+m.astronaut
خلاصاتی	a.synoptic
خلاصہ	n+m.summary@n+m.abstract@n+m.brief@n+m.digest@n+m.synopsis@n+m.essence@a.outlined@n+m.briefing@n+m.resumes@n+m.roundup@n+m.recap@n+m.compendium@n+m.rundown@n+m.gist@n+f.summa@n+m.epitome
خلاصہ بندی	n+f.summarization
خلاصہ نکالنا	v.abstracting
خلاصہ کرنا	v.recap@v.summarize@v.summarizes@v.summarizing@v.summarised@vt.recaps@vt.summarise@v.summarises
خلاصہ کیا	v.summarized@v.summed
خلاصے	n+m.abstracts@n+f.summaries@n+m.digests@n+f.synopses@n+f.recaps
خلاف	prep.contra
خلاف ورزی	n+f.violation@n+f.breach@n+f.infringement@n+f.breaches@n+f.contravention@n+f.infraction@n+f.transgression
خلاف ورزی کرتا ہے	vt.infringes
خلاف ورزی کرنا	v.violate@v.violates@v.violating@v.breaches@v.infringe@v.infringing@v.breached@v.breaching
خلاف ورزی کرنے والا	n+m.violator
خلاف ورزی کرنے والے	n+m.violators
خلاف ورزی کی	v.violated@v.infringed
خلاف ورزیاں	n+f.violations@n+f.infringements@n+f.infractions
خلل	n+f.disturbance@n+f.disruption@n+f.disturbances
خلل شدہ	a.disrupted
خلل ڈالا	v.disrupted
خلل ڈالتا ہے	vt.disrupts
خلل ڈالنا	v.disrupt@v.disrupting
خلل ڈالنے والا	a.disruptive@a.perturbative
خلوت	n+f.privacy
خلوت خانہ	n+m.hermitage
خلوص	n+f.sincerity
خلوص سے	ad.sincerely@ad.cordially
خلوص والا	a.heartfelt
خلوی	a.epithelial
خلیات	n+f.cytology
خلیج	n+f.bay@n+f.gulf@n+f.cove@n+f.inlet@n+m.frith@n+m.fjord@n+f.coves@n+f.bight
خلیجیں	n+f.bays
خلیفہ	n+m.calif@n+m.caliph
خلیوں کے درمیان	a.intercellular
خلیہ	n+m.cell
خلیہ تقسیم	n+f.mitosis
خلیہ مار	a.cytotoxic
خلیہ موت کا	a.apoptotic
خلیے	n+m.cells
خلیے سے باہر	a.extracellular
خلیے سے چھوٹا	a.subcellular
خلیے کے اندر	a.intracellular
خم	n+f.curves
خمار	n+m.hangover
خمدار	a.curved@a.curvy
خمیدگی	n+f.camber
خمیر	n+f.yeast@n+m.khmer@n+m.barm@n+m.yeasts@n+m.ferment
خمیر اٹھانا	v.fermented@v.ferment
خمیر اٹھنا	n+f.fermentation
خمیر شدہ	a.fermented
خمیری آٹا	n+m.sourdough
خمیریات	n+f.enzymology
خمینی	n+m.khomeini
خناق	n+f.diphtheria
خنجر	n+m.dirk@n+m.dagger@n+f.daggers@n+m.stiletto
خندق	n+f.trench@n+f.moat@n+f.fosse
خندقیں	n+f.trenches
خنزیر کا	a.porcine
خواب	n+m.dream@n+m.dreams
خواب دیکھا	v.dreamed
خواب دیکھتا ہے	v.dreams
خواب دیکھنا	v.dream@v.dreaming@n+f.dreaming@v.dreamt
خواب دیکھنے والا	n+m.dreamer
خواب دیکھنے والے	n+m.dreamers
خوابوں کی سرزمین	n+f.dreamland
خواتین	n+f.women@n+f.ladies@n+f.females@n+f.frauen@n+f.dames
خواتین کا زیر جامہ	n+f.lingerie
خواجہ سرا	n+m.transvestites
خوارز	n+m.juarez
خوان	n+m.juan
خواندگی	n+f.literacy
خواہش	n+f.wish@n+f.desire@n+f.urge@n+f.ambition@n+f.aspiration
خواہش مند	a.desirous
خواہش کرنا	v.wish@v.desire@v.wishing@v.aspire@v.desiring
خواہش کی	v.wished
خواہش کی ہڈی	n+f.wishbone
خواہشات	n+f.wants@n+f.wishes@n+f.desires@n+f.ambitions
خواہشمند	a.wanting
خوبانی	n+m.apricot@n+m.apricots
خوبصورت	a.beautiful@a.pretty@a.cute@a.lovely@a.elegant@a.stylish@a.gorgeous@a.scenic@a.handsome@n+m.cutie@a.sleek@n+m.hottie@a.picturesque@a.bonny@a.mignon@a.bijou
خوبصورت بنانا	v.beautify
خوبصورت جسم والا	a.shapely
خوبصورت عورت	n+f.belle
خوبصورت لوگ	n+f.hotties
خوبصورت مرد	n+m.hunks
خوبصورت نوجوان	n+m.adonis
خوبصورتی	n+f.beauty
خوبصورتی سے	ad.beautifully@ad.elegantly@ad.tastefully@ad.handsomely
خوبصورتیاں	n+f.beauties
خوبی	n+f.merit
خوبیاں	n+f.qualities@n+f.merits@n+f.virtues@n+f.quirks
خود	pron.self@pron.yourself@pron.itself@pron.themselves@pron.himself@pron+f.herself@pron.oneself@n+m.selves
خود آزاری	n+m.masochism
خود احتسابی	n+f.introspection
خود ارتباط	n+f.autocorrelation
خود بخود	ad.automatically@ad.spontaneously@a.idiopathic
خود بینی کا	a.introspective
خود ساختہ نگران	n+m.vigilante
خود سے	ad.firsthand
خود شروع کرنا	v.bootstrapping
خود غرض	a.selfish
خود غرضی	n+f.selfishness
خود مختار	a.autonomous@a.sovereign@a.standalone@a.freestanding
خود مختاری	n+f.autonomy
خود مدافعتی	a.autoimmune
خود نوشت	n+f.autobiography
خود پرست	a.narcissistic
خود پرستی	n+m.narcissism
خود پسند	a.smug@a.complacent
خود پسندی	n+f.ego@n+f.complacency
خودمختار	a.independent
خودکار	a.auto@a.automatic@a.automated@a.autonomic
خودکار بنانا	v.automate@v.automating
خودکار بنایا	v.automated
خودکار مشین	n+m.automaton
خودکار پائلٹ	n+m.autopilot
خودکار چاقو	n+f.switchblade
خودکار کرنا	v.automates
خودکاری	n+m.automation@n+f.automating
خودکش حملہ آور	n+m.kamikaze
خودکشی	n+f.suicide@n+f.suicides
خودکشی کا	a.suicidal
خوراک	n+f.feed@n+f.diet@n+f.dose@n+f.feeding@n+f.fare@n+f.dosage@n+f.dosing@n+m.foodstuffs@n+f.sustenance
خوراک دینا	v.dose@v.dosing
خوراک پیمائی	n+f.dosimetry
خوراک کا	a.dietary
خوراک کے علاوہ	a.parenteral
خوراکی	a.nutritional
خوراکیں	n+f.doses@n+f.servings@n+f.dosages
خوردبین	n+m.microscope@n+m.microscopes
خوردبینی	n+f.microscopy@a.microscopic
خوردہ فروش	n+m.retailer@n+m.retailers
خوردہ فروشی	n+f.retailing
خوردہ فروشی کرتا ہے	vt.retails
خوش	a.gay@a.happy@a.glad@a.pleased@a.merry@a.delighted@a.jolly@a.amused@a.chipper@a.tickled@a.elated@a.gratified
خوش آمدید	int.welcome@n+m.greeting@a.welcomed@a.welcoming
خوش آمدید کہا	v.welcomed
خوش آمدید کہتا ہے	v.welcomes
خوش اخلاق	a.behaved@a.amiable
خوش اسلوبی سے	ad.gracefully
خوش بینی	n+f.optimism
خوش تر	a.happier
خوش جسم	a.buxom
خوش ذائقہ	a.luscious@a.tasteful@a.palatable
خوش شکل	a.personable
خوش قسمت	a.lucky@a.fortunate
خوش قسمتی	n+f.bonanza
خوش قسمتی سے	ad.fortunately@ad.luckily
خوش قسمتی کی علامت	n+m.mascots
خوش مزاج	a.cheerful@a.cheery@a.genial@a.lighthearted
خوش پوش	a.dashing
خوش پوش مرد	n+m.beaux
خوش کرتا ہے	vt.pleases
خوش کرنا	v.please@v.delight@v.pleasing@v.delights@v.cheering@v.gratifying@vt.appease
خوش کیا	v.pleased@v.elated
خوش گوار	a.upbeat@a.cordial
خوش ہوا	v.delighted@v.rejoiced
خوشامد کرنا	v.pandering
خوشامدی	a.flattering
خوشبو	n+f.perfume@n+f.fragrance@n+f.smell@n+f.flavor@n+f.scent@n+f.aroma@n+f.scents@n+f.aromas
خوشبو درمانی	n+f.aromatherapy
خوشبو لگانا	v.scented
خوشبوئیں	n+f.fragrances
خوشبودار	a.scented@a.aromatic@a.fragrant@a.perfumed
خوشبودار مادے	n+m.aromatics
خوشبودار ملاوٹ	n+m.potpourri
خوشحال	a.prosperous@a.affluent
خوشحال ہونا	v.prosper
خوشحالی	n+f.prosperity@n+f.affluence
خوشحالی کا دور	n+f.halcyon
خوشخبری	n+m.gospel
خوشخطی کی لہریں	n+f.flourishes
خوشگوار	a.nice@a.pleasant@a.enjoyable@a.delightful@a.pleasing@a.breezy@a.agreeable@a.joyous@a.pleasurable@a.idyllic@a.congenial
خوشگوار طریقے سے	ad.delightfully
خوشگواری سے	ad.pleasantly
خوشی	n+m.pleasure@n+f.joy@n+f.happiness@n+f.delight@n+f.bliss@n+f.cheer@n+f.felicity@n+f.rapture@n+f.cheering@n+f.euphoria@n+f.glee@n+f.mirth@n+f.elation@n+f.gladness
خوشی بھرا	a.joyful
خوشی سے	ad.happily@ad.gladly@ad.willingly@ad.cheerfully@ad.heartily@ad.merrily@ad.fain@ad.joyfully@ad.gleefully
خوشی منائی	v.cheered
خوشی منانا	v.celebrate@v.rejoice@v.rejoicing@v.revels
خوشی کرتا ہے	v.cheers
خوشی کی تقریب	n+f.revel
خوشیاں	n+f.cheers@n+f.delights@n+f.joys@n+f.revels
خوف	n+m.fear@n+f.terror@n+f.panic@n+m.fears@n+m.scare@n+m.awe@n+m.dread@n+f.phobia@n+m.fright@n+m.scares@n+f.phobias@n+f.trepidation
خوفزدہ	a.scared@a.feared@a.frightened@a.fearful@a.terrified@a.horrified
خوفزدہ کرنا	v.horrifying
خوفناک	a.terrible@a.horrible@a.scary@a.awful@a.dire@a.creepy@a.frightening@a.spooky@a.dreadful@a.terrifying@a.horrific@a.dreaded@a.appalling@a.monstrous@a.macabre@a.horrid@a.ghastly@a.fearsome@a.frightful@a.grisly
خوفناک طور پر	ad.terribly@ad.horribly
خول	n+m.shell@n+m.casing@n+m.nutshell@n+f.casings
خول دار جانور	n+m.crustaceans
خول دار مچھلی	n+m.shellfish
خول والا	a.cased
خون	n+m.blood@n+m.gore
خون آلود	a.gory
خون بہ رہا ہے	v.bleeding
خون بہا	v.bled
خون بہتا ہے	vi.bleeds
خون بہنا	n+f.bleeding@v.bleed@n+f.haemorrhage@v.haemorrhage
خون بہنے والا	a.hemorrhagic
خون جمنے سے روکنے والا	n+m.anticoagulant
خون خرابہ	n+m.bloodshed
خون خوار	n+m.vampires
خون والا	a.blooded
خون چوس	n+m.vampire
خون چڑھانا	n+m.transfusions
خون کا جمنا	n+f.thrombosis
خون کا دھارا	n+m.bloodstream
خون کا سرطان	n+f.leukaemia
خون کی نالی میں رکاوٹ	n+m.embolism
خون کی نالی کا پھیلاؤ	n+m.aneurysm
خون کی کمی	n+f.anaemia
خون گردشی	a.circulatory
خونخوار	a.ferocious
خونی	a.bloody
خونی دشمنی	n+f.vendetta
خونی شکاری کتا	n+m.bloodhound
خچر	n+m.mule@n+m.mules
خیال	n+m.thought@n+m.idea@n+f.fantasy@n+f.fancy@n+f.assumption@n+m.notion@n+m.imagination
خیال رکھنا	v.minding
خیال رکھنے والا	a.considerate
خیال نشان	n+m.ideograph
خیال کرتا ہے	v.thinks
خیالات	n+m.ideas@n+m.thoughts@n+m.considerations@n+m.reflections@n+f.notions@n+m.fancies
خیالوں میں کھو جانا	vi.daydream
خیالوں میں کھویا	a.spacey
خیالی	a.imaginary@a.dreamy@n+f.fantasia@a.utopian@a.fanciful@a.fancied@a.chimeric
خیالی دنیا	n+m.wonderland
خیالی مخلوق	n+f.chimera
خیالی پلاؤ	n+f.whim@n+m.reverie
خیالی کہانیاں	n+f.fantasies
خیر	int.well
خیر سگالی	n+f.goodwill
خیر مقدم کرنا	v.welcome
خیرات	n+f.charity@n+m.alms
خیراتی	a.charitable
خیراتی ادارے	n+f.charities
خیرخواہانہ	a.altruistic
خیرخواہی	n+f.benevolence
خیمہ	n+m.tent@n+m.pavilion@n+m.tabernacle
خیمہ دار	a.tented
خیمہ زن	n+m.campers
خیمہ لگانا	v.camped
خیمہ گاڑی	n+f.camper
خیمہ گاہ	n+m.campsite@n+f.encampment
خیمے	n+m.tents@n+m.pavilions
خیمے کی آگ	n+f.campfire
داؤ	n+m.stake@n+m.stakes@n+m.ante
داؤ لگایا	v.staked
داؤ پر لگانا	v.staking
دائر کرنا	n+f.filing
دائر کیا	v.filed
دائرہ	n+m.range@n+m.circle@n+m.realm@n+m.sphere@n+m.scop
دائرہ اختیار	n+m.jurisdiction@n+f.jurisdictions
دائرہ عمل	n+m.ambit
دائرہ کار	n+m.scope@n+m.scopes@n+m.remit@n+m.purview
دائرہ کار طے کرنا	v.scoping
دائرۃ المعارفی	a.encyclopedic
دائری	a.circular
دائرے	n+f.circles
دائرے میں لایا	v.scoped
دائمی	a.chronic@a.perpetual@a.perennial
دائمی بنانا	vt.perpetuate
دائمی بنایا	v.perpetuated
دائمی طور پر	ad.chronically
دائی	n+f.midwife
دائی گری	n+f.midwifery
دائیاں	n+f.midwives
داتو	n+m.dato
داخل	a.admitted
داخل شدہ	a.inserted@a.injected
داخل مریض	n+m.inpatient
داخل کرتا ہے	v.inputs@v.inserts
داخل کرنا	v.input@v.insert@v.admit@n+f.insertion@v.inserting@v.admitting@v.inputting
داخل کیا	v.inserted
داخل ہوا	v.entered
داخل ہوتا ہے	v.enters
داخل ہونا	v.enter@v.entering
داخل ہونے والا	n+m.entrant
داخل ہونے والے	n+m.entrants
داخلات	n+f.insertions
داخلہ	n+m.entry@n+m.admission@n+f.entering@n+m.entrance@n+m.intake@n+m.inlet@n+f.enrolment@n+f.ingress@n+f.admittance
داخلہ لیا	v.enrolled
داخلہ لینا	v.enrolling@v.enrol
داخلہ لینے والے	n+m.enrollees
داخلہ کار	n+m.ushers
داخلی	a.inpatient
داخلی راستہ	n+m.entryway
داخلے	n+f.admissions@n+m.intakes@n+m.entrances@n+f.enrolments
داد	n+m.shingles@n+m.ringworm
دادا	n+m.grandfather@n+m.grandpa
دادا دادی	n+m.grandparents@n+m.grandparent
دادی	n+f.granny@n+f.gran@n+f.grandmother@n+f.grandma
دادیاں	n+f.grannies@n+f.grandmothers@n+f.grandmas
دار چینی	n+f.cinnamon
دارا	n+m.darius
دارالحکومت	n+m.capital@n+f.capitals
دارجلنگ	n.darjeeling
دارفور	n+m.darfur
داستان	n+f.saga
داستانی	a.mythical
داستانیں	n+f.legends@n+f.sagas
داغ	n+m.stain@n+m.stains@n+f.staining@n+m.scars@n+m.smear@n+m.stigma@n+m.blemish@n+f.blemishes@n+m.taint@n+m.smudge@n+f.tarnish
داغ دار	a.smeared
داغ لگانا	v.brand@v.branding@v.stain@v.stains@v.staining@v.blot@vt.smudge@v.blots
داغ لگایا	v.stained@v.branded
داغ پڑنا	n+f.scarring
داغ چھوڑنا	v.scar
داغ ڈالنا	v.scarring
داغدار	a.stained@a.tainted@a.scarred@a.marred
داغدار کرنا	vt.sully@vt.blemish@vt.tarnish
داغدار ہوا	v.tarnished
دال	n+m.dahl
دالان	n+m.hallway@n+m.foyer@n+m.hallways@n+m.vestibule
دالیں	n+f.pulses@n+f.lentils
دانا	a.wise
دانائی	n+f.wisdom
دانت	n+m.teeth@n+m.tooth@n+m.fangs@n+m.tusk
دانت نکلنا	n+f.teething
دانت کھودنی	n+f.toothpick
دانتوں والا	a.toothed
دانتوں کا	a.dental
دانتوں کا برش	n+m.toothbrush
دانتوں کا ماہر	n+m.orthodontist
دانتوں کی بیماری	n+f.caries
دانتوں کی سیدھائی	n+f.orthodontics
دانتوں کی سیدھائی کا	a.orthodontic
دانتوں کے برش	n+m.toothbrushes
دانتوں کے ڈاکٹر	n+m.dentists
دانتی	n+f.rakes
دانتے	n+m.dante
دانشمند	a.prudent
دانشمندانہ	a.judicious
دانشور	n+m.intellectual@n+m.intellectuals@n+m.savant
دانشورانہ	a.intellectual
دانہ	n+f.grain
دانے	n+f.rash@n+m.granules@n+f.rashes
دانے دار	a.granular@a.grained@a.grainy@a.granulated
دانے دار خلیہ	n+m.granulocyte
دانے داری	n+f.granularity
داواؤ	n+m.davao
داڑھ	n+m.molar
داڑھ کا	a.molar
داڑھی	n+f.beard@n+f.whiskers
داڑھی والا	a.bearded
داڑھیاں	n+f.beards
دایاں	a.right
دایاں پہلو	n+m.starboard
دبئی	n+m.dubai
دبا دیا	v.smothered@v.muffled
دبا ہوا	a.compressed@a.pressed@a.repressed@a.compacted
دباؤ	n+m.pressure@n+f.compression@n+m.strain@n+f.pressures@n+m.stresses@n+m.squish@n+m.damper@n+f.compaction@n+f.duress
دباؤ برقی	a.piezoelectric
دباؤ علاج	n+f.acupressure
دباؤ میں	a.stressed
دباؤ والا	a.stressful@a.pressurized
دباؤ پیما	n+m.barometers
دباؤ ڈالتا ہے	v.strains@v.pressures
دباؤ ڈالنا	v.pressure@v.pressured@v.pressuring
دباؤ کم کرنا	n+f.decompression@v.decompress
دباتا ہے	v.presses@vt.compresses
دبانا	v.press@v.pressing@v.squash@n+f.suppression@v.suppress@v.suppressed@v.compress@n+f.repression@v.squish@v.suppressing@v.compressing@v.suppresses@v.compacted@vt.compacts@vt.stifle@vt.depress@v.stifling@v.quell@v.smothering@v.repress@v.squelch
دبانے والا	n+m.suppressor@n+m.suppressant@a.compressive@n+m.repressor@n+m.presser
دبانے والی مشین	n+f.compactor
دبانے والے	n+m.suppressors@n+m.compactors
دبایا	v.compressed@v.pressed@v.strained@v.stifled
دبایا گیا	v.depressed
دبایا ہوا	a.suppressed
دبلا	a.slim@a.lean@a.bony
دبلا پتلا	a.skinny@a.slender@a.gaunt
دبلا کرنے والا	a.slimming
دبکنا	vi.cringe
دبی ہنسی	n+f.chuckles
دبی ہنسی ہنستا ہے	vi.chuckles
دبی ہنسی ہنسنا	v.snickers
دبی ہوئی	a.muffled
دجال	n+m.antichrist
دجلہ	n+m.tigris
دخل اندازی	n+m.intervention@v.meddling
دخل اندازی کرنے والا	a.meddling
دخل اندازیاں	n+f.intrusions
دخول	n+f.penetrations
درآمد	n+f.import@n+f.importation
درآمد شدہ	a.imported
درآمد کرتا ہے	v.imports
درآمد کرنا	v.import@v.importing
درآمد کنندگان	n+m.importers
درآمد کنندہ	n+m.importer
درآمد کیا	v.imported
درآمدات	n+f.imports
درار	n+f.cleavage@n+f.rift
دراز	n+f.drawer
درازیں	n+f.drawers
دراصل	ad.actually
درانتی	n+f.sickle@n+f.scythe
درانتی سے کاٹنا	v.scythe
دراندازی	n+m.intrusion
دراندازی کرنا	v.infiltrating
دراڑ	n+f.crack@n+f.cleft@n+f.fissure
دراڑ والا	a.cracked
دراڑیں	n+f.cracks@n+f.fissures
دربان	n+m.porter@n+m.usher@n+m.concierge@n+m.gatekeeper@n+m.gatekeepers@n+m.doorman@n+m.bellman
درج ذیل	a.following
درج شدہ	a.listed
درج کرنا	v.enter@v.lodge
درج کیا	v.listed
درجات	n+m.grades
درجن	n+m.dozen@n+f.doz
درجنوں	n+m.dozens
درجہ	n+m.level@n+m.degree@n+f.grade@n+m.rank@n+m.tier@n+m.deg@n+m.notch@n+m.echelon
درجہ بند	a.rated@a.classified@a.ranked@a.calibrated
درجہ بندی	n+f.rating@n+m.classifieds@n+f.classification@n+f.ranking@n+f.rankings@n+f.standings@n+f.hierarchy@n+f.calibration@n+f.grading@n+f.taxonomy@n+f.categorization@n+f.hierarchies@n+f.triage@n+f.gradation@n+f.categorisation
درجہ بندی شدہ	a.graduated@a.graded@a.tiered
درجہ بندی کا	a.hierarchical@a.taxonomic
درجہ بندی کرتا ہے	v.ranks@vt.classifies
درجہ بندی کرنا	v.classify@v.classifying@v.categorize@vt.calibrate@v.categorizing
درجہ بندی کرنے والا	n+m.grader@n+m.classifier@n+m.rater
درجہ بندی کرنے والے	n+m.graders@n+m.classifiers
درجہ بندی کی	v.classified@v.graded@v.categorized@v.calibrated@v.categorised@v.classed
درجہ بندیاں	n+f.ratings@n+f.classifications
درجہ حرارت	n+m.temperature@n+m.temperatures
درجہ دیا	v.rated@v.ranked
درجہ دینا	v.rate@v.grade@v.rank@v.grading
درجہ کم کرتا ہے	vt.downgrades
درجہ کم کرنا	v.downgraded
درجہ کمی	n+f.downgrade@n+f.downgrades
درجہ گھٹانا	vt.downgrade
درجے	n+m.degrees
درخت	n+m.tree@n+m.trees
درختوں سے بھرا	a.wooded
درختوں والا	a.sylvan
درختوں کی تراش	n+f.topiary
درختوں کی حد	n+f.timberline
درخواست	n+f.application@n+f.request@n+f.petition@n+f.solicitation@n+f.plea
درخواست دہندہ	n+m.applicant
درخواست دی	v.petitioned
درخواست دینا	v.apply@v.applying
درخواست شدہ	a.requested
درخواست کرتا ہے	v.requests@v.petitions
درخواست کرنا	v.request@v.petition@v.requesting@v.solicit@v.pleads@v.solicits@v.petitioning
درخواست کی	v.requested@v.pleaded@v.solicited
درخواست گزار	n+m.applicants@n+m.petitioner@n+m.petitioners@n+m.requester
درخواستیں	n+f.applications@n+f.requests@n+f.petitions@n+f.pleas@n+f.solicitations@n+f.requisitions
درد	n+m.pain@n+f.pains@n+m.dol@n+m.aches@n+m.ache@n+f.soreness
درد بھرا	a.aching
درد شقیقہ	n+f.migraine@n+f.migraines
درد مندی	n+f.empathy
درد کرنا	v.ache@v.aching
درد کش	n+m.analgesic@a.analgesic
درد کش دوائیں	n+m.analgesics@n+m.relievers
درد کی بے حسی	n+f.analgesia
درد کی دوا	n+m.painkiller
درد کی دوائیں	n+f.painkillers
درد ہونا	v.aches
دردناک	a.painful@a.tragic@a.grievous@a.wrenching@a.harrowing
درزن	n+f.seamstress
درزی	n+m.tailor@n+m.tailors
درزی کا بنایا ہوا	a.tailored
درزی کا کام	n+f.tailoring
درس گاہی	a.pedagogical
درست	a.valid@a.correct@a.accurate@a.precise
درست ثابت کرنا	v.justify
درست طریقے سے	ad.correctly
درست طور پر	ad.accurately
درست کاری	n+f.calibrations
درست کرتا ہے	vt.corrects
درست کرنا	v.correct@v.validate@v.correcting@v.amends@v.validating@v.rectify@v.rectified
درست کرنے والا	n+m.corrector
درست کنندہ	n+m.rectifier@n+m.rectifiers
درست کیا	v.corrected@v.remedied@v.mended
درستگی	n+f.accuracy@n+f.precision@n+f.validity@n+f.corr@n+f.correctness@n+f.soundness
