24	n.xxiv
bukaan	n.apertures
bukan	ad.not@a.non
bukan anggota	n.nonmembers
bukan logam	a.nonmetallic
bukan nol	a.nonzero
bukan penduduk	n.nonresident
buket	n.bouquet
bukit	n.hill@n.hills@n.fells
bukit benteng	n.motte
bukit kecil	n.knoll@n.knolls
bukit lereng	n.cuesta
bukit pasir	n.dunes@n.dune
buklet	n.booklet@n.booklets
bukti	n.evidence@n.proof@n.proofs@a.evidentiary@n.evidences
buku	n.books@n.book@n.bks
buku agenda	n.datebook
buku alamat	n.directory
buku besar	n.ledger@n.ledgers
buku catatan	n.notebook@n.pad@n.logbook@n.blotter
buku cerita	n.storybook
buku frasa	n.phrasebook
buku harian	n.diary@n.diaries
buku jari	n.knuckles@n.knuckle
buku kasus	n.casebook
buku kerja	n.workbook@n.workbooks
buku korek api	n.matchbook
buku lagu	n.songbook@n.songbooks
buku log	n.logbook
buku masak	n.cookbook@n.cookbooks
buku nyanyian rohani	n.hymnal
buku panduan	n.guidebook@n.guidebooks
buku paperback	n.paperbacks
buku pegangan	n.handbook@n.handbooks
buku resep	n.formulary
buku saku	n.paperback@n.pocketbook
buku sampul keras	n.hardbound
buku sketsa	n.sketchbook
buku strategi	n.playbook
buku tahunan	n.yearbook@n.yearbooks
buku tamu	n.guestbook@n.guestbooks
buku tebal	n.tomes
buku teks	n.textbooks@n.textbook
buku tempel	n.scrapbook
buku tentang binatang	n.bestiary
buku terlaris	n.bestsellers
bulan	n.month@n.months@n.moon@a.lunar@n.moons
bulan lalu	ad.ultimo
bulan madu	n.honeymoon@n.honeymoons
bulan sabit	n.crescent@n.lune
bulanan	a.monthly
bulat	a.rounded@a.unanimous@a.spherical@a.globular
buldoser	n.bulldozer@n.dozer@n.bulldozers
bule	n.gringo
buletin	n.newsletter@n.newsletters@n.bulletin@n.bulletins
bulevar	n.boulevards
bulimia	n.bulimia
bulldog	n.bulldogs@n.bulldog
bullpen	n.bullpen
bulu	n.fur@n.feather@n.feathers@n.plumes
bulu binatang	n.furs
bulu burung	n.plumage
bulu domba	n.fleece@n.fleeces
bulu halus	n.fluff@n.fuzz
bulu kambing	n.mohair
bulu mata	n.lash@n.lashes@n.eyelash@n.eyelashes
bulu sikat	n.bristle@n.bristles
bulu tanaman	n.awn
bulu tangkis	n.badminton
buluh	n.reed@n.reeds
bumbu	n.seasoning@n.condiments@n.seasonings@n.condiment
bumbu rendaman	n.marinade@n.marinades
bumerang	n.boomerang
bumi	n.earth@a.terran@n.earths
bumper	n.bumper@n.bumpers
bundar	a.round
bundaran	n.roundabout
bundel	n.bundle@n.bundles
bunga	n.interest@n.flowers@n.interests@n.flower@a.floral@n.blossom@n.blossoms
bunga anyelir	n.carnation@n.carnations@n.pinks
bunga aster	n.daisy@n.daisies
bunga bakung	n.narcissus
bunga bakung kuning	n.daffodils
bunga buttercup	n.buttercup
bunga calla	n.calla
bunga crocus	n.crocus
bunga dafodil	n.daffodil
bunga eceng gondok	n.hyacinth
bunga floks	n.phlox
bunga hop	n.hops
bunga hydrangea	n.hydrangea
bunga iris	n.irises
bunga kaca piring	n.gardenia
bunga kana	n.canna
bunga kenikir	n.calendula
bunga kering wangi	n.potpourri
bunga krisan	n.mums
bunga kuning	n.goldenrod
bunga liar	n.wildflowers@n.wildflower
bunga lili	n.lily@n.lilies
bunga lonceng	n.bellflower
bunga lupin	n.lupin
bunga mallow	n.mallow
bunga marigold	n.marigold
bunga matahari	n.sunflower@n.sunflowers
bunga mentega	n.oleander
bunga natal	n.poinsettia
bunga opium	n.poppies
bunga pansy	n.pansy
bunga peony	n.peony
bunga poppy	n.poppy@n.poppies
bunga randa tapak	n.dandelion
bunga seruni	n.chrysanthemum
bunga verbena	n.verbena
bunga violet	n.violets
bungalo	n.bungalow@n.bungalows
bunganya	a.flowery
bungee	n.bungee@a.bungee
bungkuk	n.hunchback
bungkus	n.wrap
bungkusan	n.wraps
bunglon	n.chameleon
bunker	n.bunker@n.bunkers
bunting	n.bunting
bunuh diri	n.suicide@a.suicidal@n.suicides
bunyi	n.sounding@a.phonic
bunyi berdebum	n.thud
bunyi berdetak	n.clack
bunyi bip	n.beep@n.bleep@n.beeps@n.blip
bunyi cipratan	n.splat
bunyi denting	n.ding
bunyi gedebuk	n.thunk
bunyi kecipak	n.squelch
bunyi klakson	n.toot@n.honk
bunyi lonceng	n.tolling
bunyi petikan	n.twang
bupati	n.regents@n.regent
buram	a.opaque@a.frosted@a.blurry
burch	n.burch
burger	n.burger@n.burgers
burger keju	n.cheeseburger
buritan	n.stern
burlesque	n.burlesque
burley	n.burley
buronan	n.fugitive@n.fugitives
burrito	n.burrito@n.burritos
bursa	n.exch@n.bursa
bursa saham	n.bourse
buruh	n.labour@n.labourer@n.labourers
buruh pelabuhan	n.dockers
buruk	a.bad@a.ill@a.adverse@a.lousy@a.shitty@a.inclement
buruk rupa	a.unsightly
buruk sekali	a.deplorable
burung	n.bird@n.birds@n.aves
burung alap alap	n.kestrel
burung auk	n.auk
burung bangau	n.crane
burung bangkai	n.vulture
burung beo	n.parrot@n.parrots
burung beo besar	n.macaw
burung berkicau	n.songbird@n.warblers
burung berkik	n.snipes
burung biru	n.bluebird
burung booby	n.boobies@n.booby
burung bulbul	n.nightingale
burung camar	n.gull@n.seagull@n.gulls@n.seagulls
burung cendet	n.shrike
burung cerek	n.plover
burung chickadee	n.chickadee
burung dara laut	n.tern@n.terns
burung elang ikan	n.ospreys
burung finch	n.finch@n.finches
burung gagak	n.raven@n.crow@n.rook@n.rooks
burung gajahan	n.curlew
burung gereja	n.sparrows
burung grebes	n.grebe
burung guillemot	n.guillemot
burung hantu	n.owl@n.owls
burung hitam	n.blackbird
burung jalak	n.starling
burung kea	n.kea
burung kecil	n.birdies
burung kenari	n.canary@n.canaries
burung kepodang	n.oriole
burung kolibri	n.hummingbird@n.hummingbirds
burung kormoran	n.cormorant
burung kukuk	n.cuckoo
burung lark	n.lark
burung laut	n.seabirds@n.seabird
burung layang-layang	n.swallow@n.swallows
burung loon	n.loon
burung malam	n.nighthawk
burung mockingbird	n.mockingbird
burung murai	n.magpie
burung nasar	n.vulture@n.vultures
burung pantai	n.waders
burung parkit	n.parakeet@n.budgie
burung pegar	n.pheasant@n.pheasants
burung pelatuk	n.woodpecker@n.pecker
burung pelikan	n.pelicans
burung penangkap lalat	n.flycatcher
burung petrel	n.petrel
burung pipit	n.sparrow@n.finches
burung puffin	n.puffin
burung raja udang	n.kingfisher@n.halcyon
burung rhea	n.rhea
burung roadrunner	n.roadrunner
burung robin	n.robin@n.robins
burung salju	n.snowbird
burung shearwater	n.shearwater
burung skimmer	n.skimmer
burung skylark	n.skylark
burung snipe	n.snipe
burung tanager	n.tanager
burung thrasher	n.thrashers
burung tiruan	n.mockingbird
burung trinil	n.sandpiper
burung tui	n.tui
burung unta	n.ostrich
burung vireo	n.vireo
burung warbler	n.warbler
burung woodcock	n.woodcock
burung wren	n.wren
bus	n.bus@n.buses@n.omnibus@n.busses
busa	n.foam@n.foams@n.froth
busa sabun	n.lather@n.suds
bushel	n.bushel
bushing	n.bushings
busing	n.bushing
bustier	n.bustier@n.bustiers
busuk	a.foul@a.rotten@a.decomposed
busur	n.arc@n.bow@n.bows@n.arcs
busur panjang	n.longbow
buta	a.blind
buta huruf	a.illiterate@n.illiteracy
butadiena	n.butadiene
butana	n.butane
bute	n.bute
butik	n.boutique@n.boutiques
butil	n.butyl
butiran	n.granules@n.droplets@n.granule
butler	n.butler
buttermilk	n.buttermilk
butternut	n.butternut
buzzer	n.buzzer
byers	n.byers
byte	n.bytes@n.byte
cabai	n.chilli@n.capsicum
cabai jalapeno	n.jalapeno
cabai rawit	n.cayenne
caballero	n.caballero
cabang	n.branch@n.branches@n.prong@n.offshoot
cabang garpu	n.tine
cabang luar	n.outstation
cabernet	n.cabernet
cabul	a.obscene@a.risque@a.lewd@a.racy
cacar	n.smallpox@n.pox
cacar air	n.varicella@n.chickenpox
cacat	a.disabled@n.defects@n.defect@a.defective@n.handicap@n.flaws@a.handicapped@n.flaw@a.flawed@a.deformed@n.imperfections@a.marred@n.blemish@a.malformed@n.handicaps@n.blemishes@a.mutilated@n.deformity@n.deformities@n.imperfection@a.maimed
cacat bawaan	n.malformations
cacat bentuk	n.malformation
cache	n.cache@n.caches
caching	n.caching
cacing	n.worm@n.worms
cacing jantung	n.heartworm
cadangan	n.reserve@n.backup@n.reserves@a.spare@n.backups@n.fallback
cadar	n.veils
caddie	n.caddie
cadik	n.outrigger
cadiz	n.cadiz
cagar	n.preserve
cahaya	n.light@n.lights@n.glow
cahaya bintang	n.starlight
cahaya bulan	n.moonlight
cahaya lilin	n.candlelight
cahaya redup	n.glimmer
caine	n.caine
cair	a.liquid@a.fluid@a.molten@a.liquefied
cairan	n.liquid@n.fluid@n.fluids@n.liquids@n.liq
cairan tubuh	n.secretions@a.humoral
cakar	n.paw@n.claw@n.paws@n.claws@n.talon@n.talons
cakram	n.disc@n.discs@n.discus
cakrawala	n.horizon@n.horizons@n.skyline
cakupan	n.coverage@n.scopes@n.coverages@n.ambit
calendula	n.calendula
calla	n.calla
calo	n.touts@n.middleman
calo tiket	n.scalper
calon	a.prospective@n.hopefuls
calon bintang	n.starlets
calon sukses	n.comer
calypso	n.calypso
cambang	n.whiskers@n.whisker
camber	n.camber
cambuk	n.whip@n.whips
cambukan	n.whipping@n.lashes@n.lashing
camcorder	n.camcorder@n.camcorders
campak	n.measles
campak Jerman	n.rubella
campania	n.campania
campos	n.campos
campur aduk	a.bittersweet
campur tangan	v.intervene@v.intervened@n.meddling
campuran	n.mix@a.mixed@n.blend@n.mixture@n.mixes@n.blends@n.mixtures@n.medley@n.miscellany@n.jumble@n.potpourri@n.amalgam@n.admixture@n.admixtures@n.concoction
campuran mentega dan tepung	n.roux
canasta	n.canasta
canaveral	n.canaveral
candace	n.candace
candi	n.temple
candice	n.candice
candida	n.candida
candlewood	n.candlewood
candu	n.opiate
canfield	n.canfield
canggih	a.sophisticated
canggung	a.awkward@a.gauche
cangkang	n.shell@n.shells
cangkang kerang	n.clamshell@n.coquille
cangkir	n.cup@n.cups@n.mug@n.beaker
cangkir teh	n.teacup
cangkokan	n.graft@n.grafts
cangkul	n.hoe@n.hoes
canna	n.canna
cantik	a.beautiful@a.pretty@a.lovely@a.gorgeous@a.bonny
canzone	n.canzone
cap	n.cachet
cap pos	n.postmark
capella	n.capella
caper	n.capers
capistrano	n.capistrano
capo	n.capo
capote	n.capote
capung	n.dragonfly@n.dragonflies
cara	n.way@n.means@n.method@n.ways@n.manner@n.expedient@n.hows
cara kerja	n.workings
carabiner	n.carabiner
cardin	n.cardin
carlin	n.carlin
carmarthenshire	n.carmarthenshire
cashback	n.cashback
casing	n.casing
casserole	n.casserole@n.casseroles
casting	n.casting
cat	n.paint@n.paints
cat air	n.watercolour@n.watercolours
cat dasar	n.primer
cat guas	n.gouache
catania	n.catania
catatan	n.note@n.log@n.record@n.records@n.notes@n.notations
catatan akhir	n.endnote
catatan kaki	n.footnote@n.footnotes
catatan perjalanan	n.travelogues@n.travelogue
catatan sejarah	n.annals
catawba	n.catawba
catharine	n.catharine
catnip	n.catnip
catur	n.chess
cavan	n.cavan
cavendish	n.cavendish
cawan	n.chalice
cedera	n.injury@n.injuries
cedera leher	n.whiplash
cedi	n.cedi
cegukan	n.hiccups@v.hiccups
cek	n.check@n.checks@n.cheque@n.cheques
cek gaji	n.paychecks
cekam	n.chucks
cekatan	a.deft
cekcok	n.altercation
cekikikan	n.giggles@vi.giggles@v.giggling@n.giggling@v.giggled
cekung	a.concave@a.sunken
cekungan	n.basin@n.basins
celaan	n.reproach
celah	n.slit@n.cleft@n.loophole@n.chasm@n.slits@n.fissure@n.loopholes@n.notches@n.lacuna@n.fissures
celana	n.pants@n.pant
celana berkuda	n.breeches
celana capri	n.capris
celana dalam	n.panties@n.briefs@n.panty@n.pantie@n.underpants
celana dalam panjang	n.bloomer
celana dalam tali	n.tanga
celana dalam wanita	n.knickers
celana ketat	n.leggings
celana panjang	n.trousers@n.trouser@n.slacks
celana pelindung	n.jockstraps
celana pendek	n.shorts@n.breeches
celana renang	n.trunks
celemek	n.bib@n.apron@n.aprons@n.bibs
cello	n.cello@n.violoncello
celoteh	n.patter
celotehan	n.rantings
celupan	n.dip
cemara	n.cypress
cemas	a.anxious@a.dismayed@a.apprehensive
cemberut	v.frowned@v.pout@a.sullen
cembung	a.convex
cemburu	a.jealous@a.envious
cemerlang	a.brilliant@a.lustrous
cenayang	n.psychics
cendana	n.sandalwood
cendekiawan	n.scholars@n.scholar@n.savant@n.pandit
cenderung	v.tend@v.tends@a.prone@a.inclined@v.tended@v.incline@v.tending@a.predisposed
cengiran	n.grins
cengkeh	n.cloves@n.clove
cengkeraman	n.grasp@n.clutches@n.thrall
centang	n.tick
centaurus	n.centaur
centrum	n.centrum
centurion	n.centurion
cepat	a.fast@ad.fast@a.quick@a.rapid@a.prompt@a.swift@a.speedy@ad.presto@a.brisk@a.quickie@a.snappy@a.zippy@a.expeditious
cepat berlalu	a.fleeting
cerah	a.bright@a.sunny@a.rosy
ceramah	n.lecturing@n.homily
cerat	n.spout
cercaan	n.diatribe
cerdas	a.intelligent@a.savvy@a.witty@a.discerning@a.discriminating@a.precocious@a.brainy
cerdik	a.ingenious@a.astute@a.artful@a.resourceful@a.perceptive@a.shrewd@a.wily
cerewet	a.nagging@a.fussy@a.gabby@a.talkative
ceri	n.cherry@n.cherries
ceria	a.cheerful@a.perky@a.pert@a.chipper@a.cheery@a.mercurial
cerita	n.story@n.stories@n.tales@n.tale@n.gest
cerita kepahlawanan	n.epics
cerita rakyat	n.folklore@n.folktales
cermat	a.careful@a.meticulous@a.painstaking
cermin	n.mirror@n.mirrors
ceroboh	a.reckless@a.sloppy@a.careless
cerobong asap	n.chimney@n.flue@n.chimneys
cerpelai	n.mink
ceruk	n.niche@n.niches@n.alcove@n.coves
cerukan	n.overdraft
cerutu	n.cigar@n.cigars
cerutu ganja	n.blunts
cerutu terang	n.claro
cetak biru	n.blueprint@n.blueprints
cetak tebal	a.boldface
cetak ulang	n.reprints@n.reprint@n.reprinting
cetakan	n.print@n.prints@n.mold@n.mould@n.castings@n.moulding@n.printout@n.moulds@n.imprints@n.mouldings
cetakan batu	n.lithograph
cetakan kayu	n.woodcut
cetok	n.trowel
cewek	n.chicks@n.chick
ceylon	n.ceylon
chalet	n.chalet@n.chalets
chamonix	n.chamonix
champlain	n.champlain
chaney	n.chaney
chanson	n.chansons@n.chanson
chantilly	n.chantilly
chardonnay	n.chardonnay
charlottetown	n.charlottetown
charter	n.charter
chartreuse	n.chartreuse
chaucer	n.chaucer
checksum	n.checksum
cheers	int.cheers
cheesecake	n.cheesecake
cheetah	n.cheetah
chenille	n.chenille
cheri	n.cheri
cherie	n.cherie
chernobyl	n.chernobyl
chesterton	n.chesterton
chevalier	n.chevalier
chi	n.chi
chianti	n.chianti
chiapas	n.chiapas
chiba	n.chiba
chihuahua	n.chihuahua
chinchilla	n.chinchilla
chip	n.chip@n.chips
choctaw	n.choctaw
chopra	n.chopra
chutney	n.chutney
ciao	int.ciao
cicilan	n.instalment@n.instalments
cicit	n.cheep
cih	int.tut@int.pah@int.fie
cincin	n.ring@n.rings
cincin cap	n.signet
cincin karet	n.grommet
cinta	n.love@n.loves@n.amor@n.amour
cinta buta	n.infatuation
cinta damai	a.pacifist
cipratan	n.splashes
cipro	n.cipro
ciri	n.features
ciri khas	n.hallmark@n.hallmarks@n.distinctiveness
cita-cita	n.ideals
citra	n.image
ciuman	n.kiss@n.kissing@n.kisses@n.buss
clary	n.clary
cleat	n.cleats
cloisonne	n.cloisonne
close-up	n.closeup
clostridium	n.clostridium
cml	n.cml
cobaan	n.ordeal@n.tribulation@n.tribulations
cocker	n.cocker
cocok	v.fit@a.matching@v.matches@a.suitable@v.suit@v.fits@v.suits@a.matched@a.suited@v.tallied@a.congenial
coffey	n.coffey
cognac	n.cognac
cohosh	n.cohosh
coimbatore	n.coimbatore
cokelat	a.brown@n.brown@n.chocolate@n.tan@n.chocolates@n.choc@a.browned
cokelat gelap	a.umber
cokelat keabu-abuan	a.taupe
cokelat kehijauan	a.hazel
cokelat kekuningan	a.tan@a.fawn@a.sepia@a.tawny
cokelat kemerahan	a.sorrel@a.rufous
coklat kelabu	a.dun
coklat kemerahan	a.roan
cola	n.cola
colfax	n.colfax
coli	n.coli
collet	n.collet
collie	n.collie
cologne	n.cologne
colossus	n.colossus
columbine	n.columbine
com	n.com
comanche	n.comanche
compang camping	a.tattered@a.raggedy@a.frayed
compang-camping	a.ragged
concealer	n.concealer
concierge	n.concierge
condong	v.leans
coney	n.coney
conga	n.conga
conley	n.conley
connery	n.connery
connors	n.connors
conte	n.conte
conto	n.conto
contoh	n.example@n.sample@n.examples@n.instance@n.instances@n.exemplar
contoh asli	n.archetype
contoh kain	n.swatches
contoh sempurna	n.epitome
contoh terdahulu	n.precedents
cookie	n.cookie
cookies	n.cookies
coolidge	n.coolidge
cooperstown	n.cooperstown
coors	n.coors
copley	n.copley
coppola	n.coppola
copyleft	n.copyleft
corak	n.hues
corat coret	a.scribbled
corby	n.corby
cordelia	n.cordelia
coretan	n.doodle@n.streaks@n.scribble@n.doodles
corgi	n.corgi
corinne	n.corinne
cornelia	n.cornelia
cornerback	n.cornerback
cornice	n.cornice
corong	n.funnel@n.mouthpiece@n.mouthpieces@n.funnels
corsair	n.corsair
cosplay	n.cosplay
costco	n.costco
cotswold	n.cotswold
cotta	n.cotta
cougar	n.cougar@n.cougars
coulomb	n.coulomb
countess	n.countess
couture	n.couture
cowley	n.cowley
cranberry	n.cranberry
cribbage	n.cribbage
crichton	n.crichton
cronin	n.cronin
crore	n.crore@n.crores
crossover	n.crossover@n.crossovers
crosstalk	n.crosstalk
cru	n.cru
cthulhu	n.cthulhu
cuaca	n.weather
cubitan	n.nip@n.pinch
cuci otak	n.brainwashing
cucian	n.wash@n.laundry
cucu	n.grandchildren@n.grandchild
cucu laki-laki	n.grandson
cucu perempuan	n.granddaughter
cucuran atap	n.eves
cuka	n.vinegar
cukai	n.excise
cukilan kayu	n.woodcut
cukup	a.enough@ad.enough@ad.quite@ad.pretty@a.sufficient@ad.fairly@ad.reasonably@ad.sufficiently@a.ample@v.suffice@v.suffices
cukup baik	a.passable
cukup besar	a.considerable@a.sizable@a.sizeable@a.appreciable@ad.appreciably
cukuran	n.shave
cumi cumi goreng	n.calamari
cumi-cumi	n.squid
cuping	n.lobes
cuplikan	n.snapshot@n.snatches
cuplikan gagal	n.outtakes
curah hujan	n.rainfall
curah pendapat	n.brainstorming
curahan	n.effusion@n.outpouring
curam	a.steep
curang	n.cheats@a.fraudulent@n.cheater@n.cheaters@a.deceitful
curie	n.curie
curling	n.curling
cusco	n.cusco
cuthbert	n.cuthbert
cuti	n.leave
cuti panjang	n.sabbatical
cyberpunk	n.cyberpunk
dachshund	n.dachshund
dada	n.breast@n.chest@n.chests@n.dada@n.bosom@n.thorax
dadakan	a.improvised@a.impromptu
dadar telur	n.omelette
dadih	n.curd
dado	n.dado
dadu	n.dice@n.craps
daemon	n.daemon@n.daemons
daerah	n.area@n.region@a.regional@n.precinct
daerah aliran	n.catchments
daerah aliran sungai	n.watershed@n.watersheds
daerah kantong	n.enclave
daerah kumuh	n.slums
daerah pesisir	n.littoral
daerah tangkapan	n.catchment@n.catchments
daerah terpencil	n.backwater@n.backwaters@n.boondocks
daerah tropis	n.tropics
daftar	n.list@n.listing@n.register@n.listings@n.lists@n.registers@n.rosters@n.dockets
daftar gaji	n.payrolls
daftar giliran	n.rota
daftar hitam	n.blacklist
daftar nama	n.roster
daftar panjang	n.litany
daftar pendek	n.shortlist
daftar periksa	n.checklist@n.checklists
daftar perkara	n.docket
daftar pertanyaan	n.interrogatories
daftar pustaka	n.bibliography
daftar putar	n.playlist@n.playlists
dag	n.dag
daging	n.meat@n.flesh@n.meats@n.carne
daging babi	n.pork
daging cincang	n.mince
daging dada	n.brisket
daging domba	n.mutton
daging gepeng	n.patties
daging panggang	n.meatloaf
daging pinggang	n.loin
daging rusa	n.venison
daging sapi	n.beef
daging sapi muda	n.veal
dagu	n.chin
dah	n.dah
dahak	n.sputum
dahan	n.bough
dahi	n.forehead
dahlia	n.dahlia
dahulu	a.erstwhile
dahulu kala	a.olden
dakwaan	n.indictment@n.indictments
dalam	prep.in@prep.within@n.inside@a.deep@a.inner
dalam kampus	a.intramural
dalam kapal	a.inboard
dalam kotak	a.boxed
dalam mata	a.intraocular
dalam negara bagian	a.intrastate
dalam otot	a.intramuscular
dalam pemulihan	a.convalescent
dalam penerbangan	a.inflight
dalam pot	a.potted
dalam rahim	a.intrauterine
dalam ruangan	a.indoor
dalam-dalam	ad.deeply
dalang	n.mastermind
dalasi	n.dalasi
dalhousie	n.dalhousie
dalih	n.pretext
dalil	n.postulate
dam	n.checkers
damai	a.peaceful@a.idyllic@a.halcyon
damar	n.rosin
damask	a.damask
dampak	n.impact@n.impacts@n.fallout@n.repercussions
dan	conj.and
dan lain-lain	ad.etc
dan sebagainya	n.whatnot
dana	n.fund@n.funds@n.bankroll
dana pensiun	n.superannuation
danau	n.lake@n.lakes@n.lough
danau gunung	n.tarn
danau lebar	n.broads
dandelion	n.dandelion
dandy	n.dandy
dangkal	a.shallow@a.superficial@a.facile
dangkalan	n.shoals
danzig	n.danzig
dapat	v.can@v.could@a.able
dapat beradaptasi	a.adaptable
dapat bernapas	a.breathable
dapat beroperasi bersama	a.interoperable
dapat berubah	a.changeable@a.mutable
dapat diabaikan	a.negligible
dapat diakses	a.accessible
dapat dialamatkan	a.addressable
dapat dialihkan	a.switchable@a.assignable
dapat diamati	a.observable
dapat diandalkan	a.reliable@a.dependable
dapat diangkut	a.transportable
dapat dibaca	a.readable@a.legible
dapat dibagi	a.divisible
dapat dibalik	a.reversible@a.invertible
dapat dibatalkan	a.revocable
dapat dibayangkan	a.conceivable@a.imaginable
dapat dibayar kembali	a.repayable
dapat dibedakan	a.distinguishable@a.discernible
dapat dibenarkan	a.justifiable
dapat diberlakukan	a.enforceable
dapat dibuktikan	a.demonstrable
dapat dicabut	a.revocable
dapat dicapai	a.achievable@a.attainable
dapat dicegah	a.preventable
dapat dicetak	a.printable
dapat dicuci	a.washable
dapat didaur ulang	a.recyclable
dapat didefinisikan	a.definable
dapat didengar	a.audible
dapat dideteksi	a.detectable
dapat didiferensiasikan	a.differentiable
dapat didistribusikan	a.distributable
dapat diedit	a.editable
dapat dieksekusi	a.executable
dapat dieksploitasi	a.exploitable
dapat diganti	a.replaceable@a.reimbursable
dapat digembungkan	a.inflatable
dapat digulung	a.rollaway
dapat digunakan	a.usable@a.useable@a.serviceable
dapat digunakan kembali	a.reusable
dapat dihargai	a.appreciable
dapat dihindari	a.avoidable
dapat dihitung	a.countable@a.computable
dapat dihukum	a.punishable
dapat diidentifikasi	a.identifiable
dapat diimplan	a.implantable
dapat diinduksi	a.inducible
dapat diintegrasikan	a.integrable
dapat diisi	a.chargeable
dapat diisi ulang	a.rechargeable@a.refillable
dapat dijangkau	a.reachable
dapat dikaitkan	a.attributable
dapat dikelola	a.manageable
dapat dikembalikan	a.refundable@a.returnable
dapat dikenai biaya	a.chargeable
dapat dikenakan pajak	a.assessable
dapat dikenali	a.recognizable@a.recognisable
dapat dikendalikan	a.controllable
dapat diklasifikasikan	a.classifiable
dapat diklik	a.clickable
dapat dikoleksi	a.collectable
dapat dikompensasi	a.compensable
dapat dikonfigurasi	a.configurable
dapat dikonfigurasi ulang	a.reconfigurable
dapat dikonsumsi	a.consumable
dapat dikonversi	a.convertible
dapat dikorbankan	a.expendable
dapat dikuantifikasi	a.quantifiable
dapat dikunci	a.lockable
dapat dikunyah	a.chewable
dapat dikurangkan	a.deductible
dapat dilacak	a.traceable
dapat dilaksanakan	a.practicable@a.exercisable
dapat dilakukan	a.workable@a.doable
dapat dilalui	a.passable
dapat dilaporkan	a.reportable
dapat dilayari	a.navigable
dapat dilepas	a.removable@a.detachable
dapat dilihat	a.viewable
dapat dilipat	a.foldable@a.collapsible
dapat dimainkan	a.playable
dapat dimakan	a.edible
dapat dimampatkan	a.compressible
dapat dimengerti	ad.understandably
dapat diminum	a.potable
dapat dimuat	a.loadable
dapat dinegosiasikan	a.negotiable
dapat dinilai	a.assessable
dapat diobati	a.treatable
dapat dioperasi	a.operable
dapat dioperasikan	a.operable
dapat dipahami	a.understandable@a.intelligible@a.comprehensible
dapat dipakai	a.wearable
dapat dipanggil	a.callable
dapat dipanjangkan	a.telescopic
dapat dipasang	a.mountable
dapat dipasarkan	a.marketable
dapat dipecahkan	a.solvable
dapat dipercaya	a.trustworthy@a.believable@a.trusty@n.trustworthiness
dapat diperdagangkan	a.tradable
dapat diperdebatkan	a.debatable
dapat diperluas	a.expandable@a.extensible
dapat diperoleh	a.obtainable
dapat diperpanjang	a.telescoping@a.extendable
dapat dipersalahkan	n.culpability@a.culpable
dapat dipertahankan	a.defensible
dapat dipertukarkan	a.interchangeable
dapat dipesan	a.bookable
dapat dipilih	a.selectable
dapat dipindahkan	a.movable@a.moveable@a.relocatable
dapat dipindahtangankan	a.transferable
dapat dipisahkan	a.separable
dapat diprediksi	a.predictable@ad.predictably
dapat diprogram	a.programmable
dapat dipulihkan	a.recoverable
dapat diraba	a.palpable
dapat diramalkan	a.foreseeable
dapat dirasakan	a.perceptible
dapat direkam	a.recordable
dapat direndam	a.submersible
dapat direproduksi	a.reproducible
dapat disebarkan	a.deployable
dapat disembuhkan	a.curable
dapat disesuaikan	a.adjustable
dapat disetel	a.tunable
dapat diskalakan	a.scalable
dapat ditagih	a.billable
dapat ditanam	a.implantable
dapat ditanami	a.arable
dapat ditangani	a.treatable
dapat ditarik	a.retractable
dapat ditebus	a.redeemable@a.callable
dapat ditegakkan	n.enforceability
dapat ditempa	a.ductile@a.malleable
dapat ditempatkan	a.deployable
dapat diterima	a.acceptable@a.admissible@n.acceptability@n.admissibility@a.palatable
dapat ditindaklanjuti	a.actionable
dapat ditingkatkan	a.upgradeable
dapat ditoleransi	a.tolerable
dapat ditugaskan	a.assignable
dapat ditukar	a.exchangeable
dapat ditulis	a.writable
dapat diubah	a.modifiable
dapat diuji	a.testable
dapat diulang	a.repeatable
dapat diunduh	a.downloadable
dapat diverifikasi	a.verifiable
dapat melihat masa depan	a.clairvoyant
dapat terurai	a.biodegradable
dapur	n.kitchen@n.kitchens
dapur kapal	n.caboose
dapur kecil	n.pantry@n.kitchenette
dara	n.damsel
darah	n.blood@n.gore
darat	a.overland@a.onshore
daratan utama	n.mainland
dari	prep.of@prep.from@prep.de@prep.off
dari jarak jauh	ad.remotely
dari mana	ad.whence@ad.whereof
dari pihak ayah	a.paternal
dari samping	ad.broadside
dari sana	ad.thence
dari selatan	ad.southerly
dari situ	ad.therefrom
dari tanah	a.earthen
dari timur	ad.easterly
dari utara	ad.northerly
darien	n.darien
darin	n.darin
daring	a.online@ad.online
darinya	ad.therefrom
dario	n.dario
daripada	prep.than@conj.than
daripadanya	ad.thereof
darmstadt	n.darmstadt
darurat	n.emergency@a.emergency@a.makeshift
dasalomba	n.decathlon
dasar	a.basic@n.base@n.ground@n.basis@a.elementary@n.basics@n.foundations@n.bottoms@a.elemental@n.groundwork@n.underpinning@a.rudimentary@a.foundational@n.underpinnings@n.cornerstones
dasar dasar	n.abcs
dasar laut	a.benthic@n.seabed@n.seafloor
dasar pemikiran	n.rationales
dasar sungai	n.riverbed
dasar-dasar	n.fundamentals
dasbor	n.dashboard@n.dashboards
dasi	n.tie@n.ties@n.necktie@n.neckties
data	n.data
datang	v.come@v.came@v.coming@v.comes@a.oncoming
datar	a.flat
dataran	n.plain@n.plains@n.llano
